_identifiers-1,_parent_digital_objects-1.identifier,_digital_object_type.string_key,omeka_identifier-1:omeka_identifier_value,note-1:note_type,note-1:note_value,note-2:note_type,note-2:note_value,location-1:location_term.value,location-1:location_term.uri,location-1:location_shelf_location-1.location_shelf_location_free_text,clio_identifier-1:clio_identifier_value,collection-1:collection_term.value,collection-1:collection_term.uri,date_created_textual-1:date_created_textual_value,date_created-1:date_created_start_value,date_created-1:date_created_end_value,date_created-1:date_created_type,date_created-1:date_created_key_date,place_of_origin-1:place_of_origin_value,language-1:language_term.value,language-1:language_term.uri,language-1:language_term.authority,language-2:language_term.value,language-2:language_term.uri,language-2:language_term.authority,extent-1:extent_value,type_of_resource-1:type_of_resource_value,form-1:form_term.value,form-1:form_term.uri,form-1:form_term.authority,genre-1:genre_term.value,genre-1:genre_term.uri,genre-1:genre_term.authority,title-1:title_non_sort_portion,title-1:title_sort_portion 1,alternative_title-1:alternative_title_value,alternative_title-2:alternative_title_value,abstract-1:abstract_value,name-1:name_term.value,name-1:name_term.name_type,name-1:name_term.uri,name-1:name_term.authority,name-1:name_role-1.name_role_term.value,name-1:name_role-1.name_role_term.uri,name-1:name_role-1.name_role_term.authority,name-1:name_usage_primary,name-2:name_term.value,name-2:name_term.name_type,name-2:name_term.uri,name-2:name_term.authority,name-2:name_role-2.name_role_term.value,name-2:name_role-2.name_role_term.uri,name-2:name_role-2.name_role_term.authority,name-3:name_term.value,name-3:name_term.name_type,name-3:name_term.uri,name-3:name_term.authority,name-3:name_role-3.name_role_term.value,name-3:name_role-3.name_role_term.uri,name-3:name_role-3.name_role_term.authority,subject_name-1:subject_name_term.value,subject_name-1:subject_name_term.name_type,subject_name-1:subject_name_term.uri,subject_name-1:subject_name_term.authority,subject_title-1:subject_title_term.value,subject_title-1:subject_title_term.uri,subject_title-1:subject_title_term.authority,subject_topic-1:subject_topic_term.value,subject_topic-1:subject_topic_term.uri,subject_topic-1:subject_topic_term.authority,subject_topic-2:subject_topic_term.value,subject_topic-2:subject_topic_term.uri,subject_topic-2:subject_topic_term.authority,subject_geographic-1:subject_geographic_term.value,subject_geographic-1:subject_geographic_term.uri,subject_geographic-1:subject_geographic_term.authority,digital_origin-1:digital_origin_value,use_and_reproduction-1:use_and_reproduction_value,use_and_reproduction-1:use_and_reproduction_term.authority,use_and_reproduction-1:use_and_reproduction_term.uri,restriction_on_access-1:restriction_on_access_value,_project.string_key
RBML_PersianBinding_0033, ,item,,,,,,"Rare Book & Manuscript Library, Columbia University",http://id.library.columbia.edu/term/d2142d01-deaa-4a39-8dbd-72c4f148353f,X892.8 P43,,,,ca. 1820-1835 (text) and after ca. 1850 (binding),1820,1851,approximate,TRUE,Iran,Persian,http://id.loc.gov/vocabulary/iso639-2/fas,iso639-2b,,,,205 x 165 cm,text,manuscripts,http://id.loc.gov/authorities/subjects/sh85080672,lcsh,, ,, ,Manshaʾ inshāʾ al-kalām,On the Origin of the Essay,,,Tājlī Begom Khānom?,personal,, ,Creator,http://id.loc.gov/vocabulary/relators/cre,marcrelator,TRUE,,,,,,,,,,,,,,,,,,,,,,"Manuscripts, Persian",http://id.worldcat.org/fast/1008462,fast,,,,,,,reformatted digital,No Copyright - United States,rightsstatements,http://rightsstatements.org/vocab/NoC-US/1.0/,, 
RBML_PersianBinding_000033_01,RBML_PersianBinding_0033,asset,11451,original filename,RBML_PersianBinding_0033.tif,filename,https://exhibitions-dev.library.columbia.edu/RBML_PersianBinding_0033.jpg,,,,,,,,,,,,,, ,,,,,,,, ,,, ,, ,Cover,,,,, , , , , , , ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No Copyright - United States,rightsstatements,http://rightsstatements.org/vocab/NoC-US/1.0/,Public Access, 
RBML_PersianBinding_0032, ,item,,,,,,"Rare Book & Manuscript Library, Columbia University",http://id.library.columbia.edu/term/d2142d01-deaa-4a39-8dbd-72c4f148353f,X892.8 B472,14734517,, ,13 Rabiʿ II 1231 / 13 March 1816,1816-03-13, ,,TRUE,Iran,Persian,http://id.loc.gov/vocabulary/iso639-2/fas,iso639-2b,,,,207 x 140 cm,text,manuscripts,http://id.loc.gov/authorities/subjects/sh85080672,lcsh,, ,, ,Anvār-i Suhaylī,Lights of Canopus,انوار سهيلى,,"Kāshifī, Ḥusayn Vāʻiẓ, -1504 or 1505",personal,http://id.loc.gov/authorities/names/n85026579,naf,Author,http://id.loc.gov/vocabulary/relators/aut,marcrelator,TRUE,"Iṣfahānī, Ṣādiq ibn Muḥammad Jaʻfar, active 1816",personal,,,Scribe,http://id.loc.gov/vocabulary/relators/scr,marcrelator,"Cochran, Alexander Smith, 1874-1929",personal,https://id.loc.gov/authorities/names/n84151661,naf,Former Owner,http://id.loc.gov/vocabulary/relators/fmo,marcrelator,,,,,Fables of Bidpai,http://id.worldcat.org/fast/1356793,fast,"Manuscripts, Persian",http://id.worldcat.org/fast/1008462,fast,"Fables, Persian",http://id.worldcat.org/fast/919468,fast,,,,reformatted digital,No Copyright - United States,rightsstatements,http://rightsstatements.org/vocab/NoC-US/1.0/,, 
RBML_PersianBinding_000032_01,RBML_PersianBinding_0032,asset,11450,original filename,RBML_PersianBinding_0032.tif,filename,https://exhibitions-dev.library.columbia.edu/RBML_PersianBinding_0032.jpg,,,,,, ,,,,,,,, ,,,,,,,, ,,, ,, ,Cover,,,,, , , , , , , ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No Copyright - United States,rightsstatements,http://rightsstatements.org/vocab/NoC-US/1.0/,Public Access, 
RBML_PersianBinding_0031, ,item,,,,,,"Rare Book & Manuscript Library, Columbia University",http://id.library.columbia.edu/term/d2142d01-deaa-4a39-8dbd-72c4f148353f,X892.8 An8,14734460,Smith Oriental Manuscripts,http://id.library.columbia.edu/term/b515f19a-f0d0-4f3e-a3e5-e83ff474387c,Late 18th or 19th century,1750,1900,approximate,TRUE,Iran,Persian,http://id.loc.gov/vocabulary/iso639-2/fas,iso639-2b,,,,205 x 126 cm,text,manuscripts,http://id.loc.gov/authorities/subjects/sh85080672,lcsh,, ,, ,Dīvān,Collected Poems,ديوان,,"Hātif, Sayyid Aḥmad, -1783 or 1784",personal,http://id.loc.gov/authorities/names/n95109525,naf,Author,http://id.loc.gov/vocabulary/relators/aut,marcrelator,TRUE,,,,,,,,,,,,,,,,,,,,,,"Manuscripts, Persian",http://id.worldcat.org/fast/1008462,fast,Persian poetry,http://id.worldcat.org/fast/1058542,fast,,,,reformatted digital,No Copyright - United States,rightsstatements,http://rightsstatements.org/vocab/NoC-US/1.0/,, 
RBML_PersianBinding_000031_01,RBML_PersianBinding_0031,asset,11449,original filename,RBML_PersianBinding_0031.tif,filename,https://exhibitions-dev.library.columbia.edu/RBML_PersianBinding_0031.jpg,,,,,, ,,,,,,,, ,,,,,,,, ,,, ,, ,Cover,,,,, , , , , , , ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No Copyright - United States,rightsstatements,http://rightsstatements.org/vocab/NoC-US/1.0/,Public Access, 
RBML_PersianBinding_0030, ,item,,,,,,"Rare Book & Manuscript Library, Columbia University",http://id.library.columbia.edu/term/d2142d01-deaa-4a39-8dbd-72c4f148353f,Ms Or 350,,Smith Oriental Manuscripts,http://id.library.columbia.edu/term/b515f19a-f0d0-4f3e-a3e5-e83ff474387c,1291 / 1874,1874, ,,TRUE,"Tehran?, Iran",Arabic,http://id.loc.gov/vocabulary/iso639-2/ara,iso639-2b,,,,71 x 43 cm,text,manuscripts,http://id.loc.gov/authorities/subjects/sh85080672,lcsh,Sacred works,http://id.loc.gov/authorities/genreForms/gf2015026045,lcgft, ,Partial Qurʾān,القرآن,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Qurʼan,http://id.worldcat.org/fast/1842877,fast,"Manuscripts, Arabic",http://id.worldcat.org/fast/1008278,fast,,,,,,,reformatted digital,No Copyright - United States,rightsstatements,http://rightsstatements.org/vocab/NoC-US/1.0/,, 
RBML_PersianBinding_000030_01,RBML_PersianBinding_0030,asset,11448,original filename,RBML_PersianBinding_0030.tif,filename,https://exhibitions-dev.library.columbia.edu/RBML_PersianBinding_0030.jpg,,,,,, ,,,,,,,, ,,,,,,,, ,,, ,, ,Cover,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No Copyright - United States,rightsstatements,http://rightsstatements.org/vocab/NoC-US/1.0/,Public Access, 
RBML_PersianBinding_0029, ,item,,,,,,"Rare Book & Manuscript Library, Columbia University",http://id.library.columbia.edu/term/d2142d01-deaa-4a39-8dbd-72c4f148353f,Ms Or 347,,Smith Oriental Manuscripts,http://id.library.columbia.edu/term/b515f19a-f0d0-4f3e-a3e5-e83ff474387c,1129 / 1716 (text) and 1272 / 1856 (binding),1716,1856,,TRUE,Iran,Arabic,http://id.loc.gov/vocabulary/iso639-2/ara,iso639-2b,,,,120 x 75 cm,text,manuscripts,http://id.loc.gov/authorities/subjects/sh85080672,lcsh,Sacred works,http://id.loc.gov/authorities/genreForms/gf2015026045,lcgft, ,al-Qurʾān,القرآن,,,Karīm Lutf-ʿAlī,personal,, ,Creator,http://id.loc.gov/vocabulary/relators/cre,marcrelator,TRUE,,,,,,,,,,,,,,,,,,,Qurʼan,http://id.worldcat.org/fast/1842877,fast,"Manuscripts, Arabic",http://id.worldcat.org/fast/1008278,fast,,,,,,,reformatted digital,No Copyright - United States,rightsstatements,http://rightsstatements.org/vocab/NoC-US/1.0/,, 
RBML_PersianBinding_000029_01,RBML_PersianBinding_0029,asset,11447,original filename,RBML_PersianBinding_0029.tif,filename,https://exhibitions-dev.library.columbia.edu/RBML_PersianBinding_0029.jpg,,,,,, ,,,,,,,, ,,,,,,,, ,,, ,, ,Inside front doublure (with signature),,,,, , , , , , , ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No Copyright - United States,rightsstatements,http://rightsstatements.org/vocab/NoC-US/1.0/,Public Access, 
RBML_PersianBinding_0028, ,item,,,,,,"Rare Book & Manuscript Library, Columbia University",http://id.library.columbia.edu/term/d2142d01-deaa-4a39-8dbd-72c4f148353f,Ms Or 347,,Smith Oriental Manuscripts,http://id.library.columbia.edu/term/b515f19a-f0d0-4f3e-a3e5-e83ff474387c,1129 / 1716 (text) and 1272 / 1856 (binding),1716,1856,,TRUE,Iran,Arabic,http://id.loc.gov/vocabulary/iso639-2/ara,iso639-2b,,,,120 x 75 cm,text,manuscripts,http://id.loc.gov/authorities/subjects/sh85080672,lcsh,Sacred works,http://id.loc.gov/authorities/genreForms/gf2015026045,lcgft, ,al-Qurʾān,القرآن,,"It is unclear if this binder should be associated with Lutf-ʿAlī Khān, a prolific painter active in Shiraz between ca. 1850-65. Both artists had an eye for botanical detail, although the present binding uses a simpler ground […]",Karīm Lutf-ʿAlī,personal,, ,Creator,http://id.loc.gov/vocabulary/relators/cre,marcrelator,TRUE,,,,,,,,,,,,,,,,,,,Qurʼan,http://id.worldcat.org/fast/1842877,fast,"Manuscripts, Arabic",http://id.worldcat.org/fast/1008278,fast,,,,,,,reformatted digital,No Copyright - United States,rightsstatements,http://rightsstatements.org/vocab/NoC-US/1.0/,, 
RBML_PersianBinding_000028_01,RBML_PersianBinding_0028,asset,11446,original filename,RBML_PersianBinding_0028.tif,filename,https://exhibitions-dev.library.columbia.edu/RBML_PersianBinding_0028.jpg,,,,,, ,,,,,,,, ,,,,,,,, ,,, ,, ,Cover,,,,, , , , , , , ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No Copyright - United States,rightsstatements,http://rightsstatements.org/vocab/NoC-US/1.0/,Public Access, 
RBML_PersianBinding_0027, ,item,,,,,,"Rare Book & Manuscript Library, Columbia University",http://id.library.columbia.edu/term/d2142d01-deaa-4a39-8dbd-72c4f148353f,Ms Or 316,,Smith Oriental Manuscripts,http://id.library.columbia.edu/term/b515f19a-f0d0-4f3e-a3e5-e83ff474387c,14th century (text) and 17th or 18th century (binding),1300,1800,approximate,TRUE,Iraq? (text) and Iran (binding),Arabic,http://id.loc.gov/vocabulary/iso639-2/ara,iso639-2b,,,,260 x 160 cm,text,manuscripts,http://id.loc.gov/authorities/subjects/sh85080672,lcsh,Sacred works,http://id.loc.gov/authorities/genreForms/gf2015026045,lcgft, ,al-Qurʾān,القرآن,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Qurʼan,http://id.worldcat.org/fast/1842877,fast,"Manuscripts, Arabic",http://id.worldcat.org/fast/1008278,fast,,,,,,,reformatted digital,No Copyright - United States,rightsstatements,http://rightsstatements.org/vocab/NoC-US/1.0/,, 
RBML_PersianBinding_000027_01,RBML_PersianBinding_0027,asset,11445,original filename,RBML_PersianBinding_0027.tif,filename,https://exhibitions-dev.library.columbia.edu/RBML_PersianBinding_0027.jpg,,,,,, ,,,,,,,, ,,,,,,,, ,,, ,, ,Cover,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No Copyright - United States,rightsstatements,http://rightsstatements.org/vocab/NoC-US/1.0/,Public Access, 
RBML_PersianBinding_0026, ,item,,,,,,"Rare Book & Manuscript Library, Columbia University",http://id.library.columbia.edu/term/d2142d01-deaa-4a39-8dbd-72c4f148353f,Ms Or 312 - FOLIO,,Smith Oriental Manuscripts,http://id.library.columbia.edu/term/b515f19a-f0d0-4f3e-a3e5-e83ff474387c,circa 1575-1625,1575,1625,approximate,TRUE,Iran,Arabic,http://id.loc.gov/vocabulary/iso639-2/ara,iso639-2b,,,,330 x 220 cm,text,manuscripts,http://id.loc.gov/authorities/subjects/sh85080672,lcsh,Sacred works,http://id.loc.gov/authorities/genreForms/gf2015026045,lcgft, ,al-Qurʾān,القرآن,,,Taqī al-Dīn Muḥammad bin Muṭahhar al-Tūsī,personal,, ,Creator,http://id.loc.gov/vocabulary/relators/cre,marcrelator,TRUE,,,,,,,,,,,,,,,,,,,Qurʼan,http://id.worldcat.org/fast/1842877,fast,"Manuscripts, Arabic",http://id.worldcat.org/fast/1008278,fast,,,,,,,reformatted digital,No Copyright - United States,rightsstatements,http://rightsstatements.org/vocab/NoC-US/1.0/,, 
RBML_PersianBinding_000026_01,RBML_PersianBinding_0026,asset,11444,original filename,RBML_PersianBinding_0026.tif,filename,https://exhibitions-dev.library.columbia.edu/RBML_PersianBinding_0026.jpg,,,,,, ,,,,,,,, ,,,,,,,, ,,, ,, ,Inside front doublure,,,,, , , , , , , ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No Copyright - United States,rightsstatements,http://rightsstatements.org/vocab/NoC-US/1.0/,Public Access, 
RBML_PersianBinding_0025, ,item,,,,,,"Rare Book & Manuscript Library, Columbia University",http://id.library.columbia.edu/term/d2142d01-deaa-4a39-8dbd-72c4f148353f,Ms Or 312 - FOLIO,,Smith Oriental Manuscripts,http://id.library.columbia.edu/term/b515f19a-f0d0-4f3e-a3e5-e83ff474387c,circa 1575-1625,1575,1625,approximate,TRUE,Iran,Arabic,http://id.loc.gov/vocabulary/iso639-2/ara,iso639-2b,,,,330 x 220 cm,text,manuscripts,http://id.loc.gov/authorities/subjects/sh85080672,lcsh,Sacred works,http://id.loc.gov/authorities/genreForms/gf2015026045,lcgft, ,al-Qurʾān,القرآن,,,Taqī al-Dīn Muḥammad bin Muṭahhar al-Tūsī,personal,, ,Creator,http://id.loc.gov/vocabulary/relators/cre,marcrelator,TRUE,,,,,,,,,,,,,,,,,,,Qurʼan,http://id.worldcat.org/fast/1842877,fast,"Manuscripts, Arabic",http://id.worldcat.org/fast/1008278,fast,,,,,,,reformatted digital,No Copyright - United States,rightsstatements,http://rightsstatements.org/vocab/NoC-US/1.0/,, 
RBML_PersianBinding_000025_01,RBML_PersianBinding_0025,asset,11443,original filename,RBML_PersianBinding_0025.tif,filename,https://exhibitions-dev.library.columbia.edu/RBML_PersianBinding_0025.jpg,,,,,, ,,,,,,,, ,,,,,,,, ,,, ,, ,Cover,,,,, , , , , , , ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No Copyright - United States,rightsstatements,http://rightsstatements.org/vocab/NoC-US/1.0/,Public Access, 
RBML_PersianBinding_0024, ,item,,,,,,"Rare Book & Manuscript Library, Columbia University",http://id.library.columbia.edu/term/d2142d01-deaa-4a39-8dbd-72c4f148353f,Ms Or 308,,Smith Oriental Manuscripts,http://id.library.columbia.edu/term/b515f19a-f0d0-4f3e-a3e5-e83ff474387c,Late 18th or 19th century,1750,1900,approximate,TRUE,Iran,Arabic,http://id.loc.gov/vocabulary/iso639-2/ara,iso639-2b,,,,45 x 45 cm,text,manuscripts,http://id.loc.gov/authorities/subjects/sh85080672,lcsh,Sacred works,http://id.loc.gov/authorities/genreForms/gf2015026045,lcgft, ,Qurʾān with Amulet Case,القرآن,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Qurʼan,http://id.worldcat.org/fast/1842877,fast,"Manuscripts, Arabic",http://id.worldcat.org/fast/1008278,fast,,,,,,,reformatted digital,No Copyright - United States,rightsstatements,http://rightsstatements.org/vocab/NoC-US/1.0/,, 
RBML_PersianBinding_000024_01,RBML_PersianBinding_0024,asset,11442,original filename,RBML_PersianBinding_0024.tif,filename,https://exhibitions-dev.library.columbia.edu/RBML_PersianBinding_0024.jpg,,,,,, ,,,,,,,, ,,,,,,,, ,,, ,, ,Cover,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No Copyright - United States,rightsstatements,http://rightsstatements.org/vocab/NoC-US/1.0/,Public Access, 
RBML_PersianBinding_0023, ,item,,,,,,"Rare Book & Manuscript Library, Columbia University",http://id.library.columbia.edu/term/d2142d01-deaa-4a39-8dbd-72c4f148353f,Ms Or 263 - FOLIO,,Smith Oriental Manuscripts,http://id.library.columbia.edu/term/b515f19a-f0d0-4f3e-a3e5-e83ff474387c,657 / 1256 (text) and 19th century (binding),1256,1900,approximate,TRUE,Iran or Turkey (text) and Iran (binding),Arabic,http://id.loc.gov/vocabulary/iso639-2/ara,iso639-2b,Persian,http://id.loc.gov/vocabulary/iso639-2/fas,iso639-2,385 x 305 cm,text,manuscripts,http://id.loc.gov/authorities/subjects/sh85080672,lcsh,Sacred works,http://id.loc.gov/authorities/genreForms/gf2015026045,lcgft, ,Third Volume (juzʾ) of a Qurʾān in Thirty Parts,القرآن,,,Masʿūd b. ʿAbd al-Malik al-Ghiyāthī,personal,, ,Creator,http://id.loc.gov/vocabulary/relators/cre,marcrelator,TRUE,Khwāja Lutf-Allāh Sahhāf,personal,,,Creator,http://id.loc.gov/vocabulary/relators/cre,marcrelator,Maḥfūẓ b. ʿAbd al-Malik al-Ghiyāthī,personal,,,Creator,http://id.loc.gov/vocabulary/relators/cre,marcrelator,,,,,Qurʼan,http://id.worldcat.org/fast/1842877,fast,"Manuscripts, Arabic",http://id.worldcat.org/fast/1008278,fast,,,,,,,reformatted digital,No Copyright - United States,rightsstatements,http://rightsstatements.org/vocab/NoC-US/1.0/,, 
RBML_PersianBinding_000023_01,RBML_PersianBinding_0023,asset,11441,original filename,RBML_PersianBinding_0023.tif,filename,https://exhibitions-dev.library.columbia.edu/RBML_PersianBinding_0023.jpg,,,,,, ,,,,,,,, ,,,,,,,, ,,, ,, ,Cover,,,,, , , , , , , ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No Copyright - United States,rightsstatements,http://rightsstatements.org/vocab/NoC-US/1.0/,Public Access, 
RBML_PersianBinding_0022, ,item,,,,,,"Rare Book & Manuscript Library, Columbia University",http://id.library.columbia.edu/term/d2142d01-deaa-4a39-8dbd-72c4f148353f,Ms Or 226,,Smith Oriental Manuscripts,http://id.library.columbia.edu/term/b515f19a-f0d0-4f3e-a3e5-e83ff474387c,18th or early 19th century,1700,1850,approximate,TRUE,India,Persian,http://id.loc.gov/vocabulary/iso639-2/fas,iso639-2b,,,,280 x 160 cm,text,manuscripts,http://id.loc.gov/authorities/subjects/sh85080672,lcsh,, ,, ,Kulliyāt,Collected Works,كليات,,Saʻdī,personal,, ,Creator,http://id.loc.gov/vocabulary/relators/cre,marcrelator,TRUE,,,,,,,,,,,,,,,,,,,,,,"Manuscripts, Persian",http://id.worldcat.org/fast/1008462,fast,,,,,,,reformatted digital,No Copyright - United States,rightsstatements,http://rightsstatements.org/vocab/NoC-US/1.0/,, 
RBML_PersianBinding_000022_01,RBML_PersianBinding_0022,asset,11440,original filename,RBML_PersianBinding_0022.tif,filename,https://exhibitions-dev.library.columbia.edu/RBML_PersianBinding_0022.jpg,,,,,, ,,,,,,,, ,,,,,,,, ,,, ,, ,Cover,,,,, , , , , , , ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No Copyright - United States,rightsstatements,http://rightsstatements.org/vocab/NoC-US/1.0/,Public Access, 
RBML_PersianBinding_0021, ,item,,,,,,"Rare Book & Manuscript Library, Columbia University",http://id.library.columbia.edu/term/d2142d01-deaa-4a39-8dbd-72c4f148353f,Ms Or 219,,Smith Oriental Manuscripts,http://id.library.columbia.edu/term/b515f19a-f0d0-4f3e-a3e5-e83ff474387c,1276 / 1859,1859, ,,TRUE,Iran,Arabic,http://id.loc.gov/vocabulary/iso639-2/ara,iso639-2b,,,,226 x 144 cm,text,manuscripts,http://id.loc.gov/authorities/subjects/sh85080672,lcsh,, ,, ,al-Sahifah al-sajjadiyah,Prayers of the Fourth Imam,الصحيفة السجادية,,ʽAlī ibn al-Ḥusayn,personal,, ,Creator,http://id.loc.gov/vocabulary/relators/cre,marcrelator,TRUE,,,,,,,,,,,,,,,,,,,,,,Shīʻah--Prayers and devotions,http://id.worldcat.org/fast/1426601,fast,"Manuscripts, Arabic",http://id.worldcat.org/fast/1008278,fast,,,,reformatted digital,No Copyright - United States,rightsstatements,http://rightsstatements.org/vocab/NoC-US/1.0/,, 
RBML_PersianBinding_000021_01,RBML_PersianBinding_0021,asset,11439,original filename,RBML_PersianBinding_0021.tif,filename,https://exhibitions-dev.library.columbia.edu/RBML_PersianBinding_0021.jpg,,,,,, ,,,,,,,, ,,,,,,,, ,,, ,, ,Cover,,,,, , , , , , , ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No Copyright - United States,rightsstatements,http://rightsstatements.org/vocab/NoC-US/1.0/,Public Access, 
RBML_PersianBinding_0020, ,item,,,,,,"Rare Book & Manuscript Library, Columbia University",http://id.library.columbia.edu/term/d2142d01-deaa-4a39-8dbd-72c4f148353f,Ms Or 216,,Smith Oriental Manuscripts,http://id.library.columbia.edu/term/b515f19a-f0d0-4f3e-a3e5-e83ff474387c,circa 1703 (text) and ca. 1800-25 (binding),1703,1825,approximate,TRUE,Iran,Arabic,http://id.loc.gov/vocabulary/iso639-2/ara,iso639-2b,,,,247 x 142 cm,text,manuscripts,http://id.loc.gov/authorities/subjects/sh85080672,lcsh,, ,, ,ʿIlm al-rijāl,Science of Men,علم الرجال,,Mustafa bin al-Hassan Husayni,personal,, ,Creator,http://id.loc.gov/vocabulary/relators/cre,marcrelator,TRUE,,,,,,,,,,,,,,,,,,,,,,Hadith--Authorities,http://id.worldcat.org/fast/950115,fast,,,,,,,reformatted digital,No Copyright - United States,rightsstatements,http://rightsstatements.org/vocab/NoC-US/1.0/,, 
RBML_PersianBinding_000020_01,RBML_PersianBinding_0020,asset,11438,original filename,RBML_PersianBinding_0020.tif,filename,https://exhibitions-dev.library.columbia.edu/RBML_PersianBinding_0020.jpg,,,,,, ,,,,,,,, ,,,,,,,, ,,, ,, ,Cover,,,,, , , , , , , ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No Copyright - United States,rightsstatements,http://rightsstatements.org/vocab/NoC-US/1.0/,Public Access, 
RBML_PersianBinding_0019, ,item,,,,,,"Rare Book & Manuscript Library, Columbia University",http://id.library.columbia.edu/term/d2142d01-deaa-4a39-8dbd-72c4f148353f,Ms Or 215,,Smith Oriental Manuscripts,http://id.library.columbia.edu/term/b515f19a-f0d0-4f3e-a3e5-e83ff474387c,1177 / 1763 (text) and late 18th century (binding),1763,1900,approximate,TRUE,Iran (text) and Syria or Turkey (binding),Arabic,http://id.loc.gov/vocabulary/iso639-2/ara,iso639-2b,,,,101 x 62 cm,text,manuscripts,http://id.loc.gov/authorities/subjects/sh85080672,lcsh,Sacred works,http://id.loc.gov/authorities/genreForms/gf2015026045,lcgft, ,al-Qurʾān,القرآن,,,Ibn Muḥammad Muḥsin al-Ḥusaynī Muḥammad Hādī,personal,, ,Creator,http://id.loc.gov/vocabulary/relators/cre,marcrelator,TRUE,,,,,,,,,,,,,,,,,,,Qurʼan,http://id.worldcat.org/fast/1842877,fast,"Manuscripts, Arabic",http://id.worldcat.org/fast/1008278,fast,,,,,,,reformatted digital,No Copyright - United States,rightsstatements,http://rightsstatements.org/vocab/NoC-US/1.0/,, 
RBML_PersianBinding_000019_01,RBML_PersianBinding_0019,asset,11437,original filename,RBML_PersianBinding_0019.tif,filename,https://exhibitions-dev.library.columbia.edu/RBML_PersianBinding_0019.jpg,,,,,, ,,,,,,,, ,,,,,,,, ,,, ,, ,Cover,,,,, , , , , , , ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No Copyright - United States,rightsstatements,http://rightsstatements.org/vocab/NoC-US/1.0/,Public Access, 
RBML_PersianBinding_0018, ,item,,,,,,"Rare Book & Manuscript Library, Columbia University",http://id.library.columbia.edu/term/d2142d01-deaa-4a39-8dbd-72c4f148353f,Ms Or 214,,Smith Oriental Manuscripts,http://id.library.columbia.edu/term/b515f19a-f0d0-4f3e-a3e5-e83ff474387c,14th or 15th century (text) and ca. 1880-1890 (binding),1300,1890,approximate,TRUE,Iran or Iraq (text) and Iran (binding),Arabic,http://id.loc.gov/vocabulary/iso639-2/ara,iso639-2b,,,,93 x 60 cm,text,manuscripts,http://id.loc.gov/authorities/subjects/sh85080672,lcsh,Sacred works,http://id.loc.gov/authorities/genreForms/gf2015026045,lcgft, ,al-Qurʾān,القرآن,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Qurʼan,http://id.worldcat.org/fast/1842877,fast,"Manuscripts, Arabic",http://id.worldcat.org/fast/1008278,fast,,,,,,,reformatted digital,No Copyright - United States,rightsstatements,http://rightsstatements.org/vocab/NoC-US/1.0/,, 
RBML_PersianBinding_000018_01,RBML_PersianBinding_0018,asset,11436,original filename,RBML_PersianBinding_0018.tif,filename,https://exhibitions-dev.library.columbia.edu/RBML_PersianBinding_0018.jpg,,,,,, ,,,,,,,, ,,,,,,,, ,,, ,, ,Cover,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No Copyright - United States,rightsstatements,http://rightsstatements.org/vocab/NoC-US/1.0/,Public Access, 
RBML_PersianBinding_0017, ,item,,,,,,"Rare Book & Manuscript Library, Columbia University",http://id.library.columbia.edu/term/d2142d01-deaa-4a39-8dbd-72c4f148353f,Ms Or 199,,Smith Oriental Manuscripts,http://id.library.columbia.edu/term/b515f19a-f0d0-4f3e-a3e5-e83ff474387c,Before 1089 / 1678 (text) and ca. 1850-1870 (binding),1677,1870,approximate,TRUE,Iran,Arabic,http://id.loc.gov/vocabulary/iso639-2/ara,iso639-2b,,,,121 x 74 cm,text,manuscripts,http://id.loc.gov/authorities/subjects/sh85080672,lcsh,Sacred works,http://id.loc.gov/authorities/genreForms/gf2015026045,lcgft, ,al-Qurʾān,القرآن,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Qurʼan,http://id.worldcat.org/fast/1842877,fast,"Manuscripts, Arabic",http://id.worldcat.org/fast/1008278,fast,,,,,,,reformatted digital,No Copyright - United States,rightsstatements,http://rightsstatements.org/vocab/NoC-US/1.0/,, 
