_identifiers-1,_parent_digital_objects-1.identifier,_digital_object_type.string_key,omeka_identifier-1:omeka_identifier_value,note-1:note_type,note-1:note_value,note-2:note_type,note-2:note_value,location-1:location_term.value,location-1:location_term.uri,location-1:location_shelf_location-1.location_shelf_location_free_text,clio_identifier-1:clio_identifier_value,collection-1:collection_term.value,collection-1:collection_term.uri,date_created_textual-1:date_created_textual_value,date_created-1:date_created_start_value,date_created-1:date_created_end_value,date_created-1:date_created_type,date_created-1:date_created_key_date,place_of_origin-1:place_of_origin_value,language-1:language_term.value,language-1:language_term.uri,language-1:language_term.authority,language-2:language_term.value,language-2:language_term.uri,language-2:language_term.authority,extent-1:extent_value,type_of_resource-1:type_of_resource_value,form-1:form_term.value,form-1:form_term.uri,form-1:form_term.authority,genre-1:genre_term.value,genre-1:genre_term.uri,genre-1:genre_term.authority,title-1:title_non_sort_portion,title-1:title_sort_portion 1,alternative_title-1:alternative_title_value,alternative_title-2:alternative_title_value,abstract-1:abstract_value,name-1:name_term.value,name-1:name_term.name_type,name-1:name_term.uri,name-1:name_term.authority,name-1:name_role-1.name_role_term.value,name-1:name_role-1.name_role_term.uri,name-1:name_role-1.name_role_term.authority,name-1:name_usage_primary,name-2:name_term.value,name-2:name_term.name_type,name-2:name_term.uri,name-2:name_term.authority,name-2:name_role-2.name_role_term.value,name-2:name_role-2.name_role_term.uri,name-2:name_role-2.name_role_term.authority,name-3:name_term.value,name-3:name_term.name_type,name-3:name_term.uri,name-3:name_term.authority,name-3:name_role-3.name_role_term.value,name-3:name_role-3.name_role_term.uri,name-3:name_role-3.name_role_term.authority,subject_name-1:subject_name_term.value,subject_name-1:subject_name_term.name_type,subject_name-1:subject_name_term.uri,subject_name-1:subject_name_term.authority,subject_title-1:subject_title_term.value,subject_title-1:subject_title_term.uri,subject_title-1:subject_title_term.authority,subject_topic-1:subject_topic_term.value,subject_topic-1:subject_topic_term.uri,subject_topic-1:subject_topic_term.authority,subject_topic-2:subject_topic_term.value,subject_topic-2:subject_topic_term.uri,subject_topic-2:subject_topic_term.authority,subject_geographic-1:subject_geographic_term.value,subject_geographic-1:subject_geographic_term.uri,subject_geographic-1:subject_geographic_term.authority,digital_origin-1:digital_origin_value,use_and_reproduction-1:use_and_reproduction_value,use_and_reproduction-1:use_and_reproduction_term.authority,use_and_reproduction-1:use_and_reproduction_term.uri,restriction_on_access-1:restriction_on_access_value,_project.string_key
RBML_PersianBinding_000009_01,RBML_PersianBinding_009,asset,11427,original filename,RBML_PersianBinding_0009.tif,filename,https://exhibitions-dev.library.columbia.edu/RBML_PersianBinding_0009.jpg,,,,,, ,,,,,,,, ,,,,,,,, ,,, ,, ,Cover,,,,, , , , , , , ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No Copyright - United States,rightsstatements,http://rightsstatements.org/vocab/NoC-US/1.0/,Public Access, 
RBML_PersianBinding_008, ,item,,,,,,"Rare Book & Manuscript Library, Columbia University",http://id.library.columbia.edu/term/d2142d01-deaa-4a39-8dbd-72c4f148353f,Ms Or 133,,Smith Oriental Manuscripts,http://id.library.columbia.edu/term/b515f19a-f0d0-4f3e-a3e5-e83ff474387c,1243 / 1827,1827, ,,TRUE,Iran,Arabic,http://id.loc.gov/vocabulary/iso639-2/ara,iso639-2b,Persian,http://id.loc.gov/vocabulary/iso639-2/fas,iso639-2,160 x 95 cm,text,manuscripts,http://id.loc.gov/authorities/subjects/sh85080672,lcsh,, ,, ,Daʿawāt,Prayers,دعوات,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Manuscripts, Persian",http://id.worldcat.org/fast/1008462,fast,,,,,,,reformatted digital,No Copyright - United States,rightsstatements,http://rightsstatements.org/vocab/NoC-US/1.0/,, 
RBML_PersianBinding_000008_01,RBML_PersianBinding_008,asset,11426,original filename,RBML_PersianBinding_0008.tif,filename,https://exhibitions-dev.library.columbia.edu/RBML_PersianBinding_0008.jpg,,,,,, ,,,,,,,, ,,,,,,,, ,,, ,, ,Cover,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No Copyright - United States,rightsstatements,http://rightsstatements.org/vocab/NoC-US/1.0/,Public Access, 
RBML_PersianBinding_007, ,item,,,,,,"Rare Book & Manuscript Library, Columbia University",http://id.library.columbia.edu/term/d2142d01-deaa-4a39-8dbd-72c4f148353f,Ms Or 92,,Smith Oriental Manuscripts,http://id.library.columbia.edu/term/b515f19a-f0d0-4f3e-a3e5-e83ff474387c,14th or 15th century (text) and mid-18th to mid-19th century (binding),1300,1850,approximate,TRUE,Iran or Iraq (text) and Iran (binding),Arabic,http://id.loc.gov/vocabulary/iso639-2/ara,iso639-2b,,,,168 x 104 cm,text,manuscripts,http://id.loc.gov/authorities/subjects/sh85080672,lcsh,Sacred works,http://id.loc.gov/authorities/genreForms/gf2015026045,lcgft, ,al-Qurʾān,القرآن,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Qurʼan,http://id.worldcat.org/fast/1842877,fast,"Manuscripts, Arabic",http://id.worldcat.org/fast/1008278,fast,,,,,,,reformatted digital,No Copyright - United States,rightsstatements,http://rightsstatements.org/vocab/NoC-US/1.0/,, 
RBML_PersianBinding_000007_01,RBML_PersianBinding_007,asset,11425,original filename,RBML_PersianBinding_0007.tif,filename,https://exhibitions-dev.library.columbia.edu/RBML_PersianBinding_0007.jpg,,,,,, ,,,,,,,, ,,,,,,,, ,,, ,, ,Cover,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No Copyright - United States,rightsstatements,http://rightsstatements.org/vocab/NoC-US/1.0/,Public Access, 
RBML_PersianBinding_006, ,item,,,,,,"Rare Book & Manuscript Library, Columbia University",http://id.library.columbia.edu/term/d2142d01-deaa-4a39-8dbd-72c4f148353f,Ms Or 82 - FOLIO/FLAT,,Smith Oriental Manuscripts,http://id.library.columbia.edu/term/b515f19a-f0d0-4f3e-a3e5-e83ff474387c,circa 1815-1830,1815,1830,approximate,TRUE,Iran,Persian,http://id.loc.gov/vocabulary/iso639-2/fas,iso639-2b,,,,397 x 265 cm,text,manuscripts,http://id.loc.gov/authorities/subjects/sh85080672,lcsh,, ,, ,Mashāriq al-anvār,مشارق الانوار,,,"al-Munajjim, Sinān b. Muḥammad Ḥusayn b. Murabbiʿ al-Zamān Muḥammad Ḥassan al-Husaynī",personal,, ,Creator,http://id.loc.gov/vocabulary/relators/cre,marcrelator,TRUE,,,,,,,,,,,,,,,,,,,,,,"Manuscripts, Persian",http://id.worldcat.org/fast/1008462,fast,,,,,,,reformatted digital,No Copyright - United States,rightsstatements,http://rightsstatements.org/vocab/NoC-US/1.0/,, 
RBML_PersianBinding_000006_01,RBML_PersianBinding_006,asset,11424,original filename,RBML_PersianBinding_0006.tif,filename,https://exhibitions-dev.library.columbia.edu/RBML_PersianBinding_0006.jpg,,,,,, ,,,,,,,, ,,,,,,,, ,,, ,, ,Cover,,,,, , , , , , , ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No Copyright - United States,rightsstatements,http://rightsstatements.org/vocab/NoC-US/1.0/,Public Access, 
RBML_PersianBinding_005, ,item,,,,,,"Rare Book & Manuscript Library, Columbia University",http://id.library.columbia.edu/term/d2142d01-deaa-4a39-8dbd-72c4f148353f,Ms Or 81 - FOLIO/FLAT,,Smith Oriental Manuscripts,http://id.library.columbia.edu/term/b515f19a-f0d0-4f3e-a3e5-e83ff474387c,976 / 1568 (text) and ca. 1692-1701 or later (binding),1568,1701,approximate,TRUE,Iran,Persian,http://id.loc.gov/vocabulary/iso639-2/fas,iso639-2b,,,,352 x 235 cm,text,manuscripts,http://id.loc.gov/authorities/subjects/sh85080672,lcsh,, ,, ,"Rawẓat al-ṣafāʾ, Third Volume","Garden of Purity, Third volume", روضة الصفا,,"Mīr Khvānd, Muḥammad ibn Khāvandshāh, 1433-1498",personal,https://id.loc.gov/authorities/names/n82027925,naf,Author,http://id.loc.gov/vocabulary/relators/aut,marcrelator,TRUE,,,,,,,,,,,,,,,,,,,"Rawz̤at al-ṣafāʼ (Mīr Khvānd, Muḥammad ibn Khāvandshāh)",http://id.worldcat.org/fast/1384829,fast,"Manuscripts, Persian",http://id.worldcat.org/fast/1008462,fast,,,,Iran,http://id.worldcat.org/fast/1204889,fast,reformatted digital,No Copyright - United States,rightsstatements,http://rightsstatements.org/vocab/NoC-US/1.0/,, 
RBML_PersianBinding_000005_01,RBML_PersianBinding_005,asset,11423,original filename,RBML_PersianBinding_0005.tif,filename,https://exhibitions-dev.library.columbia.edu/RBML_PersianBinding_0005.jpg,,,,,, ,,,,,,,, ,,,,,,,, ,,, ,, ,Cover,,,,, , , , , , , ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No Copyright - United States,rightsstatements,http://rightsstatements.org/vocab/NoC-US/1.0/,Public Access, 
RBML_PersianBinding_004, ,item,,,,,,"Rare Book & Manuscript Library, Columbia University",http://id.library.columbia.edu/term/d2142d01-deaa-4a39-8dbd-72c4f148353f,Ms Or 80,,Smith Oriental Manuscripts,http://id.library.columbia.edu/term/b515f19a-f0d0-4f3e-a3e5-e83ff474387c,17th or 18th century (text) and 1281 / 1865 (binding),1600,1865,approximate,TRUE,Iran,Persian,http://id.loc.gov/vocabulary/iso639-2/fas,iso639-2b,,,,240 x 130 cm,text,manuscripts,http://id.loc.gov/authorities/subjects/sh85080672,lcsh,, ,, ,Būstān & Gulistān,  بوستان گلستان,,,Saʻdī,personal,, ,Author,http://id.loc.gov/vocabulary/relators/aut,marcrelator,TRUE,Ibrāhīm b. Muḥammad,personal,,,Creator,http://id.loc.gov/vocabulary/relators/cre,marcrelator,,,,,,,,,,,,,,,"Manuscripts, Persian",http://id.worldcat.org/fast/1008462,fast,"Sufi poetry, Persian",http://id.worldcat.org/fast/1137242,fast,,,,reformatted digital,No Copyright - United States,rightsstatements,http://rightsstatements.org/vocab/NoC-US/1.0/,, 
RBML_PersianBinding_000004_01,RBML_PersianBinding_004,asset,11422,original filename,RBML_PersianBinding_0004.tif,filename,https://exhibitions-dev.library.columbia.edu/RBML_PersianBinding_0004.jpg,,,,,, ,,,,,,,, ,,,,,,,, ,,, ,, ,Cover,,,,, , , , , , , ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No Copyright - United States,rightsstatements,http://rightsstatements.org/vocab/NoC-US/1.0/,Public Access, 
RBML_PersianBinding_003, ,item,,,,,,"Rare Book & Manuscript Library, Columbia University",http://id.library.columbia.edu/term/d2142d01-deaa-4a39-8dbd-72c4f148353f,Ms Or 76 - FOLIO/FLAT,,Smith Oriental Manuscripts,http://id.library.columbia.edu/term/b515f19a-f0d0-4f3e-a3e5-e83ff474387c,25 Dhū’l-Qaʿda 1264 / 23 October 1848,1848-08-23, ,,TRUE,"Isfahan?, Iran",Persian,http://id.loc.gov/vocabulary/iso639-2/fas,iso639-2b,,,,290 x 185 cm,text,manuscripts,http://id.loc.gov/authorities/subjects/sh85080672,lcsh,, ,, ,Mas̲navī-i maʻnavī,مثنوى معنوى,,,"Jalāl al-Dīn Rūmī, Maulana, 1207-1273",personal,http://id.loc.gov/authorities/names/n81059876,naf,Creator,http://id.loc.gov/vocabulary/relators/cre,marcrelator,TRUE,Muḥammad Karīm ibn Muḥammad Ṣād al-Shīrāzī,personal,,,Creator,http://id.loc.gov/vocabulary/relators/cre,marcrelator,Imāmī School,corporate,,,Creator,http://id.loc.gov/vocabulary/relators/cre,marcrelator,,,,,"Mas̲navī (Jalāl al-Dīn Rūmī, Maulana)",http://id.worldcat.org/fast/1362351,fast,"Manuscripts, Persian",http://id.worldcat.org/fast/1008462,fast,"Sufi poetry, Persian",http://id.worldcat.org/fast/1137242,fast,,,,reformatted digital,No Copyright - United States,rightsstatements,http://rightsstatements.org/vocab/NoC-US/1.0/,, 
RBML_PersianBinding_000003_01,RBML_PersianBinding_003,asset,11421,original filename,RBML_PersianBinding_0003.tif,filename,https://exhibitions-dev.library.columbia.edu/RBML_PersianBinding_0003.jpg,,,,,, ,,,,,,,, ,,,,,,,, ,,, ,, ,Cover,,,,, , , , , , , ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No Copyright - United States,rightsstatements,http://rightsstatements.org/vocab/NoC-US/1.0/,Public Access, 
RBML_PersianBinding_002, ,item,,,,,,"Rare Book & Manuscript Library, Columbia University",http://id.library.columbia.edu/term/d2142d01-deaa-4a39-8dbd-72c4f148353f,Ms Or 67 - FOLIO/FLAT,,Smith Oriental Manuscripts,http://id.library.columbia.edu/term/b515f19a-f0d0-4f3e-a3e5-e83ff474387c,circa 1820-1840,1820,1840,approximate,TRUE,Iran,Persian,http://id.loc.gov/vocabulary/iso639-2/fas,iso639-2b,,,,285 x 180 cm,text,manuscripts,http://id.loc.gov/authorities/subjects/sh85080672,lcsh,, ,, ,Dīvān,Collected Poems,ديوان,,"Maḥmud Mīrzā Qājār, 1799-1854",personal,http://id.loc.gov/authorities/names/n2012036505,naf,Author,http://id.loc.gov/vocabulary/relators/aut,marcrelator,TRUE,,,,,,,,,,,,,,,,,,,,,,"Manuscripts, Persian",http://id.worldcat.org/fast/1008462,fast,Persian poetry,http://id.worldcat.org/fast/1058542,fast,,,,reformatted digital,No Copyright - United States,rightsstatements,http://rightsstatements.org/vocab/NoC-US/1.0/,, 
RBML_PersianBinding_000002_01,RBML_PersianBinding_002,asset,11420,original filename,RBML_PersianBinding_0002.tif,filename,https://exhibitions-dev.library.columbia.edu/RBML_PersianBinding_0002.jpg,,,,,, ,,,,,,,, ,,,,,,,, ,,, ,, ,Cover,,,,, , , , , , , ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No Copyright - United States,rightsstatements,http://rightsstatements.org/vocab/NoC-US/1.0/,Public Access, 
RBML_PersianBinding_001, ,item,,,,,,"Rare Book & Manuscript Library, Columbia University",http://id.library.columbia.edu/term/d2142d01-deaa-4a39-8dbd-72c4f148353f,Ms Or 35,,Smith Oriental Manuscripts,http://id.library.columbia.edu/term/b515f19a-f0d0-4f3e-a3e5-e83ff474387c,1033 / 1624 (text) and 18th or 19th century (binding),1624,1900,approximate,TRUE,"Anjudān, Iran",Persian,http://id.loc.gov/vocabulary/iso639-2/fas,iso639-2b,,,,246 x 146 cm,text,manuscripts,http://id.loc.gov/authorities/subjects/sh85080672,lcsh,, ,, ,Ḥall wa ʻAqd fī Nujūm,Loosening and Binding of the Constellations,حل و عقد في نجوم,,"Lārī, Quṭb al-Dīn ibn ʻAbd al-Ḥayy, active 17th century",personal,http://id.loc.gov/authorities/names/no2012152345,naf,Creator,http://id.loc.gov/vocabulary/relators/cre,marcrelator,TRUE,Mūhammad Taqī ibn Mawlānā Muḥammad,personal,,,Creator,http://id.loc.gov/vocabulary/relators/cre,marcrelator,,,,,,,,,,,,,,,"Manuscripts, Persian",http://id.worldcat.org/fast/1008462,fast,,,,,,,reformatted digital,No Copyright - United States,rightsstatements,http://rightsstatements.org/vocab/NoC-US/1.0/,, 
RBML_PersianBinding_000001_01,RBML_PersianBinding_001,asset,11419,original filename,RBML_PersianBinding_0001.tif,filename,https://exhibitions-dev.library.columbia.edu/RBML_PersianBinding_0001.jpg,,,,,, ,,,,,,,, ,,,,,,,, ,,, ,, ,Cover,,,,, , , , , , , ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No Copyright - United States,rightsstatements,http://rightsstatements.org/vocab/NoC-US/1.0/,Public Access, 
