_pid,partName,projectURL,_identifiers-1,_project.string_key,relatedItem_project,title-1:title_sort_portion,_digital_object_type.string_key,title-1:title_non_sort_portion,_parent_digital_objects-1.identifier,omeka_identifier-1:omeka_identifier_value,note-2:note_type,note-2:note_value,note-3:note_type,note-1:note_type,note-1:note_value,form-2:form_term.uri,genre-1:genre_term.uri,form-2:form_term.value,genre-1:genre_term.value,location-1:location_term.uri,genre-1:genre_term.authority,location-1:location_term.code,location-1:location_term.value,location-1:location_term.authority,digital_origin-1:digital_origin_value,type_of_resource-1:type_of_resource_value,date_created_textual-1:date_created_textual_value,use_and_reproduction-1:use_and_reproduction_value,date_created-1:date_created_end_value,date_created-1:date_created_start_value,collection-1:collection_term.uri,collection-1:collection_term.value,name-1:name_term.uri,name-1:name_term.value,name-1:name_term.authority,name-1:name_term.name_type,name-1:name_role-1.name_role_term.uri,name-1:name_role-1.name_role_term.value,name-1:name_role-1.name_role_term.authority,note-5:note_type,note-5:note_value,location-1:location_shelf_location-1.location_shelf_location_free_text,location-1:location_shelf_location-1.location_shelf_location_box_number,location-1:location_shelf_location-1.location_shelf_location_folder_number,language-1:language_term.uri,language-1:language_term.value,language-1:language_term.authority,object_in_context_url-1:object_in_context_url_value,place_of_origin-1:place_of_origin_value,subject_name-1:subject_name_term.uri,subject_title-1:subject_title_term.uri,subject_topic-1:subject_topic_term.uri,subject_name-1:subject_name_term.value,subject_topic-1:subject_topic_term.value,subject_title-1:subject_title_term.value,subject_name-1:subject_name_term.name_type,subject_name-1:subject_name_term.authority,subject_topic-1:subject_topic_term.authority,subject_title-1:subject_title_term.authority,subject_hierarchical_geographic-1:subject_hierarchical_geographic_city_text_value,subject_hierarchical_geographic-1:subject_hierarchical_geographic_state_text_value,subject_hierarchical_geographic-1:subject_hierarchical_geographic_county_text_value,subject_hierarchical_geographic-1:subject_hierarchical_geographic_borough_text_value,subject_hierarchical_geographic-1:subject_hierarchical_geographic_province_text_value,subject_hierarchical_geographic-1:subject_hierarchical_geographic_street-1.subject_hierarchical_geographic_street_value,date_created-1:date_created_type,subject_topic-2:subject_topic_term.uri,subject_topic-2:subject_topic_term.value,subject_topic-2:subject_topic_term.authority
 , , , , ,1968: The Global Revolutions,Central Park Be-In, , , ,11910,filename,https://exhibitions-dev.library.columbia.edu/1968_236_01.jpg,original_format, ,Original filename: 1968_236_01.tif, , ,photographs,Still Image, ,fast, ,"Rare Book & Manuscript Library, Columbia University",local,reformatted digital,Still Image,undated,In Copyright,,, ,Bob Fass Recordings and Papers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 , , , , ,1968: The Global Revolutions,Woman Dancing, , , ,11909,filename,https://exhibitions-dev.library.columbia.edu/1968_235_01.jpg,original_format, ,Original filename: 1968_235_01.tif, , ,photographs,Still Image, ,fast, ,"Rare Book & Manuscript Library, Columbia University",local,reformatted digital,Still Image,undated,In Copyright,,, ,Bob Fass Recordings and Papers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 , , , , ,1968: The Global Revolutions,Letter to Howard Whitmore, , , ,11908,filename,https://exhibitions-dev.library.columbia.edu/1968_234_01.jpg,original_format, ,Original filename: 1968_234_01.tif, , ,correspondence,Still Image, ,fast, ,"Rare Book & Manuscript Library, Columbia University",local,reformatted digital,Still Image,"March 20, 1967",In Copyright, , , ,Marshall Berman Papers, ,"Berman, Marshall, 1940-2013", , , , , ,holdings, ,"Box 24, Folder 30", , , ,English,iso639-2,,,,,,,,,,,,,,,,,,,,,,
 , , , , ,1968: The Global Revolutions,Things for Be-In (Mayday), , , ,11907,filename,https://exhibitions-dev.library.columbia.edu/1968_233_01.jpg,original_format, ,Original filename: 1968_233_01.tif, , ,correspondence,Still Image, ,fast, ,"Rare Book & Manuscript Library, Columbia University",local,reformatted digital,Still Image,"May 01, 1967",In Copyright, , , ,Marshall Berman Papers, ,"Berman, Marshall, 1940-2013", , , , , ,holdings, ,"Box 24, Folder 30", , , ,English,iso639-2,,,,,,,,,,,,,,,,,,,,,,
 , , , , ,1968: The Global Revolutions,Be-In and Nothingness, , , ,11906,filename,https://exhibitions-dev.library.columbia.edu/1968_232_01.jpg,original_format, ,"Original filename: 1968_232_01.tif|Cambridge, MA", , ,clippings,Still Image, ,fast, ,"Rare Book & Manuscript Library, Columbia University",local,reformatted digital,Still Image,"May 01, 1967",In Copyright, , , ,Marshall Berman Papers, ,"Lerner, Stephen D.", , , , , ,holdings, ,"Box 24, Folder 30", , , ,English,iso639-2,,,,,,,,,,,,,,,,,,,,,,
 , , , , ,1968: The Global Revolutions,Letter to Marshall Berman, , , ,11905,filename,https://exhibitions-dev.library.columbia.edu/1968_231_01.jpg,original_format, ,"Original filename: 1968_231_01.tif|Boston, MA", , ,correspondence,Still Image, ,fast, ,"Rare Book & Manuscript Library, Columbia University",local,reformatted digital,Still Image,"March 27, 1967",In Copyright, , , ,Marshall Berman Papers, ,"Whitmore, Howard, 1905-1998|Berman, Marshall, 1940-2013", , , , , ,holdings, ,"Box 24, Folder 30", , , ,English,iso639-2,,,,,,,,,,,,,,,,,,,,,,
 , , , , ,1968: The Global Revolutions,"Speech to the Emergency Civil Liberties Committee, p. 3", , , ,11904,filename,https://exhibitions-dev.library.columbia.edu/1968_230_03.jpg,original_format, ,Original filename: 1968_230_03.tif|Aeon Slip No.: 146481, , ,correspondence,Still Image, ,fast, ,"Rare Book & Manuscript Library, Columbia University",local,reformatted digital,Still Image,1963,In Copyright, , , ,National Emergency Civil Liberties Committee (U.S.) Records, ,"Dylan, Bob, 1941-", , , , , ,holdings, ,"Box 32, Folder F. Bob Dylan", , , ,English,iso639-2,,,,,,,,,,,,,,,,,,,,,,
 , , , , ,1968: The Global Revolutions,"Speech to the Emergency Civil Liberties Committee, p. 2", , , ,11903,filename,https://exhibitions-dev.library.columbia.edu/1968_230_02.jpg,original_format, ,Original filename: 1968_230_02.tif|Aeon Slip No.: 146481, , ,correspondence,Still Image, ,fast, ,"Rare Book & Manuscript Library, Columbia University",local,reformatted digital,Still Image,1963,In Copyright, , , ,National Emergency Civil Liberties Committee (U.S.) Records, ,"Dylan, Bob, 1941-", , , , , ,holdings, ,"Box 32, Folder F. Bob Dylan", , , ,English,iso639-2,,,,,,,,,,,,,,,,,,,,,,
 , , , , ,1968: The Global Revolutions,"Speech to the Emergency Civil Liberties Committee, p. 1", , , ,11902,filename,https://exhibitions-dev.library.columbia.edu/1968_230_01.jpg,original_format, ,Original filename: 1968_230_01.tif|Aeon Slip No.: 146481, , ,correspondence,Still Image, ,fast, ,"Rare Book & Manuscript Library, Columbia University",local,reformatted digital,Still Image,1963,In Copyright, , , ,National Emergency Civil Liberties Committee (U.S.) Records, ,"Dylan, Bob, 1941-", , , , , ,holdings, ,"Box 32, Folder F. Bob Dylan", , , ,English,iso639-2,,,,,,,,,,,,,,,,,,,,,,
 , , , , ,1968: The Global Revolutions,"Letter to the Emergency Civil Liberties Committee, p. 6", , , ,11901,filename,https://exhibitions-dev.library.columbia.edu/1968_229_06.jpg,original_format, ,Original filename: 1968_229_06.tif|Aeon Slip No.: 146474, , ,correspondence,Still Image, ,fast, ,"Rare Book & Manuscript Library, Columbia University",local,reformatted digital,Still Image,1963,In Copyright, , , ,National Emergency Civil Liberties Committee (U.S.) Records, ,"Dylan, Bob, 1941-", , , , , ,holdings, ,"Box 32, Folder F. Bob Dylan", , , ,English,iso639-2,,,,,,,,,,,,,,,,,,,,,,
 , , , , ,1968: The Global Revolutions,"Letter to the Emergency Civil Liberties Committee, p. 5", , , ,11900,filename,https://exhibitions-dev.library.columbia.edu/1968_229_05.jpg,original_format, ,Original filename: 1968_229_05.tif|Aeon Slip No.: 146474, , ,correspondence,Still Image, ,fast, ,"Rare Book & Manuscript Library, Columbia University",local,reformatted digital,Still Image,1963,In Copyright, , , ,National Emergency Civil Liberties Committee (U.S.) Records, ,"Dylan, Bob, 1941-", , , , , ,holdings, ,"Box 32, Folder F. Bob Dylan", , , ,English,iso639-2,,,,,,,,,,,,,,,,,,,,,,
 , , , , ,1968: The Global Revolutions,"Letter to the Emergency Civil Liberties Committee, p. 4", , , ,11899,filename,https://exhibitions-dev.library.columbia.edu/1968_229_04.jpg,original_format, ,Original filename: 1968_229_04.tif|Aeon Slip No.: 146474, , ,correspondence,Still Image, ,fast, ,"Rare Book & Manuscript Library, Columbia University",local,reformatted digital,Still Image,1963,In Copyright, , , ,National Emergency Civil Liberties Committee (U.S.) Records, ,"Dylan, Bob, 1941-", , , , , ,holdings, ,"Box 32, Folder F. Bob Dylan", , , ,English,iso639-2,,,,,,,,,,,,,,,,,,,,,,
 , , , , ,1968: The Global Revolutions,"Letter to the Emergency Civil Liberties Committee, p. 3", , , ,11898,filename,https://exhibitions-dev.library.columbia.edu/1968_229_03.jpg,original_format, ,Original filename: 1968_229_03.tif|Aeon Slip No.: 146474, , ,correspondence,Still Image, ,fast, ,"Rare Book & Manuscript Library, Columbia University",local,reformatted digital,Still Image,1963,In Copyright, , , ,National Emergency Civil Liberties Committee (U.S.) Records, ,"Dylan, Bob, 1941-", , , , , ,holdings, ,"Box 32, Folder F. Bob Dylan", , , ,English,iso639-2,,,,,,,,,,,,,,,,,,,,,,
 , , , , ,1968: The Global Revolutions,"Letter to the Emergency Civil Liberties Committee, p. 2", , , ,11897,filename,https://exhibitions-dev.library.columbia.edu/1968_229_02.jpg,original_format, ,Original filename: 1968_229_02.tif|Aeon Slip No.: 146474, , ,correspondence,Still Image, ,fast, ,"Rare Book & Manuscript Library, Columbia University",local,reformatted digital,Still Image,1963,In Copyright, , , ,National Emergency Civil Liberties Committee (U.S.) Records, ,"Dylan, Bob, 1941-", , , , , ,holdings, ,"Box 32, Folder F. Bob Dylan", , , ,English,iso639-2,,,,,,,,,,,,,,,,,,,,,,
 , , , , ,1968: The Global Revolutions,"Letter to the Emergency Civil Liberties Committee, p. 1", , , ,11896,filename,https://exhibitions-dev.library.columbia.edu/1968_229_01.jpg,original_format, ,Original filename: 1968_229_01.tif|Aeon Slip No.: 146474, , ,correspondence,Still Image, ,fast, ,"Rare Book & Manuscript Library, Columbia University",local,reformatted digital,Still Image,1963,In Copyright, , , ,National Emergency Civil Liberties Committee (U.S.) Records, ,"Dylan, Bob, 1941-", , , , , ,holdings, ,"Box 32, Folder F. Bob Dylan", , , ,English,iso639-2,,,,,,,,,,,,,,,,,,,,,,
 , , , , ,1968: The Global Revolutions,"Letter. Page 3, Recto", , , ,11895,filename,https://exhibitions-dev.library.columbia.edu/1968_228_01.jpg,original_format, ,Original filename: 1968_228_01.tif|Aeon Slip No.: 146478, , ,correspondence,Still Image, ,fast, ,"Rare Book & Manuscript Library, Columbia University",local,reformatted digital,Still Image,1963,In Copyright, , , ,National Emergency Civil Liberties Committee (U.S.) Records, ,"Seidel, Rhoda", , , , , ,holdings, ,"Box 32, Folder F. Bob Dylan", , , ,English,iso639-2,,"Hempstead, N.Y.", , , , ,"Dylan, Bob, 1941-", , , , , , , , , , , ,,,,
 , , , , ,1968: The Global Revolutions,Bob Dylan, , , ,11894,filename,https://exhibitions-dev.library.columbia.edu/1968_227_01.jpg,original_format, ,Original filename: 1968_227_01.tif|Aeon Slip No.: 146467, , ,photographs,Still Image, ,fast, ,"University Archives, Columbia University",local,reformatted digital,Still Image,1960s,In Copyright, , , ,Columbia Spectator Photograph Collection, ,Columbia University Spectator, , , , , ,holdings, ,"Box 6, Folder 33", , ,,,,,,,,,,,,,,,,,,,,,,,,,
 , , , , ,1968: The Global Revolutions,Nigeria, , , ,11893,filename,https://exhibitions-dev.library.columbia.edu/1968_226_01.jpg,original_format, ,Original filename: 1968_226_01.tif|Aeon Slip No.: 130352, , ,drawings,Still Image, ,fast, ,"Rare Book & Manuscript Library, Columbia University",local,reformatted digital,Still Image,"January 1, 1968",In Copyright, , , ,New Leader Records,,,,,,,,holdings, ,"Box 151, Folder 1", , ,,,,,,,,,,,,,,,,,,,,,,,,,
 , , , , ,1968: The Global Revolutions,Vive Patrice Emery Lumumba, , , ,11892,filename,https://exhibitions-dev.library.columbia.edu/1968_225_01.jpg,original_format, ,"Original filename: 1968_225_01.tif|Aeon Slip No.: 131682|Marseilles, France", , ,printed ephemera,Still Image, ,fast, ,"Rare Book & Manuscript Library, Columbia University",local,reformatted digital,Still Image,"January 18, 1969",In Copyright, , , ,European Protest and Activism Collection, ,Union générale des étudiants congolais, , , , , ,,,,,, ,French,iso639-2,,,,,,,,,,,,,,,,,,,,,,
 , , , , ,1968: The Global Revolutions,Lumumba Memorial Rally, , , ,11891,filename,https://exhibitions-dev.library.columbia.edu/1968_224_01.jpg,original_format, ,Original filename: 1968_224_01.tif|Aeon Slip No.: 130498, , ,printed ephemera,Still Image, ,fast, ,"University Archives, Columbia University",local,reformatted digital,Still Image,9/24/1968,In Copyright, , , ,University Protest and Activism Collection, ,Students for a Democratic Society (U.S.). Columbia University Chapter, , , , , ,holdings, ,"Box 39, Folder 1", , , ,English,iso639-2,,,,,,,,,,,,,,,,,,,,,,
 , , , , ,1968: The Global Revolutions,"A New Gay Survey, Cover Page", , , ,11890,filename,https://exhibitions-dev.library.columbia.edu/1968_223_01.jpg,original_format, ,Original filename: 1968_223_01.tif|Aeon Slip No.: 137204, , ,printed ephemera,Still Image, ,fast, ,"Rare Book & Manuscript Library, Columbia University",local,reformatted digital,Still Image,November 1974,In Copyright, , , ,Rick X Shur Papers, ,Gay People at Columbia-Barnard, , , , , ,holdings, ,Box 60s Files, , , ,English,iso639-2,https://exhibitions.library.columbia.edu/exhibits/show/global-revolutions/new-movements-rise/christopher-street-liberation-/columbia-gay-liberation,,,,,,,,,,,,,,,,,,,,,
 , , , , ,1968: The Global Revolutions,Student Homophile League on Strike, , , ,11889,filename,https://exhibitions-dev.library.columbia.edu/1968_222_01.jpg,original_format, ,Original filename: 1968_222_01.tif|Aeon Slip No.: 134847, , ,photographs,Still Image, ,fast, ,"University Archives, Columbia University",local,reformatted digital,Still Image,"March 25, 1969",In Copyright, , , ,University Protest and Activism Collection, ,Columbia University, , , , , ,holdings, ,"Box 72, Folder 33", , ,,,,https://exhibitions.library.columbia.edu/exhibits/show/global-revolutions/new-movements-rise/christopher-street-liberation-/columbia-gay-liberation,,,,,,,,,,,,,,,,,,,,,
 , , , , ,1968: The Global Revolutions,SHL #38 What is Selective Service Policy on Homosexuality? , , , ,11888,filename,https://exhibitions-dev.library.columbia.edu/1968_221_01.jpg,original_format, ,Original filename: 1968_221_01.tif|Aeon Slip No.: 134849, , ,printed ephemera,Still Image, ,fast, ,"University Archives, Columbia University",local,reformatted digital,Still Image,"November 29, 1967",In Copyright, , , ,University Protest and Activism Collection, ,Student Homophile League, , , , , ,holdings, ,"Box 72, Folder 6", , , ,English,iso639-2,https://exhibitions.library.columbia.edu/exhibits/show/global-revolutions/new-movements-rise/christopher-street-liberation-/columbia-gay-liberation,, , , , ,Homosexuality, , , , , , , , , , , ,,,,
 , , , , ,1968: The Global Revolutions,Christopher Street Liberation Day, , , ,11887,filename,https://exhibitions-dev.library.columbia.edu/1968_220_01.jpg,original_format, ,Original filename: 1968_220_01.tif|Aeon Slip No.: 127035, , ,posters,Still Image, ,fast, ,"Rare Book & Manuscript Library, Columbia University",local,reformatted digital,Still Image,"June 28, 1970",In Copyright, , , ,Robert L. Wilbur Papers,,,,,,,,holdings, ,Box F. Gay Liberation, , ,,,,https://exhibitions.library.columbia.edu/exhibits/show/global-revolutions/new-movements-rise/christopher-street-liberation-,,,,,,,,,,,,,,,,,,,,,
 , , , , ,1968: The Global Revolutions,"You can Make Earth Day (April 22nd) the Beginning of the End of Pollution, Verso", , , ,11886,filename,https://exhibitions-dev.library.columbia.edu/1968_219_02.jpg,original_format, ,Original filename: 1968_219_02.tif|Aeon Slip No.: 130558, , ,printed ephemera,Still Image, ,fast, ,"University Archives, Columbia University",local,reformatted digital,Still Image,"April 22, 1970",In Copyright, , , ,University Protest and Activism Collection, ,Environmental Action Coalition, , , , , ,holdings, ,"Box 7, Folder 24", , , ,English,iso639-2,https://exhibitions.library.columbia.edu/exhibits/show/global-revolutions/new-movements-rise/earth-day-and-environmentalism,,,,,,,,,,,,,,,,,,,,,
 , , , , ,1968: The Global Revolutions,"You can Make Earth Day (April 22nd) the Beginning of the End of Pollution, Recto", , , ,11885,filename,https://exhibitions-dev.library.columbia.edu/1968_219_01.jpg,original_format, ,Original filename: 1968_219_01.tif|Aeon Slip No.: 130558, , ,printed ephemera,Still Image, ,fast, ,"University Archives, Columbia University",local,reformatted digital,Still Image,"April 22, 1970",In Copyright, , , ,University Protest and Activism Collection, ,Environmental Action Coalition, , , , , ,holdings, ,"Box 7, Folder 24", , , ,English,iso639-2,https://exhibitions.library.columbia.edu/exhibits/show/global-revolutions/new-movements-rise/earth-day-and-environmentalism,,,,,,,,,,,,,,,,,,,,,
 , , , , ,1968: The Global Revolutions,"Don't Leave it All to the Experts: The Citizen's Role in Environmental Decision Making, P. 2-3 ""The New Revolution""", , , ,11884,filename,https://exhibitions-dev.library.columbia.edu/1968_218_02.jpg,original_format, ,Original filename: 1968_218_02.tif|Aeon Slip No.: 133428, , ,pamphlets,Still Image, ,fast, ,"Rare Book & Manuscript Library, Columbia University",local,reformatted digital,Still Image,November 1972,In Copyright, , , ,Citizens Committee for the Protection of the Environment Records, ,United States. Environmental Protection Agency, , , , , ,holdings, ,Box 21, , , ,English,iso639-2,,,,,,,,,,,,,,,,,,,,,,
 , , , , ,1968: The Global Revolutions,"Don't Leave it All to the Experts: The Citizen's Role in Environmental Decision Making, Front Cover", , , ,11883,filename,https://exhibitions-dev.library.columbia.edu/1968_218_01.jpg,original_format, ,Original filename: 1968_218_01.tif|Aeon Slip No.: 133428, , ,pamphlets,Still Image, ,fast, ,"Rare Book & Manuscript Library, Columbia University",local,reformatted digital,Still Image,November 1972,In Copyright, , , ,Citizens Committee for the Protection of the Environment Records, ,United States. Environmental Protection Agency, , , , , ,holdings, ,Box 21, , , ,English,iso639-2,,,,,,,,,,,,,,,,,,,,,,
 , , , , ,1968: The Global Revolutions,Recycle, , , ,11882,filename,https://exhibitions-dev.library.columbia.edu/1968_217_01.jpg,original_format, ,Original filename: 1968_217_01.tif|Aeon Slip No.: 127072, , ,posters,Still Image, ,fast, ,"Rare Book & Manuscript Library, Columbia University",local,reformatted digital,Still Image,1970s,In Copyright, , , ,Robert L. Wilbur Papers, ,Village Green Recycling Team inc., , , , , ,holdings, ,Box F. Environment, , , ,English,iso639-2,https://exhibitions.library.columbia.edu/exhibits/show/global-revolutions/new-movements-rise/green-grassroots,,,,,,,,,,,,,,,,,,,,,
 , , , , ,1968: The Global Revolutions,"Come to ""Earthworks"" An Environmental Fair", , , ,11881,filename,https://exhibitions-dev.library.columbia.edu/1968_216_01.jpg,original_format, ,Original filename: 1968_216_01.tif|Aeon Slip No.: 127069, , ,posters,Still Image, ,fast, ,"Rare Book & Manuscript Library, Columbia University",local,reformatted digital,Still Image,4/18/1971,In Copyright, , , ,Robert L. Wilbur Papers, ,Citizens for a Better New York, , , , , ,holdings, ,Box F. Environment, , , ,English,iso639-2,https://exhibitions.library.columbia.edu/exhibits/show/global-revolutions/new-movements-rise/green-grassroots,,,,,,,,,,,,,,,,,,,,,
 , , , , ,1968: The Global Revolutions,National ERA March '78, , , ,11880,filename,https://exhibitions-dev.library.columbia.edu/1968_215_01.jpg,original_format, ,Original filename: 1968_215_01.tif|Aeon Slip No.: 134501, , ,objects,Still Image, ,fast, ,"Rare Book & Manuscript Library, Columbia University",local,reformatted digital,Still Image,1978,In Copyright, , , ,Max J. and Ruth Clement Bond Papers,,,,,,,,holdings, ,"Box 34, Folder 2", , ,,,,https://exhibitions.library.columbia.edu/exhibits/show/global-revolutions/new-movements-rise/the-battle-over-the-equal-righ,,,,,,,,,,,,,,,,,,,,,
 , , , , ,1968: The Global Revolutions,"The Matriarchist, Vol. 1, Issue 3, Front Cover", , , ,11879,filename,https://exhibitions-dev.library.columbia.edu/1968_214_01.jpg,original_format, ,Original filename: 1968_214_01.tif|Aeon Slip No.: 133399, , ,periodicals,Still Image, ,fast, ,"Rare Book & Manuscript Library, Columbia University",local,reformatted digital,Still Image,1978,In Copyright, , , ,Citizens Committee for the Protection of the Environment Records, ,Foundation for Matriarchy, , , , , ,holdings, ,"Box 7, Folder Women", , , ,English,iso639-2,https://exhibitions.library.columbia.edu/exhibits/show/global-revolutions/new-movements-rise/the-battle-over-the-equal-righ,"Brooklyn, NY",,,,,,,,,,,,,,,,,,,,
 , , , , ,1968: The Global Revolutions,"Don't Let ""ERA"" Give the Feds More Power. Verso", , , ,11878,filename,https://exhibitions-dev.library.columbia.edu/1968_213_02.jpg,original_format, ,Original filename: 1968_213_02.tif|Aeon Slip No.: 134357, , ,printed ephemera,Still Image, ,fast, ,"Rare Book & Manuscript Library, Columbia University",local,reformatted digital,Still Image,May 1978,In Copyright, , , ,"Group Research, Inc. Records", ,Stop ERA PAC, , , , , ,holdings, ,"Box 120, Folder Equal Rights for Women", , , ,English,iso639-2,https://exhibitions.library.columbia.edu/exhibits/show/global-revolutions/new-movements-rise/the-battle-over-the-equal-righ,,,,,,,,,,,,,,,,,,,,,
 , , , , ,1968: The Global Revolutions,"Don't Let ""ERA"" Give the Feds More Power. Recto", , , ,11877,filename,https://exhibitions-dev.library.columbia.edu/1968_213_01.jpg,original_format, ,Original filename: 1968_213_01.tif|Aeon Slip No.: 134357, , ,printed ephemera,Still Image, ,fast, ,"Rare Book & Manuscript Library, Columbia University",local,reformatted digital,Still Image,May 1978,In Copyright, , , ,"Group Research, Inc. Records", ,Stop ERA PAC, , , , , ,holdings, ,"Box 120, Folder Equal Rights for Women", , , ,English,iso639-2,https://exhibitions.library.columbia.edu/exhibits/show/global-revolutions/new-movements-rise/the-battle-over-the-equal-righ,,,,,,,,,,,,,,,,,,,,,
 , , , , ,1968: The Global Revolutions,"Join the American Party and Help Kick the Rascals Out!, Verso", , , ,11876,filename,https://exhibitions-dev.library.columbia.edu/1968_212_02.jpg,original_format, ,Original filename: 1968_212_02.tif|Aeon Slip No.: 134356, , ,printed ephemera,Still Image, ,fast, ,"Rare Book & Manuscript Library, Columbia University",local,reformatted digital,Still Image,"August 16, 1976",In Copyright, , , ,"Group Research, Inc. Records", ,National Federation of American Party Women, , , , , ,holdings, ,"Box 120, Folder Equal Rights for Women", , , ,English,iso639-2,https://exhibitions.library.columbia.edu/exhibits/show/global-revolutions/new-movements-rise/the-battle-over-the-equal-righ,, , , , ,American Party (1969- ), , , , , , , , , , , ,,,,
 , , , , ,1968: The Global Revolutions,"Join the American Party and Help Kick the Rascals Out!, Recto", , , ,11875,filename,https://exhibitions-dev.library.columbia.edu/1968_212_01.jpg,original_format, ,Original filename: 1968_212_01.tif|Aeon Slip No.: 134356, , ,printed ephemera,Still Image, ,fast, ,"Rare Book & Manuscript Library, Columbia University",local,reformatted digital,Still Image,"August 16, 1976",In Copyright, , , ,"Group Research, Inc. Records", ,National Federation of American Party Women, , , , , ,holdings, ,"Box 120, Folder Equal Rights for Women", , , ,English,iso639-2,https://exhibitions.library.columbia.edu/exhibits/show/global-revolutions/new-movements-rise/the-battle-over-the-equal-righ,, , , , ,American Party (1969- ), , , , , , , , , , , ,,,,
 , , , , ,1968: The Global Revolutions,Black Nationalism and Feminism Poster, , , ,11874,filename,https://exhibitions-dev.library.columbia.edu/1968_211_01.jpg,original_format, ,Original filename: 1968_211_01.tif|Aeon Slip No.: 133528, , ,printed ephemera,Still Image, ,fast, ,"University Archives, Columbia University",local,reformatted digital,Still Image,"February 5, 1969",In Copyright, , , ,University Protest and Activism Collection, ,Militant Labor Forum, , , , , ,holdings, ,"Box 8, Folder 6", , , ,English,iso639-2,https://exhibitions.library.columbia.edu/exhibits/show/global-revolutions/new-movements-rise/international-women-s-day,"New York City, NY", , , , ,Black nationalism|Feminism, , , , , , , , , , , ,,,,
 , , , , ,1968: The Global Revolutions,Le Torchon brûle. Back Page, , , ,11873,filename,https://exhibitions-dev.library.columbia.edu/1968_210_02.jpg,original_format, ,Original filename: 1968_210_02.tif, , ,periodicals,Still Image, ,fast, ,"Rare Book & Manuscript Library, Columbia University",local,reformatted digital,Still Image,1971,In Copyright, , ,,, ,Mouvement de libération des femmes (France), , , , , ,,,,,, ,French,iso639-2,https://exhibitions.library.columbia.edu/exhibits/show/global-revolutions/new-movements-rise/international-women-s-day,"Paris, France",,,,,,,,,,,,,,,,,,,,
 , , , , ,1968: The Global Revolutions,Le Torchon brûle. Front Cover, , , ,11872,filename,https://exhibitions-dev.library.columbia.edu/1968_210_01.jpg,original_format, ,Original filename: 1968_210_01.tif, , ,periodicals,Still Image, ,fast, ,"Rare Book & Manuscript Library, Columbia University",local,reformatted digital,Still Image,1971,In Copyright, , ,,, ,Mouvement de libération des femmes (France), , , , , ,,,,,, ,French,iso639-2,https://exhibitions.library.columbia.edu/exhibits/show/global-revolutions/new-movements-rise/international-women-s-day,"Paris, France",,,,,,,,,,,,,,,,,,,,
 , , , , ,1968: The Global Revolutions,International Women's Day Poster 1974, , , ,11871,filename,https://exhibitions-dev.library.columbia.edu/1968_209_01.jpg,original_format, ,Original filename: 1968_209_01.tif|Aeon Slip No.: 133527, , ,posters,Still Image, ,fast, ,"University Archives, Columbia University",local,reformatted digital,Still Image,"March 09, 1974",In Copyright, , , ,University Protest and Activism Collection,,,,,,,,holdings, ,"Box 8, Folder 6", , ,,,,https://exhibitions.library.columbia.edu/exhibits/show/global-revolutions/new-movements-rise/international-women-s-day,"New York City, NY",,,,,,,,,,,,,,,,,,,,
 , , , , ,1968: The Global Revolutions,"Prairie Fire: The Politics of Revolutionary Anti-Imperialism (Underground Edition), Cover", , , ,11870,filename,https://exhibitions-dev.library.columbia.edu/1968_208_01.jpg,original_format, ,Original filename: 1968_208_01.tif|Aeon Slip No.: 137203|Courtesy of Jeffrey Jones, , ,books,Still Image, ,fast, ,Private Collection,local,reformatted digital,Still Image,1974,In Copyright, , ,,, ,Weather Underground Organization, , , , , ,,,,,, ,English,iso639-2,https://exhibitions.library.columbia.edu/exhibits/show/global-revolutions/under-pressure/you-don-t-need-a-weatherman,,,,,,,,,,,,,,,,,,,,,
 , , , , ,1968: The Global Revolutions,"Prairie Fire: The Politics of Revolutionary Anti-Imperialism, Cover", , , ,11869,filename,https://exhibitions-dev.library.columbia.edu/1968_207_01.jpg,original_format, ,Original filename: 1968_207_01.tif|Aeon Slip No.: 137203|Courtesy of Jeffrey Jones, , ,books,Still Image, ,fast, ,Private Collection,local,reformatted digital,Still Image,1974,In Copyright, , ,,, ,Weather Underground Organization, , , , , ,,,,,, ,English,iso639-2,https://exhibitions.library.columbia.edu/exhibits/show/global-revolutions/under-pressure/you-don-t-need-a-weatherman,,,,,,,,,,,,,,,,,,,,,
 , , , , ,1968: The Global Revolutions,"The Weather Underground: Report of the Subcommittee to Investigate the Administration of the Internal Security Act and Other Internal Security Laws, p.44-45", , , ,11868,filename,https://exhibitions-dev.library.columbia.edu/1968_206_03.jpg,original_format, ,Original filename: 1968_206_03.tif|Aeon Slip No.: 137202|Courtesy of Jeffrey Jones, , ,books,Still Image, ,fast, ,Private Collection,local,reformatted digital,Still Image,January 1975,In Copyright, , ,,, ,United States. Congress. Senate. Committee on the Judiciary, , , , , ,,,,,, ,English,iso639-2,https://exhibitions.library.columbia.edu/exhibits/show/global-revolutions/under-pressure/you-don-t-need-a-weatherman,,,,,,,,,,,,,,,,,,,,,
