_pid,partName,projectURL,_identifiers-1,_project.string_key,relatedItem_project,title-1:title_sort_portion,_digital_object_type.string_key,title-1:title_non_sort_portion,_parent_digital_objects-1.identifier,omeka_identifier-1:omeka_identifier_value,note-2:note_type,note-2:note_value,note-3:note_type,note-1:note_type,note-1:note_value,form-2:form_term.uri,genre-1:genre_term.uri,form-2:form_term.value,genre-1:genre_term.value,location-1:location_term.uri,genre-1:genre_term.authority,location-1:location_term.code,location-1:location_term.value,location-1:location_term.authority,digital_origin-1:digital_origin_value,type_of_resource-1:type_of_resource_value,date_created_textual-1:date_created_textual_value,use_and_reproduction-1:use_and_reproduction_value,date_created-1:date_created_end_value,date_created-1:date_created_start_value,collection-1:collection_term.uri,collection-1:collection_term.value,name-1:name_term.uri,name-1:name_term.value,name-1:name_term.authority,name-1:name_term.name_type,name-1:name_role-1.name_role_term.uri,name-1:name_role-1.name_role_term.value,name-1:name_role-1.name_role_term.authority,note-5:note_type,note-5:note_value,location-1:location_shelf_location-1.location_shelf_location_free_text,location-1:location_shelf_location-1.location_shelf_location_box_number,location-1:location_shelf_location-1.location_shelf_location_folder_number,language-1:language_term.uri,language-1:language_term.value,language-1:language_term.authority,object_in_context_url-1:object_in_context_url_value,place_of_origin-1:place_of_origin_value,subject_name-1:subject_name_term.uri,subject_title-1:subject_title_term.uri,subject_topic-1:subject_topic_term.uri,subject_name-1:subject_name_term.value,subject_topic-1:subject_topic_term.value,subject_title-1:subject_title_term.value,subject_name-1:subject_name_term.name_type,subject_name-1:subject_name_term.authority,subject_topic-1:subject_topic_term.authority,subject_title-1:subject_title_term.authority,subject_hierarchical_geographic-1:subject_hierarchical_geographic_city_text_value,subject_hierarchical_geographic-1:subject_hierarchical_geographic_state_text_value,subject_hierarchical_geographic-1:subject_hierarchical_geographic_county_text_value,subject_hierarchical_geographic-1:subject_hierarchical_geographic_borough_text_value,subject_hierarchical_geographic-1:subject_hierarchical_geographic_province_text_value,subject_hierarchical_geographic-1:subject_hierarchical_geographic_street-1.subject_hierarchical_geographic_street_value,date_created-1:date_created_type,subject_topic-2:subject_topic_term.uri,subject_topic-2:subject_topic_term.value,subject_topic-2:subject_topic_term.authority
 , , , , ,1968: The Global Revolutions,"The Feminine Mystique, Cover Jacket", , , ,11599,filename,https://exhibitions-dev.library.columbia.edu/1968_041_01.jpg,original_format, ,Original filename: 1968_041_01.tif|Aeon Slip No.: 130193, , ,books,Still Image, ,fast, ,"Rare Book & Manuscript Library, Columbia University",local,reformatted digital,Still Image,1963,In Copyright, , ,,, ,"Friedan, Betty|Beals, Burton", , , , , ,holdings, ,HQ1420 .F7, , , ,English,iso639-2,https://exhibitions.library.columbia.edu/exhibits/show/global-revolutions/women---s-liberation-----siste/the-feminine-mystique,,,,,,,,,,,,,,,,,,,,,
 , , , , ,1968: The Global Revolutions,Notes from Jail After Chase Bank Demonstration. Verso, , , ,11598,filename,https://exhibitions-dev.library.columbia.edu/1968_040_02.jpg,original_format, ,Original filename: 1968_040_02.tif|Aeon Slip No.: 170468, , ,correspondence,Still Image, ,fast, ,"Rare Book & Manuscript Library, Columbia University",local,reformatted digital,Still Image,1965,In Copyright, , , ,Todd Gitlin Papers, ,"Gitlin, Todd", , , , , ,holdings, ,Box 12, , , ,English,iso639-2,https://exhibitions.library.columbia.edu/exhibits/show/global-revolutions/student_movement/chase_manhattan,,,,,,,,,,,,,,,,,,,,,
 , , , , ,1968: The Global Revolutions,Notes from Jail After Chase Bank Demonstration. Recto, , , ,11597,filename,https://exhibitions-dev.library.columbia.edu/1968_040_01.jpg,original_format, ,Original filename: 1968_040_01.tif|Aeon Slip No.: 170468, , ,correspondence,Still Image, ,fast, ,"Rare Book & Manuscript Library, Columbia University",local,reformatted digital,Still Image,1965,In Copyright, , , ,Todd Gitlin Papers, ,"Gitlin, Todd", , , , , ,holdings, ,Box 12, , , ,English,iso639-2,https://exhibitions.library.columbia.edu/exhibits/show/global-revolutions/student_movement/chase_manhattan,,,,,,,,,,,,,,,,,,,,,
 , , , , ,1968: The Global Revolutions,"South Africa: The Meaning of Apartheid, Back Cover", , , ,11596,filename,https://exhibitions-dev.library.columbia.edu/1968_039_02.jpg,original_format, ,Original filename: 1968_039_02.tif|Aeon Slip No.: 170467, , ,printed ephemera,Still Image, ,fast, ,"Rare Book & Manuscript Library, Columbia University",local,reformatted digital,Still Image,1965,In Copyright, , , ,Todd Gitlin Papers, ,"Laufer, Bob", , , , , ,holdings, ,Box 12, , , ,English,iso639-2,https://exhibitions.library.columbia.edu/exhibits/show/global-revolutions/student_movement/chase_manhattan,,,,,,,,,,,,,,,,,,,,,
 , , , , ,1968: The Global Revolutions,"South Africa: The Meaning of Apartheid, Front Cover", , , ,11595,filename,https://exhibitions-dev.library.columbia.edu/1968_039_01.jpg,original_format, ,Original filename: 1968_039_01.tif|Aeon Slip No.: 170467, , ,printed ephemera,Still Image, ,fast, ,"Rare Book & Manuscript Library, Columbia University",local,reformatted digital,Still Image,1965,In Copyright, , , ,Todd Gitlin Papers, ,"Laufer, Bob", , , , , ,holdings, ,Box 12, , , ,English,iso639-2,https://exhibitions.library.columbia.edu/exhibits/show/global-revolutions/student_movement/chase_manhattan,,,,,,,,,,,,,,,,,,,,,
 , , , , ,1968: The Global Revolutions,Strike a Blow for Freedom! Chase Bank Demonstration Poster, , , ,11594,filename,https://exhibitions-dev.library.columbia.edu/1968_038_01.jpg,original_format, ,Original filename: 1968_038_01.tif|Aeon Slip No.: 170466, , ,printed ephemera,Still Image, ,fast, ,"Rare Book & Manuscript Library, Columbia University",local,reformatted digital,Still Image,"March 19, 1965",In Copyright, , , ,Todd Gitlin Papers, ,Students for a Democratic Society (U.S.), , , , , ,holdings, ,Box 12, , , ,English,iso639-2,https://exhibitions.library.columbia.edu/exhibits/show/global-revolutions/student_movement/chase_manhattan,,,,,,,,,,,,,,,,,,,,,
 , , , , ,1968: The Global Revolutions,"SDS Regional Newsletter Vol. 1, No. 7, Cover", , , ,11593,filename,https://exhibitions-dev.library.columbia.edu/1968_037_01.jpg,original_format, ,Original filename: 1968_037_01.tif|Aeon Slip No.: 133538, , ,periodicals,Still Image, ,fast, ,"Rare Book & Manuscript Library, Columbia University",local,reformatted digital,Still Image,"Feb. 22, 1966",In Copyright, , , ,Todd Gitlin Papers, ,Students for a Democratic Society (U.S.). San Francisco Regional Office, , , , , ,holdings, ,"Box 4, Folder SDS Newsletters", , , ,English,iso639-2,https://exhibitions.library.columbia.edu/exhibits/show/global-revolutions/student_movement/chase_manhattan,,,,,,,,,,,,,,,,,,,,,
 , , , , ,1968: The Global Revolutions,"Text of Speech by Paul Potter, President of Students for a Democratic Society. March on Washington, April 17, 1965. Page 4", , , ,11592,filename,https://exhibitions-dev.library.columbia.edu/1968_036_04.jpg,original_format, ,Original filename: 1968_036_04.tif|Aeon Slip No.: 133543, , ,transcripts,Still Image, ,fast, ,"Rare Book & Manuscript Library, Columbia University",local,reformatted digital,Still Image,1965,In Copyright, , , ,Todd Gitlin Papers, ,"Potter, Paul", , , , , ,holdings, ,"Box 4, Folder SDS Conventions and Events", , , ,English,iso639-2,,, , , , ,Students for a Democratic Society (U.S.), , , , , , , , , , , ,,,,
 , , , , ,1968: The Global Revolutions,"Text of Speech by Paul Potter, President of Students for a Democratic Society. March on Washington, April 17, 1965. Page 3", , , ,11591,filename,https://exhibitions-dev.library.columbia.edu/1968_036_03.jpg,original_format, ,Original filename: 1968_036_03.tif|Aeon Slip No.: 133543, , ,transcripts,Still Image, ,fast, ,"Rare Book & Manuscript Library, Columbia University",local,reformatted digital,Still Image,1965,In Copyright, , , ,Todd Gitlin Papers, ,"Potter, Paul", , , , , ,holdings, ,"Box 4, Folder SDS Conventions and Events", , , ,English,iso639-2,,, , , , ,Students for a Democratic Society (U.S.), , , , , , , , , , , ,,,,
 , , , , ,1968: The Global Revolutions,"Text of Speech by Paul Potter, President of Students for a Democratic Society. March on Washington, April 17, 1965. Page 2", , , ,11590,filename,https://exhibitions-dev.library.columbia.edu/1968_036_02.jpg,original_format, ,Original filename: 1968_036_02.tif|Aeon Slip No.: 133543, , ,transcripts,Still Image, ,fast, ,"Rare Book & Manuscript Library, Columbia University",local,reformatted digital,Still Image,1965,In Copyright, , , ,Todd Gitlin Papers, ,"Potter, Paul", , , , , ,holdings, ,"Box 4, Folder SDS Conventions and Events", , , ,English,iso639-2,,, , , , ,Students for a Democratic Society (U.S.), , , , , , , , , , , ,,,,
