_identifiers-1,collection-1:collection_term.value,collection-1:collection_term.uri,_project.string_key,_parent_digital_objects-1.identifier,_digital_object_type.string_key,omeka_identifier-1:omeka_identifier_value,name-1:name_term.value,name-1:name_term.name_type,name-1:name_role-1:name_role_term.authority,name-1:name_role-1:name_role_term.uri,name-1:name_role-1:name_role_term.value,name-1:name_role-2:name_role_term.authority,name-1:name_role-2:name_role_term.uri,name-1:name_role-2:name_role_term.value,name-1:name_term.authority,name_primary_authority_identifier,name-2:name_term.value,name-2:name_type,name-2:name_role-1:name_role_term.authority,name-2:name_role-1:name_role_term.uri,name-2:name_role-1:name_role_term.value,name-2:name_role-2:name_role_term.authority,name-2:name_role-2:name_role_term.uri,name-2:name_role-2:name_role_term.value,name-2:name_term.authority,name-2:name_term.uri,name-3:name_term.value,name-3:name_type,name-3:name_role-1:name_role_term.authority,name-3:name_role-1:name_role_term.uri,name-3:name_role-1:name_role_term.value,name-3:name_term.authority,name-3:name_term.uri,name-4:name_term.value,name-4:name_type,name-4:name_role-1:name_role_term.authority,name-4:name_role-1:name_role_term.uri,name-4:name_role-1:name_role_term.value,name-4:name_term.authority,name-4:name_term.uri,name-5:name_term.value,name-5:name_type,name-5:name_role-1:name_role_term.authority,name-5:name_role-1:name_role_term.uri,name-5:name_role-1:name_role_term.value,name-5:name_term.authority,name-5:name_term.uri,date_created-1:date_created_start_value,date_created-1:date_created_end_value,date_created-1:date_created_type,date_created_textual-1:date_created_textual_value,abstract-1:abstract_value,location-1:location_term.code,location-1:location_term.authority,location-1:location_term.uri,location-1:location_term.value,1:location_shelf_location_free_text,location-1:location_shelf_location-1:location_shelf_location_box_number,digital_origin-1:digital_origin_value,clio_identifier-1:clio_identifier_value,object_in_context_url-1:object_in_context_url_value,note-3:note_value,note-3:note_type,note-2:note_value,note-2:note_type,language-1:language_term.value,language-1:language_term.authority,language-1:language_term.uri,language-2:language_term.value,language-2:language_term.authority,language-2:language_term.uri,language-3:language_term.value,language-3:language_term.authority,language-3:language_term.uri,note-1:note_value,form-1:form_term.value,form-1:form_term.authority,form-1:form_term.uri,form-2:form_term.value,form-2:form_term.authority,form-2:form_term.uri,note-4:note_value,note-4:note_type,genre-1:genre_term.value,genre-1:genre_term.authority,genre-1:genre_term.uri,type_of_resource-1:type_of_resource_value,Column,Column2,place_of_origin-1:place_of_origin_value,publisher-1:publisher_value,note-5:note_value,note-5:note_type,subject_topic-1:subject_topic_term.value,subject_topic-1:subject_topic_term.authority,subject_topic-1:subject_topic_term.uri,subject_topic-2:subject_topic_term.value,subject_topic-2:subject_topic_term.authority,subject_topic-2:subject_topic_term.uri,subject_name-1:subject_name_term.value,subject_name-1:subject_name_term.name_type,subject_name-1:subject_name_term.authority,subject_name-1:subject_name_term.uri,subject_title-1:subject_title_term.value,subject_title-1:subject_title_term.authority,subject_title-1:subject_title_term.uri,subject_geographic-1:subject_geographic_term.value,subject_geographic-1:subject_geographic_term.authority,subject_geographic-1:subject_geographic_term.uri,title-1:title_non_sort_portion,title-1:title_sort_portion
corecurriculumcc_lwm_002,,,core_curriculum_cc,corecurriculumcc_lwm,asset,omeka_6194,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://exhibitions.cul.columbia.edu/exhibits/show/cc/hobbes/leviathan,110119003.tif,filename,110119003.jpg,filename,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Title Page
corecurriculumcc_gba,Book Arts Collection,http://id.library.columbia.edu/term/67352f9a-3ebe-40ff-a87c-717b2b82bd5d,core_curriculum_cc,,item,,"Cobden-Sanderson, T. J. (Thomas James), 1840-1922",personal,marcrelator,http://id.loc.gov/vocabulary/relators/prt,Printer,,,,naf,http://id.loc.gov/authorities/names/n50036057,"Walker, Emery, 1851-1933",personal,marcrelator,http://id.loc.gov/vocabulary/relators/prt,Printer,,,,naf,http://id.loc.gov/authorities/names/n50024587,"Scrivener, Frederick Henry Ambrose, 1813-1891",personal,marcrelator,http://id.loc.gov/vocabulary/relators/edt,Editor,naf,http://id.loc.gov/authorities/names/n85239684,Doves Press,corporate,marcrelator,http://id.loc.gov/vocabulary/relators/pbl,Publisher,naf,http://id.loc.gov/authorities/names/n50075767,,,,,,,,1903,1905,,1903-1905,The text of this Bible was taken from the late Dr. Scrivener,NNC-RB,marcorg,http://id.loc.gov/authorities/names/n78009986,"Rare Book and Manuscript Library, Columbia University",BOOKART 017.En2 D75 1903B copy 1,,reformatted digital,7477460.0,,,,,,English,iso639-2,http://id.loc.gov/vocabulary/iso639-2/eng,,,,,,,,books,aat,http://vocab.getty.edu/aat/300028051,,,,,,,,,text,Core Curriculum: Contemporary Civilization,http://www.columbia.edu/cgi-bin/cul/resolve?clio9124743,"Hammersmith (London, England)",Doves Press,,,God (Christianity),fast,http://id.worldcat.org/fast/1734549,,,,,,,,,,,,,,The,English Bible : containing the Old Testament & the New.
corecurriculumcc_gba_001,,,core_curriculum_cc,corecurriculumcc_gba,asset,omeka_6219,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,110119028.tif,filename,110119028.jpg,filename,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Front Cover
corecurriculumcc_ghr,,,core_curriculum_cc,,item,,"Darwin, Charles, 1809-1882",personal,marcrelator,http://id.loc.gov/vocabulary/relators/aut,Author,,,,naf,http://id.loc.gov/authorities/names/n78095637,D. Appleton and Company,corporate,marcrelator,http://id.loc.gov/vocabulary/relators/pbl,Publisher,,,,naf,http://id.loc.gov/authorities/names/n81038527,,,,,,,,,,,,,,,,,,,,,,1860 ,,,1860,,NNC-RB,marcorg,http://id.loc.gov/authorities/names/n78009986,"Rare Book and Manuscript Library, Columbia University",QH365. O2 1860a,,reformatted digital,100456,,,,,,English,iso639-2,http://id.loc.gov/vocabulary/iso639-2/eng,,,,,,,,books,aat,http://vocab.getty.edu/aat/300028051,,,,,,,,,text,Core Curriculum: Contemporary Civilization,http://www.columbia.edu/cgi-bin/cul/resolve?clio9124743,New York (N.Y.),D. Appleton & Company,,,Evolution (Biology),fast,http://id.worldcat.org/fast/917302,,,,,,,,,,,,,,,"On the origin of species by means of natural selection, or The preservation of favoured races in the struggle for life."
corecurriculumcc_ghr_001,,,core_curriculum_cc,corecurriculumcc_ghr,asset,omeka_6210,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://exhibitions.cul.columbia.edu/exhibits/show/cc/darwin/originofspecies,110119019.tif,filename,110119019.jpg,filename,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Title Page
corecurriculumcc_gos,,,core_curriculum_cc,,item,,"Freud, Sigmund, 1856-1939",personal,marcrelator,http://id.loc.gov/vocabulary/relators/aut,Author,,,,naf,http://id.loc.gov/authorities/names/n79043849,"Ferenczi, Sándor, 1873-1933",personal,marcrelator,http://id.loc.gov/vocabulary/relators/fmo,Former owner,,,,naf,http://id.loc.gov/authorities/names/n50026901,,,,,,,,,,,,,,,,,,,,,,1912,1913,approximate,circa 1912-1913,"Manuscript of Totem und Tabu, Essay II, Section 3, which Freud gave to his disciple, Sandor Ferenczi.",NNC-RB,marcorg,http://id.loc.gov/authorities/names/n78009986,"Rare Book and Manuscript Library, Columbia University",,,reformatted digital,,,,,,,German,iso639-2,http://id.loc.gov/vocabulary/iso639-2/ger,,,,,,,,manuscripts,lcsh,http://id.loc.gov/authorities/subjects/sh85080672,,,,,,,,,text,Core Curriculum: Contemporary Civilization,http://www.columbia.edu/cgi-bin/cul/resolve?clio9124743,Vienna (Austria),,,,Psychoanalysis,fast,http://id.worldcat.org/fast/1081235,Ethnology,fast,http://id.worldcat.org/fast/916106,,,,,,,,,,,,Totem und Tabu
corecurriculumcc_gos_001,,,core_curriculum_cc,corecurriculumcc_gos,asset,omeka_6175,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://exhibitions.cul.columbia.edu/exhibits/show/cc/freud/totemtaboo,freud-totemtaboo.jpeg,filename,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Unnumbered Page
corecurriculumcc_gxx_002,,,core_curriculum_cc,corecurriculumcc_gxx,asset,omeka_6179,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,fed#5page2.jpeg,filename,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Page 2
corecurriculumcc_gxx,John Jay Papers,http://id.library.columbia.edu/term/c445b04b-64c2-41f2-91bd-98df64b8d5d0,core_curriculum_cc,,item,,"Jay, John, 1745-1829",personal,marcrelator,http://id.loc.gov/vocabulary/relators/aut,Author,,,,naf,http://id.loc.gov/authorities/names/n79088877,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1788,,,1788,"Autograph manuscript, 4 pages.",NNC-RB,marcorg,http://id.loc.gov/authorities/names/n78009986,"Rare Book and Manuscript Library, Columbia University",,,reformatted digital,,,,,,,English,iso639-2,http://id.loc.gov/vocabulary/iso639-2/eng,,,,,,,,manuscripts,lcsh,http://id.loc.gov/authorities/subjects/sh85080672,,,,,,,,,text,Core Curriculum: Contemporary Civilization,http://www.columbia.edu/cgi-bin/cul/resolve?clio9124743,,,,,,,,,,,,,,,Constitution (United States),fast,http://id.worldcat.org/fast/1356075,,,,,Federalist #5 manuscript
corecurriculumcc_gxx_001,,,core_curriculum_cc,corecurriculumcc_gxx,asset,omeka_6179,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://exhibitions.cul.columbia.edu/exhibits/show/cc/revolutions/amrev,fed#5page1.jpeg,filename,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Page 1
