_identifiers-1,collection-1:collection_term.value,collection-1:collection_term.uri,_project.string_key,_parent_digital_objects-1.identifier,_digital_object_type.string_key,omeka_identifier-1:omeka_identifier_value,name-1:name_term.value,name-1:name_term.name_type,name-1:name_role-1:name_role_term.authority,name-1:name_role-1:name_role_term.uri,name-1:name_role-1:name_role_term.value,name-1:name_role-2:name_role_term.authority,name-1:name_role-2:name_role_term.uri,name-1:name_role-2:name_role_term.value,name-1:name_term.authority,name_primary_authority_identifier,name-2:name_term.value,name-2:name_type,name-2:name_role-1:name_role_term.authority,name-2:name_role-1:name_role_term.uri,name-2:name_role-1:name_role_term.value,name-2:name_role-2:name_role_term.authority,name-2:name_role-2:name_role_term.uri,name-2:name_role-2:name_role_term.value,name-2:name_term.authority,name-2:name_term.uri,name-3:name_term.value,name-3:name_type,name-3:name_role-1:name_role_term.authority,name-3:name_role-1:name_role_term.uri,name-3:name_role-1:name_role_term.value,name-3:name_term.authority,name-3:name_term.uri,name-4:name_term.value,name-4:name_type,name-4:name_role-1:name_role_term.authority,name-4:name_role-1:name_role_term.uri,name-4:name_role-1:name_role_term.value,name-4:name_term.authority,name-4:name_term.uri,name-5:name_term.value,name-5:name_type,name-5:name_role-1:name_role_term.authority,name-5:name_role-1:name_role_term.uri,name-5:name_role-1:name_role_term.value,name-5:name_term.authority,name-5:name_term.uri,date_created-1:date_created_start_value,date_created-1:date_created_end_value,date_created-1:date_created_type,date_created_textual-1:date_created_textual_value,abstract-1:abstract_value,location-1:location_term.code,location-1:location_term.authority,location-1:location_term.uri,location-1:location_term.value,1:location_shelf_location_free_text,location-1:location_shelf_location-1:location_shelf_location_box_number,digital_origin-1:digital_origin_value,clio_identifier-1:clio_identifier_value,object_in_context_url-1:object_in_context_url_value,note-3:note_value,note-3:note_type,note-2:note_value,note-2:note_type,language-1:language_term.value,language-1:language_term.authority,language-1:language_term.uri,language-2:language_term.value,language-2:language_term.authority,language-2:language_term.uri,language-3:language_term.value,language-3:language_term.authority,language-3:language_term.uri,note-1:note_value,form-1:form_term.value,form-1:form_term.authority,form-1:form_term.uri,form-2:form_term.value,form-2:form_term.authority,form-2:form_term.uri,note-4:note_value,note-4:note_type,genre-1:genre_term.value,genre-1:genre_term.authority,genre-1:genre_term.uri,type_of_resource-1:type_of_resource_value,Column,Column2,place_of_origin-1:place_of_origin_value,publisher-1:publisher_value,note-5:note_value,note-5:note_type,subject_topic-1:subject_topic_term.value,subject_topic-1:subject_topic_term.authority,subject_topic-1:subject_topic_term.uri,subject_topic-2:subject_topic_term.value,subject_topic-2:subject_topic_term.authority,subject_topic-2:subject_topic_term.uri,subject_name-1:subject_name_term.value,subject_name-1:subject_name_term.name_type,subject_name-1:subject_name_term.authority,subject_name-1:subject_name_term.uri,subject_title-1:subject_title_term.value,subject_title-1:subject_title_term.authority,subject_title-1:subject_title_term.uri,subject_geographic-1:subject_geographic_term.value,subject_geographic-1:subject_geographic_term.authority,subject_geographic-1:subject_geographic_term.uri,title-1:title_non_sort_portion,title-1:title_sort_portion
corecurriculumcc_hnn,Alexander Gumby Collection of Negroiana,http://id.library.columbia.edu/term/a27c548d-e28c-4cfa-9bfe-385b9dd934bf,core_curriculum_cc,,item,,"Gumby, L.S. Alexander, 1885-1961",personal,marcrelator,http://id.loc.gov/vocabulary/relators/com,Compiler,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1910,1961,inferred,between 1910 and 1961,"From the scrapbooks, dated circa 1910-1952, of L.S. Alexander Gumby. Verso page, featuring a photograph of Gumby (holding glasses and pipe) and the handwritten caption ""In The Revella Hotel Gumby 1950"".",NNC-RB,marcorg,http://id.loc.gov/authorities/names/n78009986,"Rare Book and Manuscript Library, Columbia University",Gumby's Autobiography: Number 5,23,reformatted digital,,,,,,,English,iso639-2,http://id.loc.gov/vocabulary/iso639-2/eng,,,,,,,,scrapbooks,aat,http://vocab.getty.edu/aat/300027341,,,,,,,,,still image,Core Curriculum: Contemporary Civilization,http://www.columbia.edu/cgi-bin/cul/resolve?clio9124743,New York (N.Y.),,,,,,,,,,"Gumby, L. S. Alexander, 1885-1961",personal,naf,http://id.loc.gov/authorities/names/no2008001305,,,,,,,,Gumby's Autobiography in Scrapbooks: Number 5
corecurriculumcc_hnn_054,,,core_curriculum_cc,corecurriculumcc_hnn,asset,omeka_5401,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://exhibitions.cul.columbia.edu/exhibits/show/cc/rights/dubois,rbml_gumby_ga05_058_001_001.jpg,filename,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Page 54
corecurriculumcc_ola,Book Arts Collection,http://id.library.columbia.edu/term/67352f9a-3ebe-40ff-a87c-717b2b82bd5d,core_curriculum_cc,,item,,"Jiménez de Cisneros, Francisco, 1436?-1517",personal,marcrelator,http://id.loc.gov/vocabulary/relators/pat,Patron,,,,naf,http://id.loc.gov/authorities/names/n80093618,"López de Zuñiga, Diego",personal,marcrelator,http://id.loc.gov/vocabulary/relators/cre,Creator,,,,,,,,,,,,,,,,,,,,,,,,,,,1514,1517,,1517,"Complutensian Polyglot Bible, paid for and spearheaded by Cardinal Xímenes de Cisneros (1436-1517), in six volumes printed between 1514 and 1517 in Complutum, Spain, outside of Madrid (now called Alcalá de Henares); Page in this exhibition is from volume 3.",NNC-RB,marcorg,http://id.loc.gov/authorities/names/n78009986,"Rare Book and Manuscript Library, Columbia University",BOOKART Z232.B78 1514 B47 vol. 3 (vault),,reformatted digital,305731.0,,,,,,Hebrew,iso639-2,http://id.loc.gov/vocabulary/iso639-2/heb,Latin,iso639-2,http://id.loc.gov/vocabulary/iso639-2/lat,Greek,iso639-2,http://id.loc.gov/vocabulary/iso639-2/gre,,books,aat,http://vocab.getty.edu/aat/300028051,,,,,,,,,text,Core Curriculum: Contemporary Civilization,http://www.columbia.edu/cgi-bin/cul/resolve?clio9124743,Alcalá de Henares (Spain),Industria Arnaldi Guillermo de Brocario in Academia de Complutensi,,,,,,,,,,,,,,,,,,,,Bible. Polyglot. Complutensian.
corecurriculumcc_ola_003,,,core_curriculum_cc,corecurriculumcc_ola,asset,omeka_6223,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,110119032.tif,filename,110119032.jpg,filename,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ecclesiastes 1
corecurriculumcc_xhi,David Eugene Smith Library,http://id.library.columbia.edu/term/e0fe36db-694e-40ac-9e24-554f5cb35ed0,core_curriculum_cc,,item,,"Galilei, Galileo, 1564-1642",personal,marcrelator,http://id.loc.gov/vocabulary/relators/aut,Author,,,,naf,http://id.loc.gov/authorities/names/n79003254,"Ferdinando II, Grand-Duke of Tuscany, 1610-1670",personal,marcrelator,http://id.loc.gov/vocabulary/relators/dte,Dedicatee,,,,naf,http://id.loc.gov/authorities/names/n87836910,"Landini, Gio. Batista (Giovanni Batista)",personal,marcrelator,http://id.loc.gov/vocabulary/relators/prt,Printer,naf,http://id.loc.gov/authorities/names/n2004063798,,,,,,,,,,,,,,,1632 ,,,1632,,NNC-RB,marcorg,http://id.loc.gov/authorities/names/n78009986,"Rare Book and Manuscript Library, Columbia University",SMITH 520 1632 G13,,reformatted digital,6188969.0,,,,,,Italian,iso639-2,http://id.loc.gov/vocabulary/iso639-2/ita,,,,,,,,books,aat,http://vocab.getty.edu/aat/300028051,,,,,,,,,text,Core Curriculum: Contemporary Civilization,http://www.columbia.edu/cgi-bin/cul/resolve?clio9124743,Florence (Italy),Per Gio. Batista Landini,,,Astronomy,fast,http://id.worldcat.org/fast/819673,,,,,,,,,,,,,,,Dialogo dei massimi sistemi.
corecurriculumcc_xhi_320,,,core_curriculum_cc,corecurriculumcc_xhi,asset,omeka_6215,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,110119024.tif,filename,110119024.jpg,filename,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Pages 320-321
corecurriculumcc_bsf_008,,,core_curriculum_cc,corecurriculumcc_bsf,asset,omeka_6233,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,110119042.tif,filename,110119042.jpg,filename,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Unsigned Folio, Verso; Ecclesiastes Viii And Ix"
corecurriculumcc_khx,,,core_curriculum_cc,,item,,,,,,,,,,,,Norman and Bowen,corporate,marcrelator,http://id.loc.gov/vocabulary/relators/prt,Printer,,,,naf,http://id.loc.gov/authorities/names/no2008100019,"Hamilton, Alexander, 1757-1804",personal,marcrelator,http://id.loc.gov/vocabulary/relators/fmo,Former owner,naf,http://id.loc.gov/authorities/names/n79021633,,,,,,,,,,,,,,,1785 ,,,1785,,NNC-RB,marcorg,http://id.loc.gov/authorities/names/n78009986,"Rare Book and Manuscript Library, Columbia University",B342.731 Un32,,reformatted digital,5530045,,,,,,English,iso639-2,http://id.loc.gov/vocabulary/iso639-2/eng,,,,,,,,books,aat,http://vocab.getty.edu/aat/300028051,,,,,,,,,text,Core Curriculum: Contemporary Civilization,http://www.columbia.edu/cgi-bin/cul/resolve?clio9124743,Boston (Mass.),Norman and Bowen,,,American Revolution (1775-1783),fast,http://id.worldcat.org/fast/1351668,,,,,,,,,,,United States,naf,http://id.loc.gov/authorities/names/n78095330,The,"Constitutions of the several independent states of America : the Declaration of Independence, the Articles of Confederation between the said states, the treaties between His Most Christian Majesty and the United States of America, and the treaties between their High Mightinesses the States General of the United Netherlands and the United States of America."
corecurriculumcc_khx_001,,,core_curriculum_cc,corecurriculumcc_khx,asset,omeka_6204,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://exhibitions.cul.columbia.edu/exhibits/show/cc/revolutions/amrev,110119013.tif,filename,110119013.jpg,filename,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Title Page
corecurriculumcc_kka,,,core_curriculum_cc,,item,,"Hall, Rowland, -1563",personal,marcrelator,http://id.loc.gov/vocabulary/relators/prt,Printer,,,,naf,http://id.loc.gov/authorities/names/nr98004069,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1560 ,,,1560,First edition of the Geneva Bible.,NNC-RB,marcorg,http://id.loc.gov/authorities/names/n78009986,"Rare Book and Manuscript Library, Columbia University",Plimpton 220.52 1560 B47,,reformatted digital,2451352.0,,,,,,English,iso639-2,http://id.loc.gov/vocabulary/iso639-2/eng,,,,,,,,books,aat,http://vocab.getty.edu/aat/300028051,,,,,,,,,text,Core Curriculum: Contemporary Civilization,http://www.columbia.edu/cgi-bin/cul/resolve?clio9124743,Geneva (Switzerland),Rouland Hald,,,,,,,,,,,,,,,,,,,The,Bible and Holy Scriptures conteyned in the Olde and Newe Testament.
corecurriculumcc_kka_002,,,core_curriculum_cc,corecurriculumcc_kka,asset,omeka_6227,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://exhibitions.cul.columbia.edu/exhibits/show/cc/reformation/bibles,110119036.tif,filename,110119036.jpg,filename,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,First Page Genesis
corecurriculumcc_gba_002,,,core_curriculum_cc,corecurriculumcc_gba,asset,omeka_6221,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,110119030.tif,filename,110119030.jpg,filename,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Inscription
corecurriculumcc_kmg,Spinoza Collection,http://id.library.columbia.edu/term/9fba5533-5f5a-460b-841f-bbe62455c971,core_curriculum_cc,,item,,"Machiavelli, Niccolò, 1469-1527",personal,marcrelator,http://id.loc.gov/vocabulary/relators/aut,Author,,,,naf,http://id.loc.gov/authorities/names/n78096105,"Aubert, Pierre, 1583-1636",personal,marcrelator,http://id.loc.gov/vocabulary/relators/pbl,Publisher,,,,naf,http://id.loc.gov/authorities/names/no2009168047,,,,,,,,,,,,,,,,,,,,,,1628,1660,,between 1628 and 1660,Seventeenth century false imprint of original first edition dated 1550.,NNC-RB,marcorg,http://id.loc.gov/authorities/names/n78009986,"Rare Book and Manuscript Library, Columbia University",Spinoza 193Sp4 FM1541,,reformatted digital,6180564.0,,,,,,Italian,iso639-2,http://id.loc.gov/vocabulary/iso639-2/ita,Latin,iso639-2,http://id.loc.gov/vocabulary/iso639-2/lat,,,,,books,aat,http://vocab.getty.edu/aat/300028051,,,,,,,,,text,Core Curriculum: Contemporary Civilization,http://www.columbia.edu/cgi-bin/cul/resolve?clio9124743,Geneva (Switzerland),Pietro Alberto,,,Political science,fast,http://id.worldcat.org/fast/1069781,,,,,,,,,,,,,,,Tutte le opere di Nicolo Machiavelli
corecurriculumcc_kmg_001,,,core_curriculum_cc,corecurriculumcc_kmg,asset,omeka_6199,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://exhibitions.cul.columbia.edu/exhibits/show/cc/machiavelli/tutteleopera,110119008.tif,filename,110119008.jpg,filename,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Title Page
corecurriculumcc_req,,,core_curriculum_cc,,item,,"Augustine, Saint, Bishop of Hippo",personal,marcrelator,http://id.loc.gov/vocabulary/relators/aut,Author,,,,naf,http://id.loc.gov/authorities/names/n80126290,"Jenson, Nicolas, approximately 1420-1480",personal,marcrelator,http://id.loc.gov/vocabulary/relators/pbl,Publisher,,,,naf,http://id.loc.gov/authorities/names/n90625434,,,,,,,,,,,,,,,,,,,,,,1475-10-02,,,"October 2, 1475",,NNC-RB,marcorg,http://id.loc.gov/authorities/names/n78009986,"Rare Book and Manuscript Library, Columbia University",Goff A1235,,reformatted digital,1079136,,,,,,Latin,iso639-2,http://id.loc.gov/vocabulary/iso639-2/lat,,,,,,,,books,aat,http://vocab.getty.edu/aat/300028051,,,,,,,,,text,Core Curriculum: Contemporary Civilization,http://www.columbia.edu/cgi-bin/cul/resolve?clio9124743,Venice (Italy),Nicolaus Jenson,,,Philosophy and religion,fast,http://id.worldcat.org/fast/1060826,Apologetics,fast,http://id.worldcat.org/fast/811449,,,,,,,,,,,,De civitate dei
corecurriculumcc_rqe,,,,,item,,"Augustine, Saint, Bishop of Hippo",personal,marcrelator,http://id.loc.gov/vocabulary/relators/aut,Author,,,,naf,http://id.loc.gov/authorities/names/n80126290,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1450,1475,approximate,between 1450 and 1475,Manuscript produced in Northern Italy in the third quarter of the fifteenth century.,NNC-RB,marcorg,http://id.loc.gov/authorities/names/n78009986,"Rare Book and Manuscript Library, Columbia University",Plimpton MS 47,,reformatted digital,,,,,,,Latin,iso639-2,http://id.loc.gov/vocabulary/iso639-2/lat,,,,,,,,manuscripts,lcsh,http://id.loc.gov/authorities/subjects/sh85080672,,,,,,,,,text,Core Curriculum: Contemporary Civilization,http://www.columbia.edu/cgi-bin/cul/resolve?clio9124743,Italy,,,,Philosophy and religion,fast,http://id.worldcat.org/fast/1060826,Apologetics,fast,http://id.worldcat.org/fast/811449,,,,,,,,,,,,De civitate dei
corecurriculumcc_rqe_004,,,core_curriculum_cc,corecurriculumcc_rqe,asset,omeka_6311,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://exhibitions.cul.columbia.edu/exhibits/show/cc/augustine,Plimpton 47 f4.jpg,filename,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Folio 4 Recto
corecurriculumcc_kvf,,,core_curriculum_cc,,item,,Aristotle,personal,marcrelator,http://id.loc.gov/vocabulary/relators/aut,Author,,,,naf,http://id.loc.gov/authorities/names/n79004182,"Averroës, 1126-1198",personal,marcrelator,http://id.loc.gov/vocabulary/relators/aut,Author,,,,naf,http://id.loc.gov/authorities/names/n81027798,"Zimara, Marco Antonio, active 15th century-16th century",personal,marcrelator,http://id.loc.gov/vocabulary/relators/cwt,Commentator for written text,naf,http://id.loc.gov/authorities/names/n85356636,,,,,,,,,,,,,,,1552 ,,,1552,,NNC-RB,marcorg,http://id.loc.gov/authorities/names/n78009986,"Rare Book and Manuscript Library, Columbia University",X88 Ar512/B88Ar51 IB62,,reformatted digital,6151835.0,,,,,,Latin,iso639-2,http://id.loc.gov/vocabulary/iso639-2/lat,,,,,,,,books,aat,http://vocab.getty.edu/aat/300028051,,,,,,,,,text,Core Curriculum: Contemporary Civilization,http://www.columbia.edu/cgi-bin/cul/resolve?clio9124743,Venice (Italy),Apud Iunctas,,,Philosophy,fast,http://id.worldcat.org/fast/1060777,,,,,,,,,,,,,,,Aristotelis omnia quae extant opera.
corecurriculumcc_kvf_001,,,core_curriculum_cc,corecurriculumcc_kvf,asset,omeka_6192,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,110119001.tif,filename,110119001.jpg,filename,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Title Page
corecurriculumcc_lwm_001,,,core_curriculum_cc,corecurriculumcc_lwm,asset,omeka_6193,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://exhibitions.cul.columbia.edu/exhibits/show/cc/hobbes/leviathan,110119002.tif,filename,110119002.jpg,filename,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Frontispiece
corecurriculumcc_nxf,,,core_curriculum_cc,,item,,"Franklin, Benjamin, 1706-1790",personal,marcrelator,http://id.loc.gov/vocabulary/relators/fmo,Former owner,,,,naf,http://id.loc.gov/authorities/names/nr2002000012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1780,1789,approximate,circa 1780-1789,"Composing stick used by Benjamin Franklin and later his grandson, Benjamin Franklin Bache; purchased in France about the 1780's.",NNC-RB,marcorg,http://id.loc.gov/authorities/names/n78009986,"Rare Book and Manuscript Library, Columbia University",,,reformatted digital,,,,,,,,,,,,,,,,,objects,aat,http://vocab.getty.edu/aat/300311889,,,,wood,originalFormat,,,,three dimensional object,Core Curriculum: Contemporary Civilization,http://www.columbia.edu/cgi-bin/cul/resolve?clio9124743,,,,,Typesetting,fast,http://id.worldcat.org/fast/1159975,,,,,,,,,,,,,,,Benjamin Franklin's Composing Stick
corecurriculumcc_nxf_000,,,core_curriculum_cc,corecurriculumcc_nxf,asset,omeka_6188,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://exhibitions.cul.columbia.edu/exhibits/show/cc/revolutions,BF's_composingstick.jpeg,filename,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Benjamin Franklin's Composing Stick
corecurriculumcc_ola_004,,,core_curriculum_cc,corecurriculumcc_ola,asset,omeka_6222,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://exhibitions.cul.columbia.edu/exhibits/show/cc/bibles/earlyprinted,110119031.tif,filename,110119031.jpg,filename,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Unnumbered Page Spread
corecurriculumcc_osp,,,core_curriculum_cc,,item,,"Mill, John Stuart, 1806-1873",personal,marcrelator,http://id.loc.gov/vocabulary/relators/aut,Author,,,,naf,http://id.loc.gov/authorities/names/n79007044,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1861,,,1861,"Autograph manuscript of autobiography, 210 leaves.",NNC-RB,marcorg,http://id.loc.gov/authorities/names/n78009986,"Rare Book and Manuscript Library, Columbia University",X192M59 BM2,,reformatted digital,,,,,,,English,iso639-2,http://id.loc.gov/vocabulary/iso639-2/eng,,,,,,,,manuscripts,lcsh,http://id.loc.gov/authorities/subjects/sh85080672,,,,,,Autobiographies,fast,http://id.worldcat.org/fast/1919894,text,Core Curriculum: Contemporary Civilization,http://www.columbia.edu/cgi-bin/cul/resolve?clio9124743,,,,,,,,,,,"Mill, John Stuart, 1806-1873",personal,naf,http://id.loc.gov/authorities/names/n79007044,,,,,,,,John Stuart Mill Autobiography
corecurriculumcc_osp_001,,,core_curriculum_cc,corecurriculumcc_osp,asset,omeka_6181,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://exhibitions.cul.columbia.edu/exhibits/show/cc/rights/jsmill,JSMill_autobiography.jpeg,filename,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Unnumbered Manuscript Page
corecurriculumcc_bsf_002v,,,core_curriculum_cc,corecurriculumcc_bsf,asset,omeka_6231,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,110119040.tif,filename,110119040.jpg,filename,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Folio 2v
corecurriculumcc_pig,,,core_curriculum_cc,,item,,Aristotle,personal,marcrelator,http://id.loc.gov/vocabulary/relators/aut,Author,,,,naf,http://id.loc.gov/authorities/names/n79004182,"Boethius, -524",personal,marcrelator,http://id.loc.gov/vocabulary/relators/aut,Author,,,,naf,http://id.loc.gov/authorities/names/n79029805,"William, of Moerbeke, approximately 1215-1286",personal,marcrelator,http://id.loc.gov/vocabulary/relators/trl,Translator,naf,http://id.loc.gov/authorities/names/n82154575,"Trivet, Nicholas, 1258?-1328",personal,marcrelator,http://id.loc.gov/vocabulary/relators/aui,"Author of introduction, etc.",naf,http://id.loc.gov/authorities/names/n85238888,"Grossteste, Robert",personal,marcrelator,http://id.loc.gov/vocabulary/relators/trl,Translator,,,1393,,,1393,"Manuscript volume containing Aristotle's Ethics (translated by Robert Grossteste), the Politics (translated by William of Moerbeke), and Economics, along with Boethius’ Consolation of Philosophy, with a preface by Nicholas Trevet.",NNC-RB,marcorg,http://id.loc.gov/authorities/names/n78009986,"Rare Book and Manuscript Library, Columbia University",Plimpton MS 017,,reformatted digital,,,,,,,Latin,iso639-2,http://id.loc.gov/vocabulary/iso639-2/lat,,,,,,,For additional images and information see Digital Scriptorium: http://ds.lib.berkeley.edu/PlimptonMS017_20,manuscripts,lcsh,http://id.loc.gov/authorities/subjects/sh85080672,,,,,,,,,text,Core Curriculum: Contemporary Civilization,http://www.columbia.edu/cgi-bin/cul/resolve?clio9124743,Lombardy (Italy),,,,Philosophy,fast,http://id.worldcat.org/fast/1060777,,,,,,,,,,,,,,,"Aristotle's Ethics, Politics, and Economics and Boethius' Consolation of Philosophy"
corecurriculumcc_pig_003,,,core_curriculum_cc,corecurriculumcc_pig,asset,omeka_70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://exhibitions.cul.columbia.edu/exhibits/show/cc/aristotle,plmptn_013_001,filename,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,f. 3
corecurriculumcc_pyg,,,core_curriculum_cc,,item,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1473,,,1473,,NNC-RB,marcorg,http://id.loc.gov/authorities/names/n78009986,"Rare Book and Manuscript Library, Columbia University",,,reformatted digital,,,,,,,Latin,iso639-2,http://id.loc.gov/vocabulary/iso639-2/lat,,,,,,,,music,lcgf,http://id.loc.gov/authorities/genreForms/gf2014026952,,,,,,,,,notated music,Core Curriculum: Contemporary Civilization,http://www.columbia.edu/cgi-bin/cul/resolve?clio9124743,,,,,,,,,,,,,,,,,,,,,,1473 Antiphonal
corecurriculumcc_pyg_001,,,core_curriculum_cc,corecurriculumcc_pyg,asset,omeka_6177,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1473Antiphonal.jpeg,filename,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Unnumbered Leaf, Recto"
corecurriculumcc_tne,,,core_curriculum_cc,,item,,"Boffe, Joseph de",personal,marcrelator,http://id.loc.gov/vocabulary/relators/prt,Printer,marcrelator,http://id.loc.gov/vocabulary/relators/pbl,Publisher,naf,http://id.loc.gov/authorities/names/nr93015943,"Debrett, John, -1822",personal,marcrelator,http://id.loc.gov/vocabulary/relators/prt,Printer,marcrelator,http://id.loc.gov/vocabulary/relators/pbl,Publisher,naf,http://id.loc.gov/authorities/names/n83040006,,,,,,,,,,,,,,,,,,,,,,1795 ,,,1795,"Imprint states published in Paris, but was in fact published in London.",NNC-RB,marcorg,http://id.loc.gov/authorities/names/n78009986,"Rare Book and Manuscript Library, Columbia University",B342.441 F8471,,reformatted digital,5529979,,,,,,French,iso639-2,http://id.loc.gov/vocabulary/iso639-2/fre,,,,,,,,books,aat,http://vocab.getty.edu/aat/300028051,,,,,,,,,text,Core Curriculum: Contemporary Civilization,http://www.columbia.edu/cgi-bin/cul/resolve?clio9124743,A Paris [i.e. London],Chez J. De Boffe et J. Debrett,,,,,,,,,,,,,,,,France,naf,http://id.loc.gov/authorities/names/n79006404,,Constitution de la République française.
corecurriculumcc_tne_001,,,core_curriculum_cc,corecurriculumcc_tne,asset,omeka_6206,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://exhibitions.cul.columbia.edu/exhibits/show/cc/revolutions/frenchrev,110119015.tif,filename,110119015.jpg,filename,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Title Page
corecurriculumcc_tbh,Book Arts Collection,http://id.library.columbia.edu/term/67352f9a-3ebe-40ff-a87c-717b2b82bd5d,core_curriculum_cc,,item,,"Carter, Sebastian",personal,marcrelator,http://id.loc.gov/vocabulary/relators/prt,Printer,,,,naf,http://id.loc.gov/authorities/names/n85049578,Rampant Lions Press,corporate,marcrelator,http://id.loc.gov/vocabulary/relators/pbl,Publisher,,,,naf,http://id.loc.gov/authorities/names/n82234448,,,,,,,,,,,,,,,,,,,,,,2006 ,,,2006,First two chapters of Genesis,NNC-RB,marcorg,http://id.loc.gov/authorities/names/n78009986,"Rare Book and Manuscript Library, Columbia University",BOOKART Z232.R14 2006 B47 (vault),,reformatted digital,6890408.0,,,,,,English,iso639-2,http://id.loc.gov/vocabulary/iso639-2/eng,,,,,,,,books,aat,http://vocab.getty.edu/aat/300028051,illustrations,gmgpc,http://id.loc.gov/vocabulary/graphicMaterials/tgm005314,,,,,,text,Core Curriculum: Contemporary Civilization,http://www.columbia.edu/cgi-bin/cul/resolve?clio9124743,Cambridge (England),Rampant Lions Press,,,Water waves,fast,http://id.worldcat.org/fast/1172250,,,,,,,,,,,,,,,"In the beginning, in the beginning, in the beginning"
corecurriculumcc_tbh_002,,,core_curriculum_cc,corecurriculumcc_tbh,asset,omeka_6237,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://exhibitions.cul.columbia.edu/exhibits/show/lit_hum/bibles/artcraft,110119046.tif,filename,110119046.jpg,filename,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Unnumbered Page, Day Three"
