identifier_omeka,item - public,item - featured,dateQualifier,digitalOrigin,physicalLocation,languageofCataloging,shelfLocator,note_filename,form,keyDate_start,place,relatedItem_Collection,dateCreated,title,language,dateCreated 1,name_primary,publisher,identifier_clio,typeOfResource,abstract,note_filename 2,relatedItem_Project,typeOfResource 2,location_url_ObjectInContext,note_ownership,accessCondition
6226,1,0,exact,rd,"Rare Book and Manuscript Library, Columbia University",eng,Plimpton 220.52 1560 B47,"original filename: 110119035.tif
",books,1560 ,Geneva,,,Bible and Holy Scriptures conteyned in the Olde and Newe Testament. Title page,eng,1560,,Rouland Hald,CLIO id: 2451352,,,http://ldpd.lampdev.columbia.edu/o/contemp_civ/110119035.jpg,Core Curriculum: Contemporary Civilization,Still Image,,,
6225,1,0,exact,rd,"Rare Book and Manuscript Library, Columbia University",eng,BOOKART Z232.B78 1514 B47 vol. 3 (vault),"original filename: 110119034.tif
",book,1514 1522,Alcala de Henares,,,Bible. Polyglot. Complutensian. Title page,eng,1517,"Jiménez de Cisneros, Francisco, 1436?-1517",Industria Arnaldi Guillermo de Brocario in Academia de Complutensi,CLIO id: 305731,,,http://ldpd.lampdev.columbia.edu/o/contemp_civ/110119034.jpg,Core Curriculum: Contemporary Civilization,Still Image,,,
6224,1,0,exact,rd,"Rare Book and Manuscript Library, Columbia University",eng,BOOKART Z232.B78 1514 B47 vol. 3 (vault),"original filename: 110119033.tif

",book,1514 1522,,,,Bible. Polyglot. Complutensian. Ecc.2,eng,1517,"Jimenes de Cisnero, Francisco",Industria Arnaldi Guillermo de Brocario in Academia de Complutensi,CLIO id: 305731,,,http://ldpd.lampdev.columbia.edu/o/contemp_civ/110119033.jpg,Core Curriculum: Contemporary Civilization,Still Image,,,
6223,1,0,exact,rd,"Rare Book and Manuscript Library, Columbia University",eng,BOOKART Z232.B78 1514 B47 vol. 3 (vault),"original filename: 110119032.tif
",book,1514 1522,,,,Bible. Polyglot. Complutensian. Ecc.1,eng,1517,"Jimenes de Cisnero, Francisco",Industria Arnaldi Guillermo de Brocario in Academia de Complutensi,CLIO id: 305731,,,http://ldpd.lampdev.columbia.edu/o/contemp_civ/110119032.jpg,Core Curriculum: Contemporary Civilization,Still Image,,,
6222,1,0,exact,rd,"Rare Book and Manuscript Library, Columbia University",eng,BOOKART Z232.B78 1514 B47 vol. 3 (vault),"original filename: 110119031.tif
",book,1514 1522,Alcala de Henares,,,Bible. Polyglot. Complutensian. Job,eng,1517,"Jimenes de Cisnero, Francisco",Industria Arnaldi Guillermo de Brocario in Academia de Complutensi,CLIO id: 305731,,,http://ldpd.lampdev.columbia.edu/o/contemp_civ/110119031.jpg,Core Curriculum: Contemporary Civilization,Still Image,https://exhibitions.cul.columbia.edu/exhibits/show/cc/bibles/earlyprinted,,
6221,1,0,exact,rd,"Rare Book and Manuscript Library, Columbia University",eng,BOOKART 017.En2 D75 1903B copy 1,"original filename: 110119030.tif
",books,1903 1905,[London],,,English Bible : containing the Old Testament & the New. Inscription,eng,1903-1905,"Cobden-Sanderson, T. J. (Thomas)",Doves Press,CLIO id: 7477460,,,http://ldpd.lampdev.columbia.edu/o/contemp_civ/110119030.jpg,Core Curriculum: Contemporary Civilization,Still Image,,,
6220,1,0,exact,rd,"Rare Book and Manuscript Library, Columbia University",eng,BOOKART 017.En2 D75 1903B copy 1,"original filename: 110119029.tif
",books,1903 1905,[London],,,English Bible : containing the Old Testament & the New. First page Genesis,eng,1903-1905,"Cobden-Sanderson, T. J. (Thomas)",Doves Press,CLIO id: 7477460,,,http://ldpd.lampdev.columbia.edu/o/contemp_civ/110119029.jpg,Core Curriculum: Contemporary Civilization,Still Image,https://exhibitions.cul.columbia.edu/exhibits/show/cc/bibles/bibleasart,,
6219,1,0,exact,rd,"Rare Book and Manuscript Library, Columbia University",eng,BOOKART 017.En2 D75 1903B copy 1,"original filename: 110119028.tif
",books,1903 1905,[London],,,English Bible : containing the Old Testament & the New. Binding,eng,1903-1905,"Cobden-Sanderson, T. J. (Thomas)",Doves Press,CLIO id: 7477460,,,http://ldpd.lampdev.columbia.edu/o/contemp_civ/110119028.jpg,Core Curriculum: Contemporary Civilization,Still Image,,,
6218,1,0,approximate,rd,"Rare Book and Manuscript Library, Columbia University",eng,Goff B526,"original filename: 110119027.tif
",books,1455 ,Mainz,,,Gutenberg Bible. First page Revelations,eng,ca. 1455,"Gutenberg, Johann, 1397?-1468|Schoeffer, Peter",,CLIO id: 1623893,,,http://ldpd.lampdev.columbia.edu/o/contemp_civ/110119027.jpg,Core Curriculum: Contemporary Civilization,Still Image,https://exhibitions.cul.columbia.edu/exhibits/show/cc/bibles/earlyprinted,,
6217,1,0,exact,rd,"Rare Book and Manuscript Library, Columbia University",eng,B157.5 F895,"original filename: 110119026.tif
",books,1914 ,London,,,Psychopathology of Everyday Life,eng,1914,"Freud, Sigmund, 1856-1939",T. Fisher Unwin,CLIO id: 5521635,,,http://ldpd.lampdev.columbia.edu/o/contemp_civ/110119026.jpg,Core Curriculum: Contemporary Civilization,Still Image,https://exhibitions.cul.columbia.edu/exhibits/show/cc/freud/psychopathology,,
6216,1,0,exact,rd,"Rare Book and Manuscript Library, Columbia University",eng,B157.5 F89492,"original filename: 110119025.tif
",books,1907 ,Berlin,,,"Zur Psychopathologie des Alltagslebens : (über Vergessen, Versprechen, Vergreifen, Aberglaube und Irrtum)",eng,1907,"Freud, Sigmund, 1856-1939",S. Karger,CLIO id: 2728565,,,http://ldpd.lampdev.columbia.edu/o/contemp_civ/110119025.jpg,Core Curriculum: Contemporary Civilization,Still Image,https://exhibitions.cul.columbia.edu/exhibits/show/cc/freud/psychopathology,,
6215,1,0,exact,rd,"Rare Book and Manuscript Library, Columbia University",eng,SMITH 520 1632 G13,"original filename: 110119024.tif
",books,1632 ,Florence,,,Dialogo dei massimi sistemi. Pages 320-321,eng,1632,"Galilei, Galileo, 1564-1642",Per Gio. Batistia Landini,CLIO id: 6188969,,,http://ldpd.lampdev.columbia.edu/o/contemp_civ/110119024.jpg,Core Curriculum: Contemporary Civilization,Still Image,,,
6214,1,0,exact,rd,"Rare Book and Manuscript Library, Columbia University",eng,SMITH 520 1632 G13,"original filename: 110119023.tif
",books,1632 ,Florence,,,Dialogo dei massimi sistemi. Frontispiece,eng,1632,"Galilei, Galileo, 1564-1642",Per Gio. Batistia Landini,CLIO id: 6188969,,,http://ldpd.lampdev.columbia.edu/o/contemp_civ/110119023.jpg,Core Curriculum: Contemporary Civilization,Still Image,https://exhibitions.cul.columbia.edu/exhibits/show/cc/galileo/dialogo,,
6213,1,0,exact,rd,"Rare Book and Manuscript Library, Columbia University",eng,Seligman 1859Ge M36,"original filename: 110119022.tif
",books,1859 ,Berlin,,,Zur Kritik der politischen Oekonomie. Title page,eng,1859,"Marx, Karl, 1818-1883",F. Duncker,CLIO id: 5492846,,,http://ldpd.lampdev.columbia.edu/o/contemp_civ/110119022.jpg,Core Curriculum: Contemporary Civilization,Still Image,,,
6212,1,0,exact,rd,"Rare Book and Manuscript Library, Columbia University",eng,Seligman 1859Ge M36,"original filename: 110119021.tif
",books,1859 ,Berlin,,,Zur Kritik der politischen Oekonomie. Pages 88-89,eng,1859,"Marx, Karl, 1818-1883",F. Duncker,CLIO id: 5492846,,,http://ldpd.lampdev.columbia.edu/o/contemp_civ/110119021.jpg,Core Curriculum: Contemporary Civilization,Still Image,,,
6211,1,0,exact,rd,"Rare Book and Manuscript Library, Columbia University",eng,QH365. O2 1860a,"original filename: 110119020.tif
",books,1860 ,New York,,,"On the origin of species by means of natural selection, or The preservation of favoured races in the struggle for life. Pages 8-9",eng,1860,"Darwin, Charles, 1809-1882",D. Appleton & Company,CLIO id: 100456,,,http://ldpd.lampdev.columbia.edu/o/contemp_civ/110119020.jpg,Core Curriculum: Contemporary Civilization,Still Image,https://exhibitions.cul.columbia.edu/exhibits/show/cc/darwin/originofspecies,,
6210,1,0,exact,rd,"Rare Book and Manuscript Library, Columbia University",eng,QH365. O2 1860a,"original filename: 110119019.tif
",books,1860 ,New York,,,"On the origin of species by means of natural selection, or The preservation of favoured races in the struggle for life. Title page",eng,1860,"Darwin, Charles, 1809-1882",D. Appleton & Company,CLIO id: 100456,,,http://ldpd.lampdev.columbia.edu/o/contemp_civ/110119019.jpg,Core Curriculum: Contemporary Civilization,Still Image,https://exhibitions.cul.columbia.edu/exhibits/show/cc/darwin/originofspecies,,
6209,1,0,ex,rd,"Rare Book and Manuscript Library, Columbia University",eng,"Gumby collection (ms #0527), Box 55","original filename: 110119018.tif
",scrapbooks,,,Alexander Gumby collection of Negroiana,,Alexander Gumby Scrapbook. Page,eng,,"Gumby, L. S. Alexander, 1885-1961|Du Bois, W. E. B. (William Edward Burghardt), 1868-1963",,CLIO id: 4078845,,"Scrapbook page includes the pamphlet<em id=""tinymce"" class=""mceContentBody "" dir=""ltr""> What the Negro has done for the United States and Texas </em>by W. E. B. Du Bois and clippings dated Feb. 1942<em><br /></em>",http://ldpd.lampdev.columbia.edu/o/contemp_civ/110119018.jpg,Core Curriculum: Contemporary Civilization,Still Image,https://exhibitions.cul.columbia.edu/exhibits/show/cc/rights/dubois,,
6208,1,0,ex,rd,"Rare Book and Manuscript Library, Columbia University",eng,"Gumby collection (ms #0527), Box 55","original filename: 110119017.tif
",scrapbooks,,,Alexander Gumby collection of Negroiana,,Gumby scrapbook. Page 002,eng,,"Gumby, L. S. Alexander, 1885-1961",,CLIO id: 4078845,,"Clippings about W.E.B. Du Bois including <em>Two Typical Leaders</em> from The Outlook of May 23, 1903.",http://ldpd.lampdev.columbia.edu/o/contemp_civ/110119017.jpg,Core Curriculum: Contemporary Civilization,Still Image,https://exhibitions.cul.columbia.edu/exhibits/show/cc/rights/dubois,,
6207,1,0,exact,rd,"Rare Book and Manuscript Library, Columbia University",eng,B342.441 F8471,"original filename: 110119016.tif
",books,1795 ,Paris [London],,,Constitution de la République française. First page,eng,1795,,Chez J. De Boffe et J. Debrett,CLIO id: 5529979,,,http://ldpd.lampdev.columbia.edu/o/contemp_civ/110119016.jpg,Core Curriculum: Contemporary Civilization,Still Image,,,
6206,1,0,exact,rd,"Rare Book and Manuscript Library, Columbia University",eng,B342.441 F8471,"original filename: 110119015.tif
",books,1795 ,Paris [London],,,Constitution de la République française. Title page,eng,1795,,Chez J. De Boffe et J. Debrett,5529979,,,http://ldpd.lampdev.columbia.edu/o/contemp_civ/110119015.jpg,Core Curriculum: Contemporary Civilization,Still Image,https://exhibitions.cul.columbia.edu/exhibits/show/cc/revolutions/frenchrev,,
