collection-1:collection_term.value,collection-1:collection_term.uri,name-1:name_term.value,name-1:name_term.name_type,name-1:name_term.authority,name-1:name_term.uri,name-1:name_role-1:name_role_term.value,name-1:name_role-1:name_role_term.authority,name-1:name_role-1:name_role_term.uri,name-2:name_term.value,name-2:name_term.name_type,name-2:name_term.authority,name-2:name_term.uri,name-2:name_role-1:name_role_term.value,name-2:name_role-1:name_role_term.authority,name-2:name_role-1:name_role_term.uri,date_created-1:date_created_start_value,date_created-1:date_created_end_value,date_created-1:date_created_type,date_created_textual-1:date_created_textual_value,abstract-1:abstract_value,omeka_identifier-1:omeka_identifier_value,type_of_resource-1:type_of_resource_value,object_in_context_url-1:object_in_context_url_value,location-1:location_term.code,location-1:location_term.value,location-1:location_term.authority,location-1:location_term.uri,location-1:location_shelf_location-1:location_shelf_location_free_text,location-1:location_shelf_location-1:location_shelf_location_box_number,location-1:location_sublocation,note-1:note_value,note-1:note_type,note-2:note_value,note-2:note_type,note-3:note_value,note-3:note_type,digital_origin-1:digital_origin_value,extent-1:extent_value,form-1:form_term.value,form-1:form_term.authority,form-1:form_term.uri,note-5:note_value,note-5:note_type,place_of_origin-1:place_of_origin_value,relatedItem_Project,projectURL,note-7:note_value,note-7:note_type,genre-1:genre_term.value,genre-1:genre_term.authority,genre-1:genre_term.uri,genre-2:genre_term.value,genre-2:genre_term.authority,genre-2:genre_term.uri,subject_topic-1:subject_topic_term.value,subject_topic-1:subject_topic_term.authority,subject_topic-1:subject_topic_term.uri,subject_topic-2:subject_topic_term.value,subject_topic-2:subject_topic_term.authority,subject_topic-2:subject_topic_term.uri,subject_topic-3:subject_topic_term.value,subject_topic-3:subject_topic_term.authority,subject_topic-3:subject_topic_term.uri,subject_name-1:subject_name_term.value,subject_name-1:subject_name_term.name_type,subject_name-1:subject_name_term.authority,subject_name-1:subject_name_term.uri,subject_name-2:subject_name_term.value,subject_name-2:subject_name_term.name_type,subject_name-2:subject_name_term.authority,subject_name-2:subject_name_term.uri,subject_title-1:subject_title_term.value,subject_title-1:subject_title_term.authority,subject_title-1:subject_title_term.uri,title-1:title_non_sort_portion,title-1:title_sort_portion,_identifiers-1,_parent_digital_objects-1.identifier,_digital_object_type.string_key,_project.string_key
,,,,,,,,,,,,,,,,,,,,,omeka_1505,,https://exhibitions.cul.columbia.edu/index.php/exhibits/show/realia/puppets_france/gallery1,,,,,,,,rbml_realia_p09.34,filename,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Face,dramaticmuseum_fha_001,dramaticmuseum_fha,asset,dramatic_museum
Dramatic Museum Realia,http://id.library.columbia.edu/term/6d5257db-f732-4d2e-b196-2a8dd7754bbc,,,,,,,,,,,,,,,1700,1966,inferred,between 1700 and 1966,,,three dimensional object,,NNC-RB,"Rare Book & Manuscript Library, Columbia University",local,http://id.library.columbia.edu/term/d2142d01-deaa-4a39-8dbd-72c4f148353f,DM number: P09.33,Box: 15,,,,,,Date range based on the date range ([18th c.]-1966) of the Dramatic Museum Realia collection,,reformatted digital,"4""",objects,gmgpc,http://id.loc.gov/vocabulary/graphicMaterials/tgm007159,papier mache,original_format,France,Dramatic Museum Realia,http://www.columbia.edu/cgi-bin/cul/resolve?clio8556788,Brander Matthews,ownership,Hand puppets,fast,http://id.worldcat.org/fast/950880,,,,Drama,fast,http://id.worldcat.org/fast/897468,,,,,,,,,,,,,,,,,,,Face For A Hand Puppet,dramaticmuseum_fhb,,item,dramatic_museum
,,,,,,,,,,,,,,,,,,,,,omeka_1504,,https://exhibitions.cul.columbia.edu/index.php/exhibits/show/realia/puppets_france/gallery2,,,,,,,,rbml_realia_p09.33,filename,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Face,dramaticmuseum_fhb_001,dramaticmuseum_fhb,asset,dramatic_museum
Dramatic Museum Realia,http://id.library.columbia.edu/term/6d5257db-f732-4d2e-b196-2a8dd7754bbc,,,,,,,,,,,,,,,1700,1966,inferred,between 1700 and 1966,,,three dimensional object,,NNC-RB,"Rare Book & Manuscript Library, Columbia University",local,http://id.library.columbia.edu/term/d2142d01-deaa-4a39-8dbd-72c4f148353f,DM number: P09.32,Box: 15,,,,,,Date range based on the date range ([18th c.]-1966) of the Dramatic Museum Realia collection,,reformatted digital,"4""",objects,gmgpc,http://id.loc.gov/vocabulary/graphicMaterials/tgm007159,papier mache,original_format,France,Dramatic Museum Realia,http://www.columbia.edu/cgi-bin/cul/resolve?clio8556788,Brander Matthews,ownership,Hand puppets,fast,http://id.worldcat.org/fast/950880,,,,Drama,fast,http://id.worldcat.org/fast/897468,,,,,,,,,,,,,,,,,,,Face For A Hand Puppet,dramaticmuseum_fhc,,item,dramatic_museum
,,,,,,,,,,,,,,,,,,,,,omeka_1503,,https://exhibitions.cul.columbia.edu/index.php/exhibits/show/realia/puppets_france/gallery2,,,,,,,,rbml_realia_p09.32,filename,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Face,dramaticmuseum_fhc_001,dramaticmuseum_fhc,asset,dramatic_museum
Dramatic Museum Realia,http://id.library.columbia.edu/term/6d5257db-f732-4d2e-b196-2a8dd7754bbc,,,,,,,,,,,,,,,1700,1966,inferred,between 1700 and 1966,,,three dimensional object,,NNC-RB,"Rare Book & Manuscript Library, Columbia University",local,http://id.library.columbia.edu/term/d2142d01-deaa-4a39-8dbd-72c4f148353f,DM number: P09.31,Box: 15,,,,,,Date range based on the date range ([18th c.]-1966) of the Dramatic Museum Realia collection,,reformatted digital,"4""",objects,gmgpc,http://id.loc.gov/vocabulary/graphicMaterials/tgm007159,papier mache,original_format,France,Dramatic Museum Realia,http://www.columbia.edu/cgi-bin/cul/resolve?clio8556788,Brander Matthews,ownership,Hand puppets,fast,http://id.worldcat.org/fast/950880,,,,Drama,fast,http://id.worldcat.org/fast/897468,,,,,,,,,,,,,,,,,,,Face For A Hand Puppet,dramaticmuseum_fhd,,item,dramatic_museum
,,,,,,,,,,,,,,,,,,,,,omeka_1502,,https://exhibitions.cul.columbia.edu/index.php/exhibits/show/realia/puppets_france/gallery2,,,,,,,,rbml_realia_p09.31,filename,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Face,dramaticmuseum_fhd_001,dramaticmuseum_fhd,asset,dramatic_museum
Dramatic Museum Realia,http://id.library.columbia.edu/term/6d5257db-f732-4d2e-b196-2a8dd7754bbc,,,,,,,,,,,,,,,1700,1966,inferred,between 1700 and 1966,,,three dimensional object,,NNC-RB,"Rare Book & Manuscript Library, Columbia University",local,http://id.library.columbia.edu/term/d2142d01-deaa-4a39-8dbd-72c4f148353f,DM number: P09.05,Box: 12,,,,,,Date range based on the date range ([18th c.]-1966) of the Dramatic Museum Realia collection,,reformatted digital,"12""",objects,gmgpc,http://id.loc.gov/vocabulary/graphicMaterials/tgm007159,papier mache,original_format,France,Dramatic Museum Realia,http://www.columbia.edu/cgi-bin/cul/resolve?clio8556788,"Purchased by Brander Matthews in Paris, 1867",ownership,Hand puppets,fast,http://id.worldcat.org/fast/950880,,,,Drama,fast,http://id.worldcat.org/fast/897468,,,,,,,,,,,,,,,,,,,Female Hand Puppet With Black And White Dress And White Apron,dramaticmuseum_fhe,,item,dramatic_museum
,,,,,,,,,,,,,,,,,,,,,omeka_1500,,https://exhibitions.cul.columbia.edu/index.php/exhibits/show/realia/puppets_france/gallery2,,,,,,,,rbml_realia_p09.05,filename,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Female Hand Puppet With Black And White Dress And White Apron,dramaticmuseum_fhe_000,dramaticmuseum_fhe,asset,dramatic_museum
Dramatic Museum Realia,http://id.library.columbia.edu/term/6d5257db-f732-4d2e-b196-2a8dd7754bbc,,,,,,,,,,,,,,,1700,1966,inferred,between 1700 and 1966,,,three dimensional object,,NNC-RB,"Rare Book & Manuscript Library, Columbia University",local,http://id.library.columbia.edu/term/d2142d01-deaa-4a39-8dbd-72c4f148353f,DM number: P09.14,Box: 14,,,,,,Date range based on the date range ([18th c.]-1966) of the Dramatic Museum Realia collection,,reformatted digital,"12.5""",objects,gmgpc,http://id.loc.gov/vocabulary/graphicMaterials/tgm007159,papier mache,original_format,France,Dramatic Museum Realia,http://www.columbia.edu/cgi-bin/cul/resolve?clio8556788,Brander Matthews,ownership,Hand puppets,fast,http://id.worldcat.org/fast/950880,,,,Drama,fast,http://id.worldcat.org/fast/897468,,,,,,,,,,,,,,,,,,,Female Hand Puppet With Blue Ribbon Around Neck,dramaticmuseum_fhf,,item,dramatic_museum
,,,,,,,,,,,,,,,,,,,,,omeka_1494,,https://exhibitions.cul.columbia.edu/index.php/exhibits/show/realia/puppets_france/gallery3,,,,,,,,rbml_realia_p09.14,filename,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Female Hand Puppet With Blue Ribbon Around Neck,dramaticmuseum_fhf_000,dramaticmuseum_fhf,asset,dramatic_museum
Dramatic Museum Realia,http://id.library.columbia.edu/term/6d5257db-f732-4d2e-b196-2a8dd7754bbc,,,,,,,,,,,,,,,1700,1966,inferred,between 1700 and 1966,,,three dimensional object,,NNC-RB,"Rare Book & Manuscript Library, Columbia University",local,http://id.library.columbia.edu/term/d2142d01-deaa-4a39-8dbd-72c4f148353f,DM number: P08.12,Box: 10,,,,,,Date range based on the date range ([18th c.]-1966) of the Dramatic Museum Realia collection,,reformatted digital,"11""",objects,gmgpc,http://id.loc.gov/vocabulary/graphicMaterials/tgm007159,papier mache,original_format,France,Dramatic Museum Realia,http://www.columbia.edu/cgi-bin/cul/resolve?clio8556788,Purchased by Brander Matthews in Paris,ownership,Hand puppets,fast,http://id.worldcat.org/fast/950880,,,,Drama,fast,http://id.worldcat.org/fast/897468,,,,,,,,,,,,,,,,,,,Female Hand Puppet With Kerchief And Brown Scarf,dramaticmuseum_fhj,,item,dramatic_museum
,,,,,,,,,,,,,,,,,,,,,omeka_1453,,https://exhibitions.cul.columbia.edu/index.php/exhibits/show/realia/puppets_france/gallery6,,,,,,,,rbml_realia_p08.12,filename,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Female Hand Puppet With Kerchief And Brown Scarf,dramaticmuseum_fhj_000,dramaticmuseum_fhj,asset,dramatic_museum
Dramatic Museum Realia,http://id.library.columbia.edu/term/6d5257db-f732-4d2e-b196-2a8dd7754bbc,,,,,,,,,,,,,,,1700,1966,inferred,between 1700 and 1966,,,three dimensional object,,NNC-RB,"Rare Book & Manuscript Library, Columbia University",local,http://id.library.columbia.edu/term/d2142d01-deaa-4a39-8dbd-72c4f148353f,DM number: P08.11,Box: 10,,,,,,Date range based on the date range ([18th c.]-1966) of the Dramatic Museum Realia collection,,reformatted digital,"11""",objects,gmgpc,http://id.loc.gov/vocabulary/graphicMaterials/tgm007159,papier mache,original_format,France,Dramatic Museum Realia,http://www.columbia.edu/cgi-bin/cul/resolve?clio8556788,Purchased by Brander Matthews in Paris,ownership,Hand puppets,fast,http://id.worldcat.org/fast/950880,,,,Drama,fast,http://id.worldcat.org/fast/897468,,,,,,,,,,,,,,,,,,,Female Hand Puppet With Kerchief And Purple Scarf,dramaticmuseum_fhk,,item,dramatic_museum
,,,,,,,,,,,,,,,,,,,,,omeka_1452,,https://exhibitions.cul.columbia.edu/index.php/exhibits/show/realia/puppets_france/gallery6,,,,,,,,rbml_realia_p08.11,filename,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Female Hand Puppet With Kerchief And Purple Scarf,dramaticmuseum_fhk_000,dramaticmuseum_fhk,asset,dramatic_museum
Dramatic Museum Realia,http://id.library.columbia.edu/term/6d5257db-f732-4d2e-b196-2a8dd7754bbc,,,,,,,,,,,,,,,1700,1966,inferred,between 1700 and 1966,,,three dimensional object,,NNC-RB,"Rare Book & Manuscript Library, Columbia University",local,http://id.library.columbia.edu/term/d2142d01-deaa-4a39-8dbd-72c4f148353f,DM number: P09.07,Box: 12,,,,,,Date range based on the date range ([18th c.]-1966) of the Dramatic Museum Realia collection,,reformatted digital,"12""",objects,gmgpc,http://id.loc.gov/vocabulary/graphicMaterials/tgm007159,papier mache,original_format,France,Dramatic Museum Realia,http://www.columbia.edu/cgi-bin/cul/resolve?clio8556788,"Purchased by Brander Matthews in Paris, 1867",ownership,Hand puppets,fast,http://id.worldcat.org/fast/950880,,,,Drama,fast,http://id.worldcat.org/fast/897468,,,,,,,,,,,,,,,,,,,"Female Hand Puppet With White, Red Dress And Blue, White Apron",dramaticmuseum_fhl,,item,dramatic_museum
,,,,,,,,,,,,,,,,,,,,,omeka_1501,,https://exhibitions.cul.columbia.edu/index.php/exhibits/show/realia/puppets_france/gallery2,,,,,,,,rbml_realia_p09.07,filename,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Female Hand Puppet With White, Red Dress And Blue, White Apron",dramaticmuseum_fhl_000,dramaticmuseum_fhl,asset,dramatic_museum
Dramatic Museum Realia,http://id.library.columbia.edu/term/6d5257db-f732-4d2e-b196-2a8dd7754bbc,,,,,,,,,,,,,,,1700,1966,inferred,between 1700 and 1966,,,three dimensional object,,NNC-RB,"Rare Book & Manuscript Library, Columbia University",local,http://id.library.columbia.edu/term/d2142d01-deaa-4a39-8dbd-72c4f148353f,DM number: P60.01,Box: 28,,,,,,Date range based on the date range ([18th c.]-1966) of the Dramatic Museum Realia collection,,reformatted digital,"5"" with stand",objects,gmgpc,http://id.loc.gov/vocabulary/graphicMaterials/tgm007159,"ceramic, silk, with wood stand",original_format,China,Dramatic Museum Realia,http://www.columbia.edu/cgi-bin/cul/resolve?clio8556788,,,Figurines,fast,http://id.worldcat.org/fast/924112,,,,Drama,fast,http://id.worldcat.org/fast/897468,,,,,,,,,,,,,,,,,,,Figurine In Imperial Dress,dramaticmuseum_fid,,item,dramatic_museum
,,,,,,,,,,,,,,,,,,,,,omeka_1411,,https://exhibitions.cul.columbia.edu/index.php/exhibits/show/realia/puppets_china/gallery6,,,,,,,,rbml_realia_p60.01,filename,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Figurine In Imperial Dress,dramaticmuseum_fid_000,dramaticmuseum_fid,asset,dramatic_museum
Dramatic Museum Realia,http://id.library.columbia.edu/term/6d5257db-f732-4d2e-b196-2a8dd7754bbc,,,,,,,,,,,,,,,1870,1899,approximate,1870-1899,Has glass eyes; construction like P5.8; red dress with white apron; two girls dressed in blue; two boys dressed in red.,,three dimensional object,,NNC-RB,"Rare Book & Manuscript Library, Columbia University",local,http://id.library.columbia.edu/term/d2142d01-deaa-4a39-8dbd-72c4f148353f,DM number: P05.07,Box: 5,,,,,,,,reformatted digital,"25""; children 6"" each",objects,gmgpc,http://id.loc.gov/vocabulary/graphicMaterials/tgm007159,"wood, cloth",original_format,France,Dramatic Museum Realia,http://www.columbia.edu/cgi-bin/cul/resolve?clio8556788,"Purchased by Brander Matthews from De Vere in Paris, 1925",ownership,Marionettes,fast,http://id.worldcat.org/fast/1010062,,,,Drama,fast,http://id.worldcat.org/fast/897468,,,,,,,,,,,,,,,,,,,Female Marionette With Four Children In Her Pockets,dramaticmuseum_fma,,item,dramatic_museum
,,,,,,,,,,,,,,,,,,,,,omeka_1441,,https://exhibitions.cul.columbia.edu/index.php/exhibits/show/realia/puppets_france/gallery7,,,,,,,,rbml_realia_p05.07,filename,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Female Marionette With Four Children In Her Pockets,dramaticmuseum_fma_000,dramaticmuseum_fma,asset,dramatic_museum
Dramatic Museum Realia,http://id.library.columbia.edu/term/6d5257db-f732-4d2e-b196-2a8dd7754bbc,,,,,,,,,,,,,,,1800,,approximate,circa 1800,"Flesh colored wood mask of woman with black, curly hair. Mouth is open showing white teeth. Eyes are wide open, giving face an expression of awe",,three dimensional object,,NNC-RB,"Rare Book & Manuscript Library, Columbia University",local,http://id.library.columbia.edu/term/d2142d01-deaa-4a39-8dbd-72c4f148353f,DM number: M2.01,Box: 98,,,,,,,,reformatted digital,"7.875"" x 6.75""",objects,gmgpc,http://id.loc.gov/vocabulary/graphicMaterials/tgm007159,wood,original_format,Italy,Dramatic Museum Realia,http://www.columbia.edu/cgi-bin/cul/resolve?clio8556788,,,Masks,fast,http://id.worldcat.org/fast/1011082,,,,Drama,fast,http://id.worldcat.org/fast/897468,Christian saints,fast,http://id.worldcat.org/fast/859491,,,,,,,,,,,,,,,,Female Mask (possibly A Saint),dramaticmuseum_fmb,,item,dramatic_museum
,,,,,,,,,,,,,,,,,,,,,omeka_2458,,https://exhibitions.cul.columbia.edu/index.php/exhibits/show/realia/masks_italy/gallery,,,,,,,,rbml_realia_m2.01,filename,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Female Mask (possibly A Saint),dramaticmuseum_fmb_000,dramaticmuseum_fmb,asset,dramatic_museum
Dramatic Museum Realia,http://id.library.columbia.edu/term/6d5257db-f732-4d2e-b196-2a8dd7754bbc,,,,,,,,,,,,,,,1700,1966,inferred,between 1700 and 1966,"Chinese character Yu painted on figurine's back, the first word of the title Yu Zhuo Ji.",,three dimensional object,,NNC-RB,"Rare Book & Manuscript Library, Columbia University",local,http://id.library.columbia.edu/term/d2142d01-deaa-4a39-8dbd-72c4f148353f,DM number: P26.01,Box: 39,,,,,,Date range based on the date range ([18th c.]-1966) of the Dramatic Museum Realia collection,,reformatted digital,"4""",objects,gmgpc,http://id.loc.gov/vocabulary/graphicMaterials/tgm007159,ceramic,original_format,China,Dramatic Museum Realia,http://www.columbia.edu/cgi-bin/cul/resolve?clio8556788,,,Figurines,fast,http://id.worldcat.org/fast/924112,,,,"Operas, Chinese",fast,http://id.worldcat.org/fast/1046239,,,,,,,,,,,,,,,,,,,Female Peking Opera Figurine In Black,dramaticmuseum_fpa,,item,dramatic_museum
,,,,,,,,,,,,,,,,,,,,,omeka_1392,,https://exhibitions.cul.columbia.edu/index.php/exhibits/show/realia/puppets_china/gallery5,,,,,,,,rbml_realia_p26.01,filename,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Female Peking Opera Figurine In Black,dramaticmuseum_fpa_000,dramaticmuseum_fpa,asset,dramatic_museum
Dramatic Museum Realia,http://id.library.columbia.edu/term/6d5257db-f732-4d2e-b196-2a8dd7754bbc,,,,,,,,,,,,,,,1700,1966,inferred,between 1700 and 1966,"Chinese characters Yu Zhuo Ji, the title of the opera, painted on figurine's back.",,three dimensional object,,NNC-RB,"Rare Book & Manuscript Library, Columbia University",local,http://id.library.columbia.edu/term/d2142d01-deaa-4a39-8dbd-72c4f148353f,DM number: P26.04,Box: 39,,,,,,Date range based on the date range ([18th c.]-1966) of the Dramatic Museum Realia collection,,reformatted digital,"4""",objects,gmgpc,http://id.loc.gov/vocabulary/graphicMaterials/tgm007159,ceramic,original_format,China,Dramatic Museum Realia,http://www.columbia.edu/cgi-bin/cul/resolve?clio8556788,,,Figurines,fast,http://id.worldcat.org/fast/924112,,,,"Operas, Chinese",fast,http://id.worldcat.org/fast/1046239,,,,,,,,,,,,,,,,,,,Female Peking Opera Figurine In Pink And Blue With Elaborate Headdress,dramaticmuseum_fpb,,item,dramatic_museum
,,,,,,,,,,,,,,,,,,,,,omeka_1395,,https://exhibitions.cul.columbia.edu/index.php/exhibits/show/realia/puppets_china/gallery5,,,,,,,,rbml_realia_p26.04,filename,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Female Peking Opera Figurine In Pink And Blue With Elaborate Headdress,dramaticmuseum_fpb_000,dramaticmuseum_fpb,asset,dramatic_museum
Dramatic Museum Realia,http://id.library.columbia.edu/term/6d5257db-f732-4d2e-b196-2a8dd7754bbc,,,,,,,,,,,,,,,1700,1966,inferred,between 1700 and 1966,,,three dimensional object,,NNC-RB,"Rare Book & Manuscript Library, Columbia University",local,http://id.library.columbia.edu/term/d2142d01-deaa-4a39-8dbd-72c4f148353f,DM number: P56.03,Box: 47,,,,,,Date range based on the date range ([18th c.]-1966) of the Dramatic Museum Realia collection,,reformatted digital,"4.5""",objects,gmgpc,http://id.loc.gov/vocabulary/graphicMaterials/tgm007159,ceramic,original_format,Japan,Dramatic Museum Realia,http://www.columbia.edu/cgi-bin/cul/resolve?clio8556788,"Mrs. M. Block, 1963?",ownership,Figurines,fast,http://id.worldcat.org/fast/924112,,,,Drama,fast,http://id.worldcat.org/fast/897468,,,,,,,,,,,,,,,,,,,"Figurine On Stand  Of Male In Black, Holding Scroll",dramaticmuseum_fsa,,item,dramatic_museum
,,,,,,,,,,,,,,,,,,,,,omeka_1596,,https://exhibitions.cul.columbia.edu/index.php/exhibits/show/realia/puppets_japan/gallery3,,,,,,,,rbml_realia_p56.03,filename,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Figurine On Stand  Of Male In Black, Holding Scroll",dramaticmuseum_fsa_000,dramaticmuseum_fsa,asset,dramatic_museum
Dramatic Museum Realia,http://id.library.columbia.edu/term/6d5257db-f732-4d2e-b196-2a8dd7754bbc,,,,,,,,,,,,,,,1700,1966,inferred,between 1700 and 1966,,,three dimensional object,,NNC-RB,"Rare Book & Manuscript Library, Columbia University",local,http://id.library.columbia.edu/term/d2142d01-deaa-4a39-8dbd-72c4f148353f,DM number: P56.02,Box: 47,,,,,,Date range based on the date range ([18th c.]-1966) of the Dramatic Museum Realia collection,,reformatted digital,"4.5""",objects,gmgpc,http://id.loc.gov/vocabulary/graphicMaterials/tgm007159,ceramic,original_format,Japan,Dramatic Museum Realia,http://www.columbia.edu/cgi-bin/cul/resolve?clio8556788,"Mrs. M. Block, 1963?",ownership,Figurines,fast,http://id.worldcat.org/fast/924112,,,,Drama,fast,http://id.worldcat.org/fast/897468,,,,,,,,,,,,,,,,,,,"Figurine On Stand  Of Male In Black, Holding Scroll",dramaticmuseum_fsb,,item,dramatic_museum
,,,,,,,,,,,,,,,,,,,,,omeka_1595,,https://exhibitions.cul.columbia.edu/index.php/exhibits/show/realia/puppets_japan/gallery3,,,,,,,,rbml_realia_p56.02,filename,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Figurine On Stand  Of Male In Black, Holding Scroll",dramaticmuseum_fsb_000,dramaticmuseum_fsb,asset,dramatic_museum
Dramatic Museum Realia,http://id.library.columbia.edu/term/6d5257db-f732-4d2e-b196-2a8dd7754bbc,,,,,,,,,,,,,,,1700,1966,inferred,between 1700 and 1966,,,three dimensional object,,NNC-RB,"Rare Book & Manuscript Library, Columbia University",local,http://id.library.columbia.edu/term/d2142d01-deaa-4a39-8dbd-72c4f148353f,DM number: P56.05,Box: 47,,,,,,Date range based on the date range ([18th c.]-1966) of the Dramatic Museum Realia collection,,reformatted digital,"3.25""",objects,gmgpc,http://id.loc.gov/vocabulary/graphicMaterials/tgm007159,ceramic,original_format,Japan,Dramatic Museum Realia,http://www.columbia.edu/cgi-bin/cul/resolve?clio8556788,"Mrs. M. Block, 1963?",ownership,Figurines,fast,http://id.worldcat.org/fast/924112,,,,Drama,fast,http://id.worldcat.org/fast/897468,,,,,,,,,,,,,,,,,,,"Figurine On Stand  Of Male, Fighting, Painted White",dramaticmuseum_fsc,,item,dramatic_museum
,,,,,,,,,,,,,,,,,,,,,omeka_1598,,https://exhibitions.cul.columbia.edu/index.php/exhibits/show/realia/puppets_japan/gallery1,,,,,,,,rbml_realia_p56.05,filename,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Figurine On Stand  Of Male, Fighting, Painted White",dramaticmuseum_fsc_000,dramaticmuseum_fsc,asset,dramatic_museum
Dramatic Museum Realia,http://id.library.columbia.edu/term/6d5257db-f732-4d2e-b196-2a8dd7754bbc,,,,,,,,,,,,,,,1700,1966,inferred,between 1700 and 1966,,,three dimensional object,,NNC-RB,"Rare Book & Manuscript Library, Columbia University",local,http://id.library.columbia.edu/term/d2142d01-deaa-4a39-8dbd-72c4f148353f,DM number: P56.04,Box: 47,,,,,,Date range based on the date range ([18th c.]-1966) of the Dramatic Museum Realia collection,,reformatted digital,"3.25""",objects,gmgpc,http://id.loc.gov/vocabulary/graphicMaterials/tgm007159,ceramic,original_format,Japan,Dramatic Museum Realia,http://www.columbia.edu/cgi-bin/cul/resolve?clio8556788,"Mrs. M. Block, 1963?",ownership,Figurines,fast,http://id.worldcat.org/fast/924112,,,,Drama,fast,http://id.worldcat.org/fast/897468,,,,,,,,,,,,,,,,,,,"Figurine On Stand  Of Male, Fighting, Painted White",dramaticmuseum_fsd,,item,dramatic_museum
,,,,,,,,,,,,,,,,,,,,,omeka_1597,,https://exhibitions.cul.columbia.edu/index.php/exhibits/show/realia/puppets_japan/gallery1,,,,,,,,rbml_realia_p56.04,filename,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Figurine On Stand  Of Male, Fighting, Painted White",dramaticmuseum_fsd_000,dramaticmuseum_fsd,asset,dramatic_museum
Dramatic Museum Realia,http://id.library.columbia.edu/term/6d5257db-f732-4d2e-b196-2a8dd7754bbc,,,,,,,,,,,,,,,1700,1966,inferred,between 1700 and 1966,,,three dimensional object,,NNC-RB,"Rare Book & Manuscript Library, Columbia University",local,http://id.library.columbia.edu/term/d2142d01-deaa-4a39-8dbd-72c4f148353f,DM number: P56.01,Box: 47,,,,,,Date range based on the date range ([18th c.]-1966) of the Dramatic Museum Realia collection,,reformatted digital,"5""",objects,gmgpc,http://id.loc.gov/vocabulary/graphicMaterials/tgm007159,ceramic,original_format,Japan,Dramatic Museum Realia,http://www.columbia.edu/cgi-bin/cul/resolve?clio8556788,"Mrs. M. Block, 1963?",ownership,Figurines,fast,http://id.worldcat.org/fast/924112,,,,Drama,fast,http://id.worldcat.org/fast/897468,,,,,,,,,,,,,,,,,,,Figurine On Stand Of Male With Cloth Covering Face,dramaticmuseum_fse,,item,dramatic_museum
,,,,,,,,,,,,,,,,,,,,,omeka_1594,,https://exhibitions.cul.columbia.edu/index.php/exhibits/show/realia/puppets_japan/gallery2,,,,,,,,rbml_realia_p56.01,filename,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Figurine On Stand Of Male With Cloth Covering Face,dramaticmuseum_fse_000,dramaticmuseum_fse,asset,dramatic_museum
Dramatic Museum Realia,http://id.library.columbia.edu/term/6d5257db-f732-4d2e-b196-2a8dd7754bbc,,,,,,,,,,,,,,,1700,1966,inferred,between 1700 and 1966,"Set contains five wigs, one small figure dressed in red to model them, and a printed sheet of description.",,three dimensional object,,NNC-RB,"Rare Book & Manuscript Library, Columbia University",local,http://id.library.columbia.edu/term/d2142d01-deaa-4a39-8dbd-72c4f148353f,DM number: P38.01,Box: 22,,,,,,Date range based on the date range ([18th c.]-1966) of the Dramatic Museum Realia collection,,reformatted digital,"5""",objects,gmgpc,http://id.loc.gov/vocabulary/graphicMaterials/tgm007159,"wood, hair",original_format,Japan,Dramatic Museum Realia,http://www.columbia.edu/cgi-bin/cul/resolve?clio8556788,,,Figurines,fast,http://id.worldcat.org/fast/924112,,,,Hairdressing,fast,http://id.worldcat.org/fast/950412,,,,,,,,,,,,,,,,,,,Figurine With Set Of Hair Dressings Of Japanese Women Artistically Arranged In Several Forms,dramaticmuseum_fsj,,item,dramatic_museum
