relatedItem_collection,name,nameType,nameRelator,name_authority,name_authority_identifier,name 2,nameRelator 2,nameType 2,name_authority 2,name_authority_identifier 2,keyDate_start,keyDate_end,dateQualifier,dateCreated,abstract,abstract 2,item - featured,identifier_clio,identifier_omeka,typeOfResource,language,location_url_ObjectInContext,physicalLocation,physicalLocation_authority,shelfLocator,sublocation,note,note 2,note 3,note_filename,digitalOrigin,extent,form,form_authority,form_authority_identifier,form_originalFormat,form_originalFormat 1,place,place_authority,place_authority_identifier,relatedItem_Project,projectURL,note_ownership,publisher,languageOfCataloging,subject_topic,subject_topic_authority,subject_topic_authority_identifier,subject_topic 2,subject_topic_authority 2,subject_topic_authority_identifier 2,subject_topic 3,subject_topic_authority 3,subject_topic_authority_identifier 3,subject_topic 4,subject_topic_authority 4,subject_topic_authority_identifier 4,subject_name,subject_name_authority,subject_name_authority_identifier,subject_name 2,subject_name_authority 2,subject_name_authority_identifier 2,subject_title,subject_title_authority,subject_title_authority_identifier,subject_geographic,subject_geographic_authority,subject_geographic_authority_identifier,subject_geographic_hierarchical_street,subject_geographic_hierarchical_borough,subject_geographic_hierarchical_city,subject_geographic_hierarchical_state,subject_geographic_hierarchical_province,subject_geographic_hierarchical_country,subject_temporal,item - public,title_nonsort,title,partName,identifier_title,title2_nonsort,title2,title2_type
Dramatic Museum Realia,,,,,,,,,,,1700,1966,inferred,between 1700 and 1966,,,0,,1503,three dimensional object,,https://exhibitions.cul.columbia.edu/index.php/exhibits/show/realia/puppets_france/gallery2,NNC-RB,marcorg,"DM number: P09.32,  Box:  15",,,,Date range based on the date range ([18th c.]-1966) of the Dramatic Museum Realia collection,rbml_realia_p09.32,reformatted digital,"4""",objects,aat,,papier mache,Hand puppets,France,naf,http://id.loc.gov/authorities/names/n79006404,Dramatic Museum Realia,http://www.columbia.edu/cgi-bin/cul/resolve?clio8556788,Brander Matthews,,eng,Hand puppets,fast,http://id.worldcat.org/fast/950880,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,Face For A Hand Puppet,Face,dramaticmuseum_fhc_001,,,
Dramatic Museum Realia,,,,,,,,,,,1700,1966,inferred,between 1700 and 1966,,,0,,1502,three dimensional object,,https://exhibitions.cul.columbia.edu/index.php/exhibits/show/realia/puppets_france/gallery2,NNC-RB,marcorg,"DM number: P09.31,  Box:  15",,,,Date range based on the date range ([18th c.]-1966) of the Dramatic Museum Realia collection,rbml_realia_p09.31,reformatted digital,"4""",objects,aat,,papier mache,Hand puppets,France,naf,http://id.loc.gov/authorities/names/n79006404,Dramatic Museum Realia,http://www.columbia.edu/cgi-bin/cul/resolve?clio8556788,Brander Matthews,,eng,Hand puppets,fast,http://id.worldcat.org/fast/950880,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,Face For A Hand Puppet,Face,dramaticmuseum_fhd_001,,,
Dramatic Museum Realia,,,,,,,,,,,1700,1966,inferred,between 1700 and 1966,,,0,,1501,three dimensional object,,https://exhibitions.cul.columbia.edu/index.php/exhibits/show/realia/puppets_france/gallery2,NNC-RB,marcorg,"DM number: P09.07,  Box:  12",,,,Date range based on the date range ([18th c.]-1966) of the Dramatic Museum Realia collection,rbml_realia_p09.07,reformatted digital,"12""",objects,aat,,papier mache,Hand puppets,France,naf,http://id.loc.gov/authorities/names/n79006404,Dramatic Museum Realia,http://www.columbia.edu/cgi-bin/cul/resolve?clio8556788,"Purchased by Brander Matthews in Paris, 1867",,eng,Hand puppets,fast,http://id.worldcat.org/fast/950880,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,"Female Hand Puppet With White, Red Dress And Blue, White Apron",,dramaticmuseum_fhl_000,,,
Dramatic Museum Realia,,,,,,,,,,,1700,1966,inferred,between 1700 and 1966,,,0,,1500,three dimensional object,,https://exhibitions.cul.columbia.edu/index.php/exhibits/show/realia/puppets_france/gallery2,NNC-RB,marcorg,"DM number: P09.05,  Box:  12",,,,Date range based on the date range ([18th c.]-1966) of the Dramatic Museum Realia collection,rbml_realia_p09.05,reformatted digital,"12""",objects,aat,,papier mache,Hand puppets,France,naf,http://id.loc.gov/authorities/names/n79006404,Dramatic Museum Realia,http://www.columbia.edu/cgi-bin/cul/resolve?clio8556788,"Purchased by Brander Matthews in Paris, 1867",,eng,Hand puppets,fast,http://id.worldcat.org/fast/950880,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,Female Hand Puppet With Black And White Dress And White Apron,,dramaticmuseum_fhe_000,,,
Dramatic Museum Realia,,,,,,,,,,,1700,1966,inferred,between 1700 and 1966,,,0,,1499,three dimensional object,,https://exhibitions.cul.columbia.edu/index.php/exhibits/show/realia/puppets_france/gallery2,NNC-RB,marcorg,"DM number: P09.03,  Box:  12",,,,Date range based on the date range ([18th c.]-1966) of the Dramatic Museum Realia collection,rbml_realia_p09.03,reformatted digital,"12""",objects,aat,,papier mache,Hand puppets,France,naf,http://id.loc.gov/authorities/names/n79006404,Dramatic Museum Realia,http://www.columbia.edu/cgi-bin/cul/resolve?clio8556788,"Purchased by Brander Matthews in Paris, 1867",,eng,Hand puppets,fast,http://id.worldcat.org/fast/950880,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,Male Hand Puppet In White Vest With Black Bird Print,,dramaticmuseum_mha_000,,,
Dramatic Museum Realia,,,,,,,,,,,1700,1966,inferred,between 1700 and 1966,,,0,,1498,three dimensional object,,https://exhibitions.cul.columbia.edu/index.php/exhibits/show/realia/puppets_france/gallery2,NNC-RB,marcorg,"DM number: P09.30,  Box:  14",,,,Date range based on the date range ([18th c.]-1966) of the Dramatic Museum Realia collection,rbml_realia_p09.30,reformatted digital,"33""",objects,aat,,wood,Hand puppets,France,naf,http://id.loc.gov/authorities/names/n79006404,Dramatic Museum Realia,http://www.columbia.edu/cgi-bin/cul/resolve?clio8556788,Brander Matthews,,eng,Hand puppets,fast,http://id.worldcat.org/fast/950880,Crocodiles,fast,http://id.worldcat.org/fast/883860,,,,,,,,,,,,,,,,,,,,,,,,,,1,,Crocodile Hand Puppet,,dramaticmuseum_crp_000,,,
Dramatic Museum Realia,,,,,,,,,,,1700,1966,inferred,between 1700 and 1966,,,0,,1497,three dimensional object,,https://exhibitions.cul.columbia.edu/index.php/exhibits/show/realia/puppets_france/gallery2,NNC-RB,marcorg,"DM number: P09.17,  Box:  14",,,,Date range based on the date range ([18th c.]-1966) of the Dramatic Museum Realia collection,rbml_realia_p09.17,reformatted digital,"13""",objects,aat,,papier mache,Hand puppets,France,naf,http://id.loc.gov/authorities/names/n79006404,Dramatic Museum Realia,http://www.columbia.edu/cgi-bin/cul/resolve?clio8556788,Brander Matthews,,eng,Hand puppets,fast,http://id.worldcat.org/fast/950880,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,Male Hand Puppet With Black Hair And Blue Robe,,dramaticmuseum_mpb_000,,,
Dramatic Museum Realia,,,,,,,,,,,1700,1966,inferred,between 1700 and 1966,,,0,,1496,three dimensional object,,https://exhibitions.cul.columbia.edu/index.php/exhibits/show/realia/puppets_france/gallery2,NNC-RB,marcorg,"DM number: P09.16,  Box:  14",,,,Date range based on the date range ([18th c.]-1966) of the Dramatic Museum Realia collection,rbml_realia_p09.16,reformatted digital,"11.5""",objects,aat,,papier mache,Hand puppets,France,naf,http://id.loc.gov/authorities/names/n79006404,Dramatic Museum Realia,http://www.columbia.edu/cgi-bin/cul/resolve?clio8556788,Brander Matthews,,eng,Hand puppets,fast,http://id.worldcat.org/fast/950880,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,Bald Hand Puppet In Blue Flower Print Robe,,dramaticmuseum_bhp_000,,,
Dramatic Museum Realia,,,,,,,,,,,1700,1966,inferred,between 1700 and 1966,,,0,,1495,three dimensional object,,https://exhibitions.cul.columbia.edu/index.php/exhibits/show/realia/puppets_france/gallery2,NNC-RB,marcorg,"DM number: P09.15,  Box:  13",,,,Date range based on the date range ([18th c.]-1966) of the Dramatic Museum Realia collection,rbml_realia_p09.15,reformatted digital,"13""",objects,aat,,papier mache,Hand puppets,France,naf,http://id.loc.gov/authorities/names/n79006404,Dramatic Museum Realia,http://www.columbia.edu/cgi-bin/cul/resolve?clio8556788,Brander Matthews,,eng,Hand puppets,fast,http://id.worldcat.org/fast/950880,Devil,fast,http://id.worldcat.org/fast/891974,,,,,,,,,,,,,,,,,,,,,,,,,,1,,Green And Orange Devil Hand Puppet,,dramaticmuseum_goa_000,,,
Dramatic Museum Realia,,,,,,,,,,,1700,1966,inferred,between 1700 and 1966,,,0,,1494,three dimensional object,,https://exhibitions.cul.columbia.edu/index.php/exhibits/show/realia/puppets_france/gallery3,NNC-RB,marcorg,"DM number: P09.14,  Box:  14",,,,Date range based on the date range ([18th c.]-1966) of the Dramatic Museum Realia collection,rbml_realia_p09.14,reformatted digital,"12.5""",objects,aat,,papier mache,Hand puppets,France,naf,http://id.loc.gov/authorities/names/n79006404,Dramatic Museum Realia,http://www.columbia.edu/cgi-bin/cul/resolve?clio8556788,Brander Matthews,,eng,Hand puppets,fast,http://id.worldcat.org/fast/950880,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,Female Hand Puppet With Blue Ribbon Around Neck,,dramaticmuseum_fhf_000,,,
Dramatic Museum Realia,,,,,,,,,,,1700,1966,inferred,between 1700 and 1966,,,0,,1493,three dimensional object,,https://exhibitions.cul.columbia.edu/index.php/exhibits/show/realia/puppets_france/gallery3,NNC-RB,marcorg,"DM number: P09.13,  Box:  12",,,,Date range based on the date range ([18th c.]-1966) of the Dramatic Museum Realia collection,rbml_realia_p09.13,reformatted digital,"13""",objects,aat,,papier mache,Hand puppets,France,naf,http://id.loc.gov/authorities/names/n79006404,Dramatic Museum Realia,http://www.columbia.edu/cgi-bin/cul/resolve?clio8556788,Brander Matthews,,eng,Hand puppets,fast,http://id.worldcat.org/fast/950880,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,"Elderly Male Hand Puppet With Long Nose, Green Cap, Eyeglasses",,dramaticmuseum_ema_000,,,
Dramatic Museum Realia,,,,,,,,,,,1700,1966,inferred,between 1700 and 1966,,,0,,1492,three dimensional object,,https://exhibitions.cul.columbia.edu/index.php/exhibits/show/realia/puppets_france/gallery3,NNC-RB,marcorg,"DM number: P09.12,  Box:  13",,,,Date range based on the date range ([18th c.]-1966) of the Dramatic Museum Realia collection,rbml_realia_p09.12,reformatted digital,"12""",objects,aat,,papier mache,Hand puppets,France,naf,http://id.loc.gov/authorities/names/n79006404,Dramatic Museum Realia,http://www.columbia.edu/cgi-bin/cul/resolve?clio8556788,Brander Matthews,,eng,Hand puppets,fast,http://id.worldcat.org/fast/950880,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,"Male Hand Puppet With White And Gold Vest, Blue Coat",,dramaticmuseum_mhk_000,,,
