identifier_omeka,physicalLocation,form,keyDate_start,digitalOrigin,languageOfCataloging,relatedItem_collection,shelfLocator,note,place,dateQualifier,title,dateCreated,language,name_primary,subject_topic,relatedItem_note,abstract,publisher,accessCondition,form 2,note_filename,relatedItem_Project,typeOfResource,relatedItem_title
8988,"Rare Book & Manuscript Library, Columbia University",manuscripts,1857,reformatted digital,eng,Sydney Howard Gay Papers,"Box 72, Folder 4, MS0475",,,inferred,"Record of Fugitives. Addenda, page [16]",undated,eng,"Gay, Sydney Howard, 1814-1888",,Fugitive slaves--United States,,,,,http://ldpd.cul.columbia.edu/slave/1402520016.jpg,Sydney Howard Gay’s Record of Fugitive Slaves,Still Image,
8987,"Rare Book & Manuscript Library, Columbia University",manuscripts,1857,reformatted digital,eng,Sydney Howard Gay Papers,"Box 72, Folder 4, MS0475",Reverse of undated document in hand of James Morris,,inferred,"Record of Fugitives. Addenda, page [15]",undated,eng,"Gay, Sydney Howard, 1814-1888",,Fugitive slaves--United States,,,,,http://ldpd.cul.columbia.edu/slave/1402520015.jpg,Sydney Howard Gay’s Record of Fugitive Slaves,Still Image,
8986,"Rare Book & Manuscript Library, Columbia University",manuscripts,1857,reformatted digital,eng,Sydney Howard Gay Papers,"Box 72, Folder 4, MS0475",,,inferred,"Record of Fugitives. Addenda, page [14]",undated,eng,"Gay, Sydney Howard, 1814-1888",,Fugitive slaves--United States,,,,,http://ldpd.cul.columbia.edu/slave/1402520014.jpg,Sydney Howard Gay’s Record of Fugitive Slaves,Still Image,
8985,"Rare Book & Manuscript Library, Columbia University",manuscripts,1856-12-30,reformatted digital,eng,Sydney Howard Gay Papers,"Box 72, Folder 4, MS0475",Reverse  of Dec. 30 1856 document regarding Albert McCealee [?} and John Edward Drayton,,,"Record of Fugitives. Addenda, page [13]",Dec. 30th 1856,eng,"Gay, Sydney Howard, 1814-1888",,Fugitive slaves--America,,,,,http://ldpd.cul.columbia.edu/slave/1402520013.jpg,Sydney Howard Gay’s Record of Fugitive Slaves,Still Image,
8984,"Rare Book & Manuscript Library, Columbia University",manuscripts,1856-12-30,reformatted digital,eng,Sydney Howard Gay Papers,"Box 72, Folder 4, MS0475",,,,"Record of Fugitives. Addenda, page [12]",Dec. 30th 1856,eng,"Gay, Sydney Howard, 1814-1888",,Fugitive slaves--America,,,,,http://ldpd.cul.columbia.edu/slave/1402520012.jpg,Sydney Howard Gay’s Record of Fugitive Slaves,Still Image,
8983,"Rare Book & Manuscript Library, Columbia University",manuscripts,1856-12-29,reformatted digital,eng,Sydney Howard Gay Papers,"Box 72, Folder 4, MS0475",,,,"Record of Fugitives. Addenda, page [11]",Dec. 29th 1856,eng,"Gay, Sydney Howard, 1814-1888",,Fugitive slaves--America,,,,,http://ldpd.cul.columbia.edu/slave/1402520011.jpg,Sydney Howard Gay’s Record of Fugitive Slaves,Still Image,
8982,"Rare Book & Manuscript Library, Columbia University",manuscripts,1856-12-29,reformatted digital,eng,Sydney Howard Gay Papers,"Box 72, Folder 4, MS0475",,,,"Record of Fugitives. Addenda, page [10]",Dec. 29th 1856,eng,"Gay, Sydney Howard, 1814-1888",,Fugitive slaves--America,,,,,http://ldpd.cul.columbia.edu/slave/1402520010.jpg,Sydney Howard Gay’s Record of Fugitive Slaves,Still Image,
8981,"Rare Book & Manuscript Library, Columbia University",manuscripts,1856-12-08,reformatted digital,eng,Sydney Howard Gay Papers,"Box 72, Folder 4, MS0475",,,,"Record of Fugitives. Addenda, page [9]",Dec. 8th 1856,eng,"Gay, Sydney Howard, 1814-1888",,Fugitive slaves--America,,,,,http://ldpd.cul.columbia.edu/slave/1402520009.jpg,Sydney Howard Gay’s Record of Fugitive Slaves,Still Image,
8980,"Rare Book & Manuscript Library, Columbia University",manuscripts,1856-11 1856-12,reformatted digital,eng,Sydney Howard Gay Papers,"Box 72, Folder 4, MS0475",,,inferred,"Record of Fugitives. Addenda, page [8]",Between Nov. 27th and Dec. 8th 1856 ,eng,"Gay, Sydney Howard, 1814-1888",,Fugitive slaves--America,,,,,http://ldpd.cul.columbia.edu/slave/1402520008.jpg,Sydney Howard Gay’s Record of Fugitive Slaves,Still Image,
8979,"Rare Book & Manuscript Library, Columbia University",manuscripts,1856-11-27,reformatted digital,eng,Sydney Howard Gay Papers,"Box 72, Folder 4, MS0475",,,,"Record of Fugitives. Addenda, page [7]",Nov. 27th 1856,eng,"Gay, Sydney Howard, 1814-1888",,Fugitive slaves--America,,,,,http://ldpd.cul.columbia.edu/slave/1402520007.jpg,Sydney Howard Gay’s Record of Fugitive Slaves,Still Image,
8978,"Rare Book & Manuscript Library, Columbia University",manuscripts,1856-11-26,reformatted digital,eng,Sydney Howard Gay Papers,"Box 72, Folder 4, MS0475","Reverse  of Nov. 26, 1856 document regarding William Bailey",,,"Record of Fugitives. Addenda, page [6]",Nov. 26th 1856,eng,"Gay, Sydney Howard, 1814-1888",,Fugitive slaves--America,,,,,http://ldpd.cul.columbia.edu/slave/1402520006.jpg,Sydney Howard Gay’s Record of Fugitive Slaves,Still Image,
