identifier_omeka,physicalLocation,form,keyDate_start,digitalOrigin,languageOfCataloging,relatedItem_collection,shelfLocator,note,place,dateQualifier,title,dateCreated,language,name_primary,subject_topic,relatedItem_note,abstract,publisher,accessCondition,form 2,note_filename,relatedItem_Project,typeOfResource,relatedItem_title
8935,"Rare Book & Manuscript Library, Columbia University",manuscripts,1855 1856,reformatted digital,eng,Sydney Howard Gay Papers,MS#0475,,,,"Record of Fugitives. Book 2,  page [37]",1855-1856,eng,"Gay, Sydney Howard, 1814-1888",Fugitive slaves--United States,,,,,,http://ldpd.cul.columbia.edu/slave/100148091.jpg,Sydney Howard Gay’s Record of Fugitive Slaves,Still Image,
8934,"Rare Book & Manuscript Library, Columbia University",manuscripts,1855 1856,reformatted digital,eng,Sydney Howard Gay Papers,MS#0475,,,,"Record of Fugitives. Book 2,  page [36]",1855-1856,eng,"Gay, Sydney Howard, 1814-1888",Fugitive slaves--United States,,,,,,http://ldpd.cul.columbia.edu/slave/100148090.jpg,Sydney Howard Gay’s Record of Fugitive Slaves,Still Image,
8933,"Rare Book & Manuscript Library, Columbia University",manuscripts,1855 1856,reformatted digital,eng,Sydney Howard Gay Papers,MS#0475,,,,"Record of Fugitives. Book 2,  page [35]",1855-1856,eng,"Gay, Sydney Howard, 1814-1888",Fugitive slaves--United States,,,,,,http://ldpd.cul.columbia.edu/slave/100148089.jpg,Sydney Howard Gay’s Record of Fugitive Slaves,Still Image,
8932,"Rare Book & Manuscript Library, Columbia University",manuscripts,1855 1856,reformatted digital,eng,Sydney Howard Gay Papers,MS#0475,,,,"Record of Fugitives. Book 2,  page [34]",1855-1856,eng,"Gay, Sydney Howard, 1814-1888",Fugitive slaves--United States,,,,,,http://ldpd.cul.columbia.edu/slave/100148088.jpg,Sydney Howard Gay’s Record of Fugitive Slaves,Still Image,
8931,"Rare Book & Manuscript Library, Columbia University",manuscripts,1855 1856,reformatted digital,eng,Sydney Howard Gay Papers,MS#0475,,,,"Record of Fugitives. Book 2,  page [33]",1855-1856,eng,"Gay, Sydney Howard, 1814-1888",Fugitive slaves--United States,,,,,,http://ldpd.cul.columbia.edu/slave/100148087.jpg,Sydney Howard Gay’s Record of Fugitive Slaves,Still Image,
8930,"Rare Book & Manuscript Library, Columbia University",manuscripts,1855 1856,reformatted digital,eng,Sydney Howard Gay Papers,MS#0475,,,,"Record of Fugitives. Book 2,  page [32]",1855-1856,eng,"Gay, Sydney Howard, 1814-1888",Fugitive slaves--United States,,,,,,http://ldpd.cul.columbia.edu/slave/100148086.jpg,Sydney Howard Gay’s Record of Fugitive Slaves,Still Image,
8929,"Rare Book & Manuscript Library, Columbia University",manuscripts,1855 1856,reformatted digital,eng,Sydney Howard Gay Papers,MS#0475,,,,"Record of Fugitives. Book 2,  page [31]",1855-1856,eng,"Gay, Sydney Howard, 1814-1888",Fugitive slaves--United States,,,,,,http://ldpd.cul.columbia.edu/slave/100148085.jpg,Sydney Howard Gay’s Record of Fugitive Slaves,Still Image,
8928,"Rare Book & Manuscript Library, Columbia University",manuscripts,1855 1856,reformatted digital,eng,Sydney Howard Gay Papers,MS#0475,,,,"Record of Fugitives. Book 2,  page [30]",1855-1856,eng,"Gay, Sydney Howard, 1814-1888",Fugitive slaves--United States,,,,,,http://ldpd.cul.columbia.edu/slave/100148084.jpg,Sydney Howard Gay’s Record of Fugitive Slaves,Still Image,
8927,"Rare Book & Manuscript Library, Columbia University",manuscripts,1855 1856,reformatted digital,eng,Sydney Howard Gay Papers,MS#0475,,,,"Record of Fugitives. Book 2,  page [29]",1855-1856,eng,"Gay, Sydney Howard, 1814-1888",Fugitive slaves--United States,,,,,,http://ldpd.cul.columbia.edu/slave/100148083.jpg,Sydney Howard Gay’s Record of Fugitive Slaves,Still Image,
8926,"Rare Book & Manuscript Library, Columbia University",manuscripts,1855 1856,reformatted digital,eng,Sydney Howard Gay Papers,MS#0475,,,,"Record of Fugitives. Book 2,  page [28]",1855-1856,eng,"Gay, Sydney Howard, 1814-1888",Fugitive slaves--United States,,,,,,http://ldpd.cul.columbia.edu/slave/100148082.jpg,Sydney Howard Gay’s Record of Fugitive Slaves,Still Image,
8925,"Rare Book & Manuscript Library, Columbia University",manuscripts,1855 1856,reformatted digital,eng,Sydney Howard Gay Papers,MS#0475,,,,"Record of Fugitives. Book 2,  page [27]",1855-1856,eng,"Gay, Sydney Howard, 1814-1888",Fugitive slaves--United States,,,,,,http://ldpd.cul.columbia.edu/slave/100148081.jpg,Sydney Howard Gay’s Record of Fugitive Slaves,Still Image,
8924,"Rare Book & Manuscript Library, Columbia University",manuscripts,1855 1856,reformatted digital,eng,Sydney Howard Gay Papers,MS#0475,,,,"Record of Fugitives. Book 2,  page [26]",1855-1856,eng,"Gay, Sydney Howard, 1814-1888",Fugitive slaves--United States,,,,,,http://ldpd.cul.columbia.edu/slave/100148080.jpg,Sydney Howard Gay’s Record of Fugitive Slaves,Still Image,
8923,"Rare Book & Manuscript Library, Columbia University",manuscripts,1855 1856,reformatted digital,eng,Sydney Howard Gay Papers,MS#0475,,,,"Record of Fugitives. Book 2,  page [25]",1855-1856,eng,"Gay, Sydney Howard, 1814-1888",Fugitive slaves--United States,,,,,,http://ldpd.cul.columbia.edu/slave/100148079.jpg,Sydney Howard Gay’s Record of Fugitive Slaves,Still Image,
8922,"Rare Book & Manuscript Library, Columbia University",manuscripts,1855 1856,reformatted digital,eng,Sydney Howard Gay Papers,MS#0475,,,,"Record of Fugitives. Book 2,  page [24]",1855-1856,eng,"Gay, Sydney Howard, 1814-1888",Fugitive slaves--United States,,,,,,http://ldpd.cul.columbia.edu/slave/100148078.jpg,Sydney Howard Gay’s Record of Fugitive Slaves,Still Image,
8921,"Rare Book & Manuscript Library, Columbia University",manuscripts,1855 1856,reformatted digital,eng,Sydney Howard Gay Papers,MS#0475,,,,"Record of Fugitives. Book 2,  page [23]",1855-1856,eng,"Gay, Sydney Howard, 1814-1888",Fugitive slaves--United States,,,,,,http://ldpd.cul.columbia.edu/slave/100148077.jpg,Sydney Howard Gay’s Record of Fugitive Slaves,Still Image,
8920,"Rare Book & Manuscript Library, Columbia University",manuscripts,1855 1856,reformatted digital,eng,Sydney Howard Gay Papers,MS#0475,,,,"Record of Fugitives. Book 2,  page [22]",1855-1856,eng,"Gay, Sydney Howard, 1814-1888",Fugitive slaves--United States,,,,,,http://ldpd.cul.columbia.edu/slave/100148076.jpg,Sydney Howard Gay’s Record of Fugitive Slaves,Still Image,
8919,"Rare Book & Manuscript Library, Columbia University",manuscripts,1855 1856,reformatted digital,eng,Sydney Howard Gay Papers,MS#0475,,,,"Record of Fugitives. Book 2,  page [21]",1855-1856,eng,"Gay, Sydney Howard, 1814-1888",Fugitive slaves--United States,,,,,,http://ldpd.cul.columbia.edu/slave/100148075.jpg,Sydney Howard Gay’s Record of Fugitive Slaves,Still Image,
8918,"Rare Book & Manuscript Library, Columbia University",manuscripts,1855 1856,reformatted digital,eng,Sydney Howard Gay Papers,MS#0475,,,,"Record of Fugitives. Book 2,  page [20]",1855-1856,eng,"Gay, Sydney Howard, 1814-1888",Fugitive slaves--United States,,,,,,http://ldpd.cul.columbia.edu/slave/100148074.jpg,Sydney Howard Gay’s Record of Fugitive Slaves,Still Image,
8917,"Rare Book & Manuscript Library, Columbia University",manuscripts,1855 1856,reformatted digital,eng,Sydney Howard Gay Papers,MS#0475,,,,"Record of Fugitives. Book 2,  page [19]",1855-1856,eng,"Gay, Sydney Howard, 1814-1888",Fugitive slaves--United States,,,,,,http://ldpd.cul.columbia.edu/slave/100148073.jpg,Sydney Howard Gay’s Record of Fugitive Slaves,Still Image,
8916,"Rare Book & Manuscript Library, Columbia University",manuscripts,1855 1856,reformatted digital,eng,Sydney Howard Gay Papers,MS#0475,,,,"Record of Fugitives. Book 2,  page [18]",1855-1856,eng,"Gay, Sydney Howard, 1814-1888",Fugitive slaves--United States,,,,,,http://ldpd.cul.columbia.edu/slave/100148072.jpg,Sydney Howard Gay’s Record of Fugitive Slaves,Still Image,
8915,"Rare Book & Manuscript Library, Columbia University",manuscripts,1855 1856,reformatted digital,eng,Sydney Howard Gay Papers,MS#0475,,,,"Record of Fugitives. Book 2,  page [17]",1855-1856,eng,"Gay, Sydney Howard, 1814-1888",Fugitive slaves--United States,,,,,,http://ldpd.cul.columbia.edu/slave/100148071.jpg,Sydney Howard Gay’s Record of Fugitive Slaves,Still Image,
8914,"Rare Book & Manuscript Library, Columbia University",manuscripts,1855 1856,reformatted digital,eng,Sydney Howard Gay Papers,MS#0475,,,,"Record of Fugitives. Book 2,  page [16]",1855-1856,eng,"Gay, Sydney Howard, 1814-1888",Fugitive slaves--United States,,,,,,http://ldpd.cul.columbia.edu/slave/100148070.jpg,Sydney Howard Gay’s Record of Fugitive Slaves,Still Image,
8913,"Rare Book & Manuscript Library, Columbia University",manuscripts,1855 1856,reformatted digital,eng,Sydney Howard Gay Papers,MS#0475,,,,"Record of Fugitives. Book 2,  page [15]",1855-1856,eng,"Gay, Sydney Howard, 1814-1888",Fugitive slaves--United States,,,,,,http://ldpd.cul.columbia.edu/slave/100148069.jpg,Sydney Howard Gay’s Record of Fugitive Slaves,Still Image,
8912,"Rare Book & Manuscript Library, Columbia University",manuscripts,1855 1856,reformatted digital,eng,Sydney Howard Gay Papers,MS#0475,,,,"Record of Fugitives. Book 2,  page [14]",1855-1856,eng,"Gay, Sydney Howard, 1814-1888",Fugitive slaves--United States,,,,,,http://ldpd.cul.columbia.edu/slave/100148068.jpg,Sydney Howard Gay’s Record of Fugitive Slaves,Still Image,
8911,"Rare Book & Manuscript Library, Columbia University",manuscripts,1855 1856,reformatted digital,eng,Sydney Howard Gay Papers,MS#0475,,,,"Record of Fugitives. Book 2,  page [13]",1855-1856,eng,"Gay, Sydney Howard, 1814-1888",Fugitive slaves--United States,,,,,,http://ldpd.cul.columbia.edu/slave/100148067.jpg,Sydney Howard Gay’s Record of Fugitive Slaves,Still Image,
8910,"Rare Book & Manuscript Library, Columbia University",manuscripts,1855 1856,reformatted digital,eng,Sydney Howard Gay Papers,MS#0475,,,,"Record of Fugitives. Book 2,  page [12]",1855-1856,eng,"Gay, Sydney Howard, 1814-1888",Fugitive slaves--United States,,,,,,http://ldpd.cul.columbia.edu/slave/100148066.jpg,Sydney Howard Gay’s Record of Fugitive Slaves,Still Image,
8909,"Rare Book & Manuscript Library, Columbia University",manuscripts,1855 1856,reformatted digital,eng,Sydney Howard Gay Papers,MS#0475,,,,"Record of Fugitives. Book 2,  page [11]",1855-1856,eng,"Gay, Sydney Howard, 1814-1888",Fugitive slaves--United States,,,,,,http://ldpd.cul.columbia.edu/slave/100148065.jpg,Sydney Howard Gay’s Record of Fugitive Slaves,Still Image,
8908,"Rare Book & Manuscript Library, Columbia University",manuscripts,1855 1856,reformatted digital,eng,Sydney Howard Gay Papers,MS#0475,,,,"Record of Fugitives. Book 2,  page [10]",1855-1856,eng,"Gay, Sydney Howard, 1814-1888",Fugitive slaves--United States,,,,,,http://ldpd.cul.columbia.edu/slave/100148064.jpg,Sydney Howard Gay’s Record of Fugitive Slaves,Still Image,
8907,"Rare Book & Manuscript Library, Columbia University",manuscripts,1855 1856,reformatted digital,eng,Sydney Howard Gay Papers,MS#0475,,,,"Record of Fugitives. Book 2,  page [9]",1855-1856,eng,"Gay, Sydney Howard, 1814-1888",Fugitive slaves--United States,,,,,,http://ldpd.cul.columbia.edu/slave/100148063.jpg,Sydney Howard Gay’s Record of Fugitive Slaves,Still Image,
8906,"Rare Book & Manuscript Library, Columbia University",manuscripts,1855 1856,reformatted digital,eng,Sydney Howard Gay Papers,MS#0475,,,,"Record of Fugitives. Book 2,  page [8]",1855-1856,eng,"Gay, Sydney Howard, 1814-1888",Fugitive slaves--United States,,,,,,http://ldpd.cul.columbia.edu/slave/100148062.jpg,Sydney Howard Gay’s Record of Fugitive Slaves,Still Image,
8905,"Rare Book & Manuscript Library, Columbia University",manuscripts,1855 1856,reformatted digital,eng,Sydney Howard Gay Papers,MS#0475,,,,"Record of Fugitives. Book 2,  page [7]",1855-1856,eng,"Gay, Sydney Howard, 1814-1888",Fugitive slaves--United States,,,,,,http://ldpd.cul.columbia.edu/slave/100148061.jpg,Sydney Howard Gay’s Record of Fugitive Slaves,Still Image,
8904,"Rare Book & Manuscript Library, Columbia University",manuscripts,1855 1856,reformatted digital,eng,Sydney Howard Gay Papers,MS#0475,,,,"Record of Fugitives. Book 2,  page [6]",1855-1856,eng,"Gay, Sydney Howard, 1814-1888",Fugitive slaves--United States,,,,,,http://ldpd.cul.columbia.edu/slave/100148060.jpg,Sydney Howard Gay’s Record of Fugitive Slaves,Still Image,
8903,"Rare Book & Manuscript Library, Columbia University",manuscripts,1855 1856,reformatted digital,eng,Sydney Howard Gay Papers,MS#0475,,,,"Record of Fugitives. Book 2,  page [5]",1855-1856,eng,"Gay, Sydney Howard, 1814-1888",Fugitive slaves--United States,,,,,,http://ldpd.cul.columbia.edu/slave/100148059.jpg,Sydney Howard Gay’s Record of Fugitive Slaves,Still Image,
8902,"Rare Book & Manuscript Library, Columbia University",manuscripts,1855 1856,reformatted digital,eng,Sydney Howard Gay Papers,MS#0475,,,,"Record of Fugitives. Book 2,  page [4]",1855-1856,eng,"Gay, Sydney Howard, 1814-1888",Fugitive slaves--United States,,,,,,http://ldpd.cul.columbia.edu/slave/100148058.jpg,Sydney Howard Gay’s Record of Fugitive Slaves,Still Image,
8901,"Rare Book & Manuscript Library, Columbia University",manuscripts,1855 1856,reformatted digital,eng,Sydney Howard Gay Papers,MS#0475,,,,"Record of Fugitives. Book 2,  page [3]",1855-1856,eng,"Gay, Sydney Howard, 1814-1888",Fugitive slaves--United States,,,,,,http://ldpd.cul.columbia.edu/slave/100148057.jpg,Sydney Howard Gay’s Record of Fugitive Slaves,Still Image,
8900,"Rare Book & Manuscript Library, Columbia University",manuscripts,1855 1856,reformatted digital,eng,Sydney Howard Gay Papers,MS#0475,,,,"Record of Fugitives. Book 2,  page [2]",1855-1856,eng,"Gay, Sydney Howard, 1814-1888",Fugitive slaves--United States,,,,,,http://ldpd.cul.columbia.edu/slave/100148056.jpg,Sydney Howard Gay’s Record of Fugitive Slaves,Still Image,
8899,"Rare Book & Manuscript Library, Columbia University",manuscripts,1855 1856,reformatted digital,eng,Sydney Howard Gay Papers,MS#0475,,,,"Record of Fugitives. Book 2,  page [1]",1855-1856,eng,"Gay, Sydney Howard, 1814-1888",Fugitive slaves--United States,,,,,,http://ldpd.cul.columbia.edu/slave/100148055.jpg,Sydney Howard Gay’s Record of Fugitive Slaves,Still Image,
8898,"Rare Book & Manuscript Library, Columbia University",manuscripts,1855 1856,reformatted digital,eng,Sydney Howard Gay Papers,MS#0475,,,,"Record of Fugitives. Book 2,  inside of front cover",1855-1856,eng,"Gay, Sydney Howard, 1814-1888",Fugitive slaves--United States,,,,,,http://ldpd.cul.columbia.edu/slave/100148054.jpg,Sydney Howard Gay’s Record of Fugitive Slaves,Still Image,
8897,"Rare Book & Manuscript Library, Columbia University",manuscripts,1855 1856,reformatted digital,eng,Sydney Howard Gay Papers,MS#0475,,,,"Record of Fugitives. Book 2,  front cover",1855-1856,eng,"Gay, Sydney Howard, 1814-1888",Fugitive slaves--United States,,,,,,http://ldpd.cul.columbia.edu/slave/100148053.jpg,Sydney Howard Gay’s Record of Fugitive Slaves,Still Image,
8896,"Rare Book & Manuscript Library, Columbia University",manuscripts,1855 1856,reformatted digital,eng,Sydney Howard Gay Papers,MS#0475,,,,"Record of Fugitives. Book 1,  back cover",1855-1856,eng,"Gay, Sydney Howard, 1814-1888",Fugitive slaves--United States,,,,,,http://ldpd.cul.columbia.edu/slave/100148052.jpg,Sydney Howard Gay’s Record of Fugitive Slaves,Still Image,
8895,"Rare Book & Manuscript Library, Columbia University",manuscripts,1855 1856,reformatted digital,eng,Sydney Howard Gay Papers,MS#0475,,,,"Record of Fugitives. Book 1,  inside of back cover",1855-1856,eng,"Gay, Sydney Howard, 1814-1888",Fugitive slaves--United States,,,,,,http://ldpd.cul.columbia.edu/slave/100148051.jpg,Sydney Howard Gay’s Record of Fugitive Slaves,Still Image,
8894,"Rare Book & Manuscript Library, Columbia University",manuscripts,1855 1856,reformatted digital,eng,Sydney Howard Gay Papers,MS#0475,Page is upside down in record book,,,"Record of Fugitives. Book 1,  page [48]",1855-1856,eng,"Gay, Sydney Howard, 1814-1888",Fugitive slaves--United States,,,,,,http://ldpd.cul.columbia.edu/slave/100148050.jpg,Sydney Howard Gay’s Record of Fugitive Slaves,Still Image,
8893,"Rare Book & Manuscript Library, Columbia University",manuscripts,1855 1856,reformatted digital,eng,Sydney Howard Gay Papers,MS#0475,Blank page,,,"Record of Fugitives. Book 1, page [47]",1855-1856,eng,"Gay, Sydney Howard, 1814-1888",Fugitive slaves--United States,,,,,,http://ldpd.cul.columbia.edu/slave/100148049.jpg,Sydney Howard Gay’s Record of Fugitive Slaves,Still Image,
8892,"Rare Book & Manuscript Library, Columbia University",manuscripts,1855 1856,reformatted digital,eng,Sydney Howard Gay Papers,MS#0475,Blank page,,,"Record of Fugitives. Book 1, page [46]",1855-1856,eng,"Gay, Sydney Howard, 1814-1888",Fugitive slaves--United States,,,,,,http://ldpd.cul.columbia.edu/slave/100148048.jpg,Sydney Howard Gay’s Record of Fugitive Slaves,Still Image,
8891,"Rare Book & Manuscript Library, Columbia University",manuscripts,1855 1856,reformatted digital,eng,Sydney Howard Gay Papers,MS#0475,Page in record book is upside down,,,"Record of Fugitives. Book 1,  page [45]",1855-1856,eng,"Gay, Sydney Howard, 1814-1888",Fugitive slaves--United States,,,,,,http://ldpd.cul.columbia.edu/slave/100148047.jpg,Sydney Howard Gay’s Record of Fugitive Slaves,Still Image,
8890,"Rare Book & Manuscript Library, Columbia University",manuscripts,1855 1856,reformatted digital,eng,Sydney Howard Gay Papers,MS#0475,,,,"Record of Fugitives. Book 1,  page [44]",1855-1856,eng,"Gay, Sydney Howard, 1814-1888",Fugitive slaves--United States,,,,,,http://ldpd.cul.columbia.edu/slave/100148046.jpg,Sydney Howard Gay’s Record of Fugitive Slaves,Still Image,
8889,"Rare Book & Manuscript Library, Columbia University",manuscripts,1855 1856,reformatted digital,eng,Sydney Howard Gay Papers,MS#0475,,,,"Record of Fugitives. Book 1,  page [43]",1855-1856,eng,"Gay, Sydney Howard, 1814-1888",Fugitive slaves--United States,,,,,,http://ldpd.cul.columbia.edu/slave/100148045.jpg,Sydney Howard Gay’s Record of Fugitive Slaves,Still Image,
8888,"Rare Book & Manuscript Library, Columbia University",manuscripts,1855 1856,reformatted digital,eng,Sydney Howard Gay Papers,MS#0475,,,,"Record of Fugitives. Book 1,  page [42]",1855-1856,eng,"Gay, Sydney Howard, 1814-1888",Fugitive slaves--United States,,,,,,http://ldpd.cul.columbia.edu/slave/100148044.jpg,Sydney Howard Gay’s Record of Fugitive Slaves,Still Image,
8887,"Rare Book & Manuscript Library, Columbia University",manuscripts,1855 1856,reformatted digital,eng,Sydney Howard Gay Papers,MS#0475,,,,"Record of Fugitives. Book 1,  page [41]",1855-1856,eng,"Gay, Sydney Howard, 1814-1888",Fugitive slaves--United States,,,,,,http://ldpd.cul.columbia.edu/slave/100148043.jpg,Sydney Howard Gay’s Record of Fugitive Slaves,Still Image,
8886,"Rare Book & Manuscript Library, Columbia University",manuscripts,1855 1856,reformatted digital,eng,Sydney Howard Gay Papers,MS#0475,,,,"Record of Fugitives. Book 1,  page [40]",1855-1856,eng,"Gay, Sydney Howard, 1814-1888",Fugitive slaves--United States,,,,,,http://ldpd.cul.columbia.edu/slave/100148042.jpg,Sydney Howard Gay’s Record of Fugitive Slaves,Still Image,
8885,"Rare Book & Manuscript Library, Columbia University",manuscripts,1855 1856,reformatted digital,eng,Sydney Howard Gay Papers,MS#0475,,,,"Record of Fugitives. Book 1,  page [39]",1855-1856,eng,"Gay, Sydney Howard, 1814-1888",Fugitive slaves--United States,,,,,,http://ldpd.cul.columbia.edu/slave/100148041.jpg,Sydney Howard Gay’s Record of Fugitive Slaves,Still Image,
8884,"Rare Book & Manuscript Library, Columbia University",manuscripts,1855 1856,reformatted digital,eng,Sydney Howard Gay Papers,MS#0475,,,,"Record of Fugitives. Book 1,  page [38]",1855-1856,eng,"Gay, Sydney Howard, 1814-1888",Fugitive slaves--United States,,Page includes pasted newspaper clippings,,,,http://ldpd.cul.columbia.edu/slave/100148040.jpg,Sydney Howard Gay’s Record of Fugitive Slaves,Still Image,
8883,"Rare Book & Manuscript Library, Columbia University",manuscripts,1855 1856,reformatted digital,eng,Sydney Howard Gay Papers,MS#0475,,,,"Record of Fugitives. Book 1,  page [37]",1855-1856,eng,"Gay, Sydney Howard, 1814-1888",Fugitive slaves--United States,,,,,,http://ldpd.cul.columbia.edu/slave/100148039.jpg,Sydney Howard Gay’s Record of Fugitive Slaves,Still Image,
8882,"Rare Book & Manuscript Library, Columbia University",manuscripts,1855 1856,reformatted digital,eng,Sydney Howard Gay Papers,MS#0475,,,,"Record of Fugitives. Book 1,  page [36]",1855-1856,eng,"Gay, Sydney Howard, 1814-1888",Fugitive slaves--United States,,,,,,http://ldpd.cul.columbia.edu/slave/100148038.jpg,Sydney Howard Gay’s Record of Fugitive Slaves,Still Image,
8881,"Rare Book & Manuscript Library, Columbia University",manuscripts,1855 1856,reformatted digital,eng,Sydney Howard Gay Papers,MS#0475,,,,"Record of Fugitives. Book 1,  page [35]",1855-1856,eng,"Gay, Sydney Howard, 1814-1888",Fugitive slaves--United States,,,,,,http://ldpd.cul.columbia.edu/slave/100148037.jpg,Sydney Howard Gay’s Record of Fugitive Slaves,Still Image,
8880,"Rare Book & Manuscript Library, Columbia University",manuscripts,1855 1856,reformatted digital,eng,Sydney Howard Gay Papers,MS#0475,,,,"Record of Fugitives. Book 1,  page [34]",1855-1856,eng,"Gay, Sydney Howard, 1814-1888",Fugitive slaves--United States,,,,,,http://ldpd.cul.columbia.edu/slave/100148036.jpg,Sydney Howard Gay’s Record of Fugitive Slaves,Still Image,
8879,"Rare Book & Manuscript Library, Columbia University",manuscripts,1855 1856,reformatted digital,eng,Sydney Howard Gay Papers,MS#0475,,,,"Record of Fugitives. Book 1,  page [33]",1855-1856,eng,"Gay, Sydney Howard, 1814-1888",Fugitive slaves--United States,,,,,,http://ldpd.cul.columbia.edu/slave/100148035.jpg,Sydney Howard Gay’s Record of Fugitive Slaves,Still Image,
8878,"Rare Book & Manuscript Library, Columbia University",manuscripts,1855 1856,reformatted digital,eng,Sydney Howard Gay Papers,MS#0475,,,,"Record of Fugitives. Book 1,  page [32]",1855-1856,eng,"Gay, Sydney Howard, 1814-1888",Fugitive slaves--United States,,,,,,http://ldpd.cul.columbia.edu/slave/100148034.jpg,Sydney Howard Gay’s Record of Fugitive Slaves,Still Image,
8877,"Rare Book & Manuscript Library, Columbia University",manuscripts,1855 1856,reformatted digital,eng,Sydney Howard Gay Papers,MS#0475,,,,"Record of Fugitives. Book 1,  page [31]",1855-1856,eng,"Gay, Sydney Howard, 1814-1888",Fugitive slaves--United States,,,,,,http://ldpd.cul.columbia.edu/slave/100148033.jpg,Sydney Howard Gay’s Record of Fugitive Slaves,Still Image,
8876,"Rare Book & Manuscript Library, Columbia University",manuscripts,1855 1856,reformatted digital,eng,Sydney Howard Gay Papers,MS#0475,,,,"Record of Fugitives. Book 1,  page [30]",1855-1856,eng,"Gay, Sydney Howard, 1814-1888",Fugitive slaves--United States,,,,,,http://ldpd.cul.columbia.edu/slave/100148032.jpg,Sydney Howard Gay’s Record of Fugitive Slaves,Still Image,
8875,"Rare Book & Manuscript Library, Columbia University",manuscripts,1855 1856,reformatted digital,eng,Sydney Howard Gay Papers,MS#0475,,,,"Record of Fugitives. Book 1,  page [29]",1855-1856,eng,"Gay, Sydney Howard, 1814-1888",Fugitive slaves--United States,,,,,,http://ldpd.cul.columbia.edu/slave/100148031.jpg,Sydney Howard Gay’s Record of Fugitive Slaves,Still Image,
8874,"Rare Book & Manuscript Library, Columbia University",manuscripts,1855 1856,reformatted digital,eng,Sydney Howard Gay Papers,MS#0475,,,,"Record of Fugitives. Book 1,  page [28]",1855-1856,eng,"Gay, Sydney Howard, 1814-1888",Fugitive slaves--United States,,,,,,http://ldpd.cul.columbia.edu/slave/100148030.jpg,Sydney Howard Gay’s Record of Fugitive Slaves,Still Image,
8873,"Rare Book & Manuscript Library, Columbia University",manuscripts,1855 1856,reformatted digital,eng,Sydney Howard Gay Papers,MS#0475,,,,"Record of Fugitives. Book 1,  page [27]",1855-1856,eng,"Gay, Sydney Howard, 1814-1888",Fugitive slaves--United States,,,,,,http://ldpd.cul.columbia.edu/slave/100148029.jpg,Sydney Howard Gay’s Record of Fugitive Slaves,Still Image,
8872,"Rare Book & Manuscript Library, Columbia University",manuscripts,1855 1856,reformatted digital,eng,Sydney Howard Gay Papers,MS#0475,,,,"Record of Fugitives. Book 1,  page [26]",1855-1856,eng,"Gay, Sydney Howard, 1814-1888",Fugitive slaves--United States,,,,,,http://ldpd.cul.columbia.edu/slave/100148028.jpg,Sydney Howard Gay’s Record of Fugitive Slaves,Still Image,
8871,"Rare Book & Manuscript Library, Columbia University",manuscripts,1855 1856,reformatted digital,eng,Sydney Howard Gay Papers,MS#0475,,,,"Record of Fugitives. Book 1,  page [25]",1855-1856,eng,"Gay, Sydney Howard, 1814-1888",Fugitive slaves--United States,,,,,,http://ldpd.cul.columbia.edu/slave/100148027.jpg,Sydney Howard Gay’s Record of Fugitive Slaves,Still Image,
8870,"Rare Book & Manuscript Library, Columbia University",manuscripts,1855 1856,reformatted digital,eng,Sydney Howard Gay Papers,MS#0475,,,,"Record of Fugitives. Book 1,  page [24]",1855-1856,eng,"Gay, Sydney Howard, 1814-1888",Fugitive slaves--United States,,,,,,http://ldpd.cul.columbia.edu/slave/100148026.jpg,Sydney Howard Gay’s Record of Fugitive Slaves,Still Image,
8869,"Rare Book & Manuscript Library, Columbia University",manuscripts,1855 1856,reformatted digital,eng,Sydney Howard Gay Papers,MS#0475,,,,"Record of Fugitives. Book 1,  page [23]",1855-1856,eng,"Gay, Sydney Howard, 1814-1888",Fugitive slaves--United States,,,,,,http://ldpd.cul.columbia.edu/slave/100148025.jpg,Sydney Howard Gay’s Record of Fugitive Slaves,Still Image,
8868,"Rare Book & Manuscript Library, Columbia University",manuscripts,1855 1856,reformatted digital,eng,Sydney Howard Gay Papers,MS#0475,,,,"Record of Fugitives. Book 1,  page [22]",1855-1856,eng,"Gay, Sydney Howard, 1814-1888",Fugitive slaves--United States,,,,,,http://ldpd.cul.columbia.edu/slave/100148024.jpg,Sydney Howard Gay’s Record of Fugitive Slaves,Still Image,
8867,"Rare Book & Manuscript Library, Columbia University",manuscripts,1855 1856,reformatted digital,eng,Sydney Howard Gay Papers,MS#0475,,,,"Record of Fugitives. Book 1,  page [21]",1855-1856,eng,"Gay, Sydney Howard, 1814-1888",Fugitive slaves--United States,,,,,,http://ldpd.cul.columbia.edu/slave/100148023.jpg,Sydney Howard Gay’s Record of Fugitive Slaves,Still Image,
8866,"Rare Book & Manuscript Library, Columbia University",manuscripts,1855 1856,reformatted digital,eng,Sydney Howard Gay Papers,MS#0475,,,,"Record of Fugitives. Book 1,  page [20]",1855-1856,eng,"Gay, Sydney Howard, 1814-1888",Fugitive slaves--United States,,,,,,http://ldpd.cul.columbia.edu/slave/100148022.jpg,Sydney Howard Gay’s Record of Fugitive Slaves,Still Image,
