_digital_object_type.string_key,_pid,_identifiers-1,_parent_digital_objects-1.identifier,note-1:note_type,note-1:note_value,note-2:note_type,note-2:note_value,title-1:title_non_sort_portion,title-1:title_sort_portion,alternative_title-1:alternative_title_value,publisher-1:publisher_value,location-1:location_term.value,location-1:location_term.uri,collection-1:collection_term.value,collection-1:collection_term.uri,collection-1:collection_archival_series-1:collection_archival_series_part-1:collection_archival_series_part_type,collection-1:collection_archival_series-1:collection_archival_series_part-1:collection_archival_series_part_level,collection-1:collection_archival_series-1:collection_archival_series_part-1:collection_archival_series_part_title,collection-1:collection_archival_series-1:collection_archival_series_part-2:collection_archival_series_part_type,collection-1:collection_archival_series-1:collection_archival_series_part-2:collection_archival_series_part_level,collection-1:collection_archival_series-1:collection_archival_series_part-2:collection_archival_series_part_title,collection-2:collection_term.value,collection-2:collection_term.uri,location-1:location_shelf_location-1:location_shelf_location_free_text,location-1:location_shelf_location-1:location_shelf_location_box_number,location-1:location_shelf_location-1:location_shelf_location_folder_number,location-1:location_shelf_location-1:location_shelf_location_item_number,omeka_identifier-1:omeka_identifier_value,form-1:form_term.value,form-1:form_term.authority,form-1:form_term.uri,form-2:form_term.value,form-2:form_term.authority,form-2:form_term.uri,date_created_textual-1:date_created_textual_value,date_created-1:date_created_type,date_created-1:date_created_start_value,date_created-1:date_created_end_value,date_created-1:date_created_key_date,place_of_origin-1:place_of_origin_value,object_in_context_url-1:object_in_context_url_value,language-1:language_term.value,language-1:language_term.authority,language-1:language_term.uri,language-2:language_term.value,language-2:language_term.authority,language-2:language_term.uri,language-3:language_term.value,language-3:language_term.authority,language-3:language_term.uri,language-4:language_term.value,language-4:language_term.authority,language-4:language_term.uri,clio_identifier-1:clio_identifier_value,extent-1:extent_value,name-1:name_term.value,name-1:name_term.name_type,name-1:name_term.authority,name-1:name_term.uri,name-1:name_role-1:name_role_term.value,name-1:name_role-1:name_role_term.authority,name-1:name_role-1:name_role_term.uri,name-1:name_role-2:name_role_term.value,name-1:name_role-2:name_role_term.authority,name-1:name_role-2:name_role_term.uri,name-1:name_usage_primary,name-2:name_term.value,name-2:name_term.name_type,name-2:name_term.authority,name-2:name_term.uri,name-2:name_role-1:name_role_term.value,name-2:name_role-1:name_role_term.authority,name-2:name_role-1:name_role_term.uri,subject_name-1:subject_name_term.value,subject_name-1:subject_name_term.name_type,subject_name-1:subject_name_term.authority,subject_name-1:subject_name_term.uri,subject_topic-1:subject_topic_term.value,subject_topic-1:subject_topic_term.authority,subject_topic-1:subject_topic_term.uri,subject_topic-2:subject_topic_term.value,subject_topic-2:subject_topic_term.authority,subject_topic-2:subject_topic_term.uri,subject_geographic-1:subject_geographic_term.value,subject_geographic-1:subject_geographic_term.authority,subject_geographic-1:subject_geographic_term.uri,subject_title-1:subject_title_term.value,subject_title-1:subject_title_term.authority,subject_title-1:subject_title_term.uri,genre-1:genre_term.value,genre-1:genre_term.authority,genre-1:genre_term.uri,note-3:note_type,note-3:note_value,note-4:note_value,abstract-1:abstract_value,type_of_resource-1:type_of_resource_value,digital_origin-1:digital_origin_value,use_and_reproduction-1:use_and_reproduction_term.value,use_and_reproduction-1:use_and_reproduction_term.authority,use_and_reproduction-1:use_and_reproduction_term.uri,restriction_on_access-1:restriction_on_access_value,_project.string_key,_restrictions.restricted_size_image
item,,yid_om_cccc,,,,,,,Computer cards. Card 3,,,"Rare Book & Manuscript Library, Columbia University",http://id.library.columbia.edu/term/a274309e-79c3-4341-8a72-983a4a8290ea,Language and Culture Archive of Ashkenazic Jewry,http://id.library.columbia.edu/term/2f99b16c-e6bf-445a-8b5f-7e9016f93905,series,1,Series II: LCAAJ Fieldwork and Research,subseries,2,Subseries II.8.1:Data,,,,236,16,,,ephemera,aat,http://vocab.getty.edu/aat/300028881,,,,1968,,1968,,TRUE,,,English,iso639-2b,http://id.loc.gov/vocabulary/iso639-2/eng,,,,,,,,,,,,"Ravid, Wita",personal,naf,http://id.loc.gov/authorities/names/no2004067464,Creator,marcrelator,http://id.loc.gov/vocabulary/relators/cre,,,,TRUE,,,,,,,,,,,,Yiddish language--Study and teaching,fast,http://id.worldcat.org/fast/1182815,Yiddish language--Dialects,fast,http://id.worldcat.org/fast/1182795,,,,,,,,,,,,,,text,reformatted digital,No Known Copyright,rightsstatements,http://rightsstatements.org/vocab/NKC/1.0/,,,FALSE
asset,,yid_om_cccc_001,yid_om_cccc,filename,https://exhibitions-dev.library.columbia.edu/rbml_yiddish_0044.jpg,original filename,rbml_yiddish_0044.tif,,Recto,,,,,,,,,,,,,,,,,,,11472,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No Known Copyright,rightsstatements,http://rightsstatements.org/vocab/NKC/1.0/,Public Access,,FALSE
asset,,yid_om_cccc_002,yid_om_cccc,filename,https://exhibitions-dev.library.columbia.edu/rbml_yiddish_0045.jpg,original filename,rbml_yiddish_0045.tif,,Verso,,,,,,,,,,,,,,,,,,,11471,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No Known Copyright,rightsstatements,http://rightsstatements.org/vocab/NKC/1.0/,Public Access,,FALSE
item,,yid_om_cocc,,,,,,,Computer cards. Card 4,,,"Rare Book & Manuscript Library, Columbia University",http://id.library.columbia.edu/term/a274309e-79c3-4341-8a72-983a4a8290ea,Language and Culture Archive of Ashkenazic Jewry,http://id.library.columbia.edu/term/2f99b16c-e6bf-445a-8b5f-7e9016f93905,series,1,Series II: LCAAJ Fieldwork and Research,subseries,2,Subseries II.8.1:Data,,,,236,16,,,ephemera,aat,http://vocab.getty.edu/aat/300028881,,,,1968,,1968,,TRUE,,,English,iso639-2b,http://id.loc.gov/vocabulary/iso639-2/eng,,,,,,,,,,,,"Ravid, Wita",personal,naf,http://id.loc.gov/authorities/names/no2004067464,Creator,marcrelator,http://id.loc.gov/vocabulary/relators/cre,,,,TRUE,,,,,,,,,,,,Yiddish language--Study and teaching,fast,http://id.worldcat.org/fast/1182815,Yiddish language--Dialects,fast,http://id.worldcat.org/fast/1182795,,,,,,,,,,,,,,text,reformatted digital,No Known Copyright,rightsstatements,http://rightsstatements.org/vocab/NKC/1.0/,,,FALSE
asset,,yid_om_cocc_001,yid_om_cocc,filename,https://exhibitions-dev.library.columbia.edu/rbml_yiddish_0046.jpg,original filename,rbml_yiddish_0046.tif,,Recto,,,,,,,,,,,,,,,,,,,11470,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No Known Copyright,rightsstatements,http://rightsstatements.org/vocab/NKC/1.0/,Public Access,,FALSE
asset,,yid_om_cocc_002,yid_om_cocc,filename,https://exhibitions-dev.library.columbia.edu/rbml_yiddish_0047.jpg,original filename,rbml_yiddish_0047.tif,,Verso,,,,,,,,,,,,,,,,,,,11469,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No Known Copyright,rightsstatements,http://rightsstatements.org/vocab/NKC/1.0/,Public Access,,FALSE
item,,yid_om_pob,,,,,,,Pictures of berries,,,"Rare Book & Manuscript Library, Columbia University",http://id.library.columbia.edu/term/a274309e-79c3-4341-8a72-983a4a8290ea,Language and Culture Archive of Ashkenazic Jewry,http://id.library.columbia.edu/term/2f99b16c-e6bf-445a-8b5f-7e9016f93905,series,1,Series II: LCAAJ Fieldwork and Research,subseries,2,"Subseries II.3: Visual Cues, undated",,,,229b,2,,,ephemera,aat,http://vocab.getty.edu/aat/300028881,,,,Between 1959 and 1972,approximate,1959,1972,TRUE,,,,,,,,,,,,,,,,Flat (small),,,,,,,,,,,,,,,,,,,,,,,Berries,fast,http://id.worldcat.org/fast/830788,,,,,,,,,,,,,,,,,still image,reformatted digital,In Copyright - Educational Use Permitted,rightsstatements,http://rightsstatements.org/vocab/InC-EDU/1.0/,,,TRUE
asset,,yid_om_pob_000,yid_om_pob,filename,https://exhibitions-dev.library.columbia.edu/rbml_yiddish_0048.jpg,original filename,rbml_yiddish_0048.tif,,Pictures of berries,,,,,,,,,,,,,,,,,,,11468,,,,,,,,,,,,,https://exhibitions.library.columbia.edu/exhibits/show/yiddish-columbia/lcaaj,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,In Copyright - Educational Use Permitted,rightsstatements,http://rightsstatements.org/vocab/InC-EDU/1.0/,Public Access,,TRUE
item,,yid_om_klo,,,,,,,kontrolirke (list of necesseray items for interview; Yiddish),,,"Rare Book & Manuscript Library, Columbia University",http://id.library.columbia.edu/term/a274309e-79c3-4341-8a72-983a4a8290ea,Language and Culture Archive of Ashkenazic Jewry,http://id.library.columbia.edu/term/2f99b16c-e6bf-445a-8b5f-7e9016f93905,series,1,Series II: LCAAJ Fieldwork and Research,subseries,2,"Subseries II.6: Questionnaire, 1959-1971",,,,229b,4,,,ephemera,aat,http://vocab.getty.edu/aat/300028881,,,,Between 1959 and 1972,approximate,1959,1972,TRUE,,,Yiddish,iso639-2b,http://id.loc.gov/vocabulary/iso639-2/yid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,text,reformatted digital,In Copyright - Educational Use Permitted,rightsstatements,http://rightsstatements.org/vocab/InC-EDU/1.0/,,,TRUE
asset,,yid_om_klo_000,yid_om_klo,filename,https://exhibitions-dev.library.columbia.edu/rbml_yiddish_0049.jpg,original filename,rbml_yiddish_0049.tif,,kontrolirke (list of necesseray items for interview; Yiddish),,,,,,,,,,,,,,,,,,,11467,,,,,,,,,,,,,https://exhibitions.library.columbia.edu/exhibits/show/yiddish-columbia/lcaaj,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,In Copyright - Educational Use Permitted,rightsstatements,http://rightsstatements.org/vocab/InC-EDU/1.0/,Public Access,,TRUE
item,,yid_om_map,,,,,,,MAP: 082 010 (LIXT),,,"Rare Book & Manuscript Library, Columbia University",http://id.library.columbia.edu/term/a274309e-79c3-4341-8a72-983a4a8290ea,Language and Culture Archive of Ashkenazic Jewry,http://id.library.columbia.edu/term/2f99b16c-e6bf-445a-8b5f-7e9016f93905,series,1,Series II: LCAAJ Fieldwork and Research,subseries,2,"Subseries II.5: Large Format Maps, undated",,,,197,,,,maps,gmgpc,http://id.loc.gov/vocabulary/graphicMaterials/tgm006261,,,,Between 1959 and 1972,approximate,1959,1972,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,cartographic,reformatted digital,In Copyright - Educational Use Permitted,rightsstatements,http://rightsstatements.org/vocab/InC-EDU/1.0/,,,TRUE
asset,,yid_om_map_000,yid_om_map,filename,https://exhibitions-dev.library.columbia.edu/rbml_yiddish_0050.jpg,original filename,rbml_yiddish_0050.tif,,MAP: 082 010 (LIXT),,,,,,,,,,,,,,,,,,,11466,,,,,,,,,,,,,https://exhibitions.library.columbia.edu/exhibits/show/yiddish-columbia/lcaaj,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,In Copyright - Educational Use Permitted,rightsstatements,http://rightsstatements.org/vocab/InC-EDU/1.0/,Public Access,,TRUE
asset,,yid_om_map_001,yid_om_map,filename,https://exhibitions-dev.library.columbia.edu/rbml_yiddish_0051.jpg,original filename,rbml_yiddish_0051.tif,,First flap up,,,,,,,,,,,,,,,,,,,11465,,,,,,,,,,,,,https://exhibitions.library.columbia.edu/exhibits/show/yiddish-columbia/lcaaj,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,In Copyright - Educational Use Permitted,rightsstatements,http://rightsstatements.org/vocab/InC-EDU/1.0/,Public Access,,TRUE
asset,,yid_om_map_002,yid_om_map,filename,https://exhibitions-dev.library.columbia.edu/rbml_yiddish_0052.jpg,original filename,rbml_yiddish_0052.tif,,Second flap up,,,,,,,,,,,,,,,,,,,11464,,,,,,,,,,,,,https://exhibitions.library.columbia.edu/exhibits/show/yiddish-columbia/lcaaj,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,In Copyright - Educational Use Permitted,rightsstatements,http://rightsstatements.org/vocab/InC-EDU/1.0/,Public Access,,TRUE
item,,yid_om_fwe,,,,,,,Fabric with enclosures,,,"Rare Book & Manuscript Library, Columbia University",http://id.library.columbia.edu/term/a274309e-79c3-4341-8a72-983a4a8290ea,Language and Culture Archive of Ashkenazic Jewry,http://id.library.columbia.edu/term/2f99b16c-e6bf-445a-8b5f-7e9016f93905,series,1,Series II: LCAAJ Fieldwork and Research,subseries,2,"Subseries II.3: Visual Cues, undated",,,,229b,,,,objects,gmgpc,http://id.loc.gov/vocabulary/graphicMaterials/tgm007159,,,,Between 1959 and 1972,approximate,1959,1972,TRUE,,,,,,,,,,,,,,,,Flat (small),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,three dimensional object,reformatted digital,In Copyright - Educational Use Permitted,rightsstatements,http://rightsstatements.org/vocab/InC-EDU/1.0/,,,TRUE
asset,,yid_om_fwe_000,yid_om_fwe,filename,https://exhibitions-dev.library.columbia.edu/rbml_yiddish_0053.jpg,original filename,rbml_yiddish_0053.tif,,Fabric with enclosures,,,,,,,,,,,,,,,,,,,11463,,,,,,,,,,,,,https://exhibitions.library.columbia.edu/exhibits/show/yiddish-columbia/lcaaj,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,In Copyright - Educational Use Permitted,rightsstatements,http://rightsstatements.org/vocab/InC-EDU/1.0/,Public Access,,TRUE
item,,yid_om_epf,,,,,,,Eyn program fun oyfboyenden porṭshriṭ,איין פראגראם פון אויפבויענדען פארטשריט,,"Rare Book & Manuscript Library, Columbia University",http://id.library.columbia.edu/term/a274309e-79c3-4341-8a72-983a4a8290ea,Nicholas Murray Butler Papers,http://id.library.columbia.edu/term/3ec5f7e9-416b-4ddb-ae50-d9ba7e3500e5,,,,,,,,,,13,4,,,pamphlets,aat,http://vocab.getty.edu/aat/300220572,,,,16-Feb-18,,1918-02-16,,TRUE,St. Louis,,Yiddish,iso639-2b,http://id.loc.gov/vocabulary/iso639-2/yid,,,,,,,,,,,,"Butler, Nicholas Murray, 1862-1947",personal,naf,http://id.loc.gov/authorities/names/n50032600,Author,marcrelator,http://id.loc.gov/vocabulary/relators/aut,,,,TRUE,,,,,,,,,,,,Political participation,fast,http://id.worldcat.org/fast/1069386,Social conditions,fast,http://id.worldcat.org/fast/1919811,United States,naf,http://id.loc.gov/authorities/names/n78095330,,,,,,,,,,,text,reformatted digital,No Copyright - United States,rightsstatements,http://rightsstatements.org/vocab/NoC-US/1.0/,,,FALSE
asset,,yid_om_epf_000,yid_om_epf,filename,https://exhibitions-dev.library.columbia.edu/rbml_yiddish_0054.jpg,original filename,rbml_yiddish_0054.tif,,Title page,,,,,,,,,,,,,,,,,,,11462,,,,,,,,,,,,,https://exhibitions.library.columbia.edu/exhibits/show/yiddish-columbia/press/butler,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No Copyright - United States,rightsstatements,http://rightsstatements.org/vocab/NoC-US/1.0/,Public Access,,FALSE
asset,,yid_om_epf_001,yid_om_epf,filename,https://exhibitions-dev.library.columbia.edu/rbml_yiddish_0055.jpg,original filename,rbml_yiddish_0055.tif,,First leaf of text,,,,,,,,,,,,,,,,,,,11461,,,,,,,,,,,,,https://exhibitions.library.columbia.edu/exhibits/show/yiddish-columbia/press/butler,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No Copyright - United States,rightsstatements,http://rightsstatements.org/vocab/NoC-US/1.0/,Public Access,,FALSE
item,,yid_om_ata,,,,,,,Atran Agreement,,,"University Archives, Columbia University",http://id.library.columbia.edu/term/993db1bc-2347-4b0d-ab1c-d5714ec82683,Wills and Agreements Records,http://id.library.columbia.edu/term/09f056c8-8269-4fe0-8e28-439bd9be4b26,,,,,,,,,,1,1,,,legal documents,aat,http://vocab.getty.edu/aat/300027590,,,,11-Feb-52,,1952-02-11,,TRUE,,,English,iso639-2b,http://id.loc.gov/vocabulary/iso639-2/eng,,,,,,,,,,,8.5 x 11,"Atran Foundation (New York, N.Y.)",corporate,,,Issuing body,marcrelator,http://id.loc.gov/vocabulary/relators/isb,,,,TRUE,Columbia University. Trustees,corporate,naf,http://id.loc.gov/authorities/names/n85088346,Issuing body,marcrelator,http://id.loc.gov/vocabulary/relators/isb,,,,,,,,,,,,,,,,,,,,,,,,text,reformatted digital,No Known Copyright,rightsstatements,http://rightsstatements.org/vocab/NKC/1.0/,,,FALSE
