use_and_reproduction-1:use_and_reproduction_value,_pid,partName,projectURL,_identifiers-1,note-2:note_type,note-2:note_value,relatedItem_project,_project.string_key,title-1:title_sort_portion,_digital_object_type.string_key,title-1:title_non_sort_portion,_parent_digital_objects-1.identifier,omeka_identifier-1:omeka_identifier_value,genre-1:genre_term.uri,genre-1:genre_term.value,genre-1:genre_term.authority,date_created-1:date_created_end_value,date_created-1:date_created_start_value,date_created_textual-1:date_created_textual_value,form-2:form_term.uri,form-2:form_term.value,note-3:note_type,note-1:note_type,note-1:note_value,language-1:language_term.uri,language-1:language_term.value,language-1:language_term.authority,digital_origin-1:digital_origin_value,type_of_resource-1:type_of_resource_value,object_in_context_url-1:object_in_context_url_value,location-1:location_term.uri,location-1:location_term.code,location-1:location_term.value,location-1:location_term.authority,note-5:note_type,note-5:note_value,location-1:location_shelf_location-1.location_shelf_location_free_text,location-1:location_shelf_location-1.location_shelf_location_box_number,location-1:location_shelf_location-1.location_shelf_location_folder_number,clio_identifier-1:clio_identifier_value,collection-1:collection_term.uri,collection-1:collection_term.value,collection-2:collection_term.uri,collection-2:collection_term.value,name-1:name_term.uri,name-1:name_term.value,name-1:name_term.name_type,name-1:name_term.authority,name-1:name_role-1.name_role_term.uri,name-1:name_role-1.name_role_term.value,name-1:name_role-1.name_role_term.authority,date_created-1:date_created_type,subject_name-1:subject_name_term.uri,subject_topic-1:subject_topic_term.uri,subject_name-1:subject_name_term.value,subject_title-1:subject_title_term.uri,subject_topic-1:subject_topic_term.value,subject_title-1:subject_title_term.value,subject_name-1:subject_name_term.name_type,subject_name-1:subject_name_term.authority,subject_topic-1:subject_topic_term.authority,subject_title-1:subject_title_term.authority,subject_hierarchical_geographic-1:subject_hierarchical_geographic_city_text_value,subject_hierarchical_geographic-1:subject_hierarchical_geographic_state_text_value,subject_hierarchical_geographic-1:subject_hierarchical_geographic_county_text_value,subject_hierarchical_geographic-1:subject_hierarchical_geographic_borough_text_value,subject_hierarchical_geographic-1:subject_hierarchical_geographic_province_text_value,subject_hierarchical_geographic-1:subject_hierarchical_geographic_street-1.subject_hierarchical_geographic_street_value,note-7:note_type,note-7:note_value
Public Access, , , , ,filename,https://exhibitions-dev.library.columbia.edu/csvimport/RBML_core_omeka/new/RBML_Core_0128.jpg,Insistent Change: Columbia’s Core Curriculum at 100, ,Cultures and Issues Approved Course List. page 5, , , ,12250, ,still image,fast, , ,1995-1996, ,documents,original_format, ,original filename: RBML_Core_0128, ,English,iso639-2,reformatted digital,Still Image,https://exhibitions.library.columbia.edu/exhibits/show/columbia_core_100/1980s/extended, , ,"University Archives, Columbia University",local,holdings, ,"Box 30, folder 12", , ,6953649, ,Core Curriculum Records, ,CU copyright,,,,,,,,,,,,,,,,,,,,,,,,,,
Public Access, , , , ,filename,https://exhibitions-dev.library.columbia.edu/csvimport/RBML_core_omeka/new/RBML_Core_0129.jpg,Insistent Change: Columbia’s Core Curriculum at 100, ,African Civilizations Syllabus. page 1, , , ,12251, ,still image,fast, , ,Spring 1997, ,documents,original_format, ,original filename: RBML_Core_0129, ,English,iso639-2,reformatted digital,Still Image,https://exhibitions.library.columbia.edu/exhibits/show/columbia_core_100/1980s/extended, , ,"University Archives, Columbia University",local,holdings, ,"Box 30, folder 13", , ,6953649, ,Core Curriculum Records, ,CU copyright,,,,,,,,,,,,,,,,,,,,,,,,,,
Public Access, , , , ,filename,https://exhibitions-dev.library.columbia.edu/csvimport/RBML_core_omeka/new/RBML_Core_0130.jpg,Insistent Change: Columbia’s Core Curriculum at 100, ,African Civilizations Syllabus. page 2, , , ,12252, ,still image,fast, , ,Spring 1997, ,documents,original_format, ,original filename: RBML_Core_0130, ,English,iso639-2,reformatted digital,Still Image,https://exhibitions.library.columbia.edu/exhibits/show/columbia_core_100/1980s/extended, , ,"University Archives, Columbia University",local,holdings, ,"Box 30, folder 13", , ,6953649, ,Core Curriculum Records, ,CU copyright,,,,,,,,,,,,,,,,,,,,,,,,,,
Public Access, , , , ,filename,https://exhibitions-dev.library.columbia.edu/csvimport/RBML_core_omeka/new/RBML_Core_0131.jpg,Insistent Change: Columbia’s Core Curriculum at 100, ,African Civilizations Syllabus. page 3, , , ,12253, ,still image,fast, , ,Spring 1997, ,documents,original_format, ,original filename: RBML_Core_0131, ,English,iso639-2,reformatted digital,Still Image,https://exhibitions.library.columbia.edu/exhibits/show/columbia_core_100/1980s/extended, , ,"University Archives, Columbia University",local,holdings, ,"Box 30, folder 13", , ,6953649, ,Core Curriculum Records, ,CU copyright,,,,,,,,,,,,,,,,,,,,,,,,,,
Public Access, , , , ,filename,https://exhibitions-dev.library.columbia.edu/csvimport/RBML_core_omeka/new/RBML_Core_0132.jpg,Insistent Change: Columbia’s Core Curriculum at 100, ,African Civilizations Syllabus. page 4, , , ,12254, ,still image,fast, , ,Spring 1997, ,documents,original_format, ,original filename: RBML_Core_0132, ,English,iso639-2,reformatted digital,Still Image,https://exhibitions.library.columbia.edu/exhibits/show/columbia_core_100/1980s/extended, , ,"University Archives, Columbia University",local,holdings, ,"Box 30, folder 13", , ,6953649, ,Core Curriculum Records, ,CU copyright,,,,,,,,,,,,,,,,,,,,,,,,,,
Public Access, , , , ,filename,https://exhibitions-dev.library.columbia.edu/csvimport/RBML_core_omeka/new/RBML_Core_0133.jpg,Insistent Change: Columbia’s Core Curriculum at 100, ,African Civilizations Syllabus. page 5, , , ,12255, ,still image,fast, , ,Spring 1997, ,documents,original_format, ,original filename: RBML_Core_0133, ,English,iso639-2,reformatted digital,Still Image,https://exhibitions.library.columbia.edu/exhibits/show/columbia_core_100/1980s/extended, , ,"University Archives, Columbia University",local,holdings, ,"Box 30, folder 13", , ,6953649, ,Core Curriculum Records, ,CU copyright,,,,,,,,,,,,,,,,,,,,,,,,,,
Public Access, , , , ,filename,https://exhibitions-dev.library.columbia.edu/csvimport/RBML_core_omeka/new/RBML_Core_0134.jpg,Insistent Change: Columbia’s Core Curriculum at 100, ,"CC Reading Assignments for Required Texts, including the Qur'an. page 1 only", , , ,12256, ,still image,fast, , ,Fall 1995, ,documents,original_format, ,original filename: RBML_Core_0134, ,English,iso639-2,reformatted digital,Still Image,https://exhibitions.library.columbia.edu/exhibits/show/columbia_core_100/1980s/islamic, , ,"University Archives, Columbia University",local,holdings, ,"Box 7, folder 13", , ,6953649, ,Core Curriculum Records, ,CU copyright,,,,,,,,,,,,,,,,,,,,,,,,,,
Public Access, , , , ,filename,https://exhibitions-dev.library.columbia.edu/csvimport/RBML_core_omeka/new/RBML_Core_0135.jpg,Insistent Change: Columbia’s Core Curriculum at 100, ,Peter Awn, , , ,12257, ,still image,fast, , ,1990s, ,photographs,original_format, ,original filename: RBML_Core_0135, ,English,iso639-2,reformatted digital,Still Image,https://exhibitions.library.columbia.edu/exhibits/show/columbia_core_100/1980s/islamic, , ,"University Archives, Columbia University",local,holdings, ,"Box 1, folder 2", , ,12176201, ,Gabriel Cooney Photograph Collection, ,"Can be used but must be attributed to Gabriel Cooney, photographer", ,"Cooney, Gabriel (Photographer)", , , , , ,inferred,,,,,,,,,,,,,,,,,,
Public Access, , , , ,filename,https://exhibitions-dev.library.columbia.edu/csvimport/RBML_core_omeka/new/RBML_Core_0136.jpg,Insistent Change: Columbia’s Core Curriculum at 100, ,Ethnic Studies Manifesto. page 1, , , ,12258, ,still image,fast, , ,1996, ,printed ephemera,original_format, ,original filename: RBML_Core_0136, ,English,iso639-2,reformatted digital,Still Image,https://exhibitions.library.columbia.edu/exhibits/show/columbia_core_100/1980s/ethnic, , ,"University Archives, Columbia University",local,holdings, ,"Box 25, folder 8", , ,5694076, ,Historical Subject Files, ,CU copyright,,,,,,,,,,,,,,,,,,,,,,,,,,
Public Access, , , , ,filename,https://exhibitions-dev.library.columbia.edu/csvimport/RBML_core_omeka/new/RBML_Core_0137.jpg,Insistent Change: Columbia’s Core Curriculum at 100, ,Ethnic Studies Manifesto. page 2, , , ,12259, ,still image,fast, , ,1996, ,printed ephemera,original_format, ,original filename: RBML_Core_0137, ,English,iso639-2,reformatted digital,Still Image,https://exhibitions.library.columbia.edu/exhibits/show/columbia_core_100/1980s/ethnic, , ,"University Archives, Columbia University",local,holdings, ,"Box 25, folder 8", , ,5694076, ,Historical Subject Files, ,CU copyright,,,,,,,,,,,,,,,,,,,,,,,,,,
Public Access, , , , ,filename,https://exhibitions-dev.library.columbia.edu/csvimport/RBML_core_omeka/new/RBML_Core_0138.jpg,Insistent Change: Columbia’s Core Curriculum at 100, ,Ethnic Studies Mass Rally Flyer, , , ,12260, ,still image,fast, , ,1996, ,printed ephemera,original_format, ,original filename: RBML_Core_0138, ,English,iso639-2,reformatted digital,Still Image,https://exhibitions.library.columbia.edu/exhibits/show/columbia_core_100/1980s/ethnic, , ,"University Archives, Columbia University",local,holdings, ,"Box 25, folder 8", , ,5694076, ,Historical Subject Files, ,CU copyright,,,,,,,,,,,,,,,,,,,,,,,,,,
Public Access, , , , ,filename,https://exhibitions-dev.library.columbia.edu/csvimport/RBML_core_omeka/existing/4687_Marable_Manning.jpg,Insistent Change: Columbia’s Core Curriculum at 100, ,Manning Marable, , , ,12261, ,still image,fast, , ,1990s, ,photographs,original_format, ,original filename: 4687_Marable_Manning, ,English,iso639-2,reformatted digital,Still Image,https://exhibitions.library.columbia.edu/exhibits/show/columbia_core_100/1980s/aastudies, , ,"Rare Book & Manuscript Library, Columbia University",local,holdings, ,Box 11, , ,9364858, ,Manning Marable Papers,,,,,,,,,,inferred, , , , ,"Marable, Manning, 1950-2011", , , , , , , , , , , ,,
Public Access, , , , ,filename,https://exhibitions-dev.library.columbia.edu/csvimport/RBML_core_omeka/existing/4685_Oliver_Daria.jpg,Insistent Change: Columbia’s Core Curriculum at 100, ,Daria Oliver setting up the IRAAS offices, , , ,12262, ,still image,fast, , ,1994, ,photographs,original_format, ,original filename: 4685_Oliver_Daria, ,English,iso639-2,reformatted digital,Still Image,https://exhibitions.library.columbia.edu/exhibits/show/columbia_core_100/1980s/aastudies, , ,"University Archives, Columbia University",local,holdings, ,Series II: Box 69, , ,9628774, ,Office of Public Affairs Photograph Collection, ,CU copyright,,,,,,,,,,,,,,,,,,,,,,,,,,
Public Access, , , , ,filename,https://exhibitions-dev.library.columbia.edu/csvimport/RBML_core_omeka/existing/2775_SeniorWomen.jpg,Insistent Change: Columbia’s Core Curriculum at 100, ,Seven Columbia College women graduates in academic robes at the Van Am memorial, , , ,12263, ,still image,fast, , ,May 1987, ,photographs,original_format, ,original filename: 2775_SeniorWomen, ,English,iso639-2,reformatted digital,Still Image,https://exhibitions.library.columbia.edu/exhibits/show/columbia_core_100/1980s/women, , ,"University Archives, Columbia University",local,holdings, ,Series II: Box 79, , ,9628774, ,Office of Public Affairs Photograph Collection, ,CU copyright,,,,,,,,,,,,,,,,,,,,,,,,,,
Public Access, , , , ,filename,https://exhibitions-dev.library.columbia.edu/csvimport/RBML_core_omeka/existing/4617_ButlerBannerProject6.jpg,Insistent Change: Columbia’s Core Curriculum at 100, ,Butler Banner Project, , , ,12264, ,still image,fast, , ,1989, ,photographs,original_format, ,original filename: 4617_ButlerBannerProject6, ,English,iso639-2,reformatted digital,Still Image,https://exhibitions.library.columbia.edu/exhibits/show/columbia_core_100/1980s/women, , ,"University Archives, Columbia University",local,holdings, ,"Box 195, folder 1", , ,4080179, ,Historical Photograph Collection, ,CU copyright,,,,,,,,,,,,,,,,,,,,,,,,,,
Public Access, , , , ,filename,https://exhibitions-dev.library.columbia.edu/csvimport/RBML_core_omeka/existing/4626_ButlerBannerProject15.jpg,Insistent Change: Columbia’s Core Curriculum at 100, ,Butler Banner Project, , , ,12265, ,still image,fast, , ,1989, ,photographs,original_format, ,original filename: 4626_ButlerBannerProject15, ,English,iso639-2,reformatted digital,Still Image,https://exhibitions.library.columbia.edu/exhibits/show/columbia_core_100/1980s/women, , ,"University Archives, Columbia University",local,holdings, ,"Box 195, folder 1", , ,4080179, ,Historical Photograph Collection, ,CU copyright,,,,,,,,,,,,,,,,,,,,,,,,,,
Public Access, , , , ,filename,https://exhibitions-dev.library.columbia.edu/csvimport/RBML_core_omeka/new/RBML_Core_0139.jpg,Insistent Change: Columbia’s Core Curriculum at 100, ,Earth Matters. cover, , , ,12266, ,still image,fast, , ,May 1997, ,periodicals,original_format, ,original filename: RBML_Core_0139, ,English,iso639-2,reformatted digital,Still Image,https://exhibitions.library.columbia.edu/exhibits/show/columbia_core_100/2000s/science, , ,"University Archives, Columbia University",local,holdings, ,"Box 199, folder 11", , ,5694076, ,Historical Subject Files, ,CU copyright,,,,,,,,,,,,,,,,,,,,,,,,,,
Public Access, , , , ,filename,https://exhibitions-dev.library.columbia.edu/csvimport/RBML_core_omeka/new/RBML_Core_0140.jpg,Insistent Change: Columbia’s Core Curriculum at 100, ,21st C.. cover, , , ,12267, ,still image,fast, , ,Spring 1997, ,periodicals,original_format, ,original filename: RBML_Core_0140, ,English,iso639-2,reformatted digital,Still Image,https://exhibitions.library.columbia.edu/exhibits/show/columbia_core_100/2000s/science, , ,"University Archives, Columbia University",local,holdings, ,"Box 207, folder 5", , ,5694076, ,Historical Subject Files, ,CU copyright,,,,,,,,,,,,,,,,,,,,,,,,,,
Public Access, , , , ,filename,https://exhibitions-dev.library.columbia.edu/csvimport/RBML_core_omeka/new/RBML_Core_0141.jpg,Insistent Change: Columbia’s Core Curriculum at 100, ,Jonathan Cole, , , ,12268, ,still image,fast, , ,1990s, ,photographs,original_format, ,original filename: RBML_Core_0141, ,English,iso639-2,reformatted digital,Still Image,https://exhibitions.library.columbia.edu/exhibits/show/columbia_core_100/2000s/people, , ,"University Archives, Columbia University",local,holdings, ,"Box 1, folder 5", , ,12176201, ,Gabriel Cooney Photograph Collection, ,"Can be used but must be attributed to Gabriel Cooney, photographer", ,"Cooney, Gabriel (Photographer)", , , , , ,inferred,,,,,,,,,,,,,,,,,,
Public Access, , , , ,filename,https://exhibitions-dev.library.columbia.edu/csvimport/RBML_core_omeka/new/RBML_Core_0142.jpg,Insistent Change: Columbia’s Core Curriculum at 100, ,Robert Pollack, , , ,12269, ,still image,fast, , ,1980s, ,photographs,original_format, ,original filename: RBML_Core_0142, ,English,iso639-2,reformatted digital,Still Image,https://exhibitions.library.columbia.edu/exhibits/show/columbia_core_100/2000s/people, , ,"University Archives, Columbia University",local,holdings, ,"Box 13, folder 12", , ,11166364, ,Office of Alumni and Development Photograph Collection, ,CU copyright,,,,,,,,inferred,,,,,,,,,,,,,,,,,,
Public Access, , , , ,filename,https://exhibitions-dev.library.columbia.edu/csvimport/RBML_core_omeka/new/RBML_Core_0143.jpg,Insistent Change: Columbia’s Core Curriculum at 100, ,David Helfand, , , ,12270, ,still image,fast, , ,1983, ,photographs,original_format, ,original filename: RBML_Core_0143, ,English,iso639-2,reformatted digital,Still Image,https://exhibitions.library.columbia.edu/exhibits/show/columbia_core_100/2000s/people, , ,"University Archives, Columbia University",local,holdings, ,"Box 8, folder 89", , ,11166364, ,Office of Alumni and Development Photograph Collection,,, ,"Jones, G.T.|Skylight Studios", , , , , ,,,,,,,,,,,,,,,,,,,
Public Access, , , , ,filename,https://exhibitions-dev.library.columbia.edu/csvimport/RBML_core_omeka/new/RBML_Core_0144.jpg,Insistent Change: Columbia’s Core Curriculum at 100, ,Frontiers of Science Course Packet. blue cover, , , ,12271, ,still image,fast, , ,2005, ,documents,original_format, ,original filename: RBML_Core_0144, ,English,iso639-2,reformatted digital,Still Image,https://exhibitions.library.columbia.edu/exhibits/show/columbia_core_100/2000s/science, , ,"University Archives, Columbia University",local,holdings, ,"Box 31, folder 1", , ,6953649, ,Core Curriculum Records, ,CU copyright,,,,,,,,,,,,,,,,,,,,,,,,,,
Public Access, , , , ,filename,https://exhibitions-dev.library.columbia.edu/csvimport/RBML_core_omeka/new/RBML_Core_0145.jpg,Insistent Change: Columbia’s Core Curriculum at 100, ,Frontiers of Science Course Packet. yellow cover, , , ,12272, ,still image,fast, , ,2005, ,documents,original_format, ,original filename: RBML_Core_0145, ,English,iso639-2,reformatted digital,Still Image,https://exhibitions.library.columbia.edu/exhibits/show/columbia_core_100/2000s/science, , ,"University Archives, Columbia University",local,holdings, ,"Box 31, folder 1", , ,6953649, ,Core Curriculum Records, ,CU copyright,,,,,,,,,,,,,,,,,,,,,,,,,,
Public Access, , , , ,filename,https://exhibitions-dev.library.columbia.edu/csvimport/RBML_core_omeka/new/RBML_Core_0146.jpg,Insistent Change: Columbia’s Core Curriculum at 100, ,Frontiers of Science Course Packet. pink cover, , , ,12273, ,still image,fast, , ,2005, ,documents,original_format, ,original filename: RBML_Core_0146, ,English,iso639-2,reformatted digital,Still Image,https://exhibitions.library.columbia.edu/exhibits/show/columbia_core_100/2000s/science, , ,"University Archives, Columbia University",local,holdings, ,"Box 31, folder 1", , ,6953649, ,Core Curriculum Records, ,CU copyright,,,,,,,,,,,,,,,,,,,,,,,,,,
Public Access, , , , ,filename,https://exhibitions-dev.library.columbia.edu/csvimport/RBML_core_omeka/new/RBML_Core_0147.jpg,Insistent Change: Columbia’s Core Curriculum at 100, ,Contemporary Civilization Reader. cover, , , ,12274, ,still image,fast, , ,1994, ,books,original_format, ,original filename: RBML_Core_0147, ,English,iso639-2,reformatted digital,Still Image,https://exhibitions.library.columbia.edu/exhibits/show/columbia_core_100/syllabi, , ,"University Archives, Columbia University",local,holdings, ,CN C7276, , ,,,, ,CU copyright,,,,,,,,,,,,,,,,,,,,,,,,,,
Public Access, , , , ,filename,https://exhibitions-dev.library.columbia.edu/csvimport/RBML_core_omeka/existing/4686_Crow_Michael.jpg,Insistent Change: Columbia’s Core Curriculum at 100, ,Michael Crow, , , ,12275, ,still image,fast, , ,1998, ,photographs,original_format, ,original filename: 4686_Crow_Michael, ,English,iso639-2,reformatted digital,Still Image,https://exhibitions.library.columbia.edu/exhibits/show/columbia_core_100/2000s/people, , ,"University Archives, Columbia University",local,holdings, ,Series V: Box 3, , ,9628774, ,Office of Public Affairs Photograph Collection, ,CU copyright,,,,,,,,,,,,,,,,,,,,,,,,,,
Public Access, , , , ,filename,https://exhibitions-dev.library.columbia.edu/csvimport/RBML_core_omeka/existing/4646_Bollinger_Lee.jpg,Insistent Change: Columbia’s Core Curriculum at 100, ,Lee Bollinger at his Inauguration, , , ,12276, ,still image,fast, , ,2002, ,photographs,original_format, ,original filename: 4646_Bollinger_Lee, ,English,iso639-2,reformatted digital,Still Image,https://exhibitions.library.columbia.edu/exhibits/show/columbia_core_100/2000s/people, , ,"University Archives, Columbia University",local,holdings, ,Series V: Box 31, , ,9628774, ,Office of Public Affairs Photograph Collection, ,CU copyright,,,,,,,,, , , , ,"Bollinger, Lee C., 1946-", , , , , , , , , , , ,,
Public Access, , , , ,filename,https://exhibitions-dev.library.columbia.edu/csvimport/RBML_core_omeka/new/RBML_Core_0151.jpg,Insistent Change: Columbia’s Core Curriculum at 100, ,"Black, Brown & Beige (The 1944 -- 1946 Band Recordings). Album cover", , , ,12284, ,still image,fast, , ,1988, ,record covers,original_format, ,original filename: RBML_Core_0151, ,English,iso639-2,reformatted digital,Still Image,https://exhibitions.library.columbia.edu/exhibits/show/columbia_core_100/2010s/revison, , ,"Rare Book & Manuscript Library, Columbia University",local,holdings, ,LP Box (unprocessed), , ,12868511, ,Maurice Peress Collection,,, ,"Ellington, Duke, 1899-1974", , , , , ,,,,,,,,,,,,,,,,,,,
