use_and_reproduction-1:use_and_reproduction_value,_pid,partName,projectURL,_identifiers-1,note-2:note_type,note-2:note_value,relatedItem_project,_project.string_key,title-1:title_sort_portion,_digital_object_type.string_key,title-1:title_non_sort_portion,_parent_digital_objects-1.identifier,omeka_identifier-1:omeka_identifier_value,genre-1:genre_term.uri,genre-1:genre_term.value,genre-1:genre_term.authority,date_created-1:date_created_end_value,date_created-1:date_created_start_value,date_created_textual-1:date_created_textual_value,form-2:form_term.uri,form-2:form_term.value,note-3:note_type,note-1:note_type,note-1:note_value,language-1:language_term.uri,language-1:language_term.value,language-1:language_term.authority,digital_origin-1:digital_origin_value,type_of_resource-1:type_of_resource_value,object_in_context_url-1:object_in_context_url_value,location-1:location_term.uri,location-1:location_term.code,location-1:location_term.value,location-1:location_term.authority,note-5:note_type,note-5:note_value,location-1:location_shelf_location-1.location_shelf_location_free_text,location-1:location_shelf_location-1.location_shelf_location_box_number,location-1:location_shelf_location-1.location_shelf_location_folder_number,clio_identifier-1:clio_identifier_value,collection-1:collection_term.uri,collection-1:collection_term.value,collection-2:collection_term.uri,collection-2:collection_term.value,name-1:name_term.uri,name-1:name_term.value,name-1:name_term.name_type,name-1:name_term.authority,name-1:name_role-1.name_role_term.uri,name-1:name_role-1.name_role_term.value,name-1:name_role-1.name_role_term.authority,date_created-1:date_created_type,subject_name-1:subject_name_term.uri,subject_topic-1:subject_topic_term.uri,subject_name-1:subject_name_term.value,subject_title-1:subject_title_term.uri,subject_topic-1:subject_topic_term.value,subject_title-1:subject_title_term.value,subject_name-1:subject_name_term.name_type,subject_name-1:subject_name_term.authority,subject_topic-1:subject_topic_term.authority,subject_title-1:subject_title_term.authority,subject_hierarchical_geographic-1:subject_hierarchical_geographic_city_text_value,subject_hierarchical_geographic-1:subject_hierarchical_geographic_state_text_value,subject_hierarchical_geographic-1:subject_hierarchical_geographic_county_text_value,subject_hierarchical_geographic-1:subject_hierarchical_geographic_borough_text_value,subject_hierarchical_geographic-1:subject_hierarchical_geographic_province_text_value,subject_hierarchical_geographic-1:subject_hierarchical_geographic_street-1.subject_hierarchical_geographic_street_value,note-7:note_type,note-7:note_value
Public Access, , , , ,filename,https://exhibitions-dev.library.columbia.edu/csvimport/RBML_core_omeka/new/RBML_Core_0108.jpg,Insistent Change: Columbia’s Core Curriculum at 100, ,"The ""Great Books"" Meet the ""Woman Question"". page 1", , , ,12230, ,still image,fast, , ,February 1983, ,documents,original_format, ,original filename: RBML_Core_0108, ,English,iso639-2,reformatted digital,Still Image,https://exhibitions.library.columbia.edu/exhibits/show/columbia_core_100/1970s/coed, , ,"University Archives, Columbia University",local,holdings, ,"Box 10, folder 9", , ,6953649, ,Core Curriculum Records, ,CU copyright, ,"Moeller, Bob", , , , , ,,,,,,,,,,,,,,,,,,,
Public Access, , , , ,filename,https://exhibitions-dev.library.columbia.edu/csvimport/RBML_core_omeka/new/RBML_Core_0109.jpg,Insistent Change: Columbia’s Core Curriculum at 100, ,"The ""Great Books"" Meet the ""Woman Question"". page 2", , , ,12231, ,still image,fast, , ,February 1983, ,documents,original_format, ,original filename: RBML_Core_0109, ,English,iso639-2,reformatted digital,Still Image,https://exhibitions.library.columbia.edu/exhibits/show/columbia_core_100/1970s/coed, , ,"University Archives, Columbia University",local,holdings, ,"Box 10, folder 9", , ,6953649, ,Core Curriculum Records, ,CU copyright, ,"Moeller, Bob", , , , , ,,,,,,,,,,,,,,,,,,,
Public Access, , , , ,filename,https://exhibitions-dev.library.columbia.edu/csvimport/RBML_core_omeka/new/RBML_Core_0110.jpg,Insistent Change: Columbia’s Core Curriculum at 100, ,"The ""Great Books"" Meet the ""Woman Question"". page 3", , , ,12232, ,still image,fast, , ,February 1983, ,documents,original_format, ,original filename: RBML_Core_0110, ,English,iso639-2,reformatted digital,Still Image,https://exhibitions.library.columbia.edu/exhibits/show/columbia_core_100/1970s/coed, , ,"University Archives, Columbia University",local,holdings, ,"Box 10, folder 9", , ,6953649, ,Core Curriculum Records, ,CU copyright, ,"Moeller, Bob", , , , , ,,,,,,,,,,,,,,,,,,,
Public Access, , , , ,filename,https://exhibitions-dev.library.columbia.edu/csvimport/RBML_core_omeka/new/RBML_Core_0111.jpg,Insistent Change: Columbia’s Core Curriculum at 100, ,Teaching Guide on Science prepared for the Committee on the Woman Question. page 1, , , ,12233, ,still image,fast, , ,1985, ,documents,original_format, ,original filename: RBML_Core_0111, ,English,iso639-2,reformatted digital,Still Image,https://exhibitions.library.columbia.edu/exhibits/show/columbia_core_100/1970s/coed, , ,"University Archives, Columbia University",local,holdings, ,"Box 10, folder 7", , ,6953649, ,Core Curriculum Records, ,CU copyright, ,"Lifshitz, Felice, 1959-", , , , , ,,,,,,,,,,,,,,,,,,,
Public Access, , , , ,filename,https://exhibitions-dev.library.columbia.edu/csvimport/RBML_core_omeka/new/RBML_Core_0112.jpg,Insistent Change: Columbia’s Core Curriculum at 100, ,Teaching Guide on Science prepared for the Committee on the Woman Question. page 2, , , ,12234, ,still image,fast, , ,1985, ,documents,original_format, ,original filename: RBML_Core_0112, ,English,iso639-2,reformatted digital,Still Image,https://exhibitions.library.columbia.edu/exhibits/show/columbia_core_100/1970s/coed, , ,"University Archives, Columbia University",local,holdings, ,"Box 10, folder 7", , ,6953649, ,Core Curriculum Records, ,CU copyright, ,"Lifshitz, Felice, 1959-", , , , , ,,,,,,,,,,,,,,,,,,,
Public Access, , , , ,filename,https://exhibitions-dev.library.columbia.edu/csvimport/RBML_core_omeka/new/RBML_Core_0113.jpg,Insistent Change: Columbia’s Core Curriculum at 100, ,Teaching Guide on Science prepared for the Committee on the Woman Question. page 3, , , ,12235, ,still image,fast, , ,1985, ,documents,original_format, ,original filename: RBML_Core_0113, ,English,iso639-2,reformatted digital,Still Image,https://exhibitions.library.columbia.edu/exhibits/show/columbia_core_100/1970s/coed, , ,"University Archives, Columbia University",local,holdings, ,"Box 10, folder 7", , ,6953649, ,Core Curriculum Records, ,CU copyright, ,"Lifshitz, Felice, 1959-", , , , , ,,,,,,,,,,,,,,,,,,,
Public Access, , , , ,filename,https://exhibitions-dev.library.columbia.edu/csvimport/RBML_core_omeka/new/RBML_Core_0114.jpg,Insistent Change: Columbia’s Core Curriculum at 100, ,Spectator Front page. cover, , , ,12236, ,still image,fast, , ,"August 29, 1983", ,periodicals,original_format, ,original filename: RBML_Core_0114, ,English,iso639-2,reformatted digital,Still Image,https://exhibitions.library.columbia.edu/exhibits/show/columbia_core_100/1970s/coed, , ,"University Archives, Columbia University",local,holdings, ,Box 131, , ,11035855, ,Columbia Spectator Volumes, ,CU copyright,,,,,,,,,,,,,,,,,,,,,,,,,,
Public Access, , , , ,filename,https://exhibitions-dev.library.columbia.edu/csvimport/RBML_core_omeka/new/RBML_Core_0115.jpg,Insistent Change: Columbia’s Core Curriculum at 100, ,Columbia College Today. cover, , , ,12237, ,still image,fast, , ,Summer 1970, ,periodicals,original_format, ,original filename: RBML_Core_0115, ,English,iso639-2,reformatted digital,Still Image,, , ,"University Archives, Columbia University",local,holdings, ,"Box 28, folder 3", , ,6953649, ,Core Curriculum Records, ,CU copyright,,,,,,,,,,,,,,,,,,,,,,,,,,
Public Access, , , , ,filename,https://exhibitions-dev.library.columbia.edu/csvimport/RBML_core_omeka/new/RBML_Core_0116.jpg,Insistent Change: Columbia’s Core Curriculum at 100, ,"Columbia College Today, ""The Core of the Core: After sixty years,"". page 7", , , ,12238, ,still image,fast, , ,January/February 1979, ,periodicals,original_format, ,original filename: RBML_Core_0116, ,English,iso639-2,reformatted digital,Still Image,, , ,"University Archives, Columbia University",local,holdings, ,CT C728, , ,3090238,,, ,CU copyright,,,,,,,,,,,,,,,,,,,,,,,,,,
Public Access, , , , ,filename,https://exhibitions-dev.library.columbia.edu/csvimport/RBML_core_omeka/new/RBML_Core_0117.jpg,Insistent Change: Columbia’s Core Curriculum at 100, ,de Bary Commission on the Core Curriculum. cover, , , ,12239, ,still image,fast, , ,1988, ,documents,original_format, ,original filename: RBML_Core_0117, ,English,iso639-2,reformatted digital,Still Image,https://exhibitions.library.columbia.edu/exhibits/show/columbia_core_100/1980s/debary, , ,"University Archives, Columbia University",local,holdings, ,"Box 19, folder 2", , ,5694076, ,Historical Subject Files, ,CU copyright,,,,,,,,,,,,,,,,,,,,,,,,,,
