relatedItem_Collection,name 1,nameType 1,nameRelator 1,name_authority 1,name_authority_identifier 1,name 2,name 3,name 4,name 5,name 6,keyDate_start,keyDate_end,dateQualifier,dateCreated 1,dateCreated 2,dateCreated 3,abstract 1,abstract 2,abstract 3,abstract 4,abstract 5,item - featured,item - public,identifier_clio,identifier_omeka,typeOfResour ce,language,location_url_ObjectInContext,Source 1,Source 2,citation 1,citation 2,citation 3,physicalLocation,physicalLocation_authority,note,note_filename,digitalOrigin,form,form_authority,form_originalFormat 1,form_originalFormat 2,place 1,place_authority 1,place_authority_identifier 1,place 2,place 3,place 4,relatedItem_Project,note_ownership 1,note_ownership 2,note_ownership 3,languageOfCataloging,subject_topic,subject_topic 2,subject_topic 3,subject_topic 4,subject_topic 5,subject_topic 6,subject_name,subject_name_authority,subject_name_authority_identifier,subject_geographic,subject_geographic_authority,subject_geographic_authority_identifier,subject_temporal 1,subject_temporal 2,subject_temporal 3,subject_title,subject_title_authority,subject_title_authority_identifier,accessCondition,title_nonsort,title,title 2,title 3,title 4,title 5,title 6,title 7,title 8,identifer_title,title2,title2_type
,,,,,,,,,,,0000 ,,Questionable,Unknown,,,"Top: 24-a
Bottom: 24-b
Page labeled as 'A. Plate 24'",,,,,0,1,,3763,Still Image,English,,"Stokes, I. N. Phelps. The iconography of Manhattan Island, 1498-1909. New York : Robert H. Dodd, 1915-1928. Electronic reproduction. v. 3. New York, N.Y. : Columbia University Libraries, 2008.",http://www.columbia.edu/cu/lweb/digital/collections/cul/texts/ldpd_5800727_003/pages/ldpd_5800727_003_00000690.html?toggle=image&amp;menu=maximize&amp;top=&amp;left=,"A. Plate 24-a and A. Plate 24-b [no page number, Addenda]",,,No repository,,,ldpd_5800727_003_00000690.jpg,Reformatted digital,,,Original Format: Oil painting on canvas,"Original Format: Lithograph, printed in colors",New York,,,Manhattan,,,"Images from Stokes' Iconography of Manhattan Island, 1498-1909 ","J. Clarence Davies, Esq.","Edward W.C. Arnold, Esq",,English,"Manhattan (New York, N.Y.)--History--19th century.",New York (N.Y.)--Description and travel--Views.,Ships--New York (State)--New York--History--19th century,"New York (N.Y.)--Buildings, structures, etc.",,,,,,,,,1836 1850,,,,,,,,"Villa on the Hudson, near Weehawken
[Showing the North End of Manhattan Island]
(A. Plate 24-a)","Castle Garden, New York (A. Plate 24-b)",,,,,,,,,
,"Schmidt, F.",,,,,"Rogers, I.",Endicott,"Bufford, J.H.",,,1834 1860,,ap,1834,c. 1860,,"Top: 22-a
Bottom: 22-b
Page labeled as 'A. Plate 22'",,,,,0,1,,3761,Still Image,English,,"Stokes, I. N. Phelps. The iconography of Manhattan Island, 1498-1909. New York : Robert H. Dodd, 1915-1928. Electronic reproduction. v. 3. New York, N.Y. : Columbia University Libraries, 2008.",http://www.columbia.edu/cu/lweb/digital/collections/cul/texts/ldpd_5800727_003/pages/ldpd_5800727_003_00000686.html?toggle=image&amp;menu=maximize&amp;top=&amp;left=,"A. Plate 22-a and A. Plate 22-b [no page number, Addenda]",,,No repository,,,ldpd_5800727_003_00000686.jpg,Reformatted digital,,,Original Format: Lithograph,,New York,,,Manhattan,,,"Images from Stokes' Iconography of Manhattan Island, 1498-1909 ",From the Pyne Collection,"Edward W.C. Arnold, Esq",,English,"Manhattan (New York, N.Y.)--History--19th century.","New York (N.Y.)--Buildings, structures, etc.",People--New York (State)--New York--19th century.,,,,,,,,,,1834 1860,,,,,,,,Park Hotel (A. Plate 22-a),"Fifth Avenue Hotel, New York (A. Plate 22-b)",,,,,,,,,
,,,,,,,,,,,1918 ,,ex,Unknown,1918,,"Top: 21-a
Bottom: 21-b
Page labeled as 'A. Plate 21'",,,,,0,1,,3759,Still Image,English,,"Stokes, I. N. Phelps. The iconography of Manhattan Island, 1498-1909. New York : Robert H. Dodd, 1915-1928. Electronic reproduction. v. 3. New York, N.Y. : Columbia University Libraries, 2008.",http://www.columbia.edu/cu/lweb/digital/collections/cul/texts/ldpd_5800727_003/pages/ldpd_5800727_003_00000684.html?toggle=image&amp;menu=maximize&amp;top=&amp;left=,"A. Plate 21-a and A. Plate 21-b [no page number, Addenda]",,,No repository,,,ldpd_5800727_003_00000684.jpg,Reformatted digital,,,Original Format: Watercolor drawing on paper,Original Format: Photograph,New York,,,Manhattan,,,"Images from Stokes' Iconography of Manhattan Island, 1498-1909 ","James C. Smilie and Ralph Smilie, Esqrs.",New York Public Library,,English,"Manhattan (New York, N.Y.)--History--19th century.","Manhattan (New York, N.Y.)--History--20th century.","New York (N.Y.)--Buildings, structures, etc.",People--New York (State)--New York--19th century.,,,,,,,,,1830 1918,,,,,,,,"Governor's Room City Hall (A. Plate 21-a)
",Modern Interior of Governor's Room (A. Plate 21-b),,,,,,,,,
,,,,,,,,,,,0000 ,,Questionable,Unknown,,,"Top: 19-a
Bottom: 19-b
Page labeled as 'A. Plate 19'",,,,,0,1,,3757,Still Image,English,,"Stokes, I. N. Phelps. The iconography of Manhattan Island, 1498-1909. New York : Robert H. Dodd, 1915-1928. Electronic reproduction. v. 3. New York, N.Y. : Columbia University Libraries, 2008.",http://www.columbia.edu/cu/lweb/digital/collections/cul/texts/ldpd_5800727_003/pages/ldpd_5800727_003_00000680.html?toggle=image&amp;menu=maximize&amp;top=200px&amp;left=70px,"A. Plate 19-a and A. Plate 19-b [no page number, Addenda]",,,No repository,,,ldpd_5800727_003_00000680.jpg,Reformatted digital,,,Original Format: Watercolor drawing on paper,,New York,,,Manhattan,,,"Images from Stokes' Iconography of Manhattan Island, 1498-1909 ",I.N. Phelps Stokes,,,English,"Manhattan (New York, N.Y.)--History--19th century.",New York (N.Y.)--Description and travel--Views.,"New York (N.Y.)--Buildings, structures, etc.",Fire departments--New York (State)--New York--History.,,,,,,,,,1830,,,,,,,,Broadway and Trinity Church (A. Plate 19-a),City Hall and Park Row (A. Plate 19-b),,,,,,,,,
,"Browere, A.D.O.",,,,,"Tower, F.B.","Bennett, W. (J.)",,,,1843 1885,,Exact,1885,1843,,"Top: 18-a
Bottom: 18-b
Page labeled as 'A. Plate 18'",,,,,0,1,,3756,Still Image,English,,"Stokes, I. N. Phelps. The iconography of Manhattan Island, 1498-1909. New York : Robert H. Dodd, 1915-1928. Electronic reproduction. v. 3. New York, N.Y. : Columbia University Libraries, 2008.",http://www.columbia.edu/cu/lweb/digital/collections/cul/texts/ldpd_5800727_003/pages/ldpd_5800727_003_00000678.html?toggle=image&amp;menu=maximize&amp;top=&amp;left=,"A. Plate 18-a and A. Plate 18-b [no page number, Addenda]",,,No repository,,,ldpd_5800727_003_00000678.jpg,Reformatted digital,,,Original Format: Oil painting on canvas,Original Format: Aquatint,New York,,,Manhattan,,,"Images from Stokes' Iconography of Manhattan Island, 1498-1909 ","J. Clarence Davies, Esq.",I.N. Phelps Stokes,,English,"Manhattan (New York, N.Y.)--History--19th century.",New York (N.Y.)--Description and travel--Views.,"New York (N.Y.)--Buildings, structures, etc.",Ships--New York (State)--New York--History--19th century,,,,,,,,,1828 1842,,,,,,,,Junction of the Bowery and Broadway in 1828 (A. Plate 18-a),View of the Jet at Harlem River (A. Plate 18-b),,,,,,,,,
,,,,,,,,,,,,,Questionable,Unknown,,,,,,,,0,1,,3754,Still Image,English,,"Stokes, I. N. Phelps. The iconography of Manhattan Island, 1498-1909. New York : Robert H. Dodd, 1915-1928. Electronic reproduction. v. 3. New York, N.Y. : Columbia University Libraries, 2008.",http://www.columbia.edu/cu/lweb/digital/collections/cul/texts/ldpd_5800727_003/pages/ldpd_5800727_003_00000676.html?toggle=image&amp;menu=maximize&amp;top=&amp;left=,"A. Plate 17 [no page number, Addenda]",,,No repository,,,ldpd_5800727_003_00000676.jpg,Reformatted digital,,,Original Format: Watercolor drawing on paper,,New York,,,Manhattan,,,"Images from Stokes' Iconography of Manhattan Island, 1498-1909 ","Frank H. Kinnicutt, Esq.",,,English,"Manhattan (New York, N.Y.)--History--19th century.",New York (N.Y.)--Description and travel--Views.,"New York (N.Y.)--Buildings, structures, etc.",People--New York (State)--New York--19th century.,,,,,,,,,1822,,,,,,,,Murray Street,,,,,,,,,,
,,,,,,,,,,,,,Questionable,Unknown,,,,,,,,0,1,,3753,Still Image,English,,"Stokes, I. N. Phelps. The iconography of Manhattan Island, 1498-1909. New York : Robert H. Dodd, 1915-1928. Electronic reproduction. v. 3. New York, N.Y. : Columbia University Libraries, 2008.",http://www.columbia.edu/cu/lweb/digital/collections/cul/texts/ldpd_5800727_003/pages/ldpd_5800727_003_00000674.html?toggle=image&amp;menu=maximize&amp;top=&amp;left=,"A. Plate 16 [no page number, Addenda]",,,No repository,,,ldpd_5800727_003_00000674.jpg,Reformatted digital,,,Original Format: Oil painting on canvas,,New York,,,Manhattan,,,"Images from Stokes' Iconography of Manhattan Island, 1498-1909 ",Miss Sarah Cooper Hewitt,,,English,"Manhattan (New York, N.Y.)--History--19th century.",New York (N.Y.)--Description and travel--Views.,"New York (N.Y.)--Buildings, structures, etc.",People--New York (State)--New York--19th century.,,,,,,,,,1820,,,,,,,,"Wall Street, Trinity Church, and the First Presbyterian Meeting",,,,,,,,,,
,,,,,,,,,,,,,Questionable,Unknown,,,,,,,,0,1,,3752,Still Image,English,,"Stokes, I. N. Phelps. The iconography of Manhattan Island, 1498-1909. New York : Robert H. Dodd, 1915-1928. Electronic reproduction. v. 3. New York, N.Y. : Columbia University Libraries, 2008.",http://www.columbia.edu/cu/lweb/digital/collections/cul/texts/ldpd_5800727_003/pages/ldpd_5800727_003_00000672.html?toggle=image&amp;menu=maximize&amp;top=&amp;left=,"A. Plate 15 [no page number, Addenda]",,,No repository,,,ldpd_5800727_003_00000672.jpg,Reformatted digital,,,Original Format: Pen and ink drawing on paper,,New York,,,Manhattan,,,"Images from Stokes' Iconography of Manhattan Island, 1498-1909 ",New York Historical Society,,,English,"Manhattan (New York, N.Y.)--History--19th century.","Manhattan (New York, N.Y.)--Maps",,,,,,,,,,,1814,,,,,,,,The City of New York as laid out by the Commissioners with the surrounding Country,,,,,,,,,,
,"Davis, Alexander Jackson, 1803-1892",,,,,"Imbert, Anthony","Thompson, E.M.",,,,1816 1828,,Approximate,c. 1826-1828,,,"Bottom plate of two plates, numbered A. Plate 12 on page",,,,,0,1,,3751,Still Image,English,,"Stokes, I. N. Phelps. The iconography of Manhattan Island, 1498-1909. New York : Robert H. Dodd, 1915-1928. Electronic reproduction. v. 3. New York, N.Y. : Columbia University Libraries, 2008.",http://www.columbia.edu/cu/lweb/digital/collections/cul/texts/ldpd_5800727_003/pages/ldpd_5800727_003_00000664.html?toggle=image&amp;menu=maximize&amp;top=&amp;left=,"A. Plate 12-b [no page number, Addenda]",,,No repository,,,ldpd_5800727_003_00000664.jpg,Reformatted digital,,,Original Format: Lithograph,,New York,,,Manhattan,,,"Images from Stokes' Iconography of Manhattan Island, 1498-1909 ",I.N. Phelps Stokes,,,English,"Manhattan (New York, N.Y.)--History--19th century.","New York (N.Y.)--Buildings, structures, etc.",,,,,,,,,,,1825,,,,,,,,Branch Bank of U.S.,,,,,,,,,,
,"Davis, Alexander Jackson, 1803-1892",,,,,"Imbert, Anthony","Thompson, E.M.",,,,1816 1828,,Approximate,c. 1819,c. 1826-1828,,"Top: 12-a
Bottom: 12-b
Page labeled as 'A. Plate 12'",,,,,0,1,,3750,Still Image,English,,"Stokes, I. N. Phelps. The iconography of Manhattan Island, 1498-1909. New York : Robert H. Dodd, 1915-1928. Electronic reproduction. v. 3. New York, N.Y. : Columbia University Libraries, 2008.",http://www.columbia.edu/cu/lweb/digital/collections/cul/texts/ldpd_5800727_003/pages/ldpd_5800727_003_00000664.html?toggle=image&amp;menu=maximize&amp;top=&amp;left=,"A. Plate 12-a and A. Plate 12-b [no page number, Addenda]",,,No repository,,,ldpd_5800727_003_00000664.jpg,Reformatted digital,,,Original Format: Lithograph,,New York,,,Manhattan,,,"Images from Stokes' Iconography of Manhattan Island, 1498-1909 ","Edward W.C. Arnold, Esq",I.N. Phelps Stokes,,English,"Manhattan (New York, N.Y.)--History--19th century.",New York (N.Y.)--Description and travel--Views.,"New York (N.Y.)--Buildings, structures, etc.",,,,,,,,,,1809 1825,,,,,,,,"St. Pauls Church, New York (A. Plate 12-a)",Branch Bank of U.S. (A. Plate 12-b),,,,,,,,,
,,,,,,,,,,,,,Questionable,Unknown,,,"Bottom plate of three plates, numbered A. Plate 11 on page",,,,,0,1,,3749,Still Image,English,,"Stokes, I. N. Phelps. The iconography of Manhattan Island, 1498-1909. New York : Robert H. Dodd, 1915-1928. Electronic reproduction. v. 3. New York, N.Y. : Columbia University Libraries, 2008.",http://www.columbia.edu/cu/lweb/digital/collections/cul/texts/ldpd_5800727_003/pages/ldpd_5800727_003_00000662.html?toggle=image&amp;menu=maximize&amp;top=&amp;left=,"A. Plate 11-c [no page number, Addenda]",,,No repository,,,ldpd_5800727_003_00000662.jpg,Reformatted digital,,,Original Format: Pen and ink drawing on paper,,New York,,,Manhattan,,,"Images from Stokes' Iconography of Manhattan Island, 1498-1909 ",New York Historical Society,,,English,"Manhattan (New York, N.Y.)--History--19th century.","New York (N.Y.)--Buildings, structures, etc.",,,,,,,,,,,1803,,,,,,,,Plan and Three Elevations of St. John's Chapel,,,,,,,,,,
,,,,,,,,,,,,,Questionable,Unknown,,,"Middle plate of three plates, numbered A. Plate 11 on page",,,,,0,1,,3748,Still Image,English,,"Stokes, I. N. Phelps. The iconography of Manhattan Island, 1498-1909. New York : Robert H. Dodd, 1915-1928. Electronic reproduction. v. 3. New York, N.Y. : Columbia University Libraries, 2008.",http://www.columbia.edu/cu/lweb/digital/collections/cul/texts/ldpd_5800727_003/pages/ldpd_5800727_003_00000662.html?toggle=image&amp;menu=maximize&amp;top=&amp;left=,"A. Plate 11-b [no page number, Addenda]",,,No repository,,,ldpd_5800727_003_00000662.jpg,Reformatted digital,,,Original Format: Pen and ink drawing on paper,,New York,,,Manhattan,,,"Images from Stokes' Iconography of Manhattan Island, 1498-1909 ",New York Historical Society,,,English,"Manhattan (New York, N.Y.)--History--19th century.","New York (N.Y.)--Buildings, structures, etc.",,,,,,,,,,,1811,,,,,,,,Elevation of Murray Street Church,,,,,,,,,,
,"McComb, John",,,,,"McComb, Jr., John",,,,,0000 ,,Questionable,Unknown,,,"Top left: 11-a
Top right: 11-b
Bottom: 11-c
Page labeled as 'A. Plate 11'",,,,,0,1,,3747,Still Image,English,,"Stokes, I. N. Phelps. The iconography of Manhattan Island, 1498-1909. New York : Robert H. Dodd, 1915-1928. Electronic reproduction. v. 3. New York, N.Y. : Columbia University Libraries, 2008.",http://www.columbia.edu/cu/lweb/digital/collections/cul/texts/ldpd_5800727_003/pages/ldpd_5800727_003_00000662.html?toggle=image&amp;menu=maximize&amp;top=&amp;left=,"A. Plate 11-a, A. Plate 11-b, and A. Plate 11-c [no page number, Addenda]",,,No repository,,,ldpd_5800727_003_00000662.jpg,Reformatted digital,,,Original Format: Pen and ink drawing on paper,,New York,,,Manhattan,,,"Images from Stokes' Iconography of Manhattan Island, 1498-1909 ",New York Historical Society,,,English,"Manhattan (New York, N.Y.)--History--18th century.","Manhattan (New York, N.Y.)--History--19th century.","New York (N.Y.)--Buildings, structures, etc.",,,,,,,,,,1769 1811,,,,,,,,Front Elevation of the North Dutch Church (A. Plate 11-a),Elevation of Murray Street Church (A. Plate 11-b),Plan and Three Elevations of St. John's Chapel (A. Plate 11-c),,,,,,,,
,,,,,,,,,,,1790 ,,Approximate,c.1790,,,"Bottom plate of three plates, numbered A. Plate 10 on page",,,,,0,1,,3746,Still Image,English,,"Stokes, I. N. Phelps. The iconography of Manhattan Island, 1498-1909. New York : Robert H. Dodd, 1915-1928. Electronic reproduction. v. 3. New York, N.Y. : Columbia University Libraries, 2008.",http://www.columbia.edu/cu/lweb/digital/collections/cul/texts/ldpd_5800727_003/pages/ldpd_5800727_003_00000660.html?toggle=image&amp;menu=maximize&amp;top=&amp;left=,"A. Plate 10-c [no page number, Addenda]",,,No repository,,,ldpd_5800727_003_00000660.jpg,Reformatted digital,,,Original Format: Pen and ink drawing on paper,,New York,,,Manhattan,,,"Images from Stokes' Iconography of Manhattan Island, 1498-1909 ",New York Historical Society,,,English,"Manhattan (New York, N.Y.)--History--18th century.","New York (N.Y.)--Buildings, structures, etc.",,,,,,,,,,,,,,,,,,,Plan of the Government House,,,,,,,,,,
,,,,,,,,,,,1790 ,,Approximate,c.1790,,,"Top : 10-a
Bottom left: 10-b
Bottom right: 10-c
Page labeled as 'A. Plate 10'",,,,,0,1,,3744,Still Image,English,,"Stokes, I. N. Phelps. The iconography of Manhattan Island, 1498-1909. New York : Robert H. Dodd, 1915-1928. Electronic reproduction. v. 3. New York, N.Y. : Columbia University Libraries, 2008.",http://www.columbia.edu/cu/lweb/digital/collections/cul/texts/ldpd_5800727_003/pages/ldpd_5800727_003_00000660.html?toggle=image&amp;menu=maximize&amp;top=&amp;left=,"A. Plate 10-a, A. Plate 10-b, and A. Plate 10-c [no page number, Addenda]",,,No repository,,,ldpd_5800727_003_00000660.jpg,Reformatted digital,,,Original Format: Pen and ink drawing on paper,,New York,,,Manhattan,,,"Images from Stokes' Iconography of Manhattan Island, 1498-1909 ",New York Historical Society,,,English,"Manhattan (New York, N.Y.)--History--18th century.","New York (N.Y.)--Buildings, structures, etc.",,,,,,,,,,,,,,,,,,,North Elevation of the Government House (A. Plate 10-a),Plan of the Government House (A. Plate 10-b),Plan of the Government House (A. Plate 10-c),,,,,,,,
,,,,,,,,,,,0000 ,,Questionable,Unknown,,,"Top: 9-a
Bottom: 9-b
Page labeled as 'A. Plate 9'",,,,,0,1,,3742,Still Image,English,,"Stokes, I. N. Phelps. The iconography of Manhattan Island, 1498-1909. New York : Robert H. Dodd, 1915-1928. Electronic reproduction. v. 3. New York, N.Y. : Columbia University Libraries, 2008.",http://www.columbia.edu/cu/lweb/digital/collections/cul/texts/ldpd_5800727_003/pages/ldpd_5800727_003_00000658.html?toggle=image&amp;menu=maximize&amp;top=&amp;left=,"A. Plate 9-a and A. Plate 9-b [no page number, Addenda]",,,No repository,,,ldpd_5800727_003_00000658.jpg,Reformatted digital,,,Original Format: Manuscript on paper,,New York,,,Manhattan,,,"Images from Stokes' Iconography of Manhattan Island, 1498-1909 ","Francis W. Ford's Sons, Surveyors","City of New York, Real Estate Bureau of Comptroller's Office",,English,"Manhattan (New York, N.Y.)--History--18th century.","Manhattan (New York, N.Y.)--Maps",,,,,,,,,,,1785 1796,,,,,,,,A Plan of the Commons belonging to New York (A. Plate 9-a),A Map of the Common Lands (etc.) (A. Plate 9-b),,,,,,,,,
,"Evers, J.",,,,,"Childs, J.",,,,,1840 ,,Approximate,c.1840,,,,,,,,0,1,,3741,Still Image,English,,"Stokes, I. N. Phelps. The iconography of Manhattan Island, 1498-1909. New York : Robert H. Dodd, 1915-1928. Electronic reproduction. v. 3. New York, N.Y. : Columbia University Libraries, 2008.",http://www.columbia.edu/cu/lweb/digital/collections/cul/texts/ldpd_5800727_003/pages/ldpd_5800727_003_00000656.html?toggle=image&amp;menu=maximize&amp;top=&amp;left=,"A. Plate 8 [no page number, Addenda]",,,No repository,,,ldpd_5800727_003_00000656.jpg,Reformatted digital,,,Original Format: Lithograph,,New York,,,Manhattan,,,"Images from Stokes' Iconography of Manhattan Island, 1498-1909 ","Edward W.C. Arnold, Esq",,,English,"Manhattan (New York, N.Y.)--History--18th century.",New York (N.Y.)--Description and travel--Views.,"New York (N.Y.)--Buildings, structures, etc.",,,,,,,,,,1840,,,,,,,,Ruins of Trinity Church,,,,,,,,,,
,,,,,,,,,,,1784 ,,Questionable,Unknown,Before 1784,,"Top: 7-a
Bottom: 7-b
Page labeled as 'A. Plate 7'",,,,,0,1,,3739,Still Image,English,,"Stokes, I. N. Phelps. The iconography of Manhattan Island, 1498-1909. New York : Robert H. Dodd, 1915-1928. Electronic reproduction. v. 3. New York, N.Y. : Columbia University Libraries, 2008.",http://www.columbia.edu/cu/lweb/digital/collections/cul/texts/ldpd_5800727_003/gallery/images/ldpd_5800727_003_00000654.jpg,"A. Plate 7-a and A. Plate 7-b [no page number, Addenda]",,,No repository,,,ldpd_5800727_003_00000654.jpg,Reformatted digital,,,Original Format: Pen and ink tracing from the original drawing or print,"Original Format: Etching, colored",New York,,,,,,"Images from Stokes' Iconography of Manhattan Island, 1498-1909 ",I.N. Phelps Stokes,"Edward W.C. Arnold, Esq",,English,"New York, N.Y.--History--18th century.",New York (N.Y.)--Description and travel--Views.,Ships--New York (State)--New York--History--18th century.,,,,,,,,,,1776,,,,,,,,"Careening Place, New York, above Col. Rutgers East River
(A. Plate 7-a)",Hellgate (A. Plate 7-b),,,,,,,,,
,,,,,,,,,,,,,Questionable,Unknown,,,"Top plate of two plates, numbered A. Plate 6 on page",,,,,0,1,,3738,Still Image,English,,"Stokes, I. N. Phelps. The iconography of Manhattan Island, 1498-1909. New York : Robert H. Dodd, 1915-1928. Electronic reproduction. v. 3. New York, N.Y. : Columbia University Libraries, 2008.",http://www.columbia.edu/cu/lweb/digital/collections/cul/texts/ldpd_5800727_003/pages/ldpd_5800727_003_00000652.html?toggle=image&amp;menu=maximize&amp;top=200px&amp;left=70px,"A. Plate 6-a [no page number, Addenda]",,,No repository,,,ldpd_5800727_003_00000652.jpg,Reformatted digital,,,Original Format: Pen and ink drawing on paper,,New York,,,Manhattan,,,"Images from Stokes' Iconography of Manhattan Island, 1498-1909 ","Library of Congress, Div. of Maps and Charts",,,English,"Manhattan (New York, N.Y.)--History--18th century.",New York (N.Y.)--Description and travel--Views.,,,,,,,,,,,1776,,,,,,,,Bunker's Hill on N. York Island,,,,,,,,,,
,,,,,,,,,,,,,Questionable,Unknown,,,"Top plate of two plates, numbered A. Plate 5 on page",,,,,0,1,,3737,Still Image,English,,"Stokes, I. N. Phelps. The iconography of Manhattan Island, 1498-1909. New York : Robert H. Dodd, 1915-1928. Electronic reproduction. v. 3. New York, N.Y. : Columbia University Libraries, 2008.",http://www.columbia.edu/cu/lweb/digital/collections/cul/texts/ldpd_5800727_003/pages/ldpd_5800727_003_00000650.html?toggle=image&amp;menu=maximize&amp;top=200px&amp;left=70px,"A. Plate 5-a [no page number, Addenda]",,,No repository,,,ldpd_5800727_003_00000650.jpg,Reformatted digital,,,"Original Format: Manuscript on paper, bound with silk",,New York,,,Manhattan,,,"Images from Stokes' Iconography of Manhattan Island, 1498-1909 ",I.N. Phelps Stokes,,,English,"Manhattan (New York, N.Y.)--History--18th century.","Manhattan (New York, N.Y.)--Maps",,,,,,,,,,,1772,,,,,,,,Plan of the Ground between Coenties Slip and White-Hall Slip,,,,,,,,,,
,,,,,,,,,,,,,Questionable,Unknown,,,"Bottom plate of two plates, numbered A. Plate 4 on page",,,,,0,1,,3736,Still Image,English,,"Stokes, I. N. Phelps. The iconography of Manhattan Island, 1498-1909. New York : Robert H. Dodd, 1915-1928. Electronic reproduction. v. 3. New York, N.Y. : Columbia University Libraries, 2008.",http://www.columbia.edu/cu/lweb/digital/collections/cul/texts/ldpd_5800727_003/pages/ldpd_5800727_003_00000648.html?toggle=image&amp;menu=maximize&amp;top=200px&amp;left=70px,"A. Plate 4-b [no page number, Addenda]",,,No repository,,,ldpd_5800727_003_00000648.jpg,Reformatted digital,,,Original Format: Pen and ink drawing on paper,,New York,,,,,,"Images from Stokes' Iconography of Manhattan Island, 1498-1909 ","Ridgway Branch, Library Company of Philadelphia",,,English,"Manhattan (New York, N.Y.)--History--18th century.","New York (N.Y.)--Buildings, structures, etc.",,,,,,,,,,,1770,,,,,,,,"Caricature showing the Park, Gaol, Liberty Pole, etc",,,,,,,,,,
,"Hunn, John S.",,,,,"Corning, Amos","Maerschalck, Francis W., d. 1776",,,,0000 ,,Questionable,Unknown,,,"Top: 3-a
Bottom: 3-b
Page labeled as 'A. Plate 3-a'",,,,,0,1,,3734,Still Image,English,,"Stokes, I. N. Phelps. The iconography of Manhattan Island, 1498-1909. New York : Robert H. Dodd, 1915-1928. Electronic reproduction. v. 3. New York, N.Y. : Columbia University Libraries, 2008.",http://www.columbia.edu/cu/lweb/digital/collections/cul/texts/ldpd_5800727_003/pages/ldpd_5800727_003_00000646.html?toggle=image&amp;menu=maximize&amp;top=&amp;left=,"A. Plate 3-a and A. Plate 3-b  [no page number, Addenda]",,,No repository,,,ldpd_5800727_003_00000646.jpg,Reformatted digital,,,Original Format: Pen and ink drawing on paper,,New York,,,Manhattan,,,"Images from Stokes' Iconography of Manhattan Island, 1498-1909 ","Francis W. Ford's Sons, Surveyors",,,English,"Manhattan (New York, N.Y.)--History--19th century.","Manhattan (New York, N.Y.)--Maps",,,,,,,,,,,1751 1808,,,,,,,,Map of the Ground and Improvements belonging to the State of New York on the South of the Government House (etc.) (A. Plate 3-a),Manuscript Survey of Trinity Church Property (A. Plate 3-b),,,,,,,,,
,,,,,,,,,,,1906 1917,,Exact,"1909-1911
",1914,"1915<1917<1912
<1917
<1916
<1906","Top: 171-a
Middle: 171-b
Bottom left of six plates: 171-c
Bottom second from left of six plates: 171-d
Bottom third from left of six plates: 171-e
Bottom third from right of six plates: 171-g
Bottom second from right of six plates: 171-f
Bottom right of six plates: 171-h
Page labeled as 'Plate 171'",,,,,0,1,,3731,Still Image,English,,"Stokes, I. N. Phelps. The iconography of Manhattan Island, 1498-1909. New York : Robert H. Dodd, 1915-1928. Electronic reproduction. v. 3. New York, N.Y. : Columbia University Libraries, 2008.",http://www.columbia.edu/cu/lweb/digital/collections/cul/texts/ldpd_5800727_003/pages/ldpd_5800727_003_00000611.html?toggle=image&amp;menu=maximize&amp;top=&amp;left=,"Plate 171-a, Plate 171-b, Plate 171-c, Plate 171-d, Plate 171-e, Plate 171-f, Plate 171-g, and Plate 171-h [no page number, Chapter 8]",,,No repository,,,ldpd_5800727_003_00000611.jpg,Reformatted digital,,,Original Format: Photograph,,New York,,,Manhattan,Governor's Island,,"Images from Stokes' Iconography of Manhattan Island, 1498-1909 ",New York Public Library,,,English,"Manhattan (New York, N.Y.)--History--20th century.",New York (N.Y.)--Description and travel--Views.,"New York (N.Y.)--Buildings, structures, etc.",Parks--New York (State)--New York,,,,,,,,,1906 1917,,,,,,,,"Panorama of Manhattan Island taken from Woodcliff, N.J. (Plate 171-a)
",Panorama of Manhattan Island taken from the Palisades (Plate 171-b),"North End of Manhattan Island (Plate 171-c)
","Riverside Drives looking North from 96th Street toward Grant's Tomb (Plate 171-d)
","Riverside Drive looking North from 72d Street (Plate 171-e)
","Harlem River and High Bridge, showing Washington Bridge in the Distance 
(Plate 171-f)
","Hell Gate Bridge from New York City (Plate 171-g)
",New York from Governors Island (Plate 171-h),,,
,,,,,,,,,,,1909 ,,Exact,1909,,,,,,,,0,1,,3723,Still Image,English,,"Stokes, I. N. Phelps. The iconography of Manhattan Island, 1498-1909. New York : Robert H. Dodd, 1915-1928. Electronic reproduction. v. 3. New York, N.Y. : Columbia University Libraries, 2008.",http://www.columbia.edu/cu/lweb/digital/collections/cul/texts/ldpd_5800727_003/pages/ldpd_5800727_003_00000608.html?toggle=image&amp;menu=maximize&amp;top=&amp;left=,"Plate 170 [no page number, Chapter 8]",,,No repository,,,ldpd_5800727_003_00000608.jpg,Reformatted digital,,,Original Format: Photograph,,New York,,,Manhattan,,,"Images from Stokes' Iconography of Manhattan Island, 1498-1909 ",New York Public Library,,,English,"Manhattan (New York, N.Y.)--History--20th century.",New York (N.Y.)--Description and travel--Views.,"New York (N.Y.)--Buildings, structures, etc.",,,,,,,,,,1909,,,,,,,,Columbia University,,,,,,,,,,
