relatedItem_Collection,name 1,nameType 1,nameRelator 1,name_authority 1,name_authority_identifier 1,name 2,name 3,name 4,name 5,name 6,keyDate_start,keyDate_end,dateQualifier,dateCreated 1,dateCreated 2,dateCreated 3,abstract 1,abstract 2,abstract 3,abstract 4,abstract 5,item - featured,item - public,identifier_clio,identifier_omeka,typeOfResour ce,language,location_url_ObjectInContext,Source 1,Source 2,citation 1,citation 2,citation 3,physicalLocation,physicalLocation_authority,note,note_filename,digitalOrigin,form,form_authority,form_originalFormat 1,form_originalFormat 2,place 1,place_authority 1,place_authority_identifier 1,place 2,place 3,place 4,relatedItem_Project,note_ownership 1,note_ownership 2,note_ownership 3,languageOfCataloging,subject_topic,subject_topic 2,subject_topic 3,subject_topic 4,subject_topic 5,subject_topic 6,subject_name,subject_name_authority,subject_name_authority_identifier,subject_geographic,subject_geographic_authority,subject_geographic_authority_identifier,subject_temporal 1,subject_temporal 2,subject_temporal 3,subject_title,subject_title_authority,subject_title_authority_identifier,accessCondition,title_nonsort,title,title 2,title 3,title 4,title 5,title 6,title 7,title 8,identifer_title,title2,title2_type
,,,,,,,,,,,1778 ,,Exact,1778,,,,,,,,0,1,,3911,Still Image,English,,"Stokes, I. N. Phelps. The iconography of Manhattan Island, 1498-1909. New York : Robert H. Dodd, 1915-1928. Electronic reproduction. v. 5. New York, N.Y. : Columbia University Libraries, 2008.",http://www.columbia.edu/cu/lweb/digital/collections/cul/texts/ldpd_5800727_005/pages/ldpd_5800727_005_00000010.html?toggle=image&amp;menu=maximize&amp;top=&amp;left=,Frontispiece I [no page number],,,No repository,,,ldpd_5800727_005_00000010.jpg,Reformatted digital,,,Original Format: Sepia drawing,,New York,,,Manhattan,Brooklyn,,"Images from Stokes' Iconography of Manhattan Island, 1498-1909 ",I.N. Phelps Stokes,,,English,"Manhattan (New York, N.Y.)--History--18th century.",New York (N.Y.)--Description and travel--Views.,Ships--New York (State)--New York--History--18th century.,,,,,,,,,,1778,,,,,,,,"New York from Brooklyn Heights; Drawn by Archibald Robertson on Aug. 6, 1778",,,,,,,,,,
,,,,,,,,,,,,,Questionable,Unknown,,,,,,,,0,1,,3910,Still Image,English,,"Stokes, I. N. Phelps. The iconography of Manhattan Island, 1498-1909. New York : Robert H. Dodd, 1915-1928. Electronic reproduction. v. 6. New York, N.Y. : Columbia University Libraries, 2008.",http://www.columbia.edu/cu/lweb/digital/collections/cul/texts/ldpd_5800727_006/pages/ldpd_5800727_006_00000399.html?toggle=image&amp;menu=maximize&amp;top=&amp;left=,"Plate 109 [no page number, within Bibliography]",,,No repository,,,ldpd_5800727_006_00000399.jpg,Reformatted digital,,,,,New York,,,Manhattan,Governor's Island,,"Images from Stokes' Iconography of Manhattan Island, 1498-1909 ",I.N. Phelps Stokes,,,English,"Manhattan (New York, N.Y.)--History--20th century.",New York (N.Y.)--Description and travel--Views.,"New York (N.Y.)--Buildings, structures, etc.",,,,,,,,,,1925,,,,,,,,"New York Skyline from Governor's Island, 1925",,,,,,,,,,
,,,,,,,,,,,0000 ,,Questionable,Unknown,,,"Top: 108-a
Bottom: 108-b
Page labeled as 'Plate 108'",,,,,0,1,,3908,Still Image,English,,"Stokes, I. N. Phelps. The iconography of Manhattan Island, 1498-1909. New York : Robert H. Dodd, 1915-1928. Electronic reproduction. v. 6. New York, N.Y. : Columbia University Libraries, 2008.",http://www.columbia.edu/cu/lweb/digital/collections/cul/texts/ldpd_5800727_006/pages/ldpd_5800727_006_00000389.html?toggle=image&amp;menu=maximize&amp;top=&amp;left=,"Plate 108-a and Plate 108-b [no page number, within Bibliography]",,,No repository,,,ldpd_5800727_006_00000389.jpg,Reformatted digital,,,Original Format: Artotype,,New York,,,Manhattan,,,"Images from Stokes' Iconography of Manhattan Island, 1498-1909 ",I.N. Phelps Stokes,,,English,"Manhattan (New York, N.Y.)--History--19th century.","New York (N.Y.)--Buildings, structures, etc.",,,,,,,,,,,1892 1895,,,,,,,,Apthorpe Mansion shortly before its demolition in 1892 (Plate 108-a),Hamilton Grange about 1895 (Plate 108-b),,,,,,,,,
,,,,,,,,,,,0000 ,,Questionable,Unknown,,,"Top: 107-a
Bottom: 107-b
Page labeled as 'Plate 107'",,,,,0,1,,3906,Still Image,English,,"Stokes, I. N. Phelps. The iconography of Manhattan Island, 1498-1909. New York : Robert H. Dodd, 1915-1928. Electronic reproduction. v. 6. New York, N.Y. : Columbia University Libraries, 2008.",http://www.columbia.edu/cu/lweb/digital/collections/cul/texts/ldpd_5800727_006/pages/ldpd_5800727_006_00000379.html?toggle=image&amp;menu=maximize&amp;top=&amp;left=,"Plate 107-a and Plate 107-b [no page number, within Bibliography]",,,No repository,,,ldpd_5800727_006_00000379.jpg,Reformatted digital,,,Original Format: Contact print,,New York,,,Manhattan,,,"Images from Stokes' Iconography of Manhattan Island, 1498-1909 ",I.N. Phelps Stokes,,,English,"Manhattan (New York, N.Y.)--History--19th century.",New York (N.Y.)--Description and travel--Views.,"New York (N.Y.)--Buildings, structures, etc.",,,,,,,,,,1860 1875,,,,,,,,"St. Luke's Hospital, Fifth Ave. and 54th St., about 1860 (Plate 107-a)",Old Grand Central Terminal about 1875 (Plate 107-b),,,,,,,,,
,,,,,,,,,,,0000 ,,Questionable,Unknown,,,"Top: 106-a
Bottom: 106-b
Page labeled as 'Plate 106'",,,,,0,1,,3904,Still Image,English,,"Stokes, I. N. Phelps. The iconography of Manhattan Island, 1498-1909. New York : Robert H. Dodd, 1915-1928. Electronic reproduction. v. 6. New York, N.Y. : Columbia University Libraries, 2008.",http://www.columbia.edu/cu/lweb/digital/collections/cul/texts/ldpd_5800727_006/pages/ldpd_5800727_006_00000369.html?toggle=image&amp;menu=maximize&amp;top=&amp;left=,"Plate 106-a and Plate 106-b [no page number, within Bibliography]",,,No repository,,,ldpd_5800727_006_00000369.jpg,Reformatted digital,,,Original Format: Contact print,,New York,,,Manhattan,,,"Images from Stokes' Iconography of Manhattan Island, 1498-1909 ",I.N. Phelps Stokes,,,English,"Manhattan (New York, N.Y.)--History--19th century.",New York (N.Y.)--Description and travel--Views.,"New York (N.Y.)--Buildings, structures, etc.",,,,,,,,,,1857 1860,,,,,,,,"Demolition of the Brick Church, Beekman St., 1857 (Plate 106-a)",New York Hospital about 1860 (Plate 106-b),,,,,,,,,
,,,,,,,,,,,1858 1875,,Exact,1858-1875,,,,,,,,0,1,,3903,Still Image,English,,"Stokes, I. N. Phelps. The iconography of Manhattan Island, 1498-1909. New York : Robert H. Dodd, 1915-1928. Electronic reproduction. v. 6. New York, N.Y. : Columbia University Libraries, 2008.",http://www.columbia.edu/cu/lweb/digital/collections/cul/texts/ldpd_5800727_006/pages/ldpd_5800727_006_00000359.html?toggle=image&amp;menu=maximize&amp;top=&amp;left=,"Plate 105 [no page number, within Bibliography]",,,No repository,,,ldpd_5800727_006_00000359.jpg,Reformatted digital,,,Original Format: Photographs,,New York,,,Manhattan,,,"Images from Stokes' Iconography of Manhattan Island, 1498-1909 ",I.N. Phelps Stokes,,,English,"Manhattan (New York, N.Y.)--History--19th century.",New York (N.Y.)--Description and travel--Views.,"New York (N.Y.)--Buildings, structures, etc.",,,,,,,,,,1858 1875,,,,,,,,Six Photographs made by E. Anthony between 1858 and 1875;,"a. Stock Exchange, b. Park-Chatham Sts., c. Bridge over Broadway at Fulton St., d. Broadway from the balcony of the Metropolis Hotel, e. Five Points, f. Fifth Ave. from Madison Sq.",,,,,,,,,
,,,,,,,,,,,0000 ,,Questionable,Unknown,,,"Top: 104-a
Bottom: 104-b
Page labeled as 'Plate 104'",,,,,0,1,,3901,Still Image,English,,"Stokes, I. N. Phelps. The iconography of Manhattan Island, 1498-1909. New York : Robert H. Dodd, 1915-1928. Electronic reproduction. v. 6. New York, N.Y. : Columbia University Libraries, 2008.",http://www.columbia.edu/cu/lweb/digital/collections/cul/texts/ldpd_5800727_006/pages/ldpd_5800727_006_00000349.html?toggle=image&amp;menu=maximize&amp;top=&amp;left=,"Plate 104-a and Plate 104-b [no page number, within Bibliography]",,,No repository,,,ldpd_5800727_006_00000349.jpg,Reformatted digital,,,,,New York,,,Queens,,,"Images from Stokes' Iconography of Manhattan Island, 1498-1909 ",New York Historical Society,,,English,"Queens (New York, N.Y.) --History --19th century.","New York (N.Y.)--Buildings, structures, etc.",,,,,,,,,,,1850 1853,,,,,,,,"Exterior of the John S. Stevens House, College Place, about 1850-53
(Plate 104-a)",Parlour of the Stevens House (Plate 104-b),,,,,,,,,
,,,,,,,,,,,,,Questionable,Unknown,,,"Top plate of two plates, labeled Plate 103 on page",,,,,0,1,,3900,Still Image,English,,"Stokes, I. N. Phelps. The iconography of Manhattan Island, 1498-1909. New York : Robert H. Dodd, 1915-1928. Electronic reproduction. v. 6. New York, N.Y. : Columbia University Libraries, 2008.",http://www.columbia.edu/cu/lweb/digital/collections/cul/texts/ldpd_5800727_006/pages/ldpd_5800727_006_00000343.html?toggle=image&amp;menu=maximize&amp;top=&amp;left=,"Plate 103-a [no page number, within Bibliography]",,,No repository,,,ldpd_5800727_006_00000343.jpg,Reformatted digital,,,,,New York,,,Brooklyn,,,"Images from Stokes' Iconography of Manhattan Island, 1498-1909 ",I.N. Phelps Stokes,,,English,"Brooklyn (New York, N.Y.)--History--19th century.",New York (N.Y.)--Description and travel--Views.,"New York (N.Y.)--Buildings, structures, etc.",Ships--New York (State)--New York--History,,,,,,,,,1846,,,,,,,,"View of Brooklyn from the United States Hotel, 1846",,,,,,,,,,
,,,,,,,,,,,1848 ,,ex,Unknown,1848,,"Top: 102-a
Bottom: 102-b
Page labeled as 'Plate 102'",,,,,0,1,,3899,Still Image,English,,"Stokes, I. N. Phelps. The iconography of Manhattan Island, 1498-1909. New York : Robert H. Dodd, 1915-1928. Electronic reproduction. v. 6. New York, N.Y. : Columbia University Libraries, 2008.",http://www.columbia.edu/cu/lweb/digital/collections/cul/texts/ldpd_5800727_006/pages/ldpd_5800727_006_00000333.html?toggle=image&amp;menu=maximize&amp;top=&amp;left=,"Plate 102-a and Plate 102-b [no page number, within Bibliography]",,,No repository,,,ldpd_5800727_006_00000333.jpg,Reformatted digital,,,,,New York,,,Manhattan,,,"Images from Stokes' Iconography of Manhattan Island, 1498-1909 ",I.N. Phelps Stokes,,,English,"Manhattan (New York, N.Y.)--History--19th century.",New York (N.Y.)--Description and travel--Views.,Ships--New York (State)--New York--History,People--New York (State)--New York--1800-1820.,,,,,,,,,1838,,,,,,,,"Bay of New York from the Battery showing the S.S. ""Royal William,"" 1838
(Plate 102-a)","Panoramic view of New York from the roof of Trinity Church, copyrighted 1848
(Plate 102-b)",,,,,,,,,
,,,,,,,,,,,1838 ,,Exact,1838,Unknown,,"Top: 101-a
Bottom: 101-b
Page labeled as 'Plate 101'",,,,,0,1,,3896,Still Image,English,,"Stokes, I. N. Phelps. The iconography of Manhattan Island, 1498-1909. New York : Robert H. Dodd, 1915-1928. Electronic reproduction. v. 6. New York, N.Y. : Columbia University Libraries, 2008.",http://www.columbia.edu/cu/lweb/digital/collections/cul/texts/ldpd_5800727_006/pages/ldpd_5800727_006_00000322.html?toggle=image&amp;menu=maximize&amp;top=&amp;left=,"Plate 101-a and Plate 101-b [no page number, within Bibliography]",,,No repository,,,ldpd_5800727_006_00000322.jpg,Reformatted digital,,,,,New York,,,,,,"Images from Stokes' Iconography of Manhattan Island, 1498-1909 ",I.N. Phelps Stokes,,,English,"New York, N.Y.--History--19th century.",Ships--New York (State)--New York--History,Steam engines--New York (State)--New York--1800-1820,,,,,,,,,,1838 1839,,,,,,,,"The ""British Queen,"" which arrived at New York on July 28, 1839 (Plate 101-a)","The ""President,"" which arrived at New York on Aug. 17, 1840 (Plate 101-b)",,,,,,,,,
