relatedItem_collection,name,nameType,nameRelator,name_authority,name_authority_identifier,name 2,nameRelator 2,nameType 2,name_authority 2,name_authority_identifier 2,keyDate_start,keyDate_end,dateQualifier,dateCreated,abstract,abstract 2,item - featured,identifier_clio,identifier_omeka,typeOfResource,language,location_url_ObjectInContext,physicalLocation,physicalLocation_authority,shelfLocator,sublocation,note,note 2,note_filename,digitalOrigin,extent,form,form_authority,form_authority_identifier,form_originalFormat,form_originalFormat 1,place,place_authority,place_authority_identifier,relatedItem_Project,projectURL,note_ownership,publisher,languageOfCataloging,subject_topic,subject_topic_authority,subject_topic_authority_identifier,subject_name,subject_name_authority,subject_name_authority_identifier,subject_geographic,subject_geographic_authority,subject_geographic_authority_identifier,subject_geographic_hierarchical_street,subject_geographic_hierarchical_borough,subject_geographic_hierarchical_city,subject_geographic_hierarchical_state,subject_geographic_hierarchical_province,subject_geographic_hierarchical_country,subject_temporal,item - public,title_nonsort,title,partName,identifier_title,title2_nonsort,title2,title2_type
Dramatic Museum Realia,,,,,,,,,,,,,,,"Gold-fleshed mask-like wall decoration with glass eyes. Seems never to have been used as a mask, but resembles the young female type of Kyogen",,1,,2502,Still Image,,https://exhibitions.cul.columbia.edu/index.php/exhibits/show/realia/masks_japan/gallery3,NNC-RB,marcorg,"DM number: M1.38,  Box:  95",,,,rbml_realia_m1.38,reformatted digital,,,,," Physical Dimensions: 8.75""x5.625""",Masks (costume) ,,,,Dramatic Museum Realia,,"purchase, Orientalia, NY, 1936",,eng,,,,,,,Japan,,,,,,,,,,1,,Young female mask,,,,,
Dramatic Museum Realia,,,,,,,,,,,,,,,"Black mask of god or demon with very flat nose, wide red lips (with two fang-like teeth showing, and large bug eyes turne up. Shows more fear than ferocity",,1,,2501,Still Image,,https://exhibitions.cul.columbia.edu/index.php/exhibits/show/realia/masks_japan/gallery3,NNC-RB,marcorg,"DM number: M1.37,  Box:  94",,,,rbml_realia_m1.37,reformatted digital," 9.5""x7.625""",,,, wood ,Masks (costume) ,,,,Dramatic Museum Realia,,"purchase, Orientalia, NY, 1936",,eng,,,,,,,Japan,,,,,,,,,,1,,God or Demon mask,,,,,
Dramatic Museum Realia,,,,,,,,,,,,,,,"Dark gray mask of demon with hinged jaw. Upturned nose and bug eyes; wide mouth and large, black teeth",,1,,2500,Still Image,,https://exhibitions.cul.columbia.edu/index.php/exhibits/show/realia/masks_japan/gallery3,NNC-RB,marcorg,"DM number: M1.36,  Box:  93",,,,rbml_realia_m1.36,reformatted digital," 8.875""x6.375""",,,, wood ,Masks (costume) ,,,,Dramatic Museum Realia,,"purchase, Orientalia, NY, 1936",,eng,,,,,,,Japan,,,,,,,,,,1,,Bugaku mask of a demon,,,,,
Dramatic Museum Realia,,,,,,,,,,,,,,,"Red mask of grinning demon with large, bulbous nose and broad, leering mouth. Down-turned eyes set deep in skull",,1,,2499,Still Image,,https://exhibitions.cul.columbia.edu/index.php/exhibits/show/realia/masks_japan/gallery3,NNC-RB,marcorg,"DM number: M1.34,  Box:  92",,,,rbml_realia_m1.34,reformatted digital," 7.625""x6""",,,, wood ,Masks (costume) ,,,,Dramatic Museum Realia,,"purchase, Orientalia, NY, 1936",,eng,,,,,,,Japan,,,,,,,,,,1,,Kyogen mask of a demon (Buaku),,,,,
Dramatic Museum Realia,,,,,,,,,,,,,,,White comic mask of young girl with very happy expression. Her tongue and upper teeth are visible between her laughing lips,,1,,2498,Still Image,,https://exhibitions.cul.columbia.edu/index.php/exhibits/show/realia/masks_japan/gallery3,NNC-RB,marcorg,"DM number: M1.32,  Box:  91",,,,rbml_realia_m1.32,reformatted digital," 7.625""x5.625""",,,, wood ,Masks (costume) ,,,,Dramatic Museum Realia,,"purchase, Orientalia, NY, 1936",,eng,,,,,,,Japan,,,,,,,,,,1,,Kyogen mask of young female,,,,,
Dramatic Museum Realia,,,,,,,,,,,,,,,"Happy, smiling, brown mask of fat man with a little droopy mustache and a fringe of hair",,1,,2497,Still Image,,https://exhibitions.cul.columbia.edu/index.php/exhibits/show/realia/masks_japan/gallery3,NNC-RB,marcorg,"DM number: M1.31,  Box:  90",,,,rbml_realia_m1.31,reformatted digital," 8.5""x6.875""",,,, wood ,Masks (costume) ,,,,Dramatic Museum Realia,,"purchase, Orientalia, NY, 1936",,eng,,,,,,,Japan,,,,,,,,,,1,,Kyogen mask of adult male (possibly Enmei-Kwaia),,,,,
Dramatic Museum Realia,,,,,,,,,,,,,,,Brown mask of old man with beard and long side-burns of hair; mouth open revealing jagged black teeth. Wrinkles on flat cheeks,,1,,2496,Still Image,,https://exhibitions.cul.columbia.edu/index.php/exhibits/show/realia/masks_japan/gallery3,NNC-RB,marcorg,"DM number: M1.30,  Box:  89",,,,rbml_realia_m1.30,reformatted digital," 8""x6""",,,, wood ,Masks (costume) ,,,,Dramatic Museum Realia,,"purchase, Orientalia, NY, 1936",,eng,,,,,,,Japan,,,,,,,,,,1,,Kyogen mask of old male (possibly Noborihige),,,,,
Dramatic Museum Realia,,,,,,,,,,,,,,,"Terracotta mask of man with broad smile, wearing hat. Note heavy jowls and fat cheeks. Eyes are happy slits, mouth wide open. Expression is jovial and broad",,1,,2495,Still Image,,https://exhibitions.cul.columbia.edu/index.php/exhibits/show/realia/masks_japan/gallery2,NNC-RB,marcorg,"DM number: M1.29,  Box:  65",,,,rbml_realia_m1.29,reformatted digital," 13""x12.75""",,,, terracotta ,Masks (costume) ,,,,Dramatic Museum Realia,,"purchase, Orientalia, NY, 1936",,eng,,,,,,,Japan,,,,,,,,,,1,,Kyogen mask of adult male,,,,,
Dramatic Museum Realia,,,,,,,,,,,,,,,"Flesh-colored mask of woman with passive expression, fat cheeks, chin; heavy forehead and very large lips",,1,,2494,Still Image,,https://exhibitions.cul.columbia.edu/index.php/exhibits/show/realia/masks_japan/gallery2,NNC-RB,marcorg,"DM number: M1.28,  Box:  88",,,,rbml_realia_m1.28,reformatted digital," 8.625""x5.375""",,,, terracotta ,Masks (costume) ,,,,Dramatic Museum Realia,,"purchase, Orientalia, NY, 1936",,eng,,,,,,,Japan,,,,,,,,,,1,,Kyogen mask of adult female (possibly Oto),,,,,
Dramatic Museum Realia,,,,,,,,,,,,,,,,,1,,2493,Still Image,,https://exhibitions.cul.columbia.edu/index.php/exhibits/show/realia/masks_japan/gallery2,NNC-RB,marcorg,"DM number: M1.27,  Box:  87",,,,rbml_realia_m1.27,reformatted digital," 8.875""x6.5""",,,, wood ,Masks (costume) ,,,,Dramatic Museum Realia,,"purchase, Orientalia, NY, 1936",,eng,,,,,,,Japan,,,,,,,,,,1,,Kyogen mask of adult female (Oto),,,,,
Dramatic Museum Realia,,,,,,,,,,,,,,,"Comic mask of jolly woman. Her face is the natural wood; fat-cheeked, heavy-jowled, and has a broad forehead and happy expression. She may be the character Numi from Noh drama",,1,,2492,Still Image,,https://exhibitions.cul.columbia.edu/index.php/exhibits/show/realia/masks_japan/gallery2,NNC-RB,marcorg,"DM number: M1.26,  Box:  65",,,,rbml_realia_m1.26,reformatted digital," 12x9.375""",,,, wood ,Masks (costume) ,,,,Dramatic Museum Realia,,"purchase, Orientalia, NY, 1936",,eng,,,,,,,Japan,,,,,,,,,,1,,Kyogen mask of adult female (Oto),,,,,
Dramatic Museum Realia,,,,,,,,,,,,,,,"Iron mask of 7 plates held by rivet-type pegs. Shows fierce face of a god with respousse eyes, eyebrows, and forehead lines. Forehead lines and eyebrows are sharply pointed",,1,,2491,Still Image,,https://exhibitions.cul.columbia.edu/index.php/exhibits/show/realia/masks_japan/gallery2,NNC-RB,marcorg,"DM number: M1.25,  Box:  86",,,,rbml_realia_m1.25,reformatted digital," 9.5""x6.875""",,,, iron  ,Masks (costume) ,,,,Dramatic Museum Realia,,"purchase, Orientalia, NY, 1936",,eng,,,,,,,Japan,,,,,,,,,,1,,Noh mask of god,,,,,
Dramatic Museum Realia,,,,,,,,,,,,,,,"Black mask of demon or animal god, showing great ferocity. Highly carved curls of hair, eyebrows and beard. Forehead lines curl like horns. Nose is flat and broad; mouth open and full of fang-like teeth",,1,,2490,Still Image,,https://exhibitions.cul.columbia.edu/index.php/exhibits/show/realia/masks_japan/gallery2,NNC-RB,marcorg,"DM number: M1.24,  Box:  85",,,,rbml_realia_m1.24,reformatted digital," 8.625""x7.5""",,,, wood ,Masks (costume) ,,,,Dramatic Museum Realia,,"purchase, Orientalia, NY, 1936",,eng,,,,,,,Japan,,,,,,,,,,1,,Noh mask of a demon (possibly Shishiguchi),,,,,
Dramatic Museum Realia,,,,,,,,,,,,,,,Red mask of long-nosed demon with gold eyes and fierce expression. The closed mouth is very wide and turns down. Heavy eyebrows.,,1,,2489,Still Image,,https://exhibitions.cul.columbia.edu/index.php/exhibits/show/realia/masks_japan/gallery2,NNC-RB,marcorg,"DM number: M1.22,  Box:  84",,,,rbml_realia_m1.22,reformatted digital," 8.25""x7.25""",,,, wood ,Masks (costume) ,,,,Dramatic Museum Realia,,"purchase, Orientalia, NY, 1936",,eng,,,,,,,Japan,,,,,,,,,,1,,Noh mask of a demon,,,,,
Dramatic Museum Realia,,,,,,,,,,,,,,,"Pinkish-tan mask of grinning demon with large, gold bug eyes; flat, broad nose and heavy jowls; obvious ears",,1,,2488,Still Image,,https://exhibitions.cul.columbia.edu/index.php/exhibits/show/realia/masks_japan/gallery2,NNC-RB,marcorg,"DM number: M1.20,  Box:  83",,,,rbml_realia_m1.20,reformatted digital," 8""x6.5""",,,, wood ,Masks (costume) ,,,,Dramatic Museum Realia,,"purchase, Orientalia, NY, 1936",,eng,,,,,,,Japan,,,,,,,,,,1,,Noh mask of a demon (Kumasaka),,,,,
Dramatic Museum Realia,,,,,,,,,,,,,,,"Brown mask of man, mouth wide open and tongue hanging out as if frightened or mad. Large bug eyes, high cheek bones and flat nose. Traces of mustache and beard remain",,1,,2487,Still Image,,https://exhibitions.cul.columbia.edu/index.php/exhibits/show/realia/masks_japan/gallery2,NNC-RB,marcorg,"DM number: M1.17,  Box:  82",,,,rbml_realia_m1.17,reformatted digital," 8.5""x6.125""",,,, wood ,Masks (costume) ,,,,Dramatic Museum Realia,,"purchase, Orientalia, NY, 1936",,eng,,,,,,,Japan,,,,,,,,,,1,,Noh mask of adult male (Otobide),,,,,
Dramatic Museum Realia,,,,,,,,,,,,,,,"White mask of old man smiling. Eyebrows, mustache, and beard of hair. Face is very wrinkled. ",,1,,2486,Still Image,,https://exhibitions.cul.columbia.edu/index.php/exhibits/show/realia/masks_japan/gallery2,NNC-RB,marcorg,"DM number: M1.16,  Box:  81",,,,rbml_realia_m1.16,reformatted digital," 9.25""x6.5""",,,, wood ,Masks (costume) ,,,,Dramatic Museum Realia,,"purchase, Orientalia, NY, 1936",,eng,,,,,,,Japan,,,,,,,,,,1,,Noh mask of old male (Kojijo type),,,,,
