relatedItem_collection,relatedItem_collection 2,name,nameType,nameRelator,name_authority,name_authority_identifier,keyDate_start,keyDate_end,dateQualifier,dateCreated,dateCreated 2,abstract,item - public,item - featured,identifier_clio,identifier_omeka,typeOfResource 1,typeOfResource 2,typeOfResource 3,language,location_url_ObjectInContext,physicalLocation,physicalLocation_authority,physicalLocation 2,shelfLocator,shelfLocator 2,sublocation,note_filename,note_filename 2,digitalOrigin,extent,form,form_authority,form_authority_identifier,form_originalFormat,place,place_authority,place_authority_identifier,relatedItem_Project,projectURL,note_ownership,publisher,languageOfCataloging,Source 1,Source 2,Coverage,accessCondition,accessCondition 2,subject_topic,subject_topic_authority,subject_topic_authority_identifier,subject_name,subject_name_authority,subject_name_authority_identifier,subject_title,subject_title_authority,subject_title_authority_identifier,subject_geographic,subject_geographic_authority,subject_geographic_authority_identifier,subject_geographic_hierarchical_street,subject_geographic_hierarchical_borough,subject_geographic_hierarchical_city,subject_geographic_hierarchical_state,subject_geographic_hierarchical_province,subject_geographic_hierarchical_country,subject_temporal,title_nonsort,title1,partName,identifier_title,title2_nonsort,title2,title2_type
,,"Pulitzer, Joseph ",,,,,,,,"[August, 1903]",,,1,0,,2997,Still Image,Original Format: Draft agreement ,,,,,,,Box 25,,,http://www.columbia.edu/cgi-bin/cul/dev/dlo2?obj=pulitzer_100018077,,,,,,,,,,,Joseph Pulitzer and The World,,"Gift of Joseph Pulitzer, Jr.",,,Pulitzer Papers,"Columbia University, Rare Book & Manuscript Library",No place,,,,,,,,,,,,,,,,,,,,,1903-08 ,,Draft agreement with Columbia University to endow the School of Journalism,,,,,
,,"Damrosch, Walter ",,,,,,,,13-Nov-05,,,1,0,,2996,Still Image,"Original Format: Typed letter, signed",,,https://exhibitions.cul.columbia.edu/exhibits/show/pulitzer/philanthropy/philanthropy,,,,Box 1,,,http://www.columbia.edu/cgi-bin/cul/dev/dlo2?obj=pulitzer_100018076,,,,,,,,,,,Joseph Pulitzer and The World,,"Gift of Joseph Pulitzer, Jr.",,,Pulitzer Papers,"Columbia University, Rare Book & Manuscript Library",New York,,,,,,,,,,,,,,,,,,,,,682,,"Typed letter, signed, to Joseph Pulitzer",,,,,
,,"De Forest, Robert Weeks ",,,,,,,,15-Jan-06,,,1,0,,2995,Still Image,"Original Format: Typed letter, signed",,,,,,,Box 2,,,http://www.columbia.edu/cgi-bin/cul/dev/dlo2?obj=pulitzer_100018075a,,,,,,,,,,,Joseph Pulitzer and The World,,"Gift of Joseph Pulitzer, Jr.",,,Pulitzer Papers,"Columbia University, Rare Book & Manuscript Library",New York,,,,,,,,,,,,,,,,,,,,,745,,"Typed letter, signed, to Alfred Butes",,,,,
,,"De Forest, Robert Weeks ",,,,,,,,15-Jan-06,,,1,0,,2994,Still Image,"Original Format: Typed letter, signed",,,https://exhibitions.cul.columbia.edu/exhibits/show/pulitzer/philanthropy/philanthropy,,,,Box 2,,,http://www.columbia.edu/cgi-bin/cul/dev/dlo2?obj=pulitzer_100018075,,,,,,,,,,,Joseph Pulitzer and The World,,"Gift of Joseph Pulitzer, Jr.",,,Pulitzer Papers,"Columbia University, Rare Book & Manuscript Library",New York,,,,,,,,,,,,,,,,,,,,,745,,"Typed letter, signed, to Alfred Butes",,,,,
,,"Pulitzer, Joseph ",,,,,,,,10-Oct-06,,,1,0,,2993,Still Image,Original Format: Typed memorial ,,,https://exhibitions.cul.columbia.edu/exhibits/show/pulitzer/the-world/the-st--louis-post-dispatch,,,,Box 40,,,http://www.columbia.edu/cgi-bin/cul/dev/dlo2?obj=pulitzer_100018074a,,,,,,,,,,,Joseph Pulitzer and The World,,"Gift of Joseph Pulitzer, Jr.",,,Pulitzer Papers,"Columbia University, Rare Book & Manuscript Library",No place,,,,,,,,,,,,,,,,,,,,,1013,,Typed memorial to Carl Schurz,,,,,
,,"Pulitzer, Joseph ",,,,,,,,10-Oct-06,,,1,0,,2992,Still Image,Original Format: Typed memorial ,,,https://exhibitions.cul.columbia.edu/exhibits/show/pulitzer/the-world/the-st--louis-post-dispatch,,,,Box 40,,,http://www.columbia.edu/cgi-bin/cul/dev/dlo2?obj=pulitzer_100018074,,,,,,,,,,,Joseph Pulitzer and The World,,"Gift of Joseph Pulitzer, Jr.",,,Pulitzer Papers,"Columbia University, Rare Book & Manuscript Library",No place,,,,,,,,,,,,,,,,,,,,,1013,,Typed memorial to Carl Schurz,,,,,
,,"Plimpton, George A. (George Arthur), 1855-1936",,,,,,,,13-Jan-03,,,1,0,,2991,Still Image,"Original Format: Typed letter, signed",,,https://exhibitions.cul.columbia.edu/exhibits/show/pulitzer/philanthropy/philanthropy,,,,,Box 3,,http://www.columbia.edu/cgi-bin/cul/dev/dlo2?obj=pulitzer_100018073,,,,,,,,,,,Joseph Pulitzer and The World,,"Gift of Joseph Pulitzer, Jr.",,,Pulitzer Papers,"Columbia University, Rare Book & Manuscript Library",New York,,,,,,,,,,,,,,,,,,,,,1903-01-13 ,,"Typed letter, signed, to Joseph Pulitzer",,,,,
,,"Washington, Booker T. ",,,,,,,,23-Aug-02,,,1,0,,2990,Still Image,"Original Format: Typed letter, signed",,,https://exhibitions.cul.columbia.edu/exhibits/show/pulitzer/philanthropy/philanthropy,,,,,Box 3,,http://www.columbia.edu/cgi-bin/cul/dev/dlo2?obj=pulitzer_100018072,,,,,,,,,,,Joseph Pulitzer and The World,,"Gift of Joseph Pulitzer, Jr.",,,Pulitzer Papers,"Columbia University, Rare Book & Manuscript Library","South Weymouth, Mass.",,,,,,,,,,,,,,,,,,,,,1902-08-23 ,,"Typed letter, signed, to Joseph Pulitzer",,,,,
,,"Pulitzer, Joseph ",,,,,,,,"November 29, 1886",,,1,0,,2989,Still Image,Original Format: Receipt,,,,,,,Box 6,,,http://www.columbia.edu/cgi-bin/cul/dev/dlo2?obj=pulitzer_100018071a,,,,,,,,,,,Joseph Pulitzer and The World,,"Gift of Joseph Pulitzer, Jr.",,,Pulitzer Papers,"Columbia University, Rare Book & Manuscript Library",,,,,,,,,,,,,,,,,,,,,,1886-11-29 ,,Receipt for donation,,,,,
,,"Pulitzer, Joseph ",,,,,,,,"November 26, 1886",,,1,0,,2988,Still Image,"Original Format: Draft manuscript letter, with autograph corrections",,,https://exhibitions.cul.columbia.edu/exhibits/show/pulitzer/philanthropy/philanthropy,,,,Box 6,,,http://www.columbia.edu/cgi-bin/cul/dev/dlo2?obj=pulitzer_100018071,,,,,,,,,,,Joseph Pulitzer and The World,,"Gift of Joseph Pulitzer, Jr.",,,Pulitzer Papers,"Columbia University, Rare Book & Manuscript Library",,,,,,,,,,,,,,,,,,,,,,1886-11-26 ,,"Draft of manuscript letter, with corrections, to Alexander S. Webb",,,,,
