relatedItem_collection,relatedItem_collection 2,name,nameType,nameRelator,name_authority,name_authority_identifier,keyDate_start,keyDate_end,dateQualifier,dateCreated,dateCreated 2,abstract,item - public,item - featured,identifier_clio,identifier_omeka,typeOfResource 1,typeOfResource 2,typeOfResource 3,language,location_url_ObjectInContext,physicalLocation,physicalLocation_authority,physicalLocation 2,shelfLocator,shelfLocator 2,sublocation,note_filename,note_filename 2,digitalOrigin,extent,form,form_authority,form_authority_identifier,form_originalFormat,place,place_authority,place_authority_identifier,relatedItem_Project,projectURL,note_ownership,publisher,languageOfCataloging,Source 1,Source 2,Coverage,accessCondition,accessCondition 2,subject_topic,subject_topic_authority,subject_topic_authority_identifier,subject_name,subject_name_authority,subject_name_authority_identifier,subject_title,subject_title_authority,subject_title_authority_identifier,subject_geographic,subject_geographic_authority,subject_geographic_authority_identifier,subject_geographic_hierarchical_street,subject_geographic_hierarchical_borough,subject_geographic_hierarchical_city,subject_geographic_hierarchical_state,subject_geographic_hierarchical_province,subject_geographic_hierarchical_country,subject_temporal,title_nonsort,title1,partName,identifier_title,title2_nonsort,title2,title2_type
,,"Norris, John",,,,,,,,"November 14, 1898",,,1,0,,2967,Still Image,Original Format: Typed document ,,,,,,,Box 11,,,http://www.columbia.edu/cgi-bin/cul/dev/dlo2?obj=pulitzer_100018061c,,,,,,,,,,,Joseph Pulitzer and The World,,"Gift of Joseph Pulitzer, Jr.",,,World Papers,"Columbia University, Rare Book & Manuscript Library",New York,,,,,,,,,,,,,,,,,,,,,1898-11-14 ,,Typed Memorandum Journal & World Revenues Compared,,,,,
,,"Norris, John",,,,,,,,"November 14, 1898",,,1,0,,2966,Still Image,Original Format: Typed document ,,,,,,,Box 11,,,http://www.columbia.edu/cgi-bin/cul/dev/dlo2?obj=pulitzer_100018061b,,,,,,,,,,,Joseph Pulitzer and The World,,"Gift of Joseph Pulitzer, Jr.",,,World Papers,"Columbia University, Rare Book & Manuscript Library",New York,,,,,,,,,,,,,,,,,,,,,1898-11-14 ,,Typed Memorandum Journal & World Revenues Compared,,,,,
,,"Norris, John",,,,,,,,"November 14, 1898",,,1,0,,2965,Still Image,Original Format: Typed document ,,,,,,,Box 11,,,http://www.columbia.edu/cgi-bin/cul/dev/dlo2?obj=pulitzer_100018061a,,,,,,,,,,,Joseph Pulitzer and The World,,"Gift of Joseph Pulitzer, Jr.",,,World Papers,"Columbia University, Rare Book & Manuscript Library",New York,,,,,,,,,,,,,,,,,,,,,1898-11-14 ,,Typed Memorandum Journal & World Revenues Compared,,,,,
,,"Norris, John",,,,,,,,"November 14, 1898",,,1,0,,2964,Still Image,Original Format: Typed document ,,,https://exhibitions.cul.columbia.edu/exhibits/show/pulitzer/the-world/rivalry-with-hearst,,,,Box 11,,,http://www.columbia.edu/cgi-bin/cul/dev/dlo2?obj=pulitzer_100018061,,,,,,,,,,,Joseph Pulitzer and The World,,"Gift of Joseph Pulitzer, Jr.",,,World Papers,"Columbia University, Rare Book & Manuscript Library",New York,,,,,,,,,,,,,,,,,,,,,1898-11-14 ,,Typed Memorandum Journal & World Revenues Compared,,,,,
,,,,,,,,,,"December 19, 1885",,,1,0,,2963,Still Image,Original Format: Manuscript document,,,https://exhibitions.cul.columbia.edu/exhibits/show/pulitzer/politics/litigation,,,,Box 8,,,http://www.columbia.edu/cgi-bin/cul/dev/dlo2?obj=pulitzer_100018060,,,,,,,,,,,Joseph Pulitzer and The World,,"Gift of Joseph Pulitzer, Jr.",,,World Papers,"Columbia University, Rare Book & Manuscript Library",New York,,,,,,,,,,,,,,,,,,,,,1885-12-19 ,,Manuscript Account for legal services rendered by Roscoe Conkling to Joseph Pulitzer,,,,,
,,"Willers, Diedrich",,,,,,,,"April 12, 1886",,,1,0,,2962,Still Image,"Original Format: Autograph letter, signed",,,https://exhibitions.cul.columbia.edu/exhibits/show/pulitzer/politics/drum-major,,,,Box 6,,,http://www.columbia.edu/cgi-bin/cul/dev/dlo2?obj=pulitzer_100018059,,,,,,,,,,,Joseph Pulitzer and The World,,"Gift of Joseph Pulitzer, Jr.",,,Pulitzer Papers,"Columbia University, Rare Book & Manuscript Library",Albany,,,,,,,,,,,,,,,,,,,,,1886-04-12 ,,"Autograph letter, signed, to Joseph Pulitzer",,,,,
,,"Pulitzer, Ralph",,,,,,,,ca. 1899,,,1,0,,2961,Still Image,Original Format: Autograph Manuscript,,,,,,,Box 4,,,http://www.columbia.edu/cgi-bin/cul/dev/dlo2?obj=pulitzer_100018058b,,,,,,,,,,,Joseph Pulitzer and The World,,"Gift of Joseph Pulitzer, Jr.",,,Pulitzer Papers,"Columbia University, Rare Book & Manuscript Library",New York,,,,,,,,,,,,,,,,,,,,,,,Memorandum comparing The Journal and The Evening World,,,,,
,,"Pulitzer, Ralph",,,,,,,,ca. 1899,,,1,0,,2960,Still Image,Original Format: Autograph Manuscript,,,,,,,Box 4,,,http://www.columbia.edu/cgi-bin/cul/dev/dlo2?obj=pulitzer_100018058a,,,,,,,,,,,Joseph Pulitzer and The World,,"Gift of Joseph Pulitzer, Jr.",,,Pulitzer Papers,"Columbia University, Rare Book & Manuscript Library",New York,,,,,,,,,,,,,,,,,,,,,,,Memorandum comparing The Journal and The Evening World,,,,,
,,"Pulitzer, Ralph",,,,,,,,ca. 1899,,,1,0,,2959,Still Image,Original Format: Autograph Manuscript,,,https://exhibitions.cul.columbia.edu/exhibits/show/pulitzer/the-world/rivalry-with-hearst,,,,Box 4,,,http://www.columbia.edu/cgi-bin/cul/dev/dlo2?obj=pulitzer_100018058,,,,,,,,,,,Joseph Pulitzer and The World,,"Gift of Joseph Pulitzer, Jr.",,,Pulitzer Papers,"Columbia University, Rare Book & Manuscript Library",New York,,,,,,,,,,,,,,,,,,,,,,,Memorandum comparing The Journal and The Evening World,,,,,
,,"Seitz, Don C. ",,,,,,,,"September, 1899",,,1,0,,2958,Still Image,Original Format: Typed Memo ,,,,,,,Box 13,,,http://www.columbia.edu/cgi-bin/cul/dev/dlo2?obj=pulitzer_100018057c,,,,,,,,,,,Joseph Pulitzer and The World,,"Gift of Joseph Pulitzer, Jr.",,,World Papers,"Columbia University, Rare Book & Manuscript Library",New York,,,,,,,,,,,,,,,,,,,,,1899-09 ,,Memorandum of Agreement as discussed by Mr. Seitz and Mr. Carvalho,,,,,
,,"Seitz, Don C. ",,,,,,,,"September, 1899",,,1,0,,2957,Still Image,Original Format: Typed Memo ,,,,,,,Box 13,,,http://www.columbia.edu/cgi-bin/cul/dev/dlo2?obj=pulitzer_100018057b,,,,,,,,,,,Joseph Pulitzer and The World,,"Gift of Joseph Pulitzer, Jr.",,,World Papers,"Columbia University, Rare Book & Manuscript Library",New York,,,,,,,,,,,,,,,,,,,,,1899-09 ,,Memorandum of Agreement as discussed by Mr. Seitz and Mr. Carvalho,,,,,
,,"Seitz, Don C. ",,,,,,,,"September, 1899",,,1,0,,2956,Still Image,Original Format: Typed Memo ,,,,,,,Box 13,,,http://www.columbia.edu/cgi-bin/cul/dev/dlo2?obj=pulitzer_100018057a,,,,,,,,,,,Joseph Pulitzer and The World,,"Gift of Joseph Pulitzer, Jr.",,,World Papers,"Columbia University, Rare Book & Manuscript Library",New York,,,,,,,,,,,,,,,,,,,,,1899-09 ,,Memorandum of Agreement as discussed by Mr. Seitz and Mr. Carvalho,,,,,
,,"Seitz, Don C. ",,,,,,,,"September, 1899",,,1,0,,2955,Still Image,Original Format: Typed Memo ,,,https://exhibitions.cul.columbia.edu/exhibits/show/pulitzer/the-world/rivalry-with-hearst,,,,Box 13,,,http://www.columbia.edu/cgi-bin/cul/dev/dlo2?obj=pulitzer_100018057,,,,,,,,,,,Joseph Pulitzer and The World,,"Gift of Joseph Pulitzer, Jr.",,,World Papers,"Columbia University, Rare Book & Manuscript Library",New York,,,,,,,,,,,,,,,,,,,,,1899-09 ,,Memorandum of Agreement as discussed by Mr. Seitz and Mr. Carvalho,,,,,
,,"Seitz, Don C. ",,,,,,,ex,"July 27, 1899",,,1,0,,2954,Still Image,Original Format: Typed Memo ,,eng,,nnc-rb,,,World Papers Box 12,,,http://www.columbia.edu/cgi-bin/cul/dev/dlo2?obj=pulitzer_100018056b,,rd,,,,,,,,,Joseph Pulitzer and The World,,"Gift of Joseph Pulitzer, Jr.",,eng,World Papers,"Columbia University, Rare Book & Manuscript Library",New York,,,,,,,,,,,,,,,,,,,,,1899-07-27 ,,"Memo for Mr. Pulitzer on the Newsboys' Strike, page 3",,,,,
,,"Seitz, Don C. ",,,,,,,ex,"July 27, 1899",,,1,0,,2953,Still Image,Original Format: Typed Memo ,,eng,,nnc-rb,,,Box 12,,,http://www.columbia.edu/cgi-bin/cul/dev/dlo2?obj=pulitzer_100018056a,,rd,,,,,,,,,Joseph Pulitzer and The World,,"Gift of Joseph Pulitzer, Jr.",,eng,World Papers,"Columbia University, Rare Book & Manuscript Library",New York,,,,,,,,,,,,,,,,,,,,,1899-07-27 ,,"Memo for Mr. Pulitzer on the Newsboys' Strike, page 2",,,,,
,,"Seitz, Don C. ",,,,,,,ex,"July 27, 1899",,,1,0,,2952,Still Image,Original Format: Typed Memo ,,eng,https://exhibitions.cul.columbia.edu/exhibits/show/pulitzer/the-world/newsboys--strike,nnc-rb,,,Box 12,,,http://www.columbia.edu/cgi-bin/cul/dev/dlo2?obj=pulitzer_100018056,,rd,,,,,,,,,Joseph Pulitzer and The World,,"Gift of Joseph Pulitzer, Jr.",,eng,World Papers,"Columbia University, Rare Book & Manuscript Library",New York,,,,,,,,,,,,,,,,,,,,,1899-07-27 ,,"Memo for Mr. Pulitzer on the Newsboys' Strike, page 1",,,,,
,,"Seitz, Don C. ",,,,,,,ex,"July 26, 1899",,,1,0,,2951,Still Image,Original Format: Telegram,,eng,https://exhibitions.cul.columbia.edu/exhibits/show/pulitzer/the-world/newsboys--strike,nnc-rb,,,World Papers Box 12,,,http://www.columbia.edu/cgi-bin/cul/dev/dlo2?obj=pulitzer_100018055,,rd,,,,,,,,,Joseph Pulitzer and The World,,"Gift of Joseph Pulitzer, Jr.",,eng,World Papers,"Columbia University, Rare Book & Manuscript Library",New York,,,,,,,,,,,,,,,,,,,,,1899-07-26 ,,Telegram on Newsboys' Strike,,,,,
,,"Seitz, Don C. ",,,,,,,ex,"July 22, 1899",,,1,0,,2950,Still Image,Original Format: Typed Memo ,,eng,,nnc-rb,,,World Papers Box 12,,,http://www.columbia.edu/cgi-bin/cul/dev/dlo2?obj=pulitzer_100018054b,,rd,,,,,,,,,Joseph Pulitzer and The World,,"Gift of Joseph Pulitzer, Jr.",,eng,World Papers,"Columbia University, Rare Book & Manuscript Library",New York,,,,,,,,,,,,,,,,,,,,,1899-07-22 ,,"Memo for Mr. Pulitzer on the Newsboys' Strike, page 3",,,,,
,,"Seitz, Don C. ",,,,,,,ex,"July 22, 1899",,,1,0,,2949,Still Image,Original Format: Typed Memo ,,eng,,nnc-rb,,,World Papers Box 12,,,http://www.columbia.edu/cgi-bin/cul/dev/dlo2?obj=pulitzer_100018054a,,rd,,,,,,,,,Joseph Pulitzer and The World,,"Gift of Joseph Pulitzer, Jr.",,eng,World Papers,"Columbia University, Rare Book & Manuscript Library",New York,,,,,,,,,,,,,,,,,,,,,1899-07-22 ,,"Memo for Mr. Pulitzer on the Newsboys' Strike, page 2",,,,,
,,"Seitz, Don C. ",,,,,,,ex,"July 22, 1899",,,1,0,,2948,Still Image,Original Format: Typed Memo ,,eng,https://exhibitions.cul.columbia.edu/exhibits/show/pulitzer/the-world/newsboys--strike,nnc-rb,,,World Papers Box 12,,,http://www.columbia.edu/cgi-bin/cul/dev/dlo2?obj=pulitzer_100018054,,rd,,,,,,,,,Joseph Pulitzer and The World,,"Gift of Joseph Pulitzer, Jr.",,eng,World Papers,"Columbia University, Rare Book & Manuscript Library",New York,,,,,,,,,,,,,,,,,,,,,1899-07-22 ,,"Memo for Mr. Pulitzer on the Newsboys' Strike, page 1",,,,,
,,"Seitz, Don C. ",,,,,,,ex,"July 24, 1899",,,1,0,,2947,Still Image,Original Format: Telegram,,eng,https://exhibitions.cul.columbia.edu/exhibits/show/pulitzer/the-world/newsboys--strike,nnc-rb,,,World Papers Box 12,,,http://www.columbia.edu/cgi-bin/cul/dev/dlo2?obj=pulitzer_100018053,,rd,,,,,,,,,Joseph Pulitzer and The World,,"Gift of Joseph Pulitzer, Jr.",,eng,World Papers,"Columbia University, Rare Book & Manuscript Library",New York,,,,,,,,,,,,,,,,,,,,,1899-07-24 ,,Telegram on the Newsboys' Strike,,,,,
,,World,,,,,,,,ca. 1906,,,1,0,,2946,Still Image,Original Format: Manuscript book with printed additions,,,https://exhibitions.cul.columbia.edu/exhibits/show/pulitzer/the-world/cable-code-book,,,,Box 40,,,http://www.columbia.edu/cgi-bin/cul/dev/dlo2?obj=pulitzer_100018052e,,,,,,,,,,,Joseph Pulitzer and The World,,"Gift of Joseph Pulitzer, Jr.",,,World Papers,"Columbia University, Rare Book & Manuscript Library",New York,,,,,,,,,,,,,,,,,,,,,,,"Cable Code Book used by H. A. Jenks, page 248-249",,,,,
,,World,,,,,,,,ca. 1906,,,1,0,,2945,Still Image,Original Format: Manuscript book with printed additions,,,https://exhibitions.cul.columbia.edu/exhibits/show/pulitzer/the-world/cable-code-book,,,,Box 40,,,http://www.columbia.edu/cgi-bin/cul/dev/dlo2?obj=pulitzer_100018052d,,,,,,,,,,,Joseph Pulitzer and The World,,"Gift of Joseph Pulitzer, Jr.",,,World Papers,"Columbia University, Rare Book & Manuscript Library",New York,,,,,,,,,,,,,,,,,,,,,,,"Cable Code Book used by H. A. Jenks, page 99",,,,,
,,World,,,,,,,,ca. 1906,,,1,0,,2944,Still Image,Original Format: Manuscript book with printed additions,,,https://exhibitions.cul.columbia.edu/exhibits/show/pulitzer/the-world/cable-code-book,,,,Box 40,,,http://www.columbia.edu/cgi-bin/cul/dev/dlo2?obj=pulitzer_100018052c,,,,,,,,,,,Joseph Pulitzer and The World,,"Gift of Joseph Pulitzer, Jr.",,,World Papers,"Columbia University, Rare Book & Manuscript Library",New York,,,,,,,,,,,,,,,,,,,,,,,"Cable Code Book used by H. A. Jenks, page 91",,,,,
,,World,,,,,,,,ca. 1906,,,1,0,,2943,Still Image,Original Format: Manuscript book with printed additions,,,https://exhibitions.cul.columbia.edu/exhibits/show/pulitzer/the-world/cable-code-book,,,,Box 40,,,http://www.columbia.edu/cgi-bin/cul/dev/dlo2?obj=pulitzer_100018052b,,,,,,,,,,,Joseph Pulitzer and The World,,"Gift of Joseph Pulitzer, Jr.",,,World Papers,"Columbia University, Rare Book & Manuscript Library",New York,,,,,,,,,,,,,,,,,,,,,,,"Cable Code Book used by H. A. Jenks, page 33",,,,,
,,World,,,,,,,,ca. 1906,,,1,0,,2942,Still Image,Original Format: Manuscript book with printed additions,,,https://exhibitions.cul.columbia.edu/exhibits/show/pulitzer/the-world/cable-code-book,,,,Box 40,,,http://www.columbia.edu/cgi-bin/cul/dev/dlo2?obj=pulitzer_100018052a,,,,,,,,,,,Joseph Pulitzer and The World,,"Gift of Joseph Pulitzer, Jr.",,,World Papers,"Columbia University, Rare Book & Manuscript Library",New York,,,,,,,,,,,,,,,,,,,,,,,"Cable Code Book used by H. A. Jenks, page 18-19",,,,,
,,World,,,,,,,,ca. 1906,,,1,0,,2941,Still Image,Original Format: Manuscript book with printed additions,,,https://exhibitions.cul.columbia.edu/exhibits/show/pulitzer/the-world/cable-code-book,,,,Box 40,,,http://www.columbia.edu/cgi-bin/cul/dev/dlo2?obj=pulitzer_100018052,,,,,,,,,,,Joseph Pulitzer and The World,,"Gift of Joseph Pulitzer, Jr.",,,World Papers,"Columbia University, Rare Book & Manuscript Library",New York,,,,,,,,,,,,,,,,,,,,,,,"Cable Code Book used by H. A. Jenks, front cover",,,,,
,,"Pulitzer, Joseph ",,,,,,,,"October, 1889",,,1,0,,2940,Still Image,Original Format: Manuscript on parchment,,,https://exhibitions.cul.columbia.edu/exhibits/show/pulitzer/the-world-building/laying-the-cornerstone,,,,Flat Box 1,,,http://www.columbia.edu/cgi-bin/cul/dev/dlo2?obj=pulitzer_100018051,,,,,,,,,,,Joseph Pulitzer and The World,,,,,World Papers,"Columbia University, Rare Book & Manuscript Library",New York,,,,,,,,,,,,,,,,,,,,,1889-10 ,,"Address read at Cornerstone Laying Ceremony, inscribed on parchment",,,,,
,,World,,,,,,,,"October, 1889",,,1,0,,2939,Still Image,Original Format: Copper Box,,,https://exhibitions.cul.columbia.edu/exhibits/show/pulitzer/the-end-of-the-world/end-and-demolition,,,,,,,http://www.columbia.edu/cgi-bin/cul/dev/dlo2?obj=pulitzer_100018050c,,,,,,,,,,,Joseph Pulitzer and The World,,,,,World Papers,"Columbia University, Rare Book & Manuscript Library",New York,,,,,,,,,,,,,,,,,,,,,1889-10 ,,Copper Cornerstone Box,,,,,
,,World,,,,,,,,"October, 1889",,,1,0,,2938,Still Image,Original Format: Copper Box,,,https://exhibitions.cul.columbia.edu/exhibits/show/pulitzer/the-world-building/laying-the-cornerstone,,,,,,,http://www.columbia.edu/cgi-bin/cul/dev/dlo2?obj=pulitzer_100018050b,,,,,,,,,,,Joseph Pulitzer and The World,,,,,World Papers,"Columbia University, Rare Book & Manuscript Library",New York,,,,,,,,,,,,,,,,,,,,,1889-10 ,,Copper Cornerstone Box,,,,,
,,World,,,,,,,,"October, 1889",,,1,0,,2937,Still Image,Original Format: Copper Box,,,,,,,,,,http://www.columbia.edu/cgi-bin/cul/dev/dlo2?obj=pulitzer_100018050a,,,,,,,,,,,Joseph Pulitzer and The World,,,,,World Papers,"Columbia University, Rare Book & Manuscript Library",New York,,,,,,,,,,,,,,,,,,,,,1889-10 ,,Copper Cornerstone Box,,,,,
,,World,,,,,,,,"October, 1889",,,1,0,,2936,Still Image,Original Format: Copper Box,,,,,,,,,,http://www.columbia.edu/cgi-bin/cul/dev/dlo2?obj=pulitzer_100018050,,,,,,,,,,,Joseph Pulitzer and The World,,,,,World Papers,"Columbia University, Rare Book & Manuscript Library",New York,,,,,,,,,,,,,,,,,,,,,1889-10 ,,Copper Cornerstone Box,,,,,
,,World,,,,,,,,1890,,,1,0,,2935,Still Image,Original Format: Printed pamphlet,,,https://exhibitions.cul.columbia.edu/exhibits/show/pulitzer/the-world-building/the-world-building-finished,,,,PN4899 N48 1890,,,http://www.columbia.edu/cgi-bin/cul/dev/dlo2?obj=pulitzer_100018048b,,,,,,,,,,,Joseph Pulitzer and The World,,American Typefounders Company Library,,,Graphic Arts ,"Columbia University, Rare Book & Manuscript Library",New York,,,,,,,,,,,,,,,,,,,,,1890,,"The World, Its History & Its New Home, back cover",,,,,
,,World,,,,,,,,1890,,,1,0,,2934,Still Image,Original Format: Printed pamphlet,,,https://exhibitions.cul.columbia.edu/exhibits/show/pulitzer/the-world-building/the-world-building-finished,,,,PN4899 N48 1890,,,http://www.columbia.edu/cgi-bin/cul/dev/dlo2?obj=pulitzer_100018048a,,,,,,,,,,,Joseph Pulitzer and The World,,American Typefounders Company Library,,,Graphic Arts ,"Columbia University, Rare Book & Manuscript Library",New York,,,,,,,,,,,,,,,,,,,,,1890,,"The World, Its History & Its New Home, title page",,,,,
,,World,,,,,,,,1890,,,1,0,,2933,Still Image,Original Format: Printed pamphlet,,,https://exhibitions.cul.columbia.edu/exhibits/show/pulitzer/the-world-building/the-world-building-finished,,,,PN4899 N48 1890,,,http://www.columbia.edu/cgi-bin/cul/dev/dlo2?obj=pulitzer_100018048,,,,,,,,,,,Joseph Pulitzer and The World,,American Typefounders Company Library,,,Graphic Arts ,"Columbia University, Rare Book & Manuscript Library",New York,,,,,,,,,,,,,,,,,,,,,1890,,"The World, Its History & Its New Home, front cover",,,,,
,,World,,,,,,,,"October 10, 1889",,,1,0,,2932,Still Image,Original Format: Newspaper,,,https://exhibitions.cul.columbia.edu/exhibits/show/pulitzer/the-world-building/laying-the-cornerstone,,,,Box 10,,,http://www.columbia.edu/cgi-bin/cul/dev/dlo2?obj=pulitzer_100018047,,,,,,,,,,,Joseph Pulitzer and The World,,"Gift of Joseph Pulitzer, Jr.",,,World Papers,"Columbia University, Rare Book & Manuscript Library",New York,,,,,,,,,,,,,,,,,,,,,1889-10-10 ,,"The World, Evening Edition, Second Anniversary Number",,,,,
,,"[Turner, George]",,,,,,,,"May 15, 1889",,,1,0,,2931,Still Image,"Original Format: Typed letter, carbon, unsigned",,,https://exhibitions.cul.columbia.edu/exhibits/show/pulitzer/the-world-building/building-the-world-building,,,,Box 10,,,http://www.columbia.edu/cgi-bin/cul/dev/dlo2?obj=pulitzer_100018046,,,,,,,,,,,Joseph Pulitzer and The World,,"Gift of Joseph Pulitzer, Jr.",,,World Papers,"Columbia University, Rare Book & Manuscript Library",New York,,,,,,,,,,,,,,,,,,,,,1889-05-15 ,,Typed letter to George Post,,,,,
,,"Pulitzer, Joseph ",,,,,,,,"March 19, 1889",,,1,0,,2930,Still Image,"Original Format: Manuscript letter with autograph notes, signed",,,https://exhibitions.cul.columbia.edu/exhibits/show/pulitzer/the-world-building/building-the-world-building,,,,Box 10,,,http://www.columbia.edu/cgi-bin/cul/dev/dlo2?obj=pulitzer_100018045a,,,,,,,,,,,Joseph Pulitzer and The World,,"Gift of Joseph Pulitzer, Jr.",,,World Papers,"Columbia University, Rare Book & Manuscript Library",New York,,,,,,,,,,,,,,,,,,,,,1889-03-19 ,,"Manuscript letter with autograph notes, signed, to Turner, page 15",,,,,
,,"Pulitzer, Joseph ",,,,,,,,"March 19, 1889",,,1,0,,2929,Still Image,"Original Format: Manuscript letter with autograph notes, signed",,,https://exhibitions.cul.columbia.edu/exhibits/show/pulitzer/the-world-building/building-the-world-building,,,,Box 10,,,http://www.columbia.edu/cgi-bin/cul/dev/dlo2?obj=pulitzer_100018045,,,,,,,,,,,Joseph Pulitzer and The World,,"Gift of Joseph Pulitzer, Jr.",,,World Papers,"Columbia University, Rare Book & Manuscript Library",New York,,,,,,,,,,,,,,,,,,,,,1889-03-19 ,,"Manuscript letter with autograph notes, signed, to Turner, page 1",,,,,
,,World,,,,,,,,1899,,,1,0,,2928,Still Image,Original Format: Printed floorplan,,,https://exhibitions.cul.columbia.edu/exhibits/show/pulitzer/the-world/working-at-the-world,,,,Box 12,,,http://www.columbia.edu/cgi-bin/cul/dev/dlo2?obj=pulitzer_100018044,,,,,,,,,,,Joseph Pulitzer and The World,,"Gift of Joseph Pulitzer, Jr.",,,World Papers,"Columbia University, Rare Book & Manuscript Library",New York,,,,,,,,,,,,,,,,,,,,,1899,,"Pulitzer Building, 53-63 Park Row, New York, Office: Room No. 8",,,,,
,,World,,,,,,,,1889,,,1,0,,2927,Still Image,Original Format: Printed pamphlet,,,https://exhibitions.cul.columbia.edu/exhibits/show/pulitzer/the-world/working-at-the-world,,,,Box 10,,,http://www.columbia.edu/cgi-bin/cul/dev/dlo2?obj=pulitzer_100018043,,,,,,,,,,,Joseph Pulitzer and The World,,"Gift of Joseph Pulitzer, Jr.",,,World Papers,"Columbia University, Rare Book & Manuscript Library",New York,,,,,,,,,,,,,,,,,,,,,1889,,Office Directory,,,,,
,,World,,,,,,,,"October, 1889",,,1,0,,2926,Still Image,Original Format: Printed pamphlet,,,https://exhibitions.cul.columbia.edu/exhibits/show/pulitzer/the-world-building/laying-the-cornerstone,,,,Box 10,,,http://www.columbia.edu/cgi-bin/cul/dev/dlo2?obj=pulitzer_100018042a,,,,,,,,,,,Joseph Pulitzer and The World,,"Gift of Joseph Pulitzer, Jr.",,,World Papers,"Columbia University, Rare Book & Manuscript Library",New York,,,,,,,,,,,,,,,,,,,,,1889-10 ,,"Laying of the Corner Stone of the Pulitzer Building, Thursday, October 10, 1889",,,,,
,,World,,,,,,,,"October, 1889",,,1,0,,2925,Still Image,Original Format: Printed pamphlet,,,https://exhibitions.cul.columbia.edu/exhibits/show/pulitzer/the-world-building/laying-the-cornerstone,,,,Box 10,,,http://www.columbia.edu/cgi-bin/cul/dev/dlo2?obj=pulitzer_100018042,,,,,,,,,,,Joseph Pulitzer and The World,,"Gift of Joseph Pulitzer, Jr.",,,World Papers,"Columbia University, Rare Book & Manuscript Library",New York,,,,,,,,,,,,,,,,,,,,,1889-10 ,,"Laying of the Corner Stone of the Pulitzer Building, Thursday, October 10, 1889",,,,,
,,"Watts-Campbell Co., Newark ",,,,,,,,"May 24, 1889",,,1,0,,2924,Still Image,"Original Format: Autograph letter, signed, to Joseph Pulitzer, with draft of reply",,,https://exhibitions.cul.columbia.edu/exhibits/show/pulitzer/the-world-building/building-the-world-building,,,,Box 2,,,http://www.columbia.edu/cgi-bin/cul/dev/dlo2?obj=pulitzer_100018041,,,,,,,,,,,Joseph Pulitzer and The World,,"Gift of Joseph Pulitzer, Jr.",,,World Papers,"Columbia University, Rare Book & Manuscript Library",New York,,,,,,,,,,,,,,,,,,,,,1889-05-24 ,,Printed and manuscript contract for one pair Watts-Campbell Improved Corliss Steam Engine,,,,,
,,"Gould, Jay ",,,,,,,,"November 18, 1886",,,1,0,,2923,Still Image,"Original Format: Autograph letter, signed, to Joseph Pulitzer, with draft of reply",,,,,,,Box 2,,,http://www.columbia.edu/cgi-bin/cul/dev/dlo2?obj=pulitzer_100018040a,,,,,,,,,,,Joseph Pulitzer and The World,,"Gift of Joseph Pulitzer, Jr.",,,Pulitzer Papers,"Columbia University, Rare Book & Manuscript Library",New York,,,,,,,,,,,,,,,,,,,,,1886-11-18 ,,"Autograph letter, signed, to Joseph Pulitzer, with draft of reply",,,,,
,,"Gould, Jay ",,,,,,,,"November 18, 1886",,,1,0,,2922,Still Image,"Original Format: Autograph letter, signed, to Joseph Pulitzer, with draft of reply",,,,,,,Box 2,,,http://www.columbia.edu/cgi-bin/cul/dev/dlo2?obj=pulitzer_100018040,,,,,,,,,,,Joseph Pulitzer and The World,,"Gift of Joseph Pulitzer, Jr.",,,Pulitzer Papers,"Columbia University, Rare Book & Manuscript Library",New York,,,,,,,,,,,,,,,,,,,,,1886-11-18 ,,"Autograph letter, signed, to Joseph Pulitzer, with draft of reply",,,,,
,,"Seitz, Don C. ",,,,,,,,"March 29, 1909",,,1,0,,2921,Still Image,"Original Format: Typescript list, signed",,,https://exhibitions.cul.columbia.edu/exhibits/show/pulitzer/the-world/working-at-the-world,,,,Box 48,,,http://www.columbia.edu/cgi-bin/cul/dev/dlo2?obj=pulitzer_100018039,,,,,,,,,,,Joseph Pulitzer and The World,,"Gift of Joseph Pulitzer, Jr.",,,World Papers,"Columbia University, Rare Book & Manuscript Library",New York,,,,,,,,,,,,,,,,,,,,,1909,,Newspaper and Printing Concerns in the Pulitzer Building,,,,,
,,"Ellithorpe, F. T., New York",,,,,,,,ca. 1890,,,1,0,,2920,Still Image,Original Format: Printed pamphlet,,,https://exhibitions.cul.columbia.edu/exhibits/show/pulitzer/the-world-building/building-the-world-building,,,,Box 11,,,http://www.columbia.edu/cgi-bin/cul/dev/dlo2?obj=pulitzer_100018038,,,,,,,,,,,Joseph Pulitzer and The World,,"Gift of Joseph Pulitzer, Jr.",,,World Papers,"Columbia University, Rare Book & Manuscript Library",New York,,,,,,,,,,,,,,,,,,,,,,,Improved Air-Cushion with Self-Closing Elevator Door,,,,,
,,"Post, George B., Architect, New York",,,,,,,,1889,,,1,0,,2919,Still Image,Original Format: Photograph,,,https://exhibitions.cul.columbia.edu/exhibits/show/pulitzer/the-world-building/building-the-world-building,,,,Box 10,,,http://www.columbia.edu/cgi-bin/cul/dev/dlo2?obj=pulitzer_100018037,,,,,,,,,,,Joseph Pulitzer and The World,,"Gift of Joseph Pulitzer, Jr.",,,World Papers,"Columbia University, Rare Book & Manuscript Library",New York,,,,,,,,,,,,,,,,,,,,,1889,,Photograph of World Building drawing,,,,,
