_pid,_digital_object_type.string_key,_project.string_key,_parent_digital_objects-1.identifier,_identifiers-1,omeka_identifier-1:omeka_identifier_value,object_in_context_url-1:object_in_context_url_value,object_in_context_url-2:object_in_context_url_value,title-1:title_sort_portion,title-2:title_sort_portion,title2_type,form-1:form_term.value,form-1:form_term.authority,form-1:form_term.uri,form-2:form_term.value,form-2:form_term.authority,form-2:form_term.uri,form-3:form_term.value,form-3:form_term.authority,form-3:form_term.uri,date_created-1:date_created_start_value,date_created-1:date_created_end_value,date_created-1:date_created_type,date_created_textual-1:date_created_textual_value,digital_origin-1:digital_origin_value,location-1:location_term.value,location-1:location_term.code,location-1:location_term.authority,location-1:location_term.uri,language_of_cataloging-1:language_of_cataloging_term.value,place_of_origin-1:place_of_origin_value,place_authority_identifier,place_of_origin-2:place_of_origin_value,place2_authority_identifier,note-1:note_value,note-1:note_type,extent-1:extent_value,collection-1:collection_term.value,collection-1:collection_term.uri,location-1:location_sublocation,name-1:name_term.value,name-1:name_term.name_type,name-1:name_role-1:name_role_term.value,name-1:name_role-1:name_role_term.authority,name-1:name_role-1:name_role_term.uri,name-1:name_term.authority,name-1:name_term.uri,name-2:name_term.value,name-2:name_term.name_type,name-2:name_role-1:name_role_term.value,name-2:name_role-1:name_role_term.authority,name-2:name_role-1:name_role_term.uri,name-2:name_term.authority,name-2:name_term.uri,name-3:name_term.value,name-3:name_term.name_type,name-3:name_role-1:name_role_term.value,name-3:name_role-1:name_role_term.authority,name-3:name_role-1:name_role_term.uri,name-3:name_term.authority,name-3:name_term.uri,language-1:language_term.value,language-1:language_term.authority,language-1:language_term.uri,language-2:language_term.value,language-2:language_term.authority,language-2:language_term.uri,abstract-1:abstract_value,subject_name-1:subject_name_term.value,subject_name-1:subject_name_term.name_type,subject_name-1:subject_name_term.authority,subject_name-1:subject_name_term.uri,subject_name-2:subject_name_term.value,subject_name-2:subject_name_term.name_type,subject_name-2:subject_name_term.authority,subject_name-2:subject_name_term.uri,subject_name-3:subject_name_term.value,subject_name-3:subject_name_term.name_type,subject_name-3:subject_name_term.authority,subject_name-3:subject_name_term.uri,subject_name-4:subject_name_term.value,subject_name-4:subject_name_term.name_type,subject_name-4:subject_name_term.authority,subject_name-4:subject_name_term.uri,subject_name-5:subject_name_term.value,subject_name-5:subject_name_term.name_type,subject_name-5:subject_name_term.authority,subject_name-5:subject_name_term.uri,subject_name-6:subject_name_term.value,subject_name-6:subject_name_term.name_type,subject_name-6:subject_name_term.authority,subject_name-6:subject_name_term.uri,subject_title-1:subject_title_term.value,subject_title-1:subject_title_term.authority,subject_title-1:subject_title_term.uri,publisher-1:publisher_value,note-3:note_value,note-3:note_type,note-2:note_value,note-2:note_type,relatedItem_Project,project URL,note-4:note_value,note-4:note_type,note-5:note_value,note-5:note_type
,asset,,diaghilev_ere,diaghilev_ere_021,omeka_1795,,,Page 21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,original filename: ballet_russe_03-08-02.jpg,filename,,,,,,
,asset,,diaghilev_znz,diaghilev_znz_001,omeka_1800,https://exhibitions.cul.columbia.edu/exhibits/show/diaghilev/case3/lettersprints,,Unnumbered page 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,original filename: ballet_russe_03-14-01.jpg,filename,,,,,,
,item,,,diaghilev_ygz,,,,"Serge De Diaghileff's Ballet Russe: Mme. F. Revalles, M. Grigoriew, Sheherazade",,,photographs,,,,,,,,,1909,1929,inferred,between 1909 and 1929,reformatted digital,"Rare Book & Manuscript Library, Columbia University",NNC-RB,,,eng,New York (N.Y.),,,,Date inferred from Flore Revalles' life and performance dates.,,,,,,"Strelecki, Jean de, count",,,,,,,,,,,,,,,,,,,,,English,,,French,,,"Production photograph of F. Revalles and Grigoriew (unknown first name), dancers in Schéhérazade of the Ballets Russes.","Revalles, Flore",,,,Grigoriew,,,,Ballets russes,,,,,,,,,,,,,,,,Schéhérazade (Choreographic work),,,,,,,,Sergei Diaghilev and Beyond: Les Ballets Russes,http://www.columbia.edu/cgi-bin/cul/resolve?clio10379406,,,still image,original_format
,asset,,diaghilev_ygz,diaghilev_ygz_000,omeka_1830,https://exhibitions.cul.columbia.edu/exhibits/show/diaghilev/case5/intro,,"Serge De Diaghileff's Ballet Russe: Mme. F. Revalles, M. Grigoriew, Sheherazade",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,original filename: ballet_russe_05-14-01.jpg,filename,,,,,,
,item,,,diaghilev_ysj,,,,Anna Udal'tsova in Ballet Pose and Outfit,,,photographs,,,,,,,,,1912,,,1912,reformatted digital,"Rare Book & Manuscript Library, Columbia University",NNC-RB,,,eng,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,English,,,,,,Portrait of Anna Udal'tsova as ballerina,"Udal'tsova, Anna",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sergei Diaghilev and Beyond: Les Ballets Russes,http://www.columbia.edu/cgi-bin/cul/resolve?clio10379406,,,still image,original_format
,asset,,diaghilev_ysj,diaghilev_ysj_000,omeka_1840,https://exhibitions.cul.columbia.edu/exhibits/show/diaghilev/case6/udaltsova,,Anna Udal'tsova in Ballet Pose and Outfit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,original filename: ballet_russe_06-04-01.jpg,filename,,,,,,
,item,,,diaghilev_yvs,,,,Production of  La Muette de Portici,,,photographs,,,,,,,,,1915,,questionable,around 1915,reformatted digital,"Rare Book & Manuscript Library, Columbia University",NNC-RB,,,eng,,,,,"Date guessed from date of Joseph Urban's production set sketches for  La Muette de Portici, (Dumb Girl of Portici), created in 1915. The set sketches are in the Joseph Urban Papers at the Rare Books and Manuscripts Library, Columbia University.",,,,,,"Urban, Josef, 1872-1933",,,,,,,,,,,,,,,,,,,,,English,,,,,,Photograph of a production of  La Muette de Portici (Dumb Girl from Portici),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sergei Diaghilev and Beyond: Les Ballets Russes,http://www.columbia.edu/cgi-bin/cul/resolve?clio10379406,,,still image,original_format
,asset,,diaghilev_yvs,diaghilev_yvs_000,omeka_1856,https://exhibitions.cul.columbia.edu/exhibits/show/diaghilev/case7/urban,,Production of  La Muette de Portici,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,original filename: ballet_russe_08-05-01.jpg,filename,,,,,,
,item,,,diaghilev_yxr,,,,"Telegram from ""Diaghileur"" to Nicolas Roerich",,,correspondence,,,,,,,,,1919,,,1919,reformatted digital,"Rare Book & Manuscript Library, Columbia University",NNC-RB,,,eng,,,,,,,,,,,"Diaghilev, Serge, 1872-1929",,,,,,,"Roerich, Nicholas, 1874-1947",,,,,,,,,,,,,,English,,,French,,,"Telegram from Sergei Diaghilev (""Diaghileur"") to Nicholas Roerich",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sergei Diaghilev and Beyond: Les Ballets Russes,http://www.columbia.edu/cgi-bin/cul/resolve?clio10379406,,,still image,original_format
,asset,,diaghilev_yxr,diaghilev_yxr_000,omeka_1779,https://exhibitions.cul.columbia.edu/exhibits/show/diaghilev/case2/stravinskii,,"Telegram from ""Diaghileur"" to Nicolas Roerich",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,original filename: ballet_russe_02-05-01.jpg,filename,,,,,,
,asset,,diaghilev_yzm,diaghilev_yzm_002,omeka_1754,https://exhibitions.cul.columbia.edu/exhibits/show/diaghilev/case1/intro,https://exhibitions.cul.columbia.edu/exhibits/show/diaghilev/case1/portrait,Unnumbered page 2,Serge de Diaghileff Et Sa Vielle Bonne,alternative,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,original filename: ballet_russe_01-01-01.jpg,filename,,,,,,
,asset,,diaghilev_znz,diaghilev_znz_003,omeka_1802,https://exhibitions.cul.columbia.edu/exhibits/show/diaghilev/case3/lettersprints,,Unnumbered page 3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,original filename: ballet_russe_03-14-03.jpg,filename,,,,,,
,item,,,diaghilev_zcm,,,,Metropolitan Opera Company Presents Serge de Diaghileff's Ballet Russe: Prospectus,,,printed ephemera,,,,,,,,,1915,,,1915,reformatted digital,"Rare Book & Manuscript Library, Columbia University",NNC-RB,,,eng,New York (N.Y.),,,,,,,,,,"Metropolitan Opera (New York, N.Y.)",,,,,,,,,,,,,,,,,,,,,English,,,,,,"Prospectus, ""The Metropolitan Opera Company presents Serge de Diaghileff's Ballet Russe.""",Ballets russes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sergei Diaghilev and Beyond: Les Ballets Russes,http://www.columbia.edu/cgi-bin/cul/resolve?clio10379406,,,still image,original_format
,asset,,diaghilev_zcm,diaghilev_zcm_001,omeka_1845,https://exhibitions.cul.columbia.edu/exhibits/show/diaghilev/case7/beyond,,Front cover,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,original filename: ballet_russe_07-01-01.jpg,filename,,,,,,
,item,,,diaghilev_zno,,,,Scenery Sketch for Nikolai Rimsky-Korsakov's the Maid of Pskov,,,drawings,,,,,,,,,1909,,inferred,1909,reformatted digital,"Rare Book & Manuscript Library, Columbia University",NNC-RB,,,eng,,,,,,,pencil on paper,,,,"Roerich, Nicholas, 1874-1947",,,,,,,,,,,,,,,,,,,,,English,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sergei Diaghilev and Beyond: Les Ballets Russes,http://www.columbia.edu/cgi-bin/cul/resolve?clio10379406,,,still image,original_format
,asset,,diaghilev_zno,diaghilev_zno_000,omeka_1777,https://exhibitions.cul.columbia.edu/exhibits/show/diaghilev/case2/rimskiikorsakov,,Scenery Sketch for Nikolai Rimsky-Korsakov's the Maid of Pskov,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,original filename: ballet_russe_02-03-01.jpg,filename,,,,,,
,asset,,diaghilev_znz,diaghilev_znz_004,omeka_1803,https://exhibitions.cul.columbia.edu/exhibits/show/diaghilev/case3/lettersprints,,Unnumbered page 4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,original filename: ballet_russe_03-14-04.jpg,filename,,,,,,
