_digital_object_type.string_key,_parent_digital_objects-1.identifier,_project.string_key,collection-1:collection_term.value,collection-1:collection_term.uri,omeka_identifier-1:omeka_identifier_value,clio_identifier-1:clio_identifier_value,name-1:name_term.value,name-1:name_term.name_type,name-1:name_role-1:name_role_term.authority,name-1:name_role-1:name_role_term.uri,name-1:name_role-1:name_role_term.value,name-1:name_term.authority,name-1:name_term.uri,name-2:name_term.value,name-2:name_term.name_type,name-2:name_role-1:name_role_term.authority,name-2:name_role-1:name_role_term.uri,name-2:name_role-1:name_role_term.value,name-2:name_term.authority,name-2:name_term.uri,name-3:name_term.value,name-3:name_term.name_type,name-3:name_role-1:name_role_term.authority,name-3:name_role-1:name_role_term.uri,name-3:name_role-1:name_role_term.value,name-3:name_term.authority,name-3:name_term.uri,name-4:name_term.value,name-4:name_term.name_type,name-4:name_role-1:name_role_term.authority,name-4:name_role-1:name_role_term.uri,name-4:name_role-1:name_role_term.value,name-4:name_term.authority,name-4:name_term.uri,name-5:name_term.value,name-5:name_term.name_type,name-5:name_role-1:name_role_term.authority,name-5:name_role-1:name_role_term.uri,name-5:name_role-1:name_role_term.value,name-5:name_term.authority,name-5:name_term.uri,name-6:name_term.value,name-6:name_term.name_type,name-6:name_role-1:name_role_term.authority,name-6:name_role-1:name_role_term.uri,name-6:name_role-1:name_role_term.value,name-6:name_term.authority,name-6:name_term.uri,name-7:name_term.value,name-7:name_term.name_type,name-7:name_role-1:name_role_term.authority,name-7:name_role-1:name_role_term.uri,name-7:name_role-1:name_role_term.value,name-7:name_term.authority,name-7:name_term.uri,name-8:name_term.value,name-8:name_term.name_type,name-8:name_role-1:name_role_term.authority,name-8:name_role-1:name_role_term.uri,name-8:name_role-1:name_role_term.value,name-8:name_term.authority,name-8:name_term.uri,name-9:name_term.value,name-9:name_term.name_type,name-9:name_role-1:name_role_term.authority,name-9:name_role-1:name_role_term.uri,name-9:name_role-1:name_role_term.value,name-9:name_term.authority,name-9:name_term.uri,date_created-1:date_created_start_value,date_created-1:date_created_end_value,date_created-1:date_created_type,date_created_textual-1:date_created_textual_value,abstract-1:abstract_value,location-1:location_term.value,location-1:location_term.authority,location-1:location_term.uri,location-1:location_term.code,location-1:location_shelf_location-1:location_shelf_location_free_text,object_in_context_url-1:object_in_context_url_value,note-2:note_value,note-2:note_type,digital_origin-1:digital_origin_value,language-1:language_term.authority,language-1:language_term.uri,language-1:language_term.value,language-2:language_term.authority,language-2:language_term.uri,language-2:language_term.value,language_of_cataloging-1:language_of_cataloging_term.value,language_of_cataloging-1:language_of_cataloging_term.authority,language_of_cataloging-1:language_of_cataloging_term.uri,form-1:form_term.value,form-1:form_term.authority,form-1:form_term.uri,form-2:form_term.value,form-2:form_term.authority,form-2:form_term.uri,type_of_resource-1:type_of_resource_value,type_of_resource-2:type_of_resource_value,genre-1:genre_term.value,genre-1:genre_term.authority,genre-1:genre_term.uri,Column12,Column13,place_of_origin-1:place_of_origin_value,Column14,publisher-1:publisher_value,subject_topic-1:subject_topic_term.value,subject_topic-1:subject_topic_term.authority,subject_topic-1:subject_topic_term.uri,subject_topic-2:subject_topic_term.value,subject_topic-2:subject_topic_term.authority,subject_topic-2:subject_topic_term.uri,subject_name-1:subject_name_term.value,subject_name-1:subject_name_term.name_type,subject_name-1:subject_name_term.authority,subject_name-1:subject_name_term.uri,title-1:title_non_sort_portion,title-1:title_sort_portion,_identifiers-1
asset,politicalecologies_mlx,political_ecologies,,,omeka_4750,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"First two pages of a seven-page table listing ""Natures and Complexions,"" maladies, and advice corresponding to the signs of the zodiac. Entries for Aries, Taurus, and Gemini are visible. ",,,,,,https://exhibitions.cul.columbia.edu/exhibits/show/political_ecologies/astrology,original filename: politic_eco_110027017,filename,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Unnumbered page spread,politicalecologies_mlx_003
item,,political_ecologies,,,,5543722,"Morland, S. (Samuel), Sir, 1625-1695",personal,marcrelator,http://id.loc.gov/vocabulary/relators/aut,Author,naf,http://id.loc.gov/authorities/names/n82066500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1685,,,1685,,"Rare Book and Manuscript Library, Columbia University",marcorg,http://id.loc.gov/authorities/names/n78009986,NNC-RB,B621.64 M827 ,,,,reformatted digital,iso639-2,http://id.loc.gov/vocabulary/iso639-2/fre,French,iso639-2,http://id.loc.gov/vocabulary/iso639-2/heb,Hebrew,English,iso639-2,http://id.loc.gov/vocabulary/iso639-2/eng,books,aat,http://vocab.getty.edu/aat/300028051,illustrations,gmgpc,http://id.loc.gov/vocabulary/graphicMaterials/tgm005314,text,still image,,,,"Political Ecologies in the Renaissance
",http://www.columbia.edu/cgi-bin/cul/resolve?clio8626724,Paris (France),http://id.loc.gov/authorities/names/n79058874,,Hydrostatics,fast,http://id.worldcat.org/fast/965280,Hydraulics,fast,http://id.worldcat.org/fast/964776,,,,,,Elevation des eaux par toute sorte de machines,politicalecologies_gio
asset,politicalecologies_gio,political_ecologies,,,omeka_4767,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,An illustration of a water pump.,,,,,,https://exhibitions.cul.columbia.edu/exhibits/show/political_ecologies/hyraulics_and_hydrostatics,original filename: politic_eco_110027034,filename,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Unnumbered illustration,politicalecologies_gio_002
asset,politicalecologies_oha,political_ecologies,,,omeka_4747,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,An illustration of soldiers performing drills outside of a fortification.,,,,,,https://exhibitions.cul.columbia.edu/exhibits/show/political_ecologies/military_science,original filename: politic_eco_110027014,filename,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Pages 63-64,politicalecologies_oha_063
asset,politicalecologies_gio,political_ecologies,,,omeka_4768,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://exhibitions.cul.columbia.edu/exhibits/show/political_ecologies/hyraulics_and_hydrostatics,original filename: politic_eco_110027035,filename,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Title page,politicalecologies_gio_001
item,,political_ecologies,,,,5543289,"Grandami, Jacques, 1588-1672",personal,marcrelator,http://id.loc.gov/vocabulary/relators/aut,Author,naf,http://id.loc.gov/authorities/names/no00031999,"Roufseuille, F.",personal,marcrelator,http://id.loc.gov/vocabulary/relators/ill,Illustrator,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1645,,,1645,,"Rare Book and Manuscript Library, Columbia University",marcorg,http://id.loc.gov/authorities/names/n78009986,NNC-RB,B621.322 G76 ,,,,reformatted digital,iso639-2,http://id.loc.gov/vocabulary/iso639-2/lat,Latin,,,,English,iso639-2,http://id.loc.gov/vocabulary/iso639-2/eng,books,aat,http://vocab.getty.edu/aat/300028051,illustrations,gmgpc,http://id.loc.gov/vocabulary/graphicMaterials/tgm005314,text,still image,,,,"Political Ecologies in the Renaissance
",http://www.columbia.edu/cgi-bin/cul/resolve?clio8626724,La Flèche (France),http://id.loc.gov/authorities/names/n82032279,G. Griveau,Astronomy,fast,http://id.worldcat.org/fast/819673,Rotation of the Earth,fast,http://id.worldcat.org/fast/1354623,,,,,,Nova demonstratio immobilitatis terrae petita ex virtvte magnetica,politicalecologies_igh
asset,politicalecologies_igh,political_ecologies,,,omeka_4754,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,The cherubim on the left hang rings from magnets. The cherubim on the right hold compasses at different distances from a rod.,,,,,,https://exhibitions.cul.columbia.edu/exhibits/show/political_ecologies/magnetism,original filename: politic_eco_110027021,filename,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Illustration 121,politicalecologies_igh_121
asset,politicalecologies_bxc,political_ecologies,,,omeka_4761,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"An illustration of the subterranean rivers, oceans, and fiery channels Kircher posited lay beneath the Earth's surface. ",,,,,,https://exhibitions.cul.columbia.edu/exhibits/show/political_ecologies/mining/kircher,original filename: politic_eco_110027028,filename,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Full two page spread, illustration entitled, 'Systema Ideale'",politicalecologies_bxc_002
asset,politicalecologies_oha,political_ecologies,,,omeka_4746,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,An illustration of soldiers performing drills outside of a fortification.,,,,,,https://exhibitions.cul.columbia.edu/exhibits/show/political_ecologies/military_science,original filename: politic_eco_110027013,filename,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Pages 59-60,politicalecologies_oha_059
item,,political_ecologies,David Eugene Smith Library,http://id.library.columbia.edu/term/e0fe36db-694e-40ac-9e24-554f5cb35ed0,,6189005,"Blundeville, Thomas, active 1561",personal,marcrelator,http://id.loc.gov/vocabulary/relators/aut,Author,naf,http://id.loc.gov/authorities/names/n50010315,"Bishop, Richard, active 1631-1653",personal,marcrelator,http://id.loc.gov/vocabulary/relators/prt,Printer,naf,http://id.loc.gov/authorities/names/nr94035492,"Allen, Benjamin, -1646",personal,marcrelator,http://id.loc.gov/vocabulary/relators/pbl,Publisher,naf,http://id.loc.gov/authorities/names/nr94028524,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1636,,,1636,,"Rare Book and Manuscript Library, Columbia University",marcorg,http://id.loc.gov/authorities/names/n78009986,NNC-RB,SMITH 520 1636 B62 ,,,,reformatted digital,iso639-2,http://id.loc.gov/vocabulary/iso639-2/eng,English,,,,English,iso639-2,http://id.loc.gov/vocabulary/iso639-2/eng,books,aat,http://vocab.getty.edu/aat/300028051,illustrations,gmgpc,http://id.loc.gov/vocabulary/graphicMaterials/tgm005314,text,still image,,,,"Political Ecologies in the Renaissance
",http://www.columbia.edu/cgi-bin/cul/resolve?clio8626724,London (England),http://id.loc.gov/authorities/names/n79005665,Benjamin Allen,Navigation,fast,http://id.worldcat.org/fast/1035085,Nautical astronomy,fast,http://id.worldcat.org/fast/1034759,,,,,,Mr. Blundevil his Exercises,politicalecologies_lgc
