_digital_object_type.string_key,_parent_digital_objects-1.identifier,_project.string_key,collection-1:collection_term.value,collection-1:collection_term.uri,omeka_identifier-1:omeka_identifier_value,clio_identifier-1:clio_identifier_value,name-1:name_term.value,name-1:name_term.name_type,name-1:name_role-1:name_role_term.authority,name-1:name_role-1:name_role_term.uri,name-1:name_role-1:name_role_term.value,name-1:name_term.authority,name-1:name_term.uri,name-2:name_term.value,name-2:name_term.name_type,name-2:name_role-1:name_role_term.authority,name-2:name_role-1:name_role_term.uri,name-2:name_role-1:name_role_term.value,name-2:name_term.authority,name-2:name_term.uri,name-3:name_term.value,name-3:name_term.name_type,name-3:name_role-1:name_role_term.authority,name-3:name_role-1:name_role_term.uri,name-3:name_role-1:name_role_term.value,name-3:name_term.authority,name-3:name_term.uri,date_created-1:date_created_start_value,date_created-1:date_created_end_value,date_created-1:date_created_type,date_created_textual-1:date_created_textual_value,abstract-1:abstract_value,location-1:location_term.code,location-1:location_term.authority,location-1:location_term.uri,location-1:location_term.value,location-1:location_sublocation,location-1:location_shelf_location-1:location_shelf_location_free_text,location-1:location_shelf_location-1:location_shelf_location_box_number,location-1:location_shelf_location-1:location_shelf_location_folder_number,object_in_context_url-1:object_in_context_url_value,object_in_context_url-2:object_in_context_url_value,note-1:note_value,note-1:note_type,note-2:note_value,note-2:note_type,note-3:note_value,note-3:note_type,digital_origin-1:digital_origin_value,language-1:language_term.authority,language-1:language_term.uri,language-1:language_term.value,language_of_cataloging-1:language_of_cataloging_term.value,language_of_cataloging-1:language_of_cataloging_term.authority,language_of_cataloging-1:language_of_cataloging_term.uri,form-1:form_term.value,form-1:form_term.authority,form-1:form_term.uri,form-2:form_term.value,form-2:form_term.authority,form-2:form_term.uri,note-6:note_value,note-6:note_type,genre-1:genre_term.value,genre-1:genre_term.authority,genre-1:genre_term.uri,type_of_resource-1:type_of_resource_value,type_of_resource-2:type_of_resource_value,relatedItem_Project,projectURL,place_of_origin-1:place_of_origin_value,place_authority_identifier,publisher-1:publisher_value,subject_topic-1:subject_topic_term.value,subject_topic-1:subject_topic_term.authority,subject_topic-1:subject_topic_term.uri,subject_topic-2:subject_topic_term.value,subject_topic-2:subject_topic_term.authority,subject_topic-2:subject_topic_term.uri,subject_name-1:subject_name_term.value,subject_name-1:subject_name_term.name_type,subject_name-1:subject_name_term.authority,subject_name-1:subject_name_term.uri,subject_name-2:subject_name_term.value,subject_name-2:subject_name_term.name_type,subject_name-2:subject_name_term.authority,subject_name-2:subject_name_term.uri,subject_name-3:subject_name_term.value,subject_name-3:subject_name_term.name_type,subject_name-3:subject_name_term.authority,subject_name-3:subject_name_term.uri,subject_name-4:subject_name_term.value,subject_name-4:subject_name_term.name_type,subject_name-4:subject_name_term.authority,subject_name-4:subject_name_term.uri,subject_name-5:subject_name_term.value,subject_name-5:subject_name_term.name_type,subject_name-5:subject_name_term.authority,subject_name-5:subject_name_term.uri,subject_name-6:subject_name_term.value,subject_name-6:subject_name_term.name_type,subject_name-6:subject_name_term.authority,subject_name-6:subject_name_term.uri,subject_name-7:subject_name_term.value,subject_name-7:subject_name_term.name_type,subject_name-7:subject_name_term.authority,subject_name-7:subject_name_term.uri,subject_name-8:subject_name_term.value,subject_name-8:subject_name_term.name_type,subject_name-8:subject_name_term.authority,subject_name-8:subject_name_term.uri,subject_title-1:subject_title_term.value,subject_title-1:subject_title_term.authority,subject_title-1:subject_title_term.uri,subject_geographic-1:subject_geographic_term.value,subject_geographic-1:subject_geographic_term.authority,subject_geographic-1:subject_geographic_term.uri,title-1:title_non_sort_portion,title-1:title_sort_portion,_identifiers-1
item,,music_at_columbia,Historical Subject Files,http://id.library.columbia.edu/term/0fa21d61-a576-4574-9433-6e907a8a1e69,,,Columbia University. Columbia Theater Associates,corporate,marcrelator,http://id.loc.gov/vocabulary/relators/cre,Creator,,,Columbia University. Department of Music,corporate,marcrelator,http://id.loc.gov/vocabulary/relators/cre,Creator,naf,http://id.loc.gov/authorities/names/n85082374,,,,,,,,1946-05-08,,inferred,"May 8, 1946","Program for production of Gian-Carlo Menotti's 'The Medium', which ran from May 8-11, 1946. Creation date inferred from earliest date of production.",NNC-UA,marcorg,http://id.loc.gov/authorities/names/no2007136816,Columbia University. Archives,Historical Subject Files,,,,,,,,,,,,reformatted digital,iso639-2,http://id.loc.gov/vocabulary/iso639-2/eng,English,eng,iso639-2,http://id.loc.gov/vocabulary/iso639-2/eng,printed ephemera,aat,http://vocab.getty.edu/aat/300264821,,,,,,,,,text,,Music at Columbia: The First 100 Years,http://www.columbia.edu/cgi-bin/cul/resolve?clio9628664,New York (N.Y.),http://id.loc.gov/authorities/names/n79007751,Columbia University,,,,,,,"Menotti, Gian Carlo, 1911-2007",personal,naf,http://id.loc.gov/authorities/names/n79125116,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Medium (Menotti, Gian Carlo)",fast,http://id.worldcat.org/fast/1362556,,,,,"Columbia Theater Associates, 'The Medium' Program",musicatcolumbia_avo
asset,musicatcolumbia_avo,music_at_columbia,,,omeka_6343,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,110118028.tif,filename,110118028.jpg,filename,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Front Cover,musicatcolumbia_avo_099
item,,music_at_columbia,Historical Subject Files,http://id.library.columbia.edu/term/0fa21d61-a576-4574-9433-6e907a8a1e69,,,"Columbia College (New York, N.Y.). Association of the Alumni",corporate,marcrelator,http://id.loc.gov/vocabulary/relators/cre,Creator,naf,http://id.loc.gov/authorities/names/nr2002026140,,,,,,,,,,,,,,,1956-04-04,,,"April 4, 1956","Program booklet for the 1956 Alexander Hamilton dinner and awards ceremony, honoring Oscar Hammerstein II and Richard Rodgers.",NNC-UA,marcorg,http://id.loc.gov/authorities/names/no2007136816,Columbia University. Archives,Historical Subject Files,,Box 361,Folders 1-2,,,,,,,,,reformatted digital,iso639-2,http://id.loc.gov/vocabulary/iso639-2/eng,English,eng,iso639-2,http://id.loc.gov/vocabulary/iso639-2/eng,printed ephemera,aat,http://vocab.getty.edu/aat/300264821,,,,programs (documents),original_format,,,,text,,Music at Columbia: The First 100 Years,http://www.columbia.edu/cgi-bin/cul/resolve?clio9628664,New York (N.Y.),http://id.loc.gov/authorities/names/n79007751,Columbia University,,,,,,,"Hammerstein, Oscar, II, 1895-1960",personal,naf,http://id.loc.gov/authorities/names/n50020012,"Rodgers, Richard, 1902-1979",personal,naf,http://id.loc.gov/authorities/names/n50048058,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1956 Alexander Hamilton Dinner Program Booklet,musicatcolumbia_bbp
asset,musicatcolumbia_bbp,music_at_columbia,,,omeka_6399,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://exhibitions.cul.columbia.edu/exhibits/show/music-centennial/music-performance--the-early-y/alexander-hamilton-medal,,110118084.tif,filename,110118084.jpg,filename,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Page 6,musicatcolumbia_bbp_006
item,,music_at_columbia,Historical Photograph Collection,http://id.library.columbia.edu/term/922cab49-c0df-44aa-b827-8a15cc9918cd,,,Columbia University. Trustees,corporate,marcrelator,http://id.loc.gov/vocabulary/relators/cre,Creator,naf,http://id.loc.gov/authorities/names/n85088346,Columbia University. Office of the President,corporate,marcrelator,http://id.loc.gov/vocabulary/relators/cre,Creator,naf,http://id.loc.gov/authorities/names/n84124282,,,,,,,,1939-05-28,,,"May 28, 1939","Program for service of dedication and organ recital, St. Paul's Chapel.",NNC-UA,marcorg,http://id.loc.gov/authorities/names/no2007136816,Columbia University. Archives,"Historical Photograph Collection, Series VII: Buildings and Grounds",Buildings and Grounds,Box 13,Folders 5-6,,,,,,,,,reformatted digital,iso639-2,http://id.loc.gov/vocabulary/iso639-2/eng,English,eng,iso639-2,http://id.loc.gov/vocabulary/iso639-2/eng,printed ephemera,aat,http://vocab.getty.edu/aat/300264821,,,,,,,,,text,,Music at Columbia: The First 100 Years,http://www.columbia.edu/cgi-bin/cul/resolve?clio9628664,New York (N.Y.),http://id.loc.gov/authorities/names/n79007751,Columbia University,Dedication services,fast,http://id.worldcat.org/fast/889450,,,,"Beveridge, Lowell P.",personal,naf,http://id.loc.gov/authorities/names/no93006773,"Doersam, Charles H.",personal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Service of Dedication of the New Organ in St. Paul's Chapel,musicatcolumbia_bec
asset,musicatcolumbia_bec,music_at_columbia,,,omeka_6405,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://exhibitions.cul.columbia.edu/exhibits/show/music-centennial/music/middle-years,,110118090.tif,filename,110118090.jpg,filename,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Page 2,musicatcolumbia_bec_002
asset,musicatcolumbia_bec,music_at_columbia,,,omeka_6404,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://exhibitions.cul.columbia.edu/exhibits/show/music-centennial/music/middle-years,,110118089.tif,filename,110118089.jpg,filename,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Page 1,musicatcolumbia_bec_001
item,,music_at_columbia,Historical Subject Files,http://id.library.columbia.edu/term/0fa21d61-a576-4574-9433-6e907a8a1e69,,,Columbia University,corporate,marcrelator,http://id.loc.gov/vocabulary/relators/cre,Creator,naf,http://id.loc.gov/authorities/names/n81024714,,,,,,,,,,,,,,,1945-05-12,,inferred,"May 12, 1945","Program for First Annual Festival of Contemporary American Music concert, which ran from May 12-14, 1945. Creation date inferred from earliest date of concert.",NNC-UA,marcorg,http://id.loc.gov/authorities/names/no2007136816,Columbia University. Archives,Historical Subject Files,,Box 130,Folder 10,,,,,,,,,reformatted digital,iso639-2,http://id.loc.gov/vocabulary/iso639-2/eng,English,eng,iso639-2,http://id.loc.gov/vocabulary/iso639-2/eng,printed ephemera,aat,http://vocab.getty.edu/aat/300264821,,,,concert programs,original_format,,,,text,,Music at Columbia: The First 100 Years,http://www.columbia.edu/cgi-bin/cul/resolve?clio9628664,New York (N.Y.),http://id.loc.gov/authorities/names/n79007751,Columbia University,Concerts,fast,http://id.worldcat.org/fast/874069,,,,NBC Symphony Orchestra,corporate,naf,http://id.loc.gov/authorities/names/n81146608,"Hanson, Howard, 1896-1981",personal,naf,http://id.loc.gov/authorities/names/n79089449,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,First Annual Festival of Contemporary Music,musicatcolumbia_bii
asset,musicatcolumbia_bii,music_at_columbia,,,omeka_6440,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://exhibitions.cul.columbia.edu/exhibits/show/music-centennial/ditson-fund/concerts-and-festivals,,110118125.tif,filename,110118125.jpg,filename,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Page 3,musicatcolumbia_bii_003
item,,music_at_columbia,,,,,Columbia University,corporate,marcrelator,http://id.loc.gov/vocabulary/relators/pbl,Publisher,naf,http://id.loc.gov/authorities/names/n81024714,"Frisch, Walter, 1951-",personal,marcrelator,http://id.loc.gov/vocabulary/relators/ctb,Contributor,naf,http://id.loc.gov/authorities/names/n82100312,,,,,,,,1993,,,Winter 1993,,NNC-UA,marcorg,http://id.loc.gov/authorities/names/no2007136816,Columbia University. Archives,,,,,,,,,,,Columbia Magazine,relatedItem,reformatted digital,iso639-2,http://id.loc.gov/vocabulary/iso639-2/eng,English,eng,iso639-2,http://id.loc.gov/vocabulary/iso639-2/eng,periodicals,aat,http://vocab.getty.edu/aat/300026657,,,,,,,,,text,still image,Music at Columbia: The First 100 Years,http://www.columbia.edu/cgi-bin/cul/resolve?clio9628664,,,Columbia University,,,,,,,"Rodgers, Richard, 1902-1979",personal,naf,http://id.loc.gov/authorities/names/n50048058,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Oklahoma! (Rodgers, Richard)",fast,http://id.worldcat.org/fast/1362015,,,,,"Columbia Magazine, Winter 1993",musicatcolumbia_bkm
asset,musicatcolumbia_bkm,music_at_columbia,,,omeka_6402,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://exhibitions.cul.columbia.edu/exhibits/show/music-centennial/music-performance--the-early-y/alexander-hamilton-medal,,110118087.tif,filename,110118087.jpg,filename,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Cover,musicatcolumbia_bkm_001
item,,music_at_columbia,Office of Public Affairs Photograph Collection,http://id.library.columbia.edu/term/29a3db7f-e4d3-451a-a3c0-ff2e4c3c0fa4,,,"Warman, 1929-1981",personal,marcrelator,http://id.loc.gov/vocabulary/relators/pht,Photographer,naf,http://id.loc.gov/authorities/names/n2007225139,,,,,,,,,,,,,,,1948,,,Spring 1948,,NNC-UA,marcorg,http://id.loc.gov/authorities/names/no2007136816,Columbia University. Archives,"Office of Public Affairs Photograph Collection, Series I: Photographs",,Box 31,"Folder 2, Music Department",,,,,,,,,reformatted digital,,,,eng,iso639-2,http://id.loc.gov/vocabulary/iso639-2/eng,photographs,aat,http://vocab.getty.edu/aat/300046300,,,,,,,,,still image,,Music at Columbia: The First 100 Years,http://www.columbia.edu/cgi-bin/cul/resolve?clio9628664,New York (N.Y.),http://id.loc.gov/authorities/names/n79007751,,,,,,,,"Luening, Otto, 1900-1996",personal,naf,http://id.loc.gov/authorities/names/n84212979,"Beeson, Jack, 1921-2010",personal,naf,http://id.loc.gov/authorities/names/n80019660,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,The,Opera Workshop Rehearsal of Evangeline,musicatcolumbia_bmq
asset,musicatcolumbia_bmq,music_at_columbia,,,omeka_6852,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://exhibitions.cul.columbia.edu/exhibits/show/music-centennial/music/opera-workshop,,Evangeline Rehearsal.jpg,filename,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,The,Opera Workshop Rehearsal of Evangeline,musicatcolumbia_bmq_000
