use_and_reproduction-1:use_and_reproduction_value,_pid,partName,projectURL,_identifiers-1,relatedItem_project,_project.string_key,title-1:title_sort_portion,_digital_object_type.string_key,title-1:title_non_sort_portion,_parent_digital_objects-1.identifier,omeka_identifier-1:omeka_identifier_value,note-3:note_type,form-2:form_term.uri,form-2:form_term.value,location-1:location_term.uri,location-1:location_term.code,location-1:location_term.value,location-1:location_term.authority,date_created-1:date_created_end_value,digital_origin-1:digital_origin_value,date_created-1:date_created_start_value,type_of_resource-1:type_of_resource_value,date_created_textual-1:date_created_textual_value,language-1:language_term.uri,language-1:language_term.value,language-1:language_term.authority,note-2:note_type,note-2:note_value,name-1:name_term.uri,name-1:name_term.value,name-1:name_term.name_type,name-1:name_term.authority,name-1:name_role-1.name_role_term.uri,name-1:name_role-1.name_role_term.value,name-1:name_role-1.name_role_term.authority,genre-1:genre_term.uri,genre-1:genre_term.value,genre-1:genre_term.authority,note-5:note_type,note-5:note_value,location-1:location_shelf_location-1.location_shelf_location_free_text,location-1:location_shelf_location-1.location_shelf_location_box_number,location-1:location_shelf_location-1.location_shelf_location_folder_number,collection-1:collection_term.uri,collection-1:collection_term.value,date_created-1:date_created_type,subject_name-1:subject_name_term.uri,subject_topic-1:subject_topic_term.uri,subject_name-1:subject_name_term.value,subject_title-1:subject_title_term.uri,subject_topic-1:subject_topic_term.value,subject_title-1:subject_title_term.value,subject_name-1:subject_name_term.name_type,subject_name-1:subject_name_term.authority,subject_topic-1:subject_topic_term.authority,subject_title-1:subject_title_term.authority,subject_hierarchical_geographic-1:subject_hierarchical_geographic_city_text_value,subject_hierarchical_geographic-1:subject_hierarchical_geographic_state_text_value,subject_hierarchical_geographic-1:subject_hierarchical_geographic_county_text_value,subject_hierarchical_geographic-1:subject_hierarchical_geographic_borough_text_value,subject_hierarchical_geographic-1:subject_hierarchical_geographic_province_text_value,subject_hierarchical_geographic-1:subject_hierarchical_geographic_street-1.subject_hierarchical_geographic_street_value,note-1:note_type,note-1:note_value,publisher-1:publisher_value,place_of_origin-1:place_of_origin_value,clio_identifier-1:clio_identifier_value
, , , , ,In Service to the New Nation: The Life and Legacy of John Jay, ,Creating a National Government, , , ,12468,,,,,,,,,,,,,,,,filename,jj_headers5.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
, , , , ,In Service to the New Nation: The Life and Legacy of John Jay, ,Diplomacy Banner, , , ,12466,,,,,,,,,,,,,,,,filename,jj_headers4.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
, , , , ,In Service to the New Nation: The Life and Legacy of John Jay, ,Intro Page Banner, , , ,12465,,,,,,,,,,,,,,,,filename,jj_headers9.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
, , , , ,In Service to the New Nation: The Life and Legacy of John Jay, ,Chief Justice of the U.S. Supreme Court Banner, , , ,12464,,,,,,,,,,,,,,,,filename,jj_headers7.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
, , , , ,In Service to the New Nation: The Life and Legacy of John Jay, ,Slavery & Abolition Banner, , , ,12463,,,,,,,,,,,,,,,,filename,jj_headers6.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
, , , , ,In Service to the New Nation: The Life and Legacy of John Jay, ,Governor of New York Banner, , , ,12462,,,,,,,,,,,,,,,,filename,jj_headers8.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
, , , , ,In Service to the New Nation: The Life and Legacy of John Jay, ,Governor Jay's March Video, , , ,12461,,,,,,,,,,,,,,,,filename,IMG_0064 (4).mov,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
, , , , ,In Service to the New Nation: The Life and Legacy of John Jay, ,Home & Family Banner, , , ,12460,,,,,,,,,,,,,,,,filename,jj_headers3.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
, , , , ,In Service to the New Nation: The Life and Legacy of John Jay, ,King's College Banner, , , ,12459,,,,,,,,,,,,,,,,filename,jj_headers.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
, , , , ,In Service to the New Nation: The Life and Legacy of John Jay, ,American Revolution Banner, , , ,12458,,,,,,,,,,,,,,,,filename,jj_headers2.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Public Access, , , , ,In Service to the New Nation: The Life and Legacy of John Jay, ,"John Jay's Oath as Chief Justice of the Supreme Court, attested to by Richard Morris, front", , , ,12454,original_format, ,legal documents, , ,"Rare Book & Manuscript Library, Columbia University",local, ,reformatted digital, ,Still Image,19 October 1789, ,English,iso639-2,filename,https://exhibitions-dev.library.columbia.edu/SCOTUS_OATH.jpg, ,"Morris, Richard, 1730-1810", , , , , ,,,,holdings, ,Box 56, , , ,John Jay Papers,still image,,,,,,,,,,,,,,,,, ,original filename: SCOTUS OATH.tif SCOTUS Oath,,,
Public Access, , , , ,In Service to the New Nation: The Life and Legacy of John Jay, ,"[Commission of John Jay, Benjamin Franklin, Henry Laurens, and Thomas Jefferson to join John Adams in accepting mediation], front", , , ,12453,original_format, ,documents, , ,"Rare Book & Manuscript Library, Columbia University",local, ,reformatted digital, ,Still Image,21 July 1785, ,English|Spanish,iso639-2,filename,https://exhibitions-dev.library.columbia.edu/JJ_Spain_Commission.jpg,,,,,,,,,,,holdings, ,Box 61, , , ,John Jay Papers,still image,,,,,,,,,,,,,,,,, ,original filename: JJ Spain Commission.tif Jay's Commission to Negotiate with Spain,,,
Public Access, , , , ,In Service to the New Nation: The Life and Legacy of John Jay, ,"Fort Jay (Photograph), front", , , ,12452,original_format, ,photographs, , ,Private Collection,local, ,reformatted digital, ,Still Image,1 September 2017, ,English,iso639-2,filename,https://exhibitions-dev.library.columbia.edu/IMG_5326.jpg, ,"Haberman, Robb K.", , , , , ,,,,,,,,,,,still image, , , , ,Fort Jay (N.Y.), , , , , , , , , , , , ,original filename: IMG_5326.jpeg Fort Jay (photograph),,,
Public Access, , , , ,In Service to the New Nation: The Life and Legacy of John Jay, ,"A New Medley Overture as Performed at the Theatre with Great Applause Selected & Composed by J. Hewitt, page 6", , , ,12451,original_format, ,music, , ,"Rare Book & Manuscript Library, Columbia University",local, ,reformatted digital, ,Still Image,circa 1799-1800, ,English,iso639-2,filename,https://exhibitions-dev.library.columbia.edu/Governor_Jay_s_March.jpg, ,"Hewitt, James, 1770-1827", , , , , ,,,,holdings, ,Box 87, , , ,Hunt-Berol Sheet Music Collection,approximate,,,,,,,,,,,,,,,,, ,original filename: Governor Jay's March.tif A New Medley Overture as Performed at the Theatre with Great Applause Selected & Composed by J. Hewitt,B. Carr,Philadelphia|Baltimore,
Public Access, , , , ,In Service to the New Nation: The Life and Legacy of John Jay, ,"Draft of The Federalist 5, front ""Queen Anne in her letter""", , , ,12450,original_format, ,manuscripts, , ,"Rare Book & Manuscript Library, Columbia University",local, ,reformatted digital, ,Still Image,before 10 Nov. 1787, ,English,iso639-2,filename,https://exhibitions-dev.library.columbia.edu/Fed_5.jpg, ,"Jay, John, 1745-1829", , , , , ,,,,holdings, ,Item 23, , , ,John Jay Papers,inferred,,,,,,,,,,,,,,,,, ,original filename: Fed 5.tif Draft Federalist 5,,,
Public Access, , , , ,In Service to the New Nation: The Life and Legacy of John Jay, ,"Circuit Court Diary, page beginning ""Octr 1790 parted with Judge Cushing""", , , ,12449,original_format, ,diaries, , ,"Rare Book & Manuscript Library, Columbia University",local, ,reformatted digital, ,Still Image,"between April 16, 1790 and August 4, 1792", ,English,iso639-2,filename,https://exhibitions-dev.library.columbia.edu/Circuit_Court_Diary.jpg, ,"Jay, John, 1745-1829", , , , , ,,,,holdings, ,Box 11, , , ,John Jay Papers,approximate,,,,,,,,,,,,,,,,, ,original filename: Circuit Court Diary.tif Circuit Court Diary,,,
Public Access, , , , ,In Service to the New Nation: The Life and Legacy of John Jay, ,"Address to the People of the State of New York on the Subject of the Constiitution, title page", , , ,12448,original_format, ,pamphlets, , ,"Rare Book & Manuscript Library, Columbia University",local, ,reformatted digital, ,Still Image,1788, ,English,iso639-2,filename,https://exhibitions-dev.library.columbia.edu/Address_to_the_People_of_NY.jpg, ,"Jay, John, 1745-1829", , , , , ,,,,holdings, ,"Series III: King's College Manuscripts, Box 13 Folder 9", , , ,Columbiana Manuscripts,still image,,,,,,,,,,,,,,,,, ,original filename: Address to the People of NY.tif Address to the People of the State of New York,Samuel and John Loudon,New York,
Public Access, , , , ,In Service to the New Nation: The Life and Legacy of John Jay, ,"Sarah Jay and Her Children, front", , , ,12447,original_format, ,prints, , ,Private Collection,local, ,reformatted digital, ,Still Image,1797, ,English,iso639-2,filename,https://exhibitions-dev.library.columbia.edu/15SLJ_Children.jpg, ,"Sharples, James, 1752-1811", , , , , ,,,,,,,,,,,approximate, , , , ,"Jay, Sarah Livingston", , , , , , , , , , , , ,original filename: 15SLJ&Children.tif Sarah Jay and Her Children,,,
Public Access, , , , ,In Service to the New Nation: The Life and Legacy of John Jay, ,A Chart of Newyork harbour, , , ,12446,original_format, ,maps, , ,"Butler Library, Columbia University",local, ,reformatted digital, ,Still Image,circa 1800, ,English,iso639-2,filename,https://exhibitions-dev.library.columbia.edu/10NYC_Harbor_Defense_Map.jpg, ,"Nuxoll, Elizabeth Miles, 1943-|Gallagher, Mary A. Y.|Haberman, Robb K.|Steenshorne, Jennifer E. |Vogel, Brant M.", , , , , ,,,,,,,,,,,approximate,,,,,,,,,,,,,,,,, ,"original filename: 10 NYC Harbor Defense Map.JPG Chart of NY Harbor|The ""chart of Newyork harbour,"" is taken from the National Archives and Records Administration. The image was taken from a high resolution image that has been purchased for use by the John Jay Papers volumes. it appeared in volume 6, page 400.",,,
Public Access, , , , ,In Service to the New Nation: The Life and Legacy of John Jay, ,"Lord Grenville Calling Card, front ", , , ,12445,original_format, ,ephemera, , ,"Rare Book & Manuscript Library, Columbia University",local, ,reformatted digital, ,Still Image,8 April 1795, ,English,iso639-2,filename,https://exhibitions-dev.library.columbia.edu/09Invite.jpg, ,"Grenville, William Wyndham, Grenville, Baron, 1759-1834", , , , , ,,,,holdings, ,Box 63, , , ,John Jay Papers,still image,,,,,,,,,,,,,,,,, ,original filename: 09invite.tif Grenville Calling Card,,,
Public Access, , , , ,In Service to the New Nation: The Life and Legacy of John Jay, ,"Map of the Northwestern Boundary of the United States, front", , , ,12444,original_format, ,maps, , ,"Rare Book & Manuscript Library, Columbia University",local, ,reformatted digital, ,Still Image,4 September 1794, ,English,iso639-2,filename,https://exhibitions-dev.library.columbia.edu/07Trumbull_map_1.jpg, ,"Trumbull, John, 1756-1843", , , , , ,,,,holdings, ,Box 60, , , ,John Jay Papers,still image, , , , ,United States, , , , , , , , , , , , ,original filename: 07Trumbull map 1.tif John Trumbull Map,,,
Public Access, , , , ,In Service to the New Nation: The Life and Legacy of John Jay, ,"Alexander Hamilton to John Jay, detail of endorsement", , , ,12443,original_format, ,correspondence, , ,"Rare Book & Manuscript Library, Columbia University",local, ,reformatted digital, ,Still Image,7 May 1800, ,English,iso639-2,filename,https://exhibitions-dev.library.columbia.edu/02HamiltonLetter_detail.jpg, ,"Hamilton, Alexander, 1757-1804|Jay, John, 1745-1829", , , , , ,,,,holdings, ,Box 10, , , ,John Jay Papers,still image,,,,,,,,,,,,,,,,, ,original filename: 02HamiltonLetter-detail.tif 2000370009 Hamilton Letter Endorsement (detail),,,
Public Access, , , , ,In Service to the New Nation: The Life and Legacy of John Jay, ,"John Jay's Circuit Court Travel, Eastern District, Spring 1792 Term (15 April-10 July)", , , ,12442,original_format, ,maps, , ,"Butler Library, Columbia University",local, ,reformatted digital, ,Still Image,2017, ,English,iso639-2,filename,https://exhibitions-dev.library.columbia.edu/JJ_CCD_Map_2nd_Draft_final.jpg, ,"Nuxoll, Elizabeth Miles, 1943-|Gallagher, Mary A. Y.|Haberman, Robb K.|Steenshorne, Jennifer E. |Nelson, Bill", , , , , ,,,,,,,,,,,still image,,,,,,,,,,,,,,,,, ,"Image taken from high resolution image originally purchased for use in John Jay Papers, vol. 5, pages 392-393",University of Virginia Press,Charlottesville|London,
, , , , ,In Service to the New Nation: The Life and Legacy of John Jay, ,John Jay Virtual Exhibition Flyer, , , ,12423,,,,,,,,,,,,,,,,filename,jj_exhbition_flyer.jpg,,,,,,,, ,still image,fast,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Public Access, , , , ,In Service to the New Nation: The Life and Legacy of John Jay, ,"Peter Augustus Jay Militia Commission, front", , , ,12422,original_format, ,documents, , ,"Rare Book & Manuscript Library, Columbia University",local, ,reformatted digital, ,Still Image,11 Apr. 1798, ,English,iso639-2,filename,https://exhibitions-dev.library.columbia.edu/RBML_Jay_0081.jpg, ,New York (State), , , , , , ,still image,fast,holdings, ,Box 57, , , ,John Jay Papers,,,,,,,,,,,,,,,,,,,,,,
Public Access, , , , ,In Service to the New Nation: The Life and Legacy of John Jay, ,"Peter Augustus Jay Militia Commission, front", , , ,12421,original_format, ,documents, , ,"Rare Book & Manuscript Library, Columbia University",local, ,reformatted digital, ,Still Image,11 April 1798, ,English,iso639-2,filename,https://exhibitions-dev.library.columbia.edu/RBML_Jay_0080.jpg, ,New York (State), , , , , , ,still image,fast,holdings, ,Box 57, , , ,John Jay Papers,,,,,,,,,,,,,,,,,,,,,,
Public Access, , , , ,In Service to the New Nation: The Life and Legacy of John Jay, ,"Peter Augustus Jay Militia Commission, front", , , ,12420,original_format, ,documents, , ,"Rare Book & Manuscript Library, Columbia University",local, ,reformatted digital, ,Still Image,11 April 1798, ,English,iso639-2,filename,https://exhibitions-dev.library.columbia.edu/RBML_Jay_0079.jpg, ,New York (State), , , , , , ,still image,fast,holdings, ,Box 57, , , ,John Jay Papers,,,,,,,,,,,,,,,,,,,,,,
Public Access, , , , ,In Service to the New Nation: The Life and Legacy of John Jay, ,"Certificate of Membership in Pennsylvania Soicety for Promoting the Abolition of Slavery, front", , , ,12419,original_format, ,documents, , ,"Rare Book & Manuscript Library, Columbia University",local, ,reformatted digital, ,Still Image,6 October 1792, ,English,iso639-2,filename,https://exhibitions-dev.library.columbia.edu/RBML_Jay_0078.jpg, ,Pennsylvania Society for Promoting the Abolition of Slavery, , , , , , ,still image,fast,holdings, ,Box 57, , , ,John Jay Papers,,,,,,,,,,,,,,,,,,,,,,
Public Access, , , , ,In Service to the New Nation: The Life and Legacy of John Jay, ,"Certificate of Membership in Pennsylvania Soicety for Promoting the Abolition of Slavery, front", , , ,12418,original_format, ,documents, , ,"Rare Book & Manuscript Library, Columbia University",local, ,reformatted digital, ,Still Image,6 October 1792, ,English,iso639-2,filename,https://exhibitions-dev.library.columbia.edu/RBML_Jay_0077.jpg, ,Pennsylvania Society for Promoting the Abolition of Slavery, , , , , , ,still image,fast,holdings, ,Box 57, , , ,John Jay Papers,,,,,,,,,,,,,,,,,,,,,,
Public Access, , , , ,In Service to the New Nation: The Life and Legacy of John Jay, ,"Certificate of Membership in Pennsylvania Soicety for Promoting the Abolition of Slavery, front", , , ,12417,original_format, ,documents, , ,"Rare Book & Manuscript Library, Columbia University",local, ,reformatted digital, ,Still Image,6 October 1792, ,English,iso639-2,filename,https://exhibitions-dev.library.columbia.edu/RBML_Jay_0076.jpg, ,Pennsylvania Society for Promoting the Abolition of Slavery, , , , , , ,still image,fast,holdings, ,Box 57, , , ,John Jay Papers,,,,,,,,,,,,,,,,,,,,,,
Public Access, , , , ,In Service to the New Nation: The Life and Legacy of John Jay, ,"Continental Congress Declaration for Negotiations with Britain, front", , , ,12416,original_format, ,documents, , ,"Rare Book & Manuscript Library, Columbia University",local, ,reformatted digital, ,Still Image,15 June 1781, ,English,iso639-2,filename,https://exhibitions-dev.library.columbia.edu/RBML_Jay_0075.jpg, ,United States. Continental Congress, , , , , , ,still image,fast,holdings, ,Oversize Materials Wooden Box 42e, , , ,John Jay Papers,,,,,,,,,,,,,,,,,,,,,,
Public Access, , , , ,In Service to the New Nation: The Life and Legacy of John Jay, ,"Continental Congress Declaration for Negotiations with Britain, front", , , ,12415,original_format, ,documents, , ,"Rare Book & Manuscript Library, Columbia University",local, ,reformatted digital, ,Still Image,15 June 1781, ,English,iso639-2,filename,https://exhibitions-dev.library.columbia.edu/RBML_Jay_0074.jpg, ,United States. Continental Congress, , , , , , ,still image,fast,holdings, ,Oversize Materials Wooden Box 42e, , , ,John Jay Papers,,,,,,,,,,,,,,,,,,,,,,
Public Access, , , , ,In Service to the New Nation: The Life and Legacy of John Jay, ,"Continental Congress Declaration for Negotiations with Britain, front", , , ,12414,original_format, ,documents, , ,"Rare Book & Manuscript Library, Columbia University",local, ,reformatted digital, ,Still Image,15 June 1781, ,English,iso639-2,filename,https://exhibitions-dev.library.columbia.edu/RBML_Jay_0073.jpg, ,United States. Continental Congress, , , , , , ,still image,fast,holdings, ,Oversize Materials Wooden Box 42e, , , ,John Jay Papers,,,,,,,,,,,,,,,,,,,,,,
Public Access, , , , ,In Service to the New Nation: The Life and Legacy of John Jay, ,"John Jay MA Diploma, front (with seal)", , , ,12413,original_format, ,documents, , ,"Rare Book & Manuscript Library, Columbia University",local, ,reformatted digital, ,Still Image,19 May 1767, ,Latin,iso639-2,filename,https://exhibitions-dev.library.columbia.edu/RBML_Jay_0072.jpg, ,"King's College (New York, N.Y.)", , , , , , ,still image,fast,holdings, ,Box 56, , , ,John Jay Papers,, , , , ,"Jay, John, 1745-1829", , , , , , , , , , , ,,,,,
Public Access, , , , ,In Service to the New Nation: The Life and Legacy of John Jay, ,"John Jay MA Diploma, front (with seal)", , , ,12412,original_format, ,documents, , ,"Rare Book & Manuscript Library, Columbia University",local, ,reformatted digital, ,Still Image,19 May 1767, ,Latin,iso639-2,filename,https://exhibitions-dev.library.columbia.edu/RBML_Jay_0071.jpg, ,"King's College (New York, N.Y.)", , , , , , ,still image,fast,holdings, ,Box 56, , , ,John Jay Papers,, , , , ,"Jay, John, 1745-1829", , , , , , , , , , , ,,,,,
Public Access, , , , ,In Service to the New Nation: The Life and Legacy of John Jay, ,"John Jay MA Diploma, front (with seal)", , , ,12411,original_format, ,documents, , ,"Rare Book & Manuscript Library, Columbia University",local, ,reformatted digital, ,Still Image,19 May 1767, ,Latin,iso639-2,filename,https://exhibitions-dev.library.columbia.edu/RBML_Jay_0070.jpg, ,"King's College (New York, N.Y.)", , , , , , ,still image,fast,holdings, ,Box 56, , , ,John Jay Papers,, , , , ,"Jay, John, 1745-1829", , , , , , , , , , , ,,,,,
Public Access, , , , ,In Service to the New Nation: The Life and Legacy of John Jay, ,"John Jay MA Diploma, front (with seal)", , , ,12410,original_format, ,documents, , ,"Rare Book & Manuscript Library, Columbia University",local, ,reformatted digital, ,Still Image,19 May 1767, ,Latin,iso639-2,filename,https://exhibitions-dev.library.columbia.edu/RBML_Jay_0069.jpg, ,"King's College (New York, N.Y.)", , , , , , ,still image,fast,holdings, ,Box 56, , , ,John Jay Papers,, , , , ,"Jay, John, 1745-1829", , , , , , , , , , , ,,,,,
Public Access, , , , ,In Service to the New Nation: The Life and Legacy of John Jay, ,"John Jay MA Diploma, front (with seal)", , , ,12409,original_format, ,documents, , ,"Rare Book & Manuscript Library, Columbia University",local, ,reformatted digital, ,Still Image,19 May 1767, ,Latin,iso639-2,filename,https://exhibitions-dev.library.columbia.edu/RBML_Jay_0068.jpg, ,"King's College (New York, N.Y.)", , , , , , ,still image,fast,holdings, ,Box 56, , , ,John Jay Papers,, , , , ,"Jay, John, 1745-1829", , , , , , , , , , , ,,,,,
Public Access, , , , ,In Service to the New Nation: The Life and Legacy of John Jay, ,"John Jay MA Diploma, front (with seal)", , , ,12408,original_format, ,documents, , ,"Rare Book & Manuscript Library, Columbia University",local, ,reformatted digital, ,Still Image,19 May 1767, ,Latin,iso639-2,filename,https://exhibitions-dev.library.columbia.edu/RBML_Jay_0067.jpg, ,"King's College (New York, N.Y.)", , , , , , ,still image,fast,holdings, ,Box 56, , , ,John Jay Papers,, , , , ,"Jay, John, 1745-1829", , , , , , , , , , , ,,,,,
Public Access, , , , ,In Service to the New Nation: The Life and Legacy of John Jay, ,"William Hamilton to John Jay, verso (outer pages)", , , ,12407,original_format, ,correspondence, , ,"Rare Book & Manuscript Library, Columbia University",local, ,reformatted digital, ,Still Image,8 March 1796, ,English,iso639-2,filename,https://exhibitions-dev.library.columbia.edu/RBML_Jay_0066.jpg, ,"Hamilton, William, 1773-1836|Jay, John, 1745-1829", , , , , , ,still image,fast,holdings, ,Box 10, , , ,John Jay Papers,,,,,,,,,,,,,,,,,,,,,,
Public Access, , , , ,In Service to the New Nation: The Life and Legacy of John Jay, ,"Journal of the Proceedings of the Congress, held at Philadelphia, May 10, 1775, pp. 150-151", , , ,12406,original_format, ,books, , ,"Rare Book & Manuscript Library, Columbia University",local, ,reformatted digital, ,Still Image,1775, ,English,iso639-2,filename,https://exhibitions-dev.library.columbia.edu/RBML_Jay_0065.jpg, ,United States. Continental Congress, , , , , , ,still image,fast,holdings, ,B328.731 B, , ,,,,,,,,,,,,,,,,,,,,,,William and Thomas Bradford,Philadelphia,5522192
Public Access, , , , ,In Service to the New Nation: The Life and Legacy of John Jay, ,Peter Augustus Jay Militia Commission, , , ,12405,original_format, ,documents, , ,"Rare Book & Manuscript Library, Columbia University",local, ,reformatted digital, ,Still Image,11 April 1798, ,English,iso639-2,filename,https://exhibitions-dev.library.columbia.edu/RBML_Jay_0064.jpg, ,New York (State), , , , , , ,still image,fast,holdings, ,Box 57, , , ,John Jay Papers,,,,,,,,,,,,,,,,,,,,,,
Public Access, , , , ,In Service to the New Nation: The Life and Legacy of John Jay, ,Peter Augustus Jay Militia Commission, , , ,12404,original_format, ,documents, , ,"Rare Book & Manuscript Library, Columbia University",local, ,reformatted digital, ,Still Image,11 April 1798, ,English,iso639-2,filename,https://exhibitions-dev.library.columbia.edu/RBML_Jay_0063.jpg, ,New York (State), , , , , , ,still image,fast,holdings, ,Box 57, , , ,John Jay Papers,,,,,,,,,,,,,,,,,,,,,,
Public Access, , , , ,In Service to the New Nation: The Life and Legacy of John Jay, ,Certificate of Membership in Pennsylvania Soicety for Promoting the Abolition of Slavery, , , ,12403,original_format, ,documents, , ,"Rare Book & Manuscript Library, Columbia University",local, ,reformatted digital, ,Still Image,6 October 1792, ,English,iso639-2,filename,https://exhibitions-dev.library.columbia.edu/RBML_Jay_0062.jpg, ,Pennsylvania Society for Promoting the Abolition of Slavery, , , , , , ,still image,fast,holdings, ,Box 57, , , ,John Jay Papers,,,,,,,,,,,,,,,,,,,,,,
Public Access, , , , ,In Service to the New Nation: The Life and Legacy of John Jay, ,Certificate of Membership in Pennsylvania Soicety for Promoting the Abolition of Slavery, , , ,12402,original_format, ,documents, , ,"Rare Book & Manuscript Library, Columbia University",local, ,reformatted digital, ,Still Image,6 October 1792, ,English,iso639-2,filename,https://exhibitions-dev.library.columbia.edu/RBML_Jay_0061.jpg, ,Pennsylvania Society for Promoting the Abolition of Slavery, , , , , , ,still image,fast,holdings, ,Box 57, , , ,John Jay Papers,,,,,,,,,,,,,,,,,,,,,,
Public Access, , , , ,In Service to the New Nation: The Life and Legacy of John Jay, ,Continental Congress Declaration for Negotiations with Britain, , , ,12401,original_format, ,documents, , ,"Rare Book & Manuscript Library, Columbia University",local, ,reformatted digital, ,Still Image,15 June 1781, ,English,iso639-2,filename,https://exhibitions-dev.library.columbia.edu/RBML_Jay_0060.jpg, ,United States. Continental Congress, , , , , , ,still image,fast,holdings, ,Oversize Materials Wooden Box 42e, , , ,John Jay Papers,,,,,,,,,,,,,,,,,,,,,,
Public Access, , , , ,In Service to the New Nation: The Life and Legacy of John Jay, ,Continental Congress Declaration for Negotiations with Britain, , , ,12400,original_format, ,documents, , ,"Rare Book & Manuscript Library, Columbia University",local, ,reformatted digital, ,Still Image,15 June 1781, ,English,iso639-2,filename,https://exhibitions-dev.library.columbia.edu/RBML_Jay_0059.jpg, ,United States. Continental Congress, , , , , , ,still image,fast,holdings, ,Oversize Materials Wooden Box 42e, , , ,John Jay Papers,,,,,,,,,,,,,,,,,,,,,,
Public Access, , , , ,In Service to the New Nation: The Life and Legacy of John Jay, ,"John Jay MA Diploma, front (with seal)", , , ,12399,original_format, ,documents, , ,"Rare Book & Manuscript Library, Columbia University",local, ,reformatted digital, ,Still Image,19 May 1767, ,Latin,iso639-2,filename,https://exhibitions-dev.library.columbia.edu/RBML_Jay_0058.jpg, ,"King's College (New York, N.Y.)", , , , , , ,still image,fast,holdings, ,Box 56, , , ,John Jay Papers,, , , , ,"Jay, John, 1745-1829", , , , , , , , , , , ,,,,,
Public Access, , , , ,In Service to the New Nation: The Life and Legacy of John Jay, ,"John Jay MA Diploma, front (with seal)", , , ,12398,original_format, ,documents, , ,"Rare Book & Manuscript Library, Columbia University",local, ,reformatted digital, ,Still Image,19 May 1767, ,Latin,iso639-2,filename,https://exhibitions-dev.library.columbia.edu/RBML_Jay_0057.jpg, ,"King's College (New York, N.Y.)", , , , , , ,still image,fast,holdings, ,Box 56, , , ,John Jay Papers,, , , , ,"Jay, John, 1745-1829", , , , , , , , , , , ,,,,,
Public Access, , , , ,In Service to the New Nation: The Life and Legacy of John Jay, ,"John Jay MA Diploma, front (with seal)", , , ,12397,original_format, ,documents, , ,"Rare Book & Manuscript Library, Columbia University",local, ,reformatted digital, ,Still Image,19 May 1767, ,Latin,iso639-2,filename,https://exhibitions-dev.library.columbia.edu/RBML_Jay_0056.jpg, ,"King's College (New York, N.Y.)", , , , , , ,still image,fast,holdings, ,Box 56, , , ,John Jay Papers,, , , , ,"Jay, John, 1745-1829", , , , , , , , , , , ,,,,,
Public Access, , , , ,In Service to the New Nation: The Life and Legacy of John Jay, ,"John Jay MA Diploma, front (with seal)", , , ,12396,original_format, ,documents, , ,"Rare Book & Manuscript Library, Columbia University",local, ,reformatted digital, ,Still Image,19 May 1767, ,Latin,iso639-2,filename,https://exhibitions-dev.library.columbia.edu/RBML_Jay_0055.jpg, ,"King's College (New York, N.Y.)", , , , , , ,still image,fast,holdings, ,Box 56, , , ,John Jay Papers,, , , , ,"Jay, John, 1745-1829", , , , , , , , , , , ,,,,,
Public Access, , , , ,In Service to the New Nation: The Life and Legacy of John Jay, ,"John Jay MA Diploma, front (with seal)", , , ,12395,original_format, ,documents, , ,"Rare Book & Manuscript Library, Columbia University",local, ,reformatted digital, ,Still Image,19 May 1767, ,Latin,iso639-2,filename,https://exhibitions-dev.library.columbia.edu/RBML_Jay_0054.jpg, ,"King's College (New York, N.Y.)", , , , , , ,still image,fast,holdings, ,Box 56, , , ,John Jay Papers,, , , , ,"Jay, John, 1745-1829", , , , , , , , , , , ,,,,,
Public Access, , , , ,In Service to the New Nation: The Life and Legacy of John Jay, ,"A New Medley Overture as Performed at the Theatre with Great Applause Selected & Composed by J. Hewitt, page 6", , , ,12394,original_format, ,music, , ,"Rare Book & Manuscript Library, Columbia University",local, ,reformatted digital, ,Still Image,circa 1799-1800, ,English,iso639-2,,, ,"Hewitt, James, 1770-1827", , , , , , ,still image,fast,holdings, ,Box 87, , , ,Hunt-Berol Sheet Music Collection,approximate,,,,,,,,,,,,,,,,,,,B. Carr,Philadelphia|Baltimore,
