use_and_reproduction-1:use_and_reproduction_value,_pid,partName,projectURL,_identifiers-1,relatedItem_project,_project.string_key,title-1:title_sort_portion,_digital_object_type.string_key,title-1:title_non_sort_portion,_parent_digital_objects-1.identifier,omeka_identifier-1:omeka_identifier_value,note-3:note_type,form-2:form_term.uri,form-2:form_term.value,location-1:location_term.uri,location-1:location_term.code,location-1:location_term.value,location-1:location_term.authority,date_created-1:date_created_end_value,digital_origin-1:digital_origin_value,date_created-1:date_created_start_value,type_of_resource-1:type_of_resource_value,date_created_textual-1:date_created_textual_value,language-1:language_term.uri,language-1:language_term.value,language-1:language_term.authority,note-2:note_type,note-2:note_value,name-1:name_term.uri,name-1:name_term.value,name-1:name_term.name_type,name-1:name_term.authority,name-1:name_role-1.name_role_term.uri,name-1:name_role-1.name_role_term.value,name-1:name_role-1.name_role_term.authority,genre-1:genre_term.uri,genre-1:genre_term.value,genre-1:genre_term.authority,note-5:note_type,note-5:note_value,location-1:location_shelf_location-1.location_shelf_location_free_text,location-1:location_shelf_location-1.location_shelf_location_box_number,location-1:location_shelf_location-1.location_shelf_location_folder_number,collection-1:collection_term.uri,collection-1:collection_term.value,date_created-1:date_created_type,subject_name-1:subject_name_term.uri,subject_topic-1:subject_topic_term.uri,subject_name-1:subject_name_term.value,subject_title-1:subject_title_term.uri,subject_topic-1:subject_topic_term.value,subject_title-1:subject_title_term.value,subject_name-1:subject_name_term.name_type,subject_name-1:subject_name_term.authority,subject_topic-1:subject_topic_term.authority,subject_title-1:subject_title_term.authority,subject_hierarchical_geographic-1:subject_hierarchical_geographic_city_text_value,subject_hierarchical_geographic-1:subject_hierarchical_geographic_state_text_value,subject_hierarchical_geographic-1:subject_hierarchical_geographic_county_text_value,subject_hierarchical_geographic-1:subject_hierarchical_geographic_borough_text_value,subject_hierarchical_geographic-1:subject_hierarchical_geographic_province_text_value,subject_hierarchical_geographic-1:subject_hierarchical_geographic_street-1.subject_hierarchical_geographic_street_value,note-1:note_type,note-1:note_value,publisher-1:publisher_value,place_of_origin-1:place_of_origin_value,clio_identifier-1:clio_identifier_value
Public Access, , , , ,In Service to the New Nation: The Life and Legacy of John Jay, ,"John Jay Timeline 1745-1795  , front  (Detail Top half of document through ""appointd one of the commissioners to negotiate Peace &c"")", , , ,12348,original_format, ,manuscripts, , ,"Rare Book & Manuscript Library, Columbia University",local, ,reformatted digital, ,Still Image,after 1801, ,English,iso639-2,filename,https://exhibitions-dev.library.columbia.edu/RBML_Jay_0023.jpg, ,"Jay, John, 1745-1829", , , , , , ,still image,fast,holdings, ,Box 56, , , ,John Jay Papers,inferred,,,,,,,,,,,,,,,,,,,,,
Public Access, , , , ,In Service to the New Nation: The Life and Legacy of John Jay, ,John Jay (after Gilbert Stuart), , , ,12347,original_format, ,prints, , ,Private Collection,local, ,reformatted digital, ,Still Image,after 1794,,,,,,,,,,,,, ,still image,fast,,,,,,,,inferred, , , , ,"Jay, John, 1745-1829", , , , , , , , , , , ,,,,,
Public Access, , , , ,In Service to the New Nation: The Life and Legacy of John Jay, ,"John Jay to Peter Augustus Jay, front", , , ,12346,original_format, ,correspondence, , ,"Rare Book & Manuscript Library, Columbia University",local, ,reformatted digital, ,Still Image,8 Apr. 1784, ,English,iso639-2,filename,https://exhibitions-dev.library.columbia.edu/RBML_Jay_0022.jpg, ,"Jay, John, 1745-1829|Jay, Peter A. (Peter Augustus), 1776-1843", , , , , , ,still image,fast,holdings, ,Box 17, , , ,John Jay Papers,,,,,,,,,,,,,,,,,,,,,,
Public Access, , , , ,In Service to the New Nation: The Life and Legacy of John Jay, ,"John Jay to Peter Augustus Jay, front", , , ,12345,original_format, ,correspondence, , ,"Rare Book & Manuscript Library, Columbia University",local, ,reformatted digital, ,Still Image,25 Apr. 1792, ,English,iso639-2,filename,https://exhibitions-dev.library.columbia.edu/RBML_Jay_0021.jpg, ,"Jay, John, 1745-1829|Jay, Peter A. (Peter Augustus), 1776-1843", , , , , , ,still image,fast,holdings, ,Box 21, , , ,John Jay Papers,,,,,,,,,,,,,,,,,,,,,,
Public Access, , , , ,In Service to the New Nation: The Life and Legacy of John Jay, ,"Sarah Livingston Jay to John Jay, front ", , , ,12344,original_format, ,correspondence, , ,"Rare Book & Manuscript Library, Columbia University",local, ,reformatted digital, ,Still Image,30 July 1800, ,English,iso639-2,filename,https://exhibitions-dev.library.columbia.edu/RBML_Jay_0020.jpg, ,"Jay, Sarah Livingston|Jay, John, 1745-1829", , , , , , ,still image,fast,holdings, ,Box 36, , , ,John Jay Papers,,,,,,,,,,,,,,,,,,,,,,
Public Access, , , , ,In Service to the New Nation: The Life and Legacy of John Jay, ,"Receipt of Isaac Terboss, Lebanon Springs Bathhouse, front", , , ,12343,original_format, ,ephemera, , ,"Rare Book & Manuscript Library, Columbia University",local, ,reformatted digital, ,Still Image,22 Aug. 1796, ,English,iso639-2,filename,https://exhibitions-dev.library.columbia.edu/RBML_Jay_0019.jpg, ,"Terboss, Isaac", , , , , , ,still image,fast,holdings, ,Box 57, , , ,John Jay Papers,,,,,,,,,,,,,,,,,,,,,,
Public Access, , , , ,In Service to the New Nation: The Life and Legacy of John Jay, ,"Sarah Livingston Jay to Samuel Lyons, front", , , ,12342,original_format, ,correspondence, , ,"Rare Book & Manuscript Library, Columbia University",local, ,reformatted digital, ,Still Image,14 Nov. 1794, ,English,iso639-2,filename,https://exhibitions-dev.library.columbia.edu/RBML_Jay_0018.jpg, ,"Jay, Sarah Livingston|Lyons, Samuel", , , , , , ,still image,fast,holdings, ,Box 36, , , ,John Jay Papers,,,,,,,,,,,,,,,,,,,,,,
Public Access, , , , ,In Service to the New Nation: The Life and Legacy of John Jay, ,"John Jay to Maria Jay and Nancy Jay, front", , , ,12341,original_format, ,correspondence, , ,"Rare Book & Manuscript Library, Columbia University",local, ,reformatted digital, ,Still Image,1 June 1792, ,English,iso639-2,filename,https://exhibitions-dev.library.columbia.edu/RBML_Jay_0017.jpg, ,"Jay, John, 1745-1829|Jay, Maria|Jay, Nancy", , , , , , ,still image,fast,holdings, ,Box 21, , , ,John Jay Papers,,,,,,,,,,,,,,,,,,,,,,
Public Access, , , , ,In Service to the New Nation: The Life and Legacy of John Jay, ,"Receipt Bot of Hoffman & Seton 2 Quarter Casks Sherry Wine, front", , , ,12340,original_format, ,ephemera, , ,"Rare Book & Manuscript Library, Columbia University",local, ,reformatted digital, ,Still Image,23 Mar. 1793, ,English,iso639-2,filename,https://exhibitions-dev.library.columbia.edu/RBML_Jay_0016.jpg, ,Hoffman & Seton, , , , , , ,still image,fast,holdings, ,Box 57, , , ,John Jay Papers,,,,,,,,,,,,,,,,,,,,,,
Public Access, , , , ,In Service to the New Nation: The Life and Legacy of John Jay, ,"Receipt Mrs. Jay bought of Lot Merkel, front", , , ,12339,original_format, ,ephemera, , ,"Rare Book & Manuscript Library, Columbia University",local, ,reformatted digital, ,Still Image,8 Nov. 1793, ,English,iso639-2,filename,https://exhibitions-dev.library.columbia.edu/RBML_Jay_0015.jpg, ,"Merkel, Lot", , , , , , ,still image,fast,holdings, ,Box 57, , , ,John Jay Papers,,,,,,,,,,,,,,,,,,,,,,
