omeka_identifier-1:omeka_identifier_value,_identifiers-1,_digital_object_type.string_key,title-1:title_sort_portion,abstract-1:abstract_value,object_in_context_url-1:object_in_context_url_value,note-1:note_value,note-1:note_type,date_created-1:date_created_start_value,date_created-1:date_created_end_value,date_created_textual-1:date_created_textual_value,date_created-1:date_created_type,location-1:location_term.value,location-1:location_term.code,location-1:location_term.authority,location-1:location_term.uri,type_of_resource-1:type_of_resource_value,form-1:form_term.value,form-1:form_term.authority,form-1:form_term.uri,digital_origin-1:digital_origin_value,location-1:location_shelf_location-1:location_shelf_location_free_text,location-1:location_shelf_location-1:location_shelf_location_box_number,location-1:location_shelf_location-1:location_shelf_location_folder_number,location-2:location_shelf_location-2:location_shelf_location_free_text,location-3:location_shelf_location-3:location_shelf_location_free_text,subject_topic-1:subject_topic_term.value,subject_topic-1:subject_topic_term.authority,subject_topic-1:subject_topic_term.uri,subject_topic-2:subject_topic_term.value,subject_topic-2:subject_topic_term.authority,subject_topic-2:subject_topic_term.uri,subject_name-1:subject_name_term.value,subject_name-1:subject_name_term.authority,subject_name-1:subject_name_term.uri,language-1:language_term.value,language-1:language_term.authority,language-1:language_term.uri,name-1:name_term.value,name-1:name_term.authority,name-1:name_term.uri,extent-1:extent_value,note-2:note_value,note-:note_type,use_and_reproduction-1:use_and_reproduction_value
omeka_5639,1968ColumbiaCrisis_ilr,item,President Kirk's office after bust,"Kirk's office after the police bust of April 30, 1968",,,,1968-04,,Apr-68,,"University Archives, Columbia University",NNC-UA,marcorg,http://id.loc.gov/authorities/names/no2007136816,still image,photographs,aat,http://vocab.getty.edu/aat/300046300,reformatted digital ,"Binder 1, Roll 26 or 27",,,Office of Public Affairs Protest & Activism Photograph Collection,Collection number: UA#0109,Student Strike (Columbia University : 1968),fast,http://id.worldcat.org/fast/1922992,,,,Columbia University,naf,http://id.loc.gov/authorities/names/n81024714,,,,,,,,,,
omeka_5639,1968ColumbiaCrisis_ilr_000,asset,President Kirk's office after bust,"Kirk's office after the police bust of April 30, 1968",https://exhibitions.cul.columbia.edu/exhibits/show/1968/bust/bust2,http://www.columbia.edu/cgi-bin/cul/dev/dlo2?obj=1968_columbia_capa_751,filename,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
omeka_5661,1968ColumbiaCrisis_ilt,item,H. Rap Brown,H. Rap Brown speaking outside of Hamilton Hall,,,,1968-04,,Apr-68,,Private Collection,,,,still image,photographs,aat,http://vocab.getty.edu/aat/300046300,reformatted digital ,,,,Private Collection,,Student Strike (Columbia University : 1968),fast,http://id.worldcat.org/fast/1922992,,,,Columbia University,naf,http://id.loc.gov/authorities/names/n81024714,,,,"Pearcy, Lee T.",naf,http://id.loc.gov/authorities/names/n84073128,,"Lee T. Pearcy, '69 CC",ownership,Permission to reproduce this image must be obtained from Lee T. Pearcy. Please contact the University Archives for contact information.
omeka_5661,1968ColumbiaCrisis_ilt_000,asset,H. Rap Brown,H. Rap Brown speaking outside of Hamilton Hall,https://exhibitions.cul.columbia.edu/exhibits/show/1968/timeline/timeline1,http://www.columbia.edu/cgi-bin/cul/dev/dlo2?obj=1968_columbia_pearcy_2,filename,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
omeka_5652,1968ColumbiaCrisis_ily,item,Hamilton Hall food pantry,Food pantry inside Hamilton Hall during the occupation,,,,1968-04,,Apr-68,,Private Collection,,,,still image,photographs,aat,http://vocab.getty.edu/aat/300046300,reformatted digital ,,,,Private Collection,,Student Strike (Columbia University : 1968),fast,http://id.worldcat.org/fast/1922992,,,,Columbia University,naf,http://id.loc.gov/authorities/names/n81024714,,,,"Bourne, St. Clair, 1943-2007",nar,http://id.loc.gov/authorities/names/n92105155,,,,This image may not be reproduced. Please contact the University Archives with any questions.
omeka_5652,1968ColumbiaCrisis_ily_000,asset,Hamilton Hall food pantry,Food pantry inside Hamilton Hall during the occupation,https://exhibitions.cul.columbia.edu/exhibits/show/1968/protests/sas,http://www.columbia.edu/cgi-bin/cul/dev/dlo2?obj=1968_columbia_columbia_05,filename,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
omeka_5557,1968ColumbiaCrisis_iss,item,"Letter from ""a concerned student"" to President Kirk ","Letter criticizes Kirk's use of police force on campus and demands his
resignation, dated May 2, 1968.",,,,1968-05-02,,2-May-68,,"University Archives, Columbia University",NNC-UA,marcorg,http://id.loc.gov/authorities/names/no2007136816,text,correspondence,aat,http://vocab.getty.edu/aat/300026877,reformatted digital ,"Box 44, Folder 6",Box 44,Folder 6,"University Protest and Activism Collection, 1958-1999 [Bulk Dates: 1968-1972]",Collection number: UA#007,Student Strike (Columbia University : 1968),fast,http://id.worldcat.org/fast/1922992,,,,Columbia University,naf,http://id.loc.gov/authorities/names/n81024714,,,,,,,"Physical Dimensions: 8.5""x11""",,,
omeka_5557,1968ColumbiaCrisis_iss_000,asset,"Letter from ""a concerned student"" to President Kirk ","Letter criticizes Kirk's use of police force on campus and demands his
resignation, dated May 2, 1968.",https://exhibitions.cul.columbia.edu/exhibits/show/1968/bust/kirk2,http://www.columbia.edu/cgi-bin/cul/dev/dlo2?obj=1968_columbia_110044042,filename,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
omeka_5545,1968ColumbiaCrisis_ivc,item,"""Blanket dump"" circular","Circular showing the orderliness that protesting students 
imposed on themselves while occupying the various buildings on campus.",,,,1968,,1968,,"University Archives, Columbia University",NNC-UA,marcorg,http://id.loc.gov/authorities/names/no2007136816,text,printed ephemera,aat,http://vocab.getty.edu/aat/300264821,reformatted digital ,"Box 11, Folder 21",Box 11,Folder 21,"University Protest and Activism Collection, 1958-1999 [Bulk Dates: 1968-1972]",Collection number: UA#007,Student Strike (Columbia University : 1968),fast,http://id.worldcat.org/fast/1922992,,,,Columbia University,naf,http://id.loc.gov/authorities/names/n81024714,,,,,,,"Physical Dimensions: 8.5""x11""",,,
omeka_5545,1968ColumbiaCrisis_ivc_000,asset,"""Blanket dump"" circular","Circular showing the orderliness that protesting students 
imposed on themselves while occupying the various buildings on campus.",https://exhibitions.cul.columbia.edu/exhibits/show/1968/protests/strike,http://www.columbia.edu/cgi-bin/cul/dev/dlo2?obj=1968_columbia_110044030,filename,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
omeka_5634,1968ColumbiaCrisis_iyu,item,"""No Amnesty"" sign",Conservative students protesting against SDS,,,,1968-04,,Apr-68,,"University Archives, Columbia University",NNC-UA,marcorg,http://id.loc.gov/authorities/names/no2007136816,still image,photographs,aat,http://vocab.getty.edu/aat/300046300,reformatted digital ,"Binder 1, Roll 14",,,Office of Public Affairs Protest & Activism Photograph Collection,Collection number: UA#109,Student Strike (Columbia University : 1968),fast,http://id.worldcat.org/fast/1922992,,,,Columbia University,naf,http://id.loc.gov/authorities/names/n81024714,,,,,,,,,,
omeka_5629,1968ColumbiaCrisis_iyu_000,asset,"""Ban SDS"" sign",Conservative students protesting against SDS,https://exhibitions.cul.columbia.edu/exhibits/show/1968/protests/majority,http://www.columbia.edu/cgi-bin/cul/dev/dlo2?obj=1968_columbia_capa_1063,filename,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
omeka_5629,1968ColumbiaCrisis_iyu_000,asset,"""Ban SDS"" sign",Conservative students protesting against SDS,https://exhibitions.cul.columbia.edu/exhibits/show/1968/protests/majority,http://www.columbia.edu/cgi-bin/cul/dev/dlo2?obj=1968_columbia_capa_1063,filename,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
omeka_5615,1968ColumbiaCrisis_jcm,item,"Columbia Daily Spectator, 3/4/69","The Columbia Daily Spectator. 4 March 1969, page 5",,,,1969-03-04,,4-Mar-69,,"University Archives, Columbia University",NNC-UA,marcorg,http://id.loc.gov/authorities/names/no2007136816,text,periodicals,aat,http://vocab.getty.edu/aat/300026657,reformatted digital ,1968-1969,,,Columbia Daily Spectator,,College student newspapers and periodicals,fast,http://id.worldcat.org/fast/867966,,,,,,,,,,,,,"Physical Dimensions: 16""x11.25""",,,
omeka_5615,1968ColumbiaCrisis_jcm_000,asset,Page 5,"The Columbia Daily Spectator. 4 March 1969, page 5",,http://www.columbia.edu/cgi-bin/cul/dev/dlo2?obj=1968_columbia_110044100,filename,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
omeka_5663,1968ColumbiaCrisis_jtf,item,SDS button,"""A Free University in A Free Society: Columbia SDS""",,,,1968,,1968,,Private Collection,,,,three dimensional object,objects,aat,http://vocab.getty.edu/aat/300311889,reformatted digital ,,,,Private Collection,,Buttons,fast,http://id.worldcat.org/fast/843155,,,,,,,,,,,,,,"Frank da Cruz (GS 1971, SEAS 1976)",ownership,This image may not be reproduced without the permission of Frank da Cruz. Please contact the University Archives for further information.
omeka_5663,1968ColumbiaCrisis_jtf_000,asset,SDS button,"""A Free University in A Free Society: Columbia SDS""",https://exhibitions.cul.columbia.edu/exhibits/show/1968/causes/sds,http://www.columbia.edu/cgi-bin/cul/dev/dlo2?obj=1968_columbia_sdsbutton,filename,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
omeka_5602,1968ColumbiaCrisis_jwz,item,"""Tenant Group Seizes 114th St. Apartment House In Protest Against Columbia's Expansion Policy""","The Columbia Daily Spectator. 18 May 1968, front page.",,,,1968-05-18,,18-May-68,,"University Archives, Columbia University",NNC-UA,marcorg,http://id.loc.gov/authorities/names/no2007136816,text,periodicals,aat,http://vocab.getty.edu/aat/300026657,reformatted digital ,1967-1968,,,Columbia Daily Spectator,,College student newspapers and periodicals,fast,http://id.worldcat.org/fast/867966,,,,,,,,,,,,,"Physical Dimensions: 16""x11.25""",,,
omeka_5602,1968ColumbiaCrisis_jwz_000,asset,"""Tenant Group Seizes 114th St. Apartment House In Protest Against Columbia's Expansion Policy""","The Columbia Daily Spectator. 18 May 1968, front page.",https://exhibitions.cul.columbia.edu/exhibits/show/1968/campus/sru,http://www.columbia.edu/cgi-bin/cul/dev/dlo2?obj=1968_columbia_110044087,filename,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
omeka_5578,1968ColumbiaCrisis_kax,item,Letter to President Kirk from James K. Bishop,"Hand written letter to Kirk from James K. Bishop, pro-bust",,,,1968-04-30,,30-Apr-68,,"University Archives, Columbia University",NNC-UA,marcorg,http://id.loc.gov/authorities/names/no2007136816,text,correspondence,aat,http://vocab.getty.edu/aat/300026877,reformatted digital ,"Box 42, Folder 1",Box 42,Folder 1,"University Protest and Activism Collection, 1958-1999 [Bulk Dates: 1968-1972]",Collection number: UA#007,Student Strike (Columbia University : 1968),fast,http://id.worldcat.org/fast/1922992,,,,Columbia University,naf,http://id.loc.gov/authorities/names/n81024714,,,,,,,"Physical Dimensions: 8.5"" x 11""",,,
omeka_5578,1968ColumbiaCrisis_kax_000,asset,Letter to President Kirk from James K. Bishop,"Hand written letter to Kirk from James K. Bishop, pro-bust",https://exhibitions.cul.columbia.edu/exhibits/show/1968/bust/kirk,http://www.columbia.edu/cgi-bin/cul/dev/dlo2?obj=1968_columbia_110044063,filename,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
omeka_5547,1968ColumbiaCrisis_kco,item,Notes on Office of President memo paper,"Notes, written by occupying students, about President Kirk's activities in August 1966 (4 pages)",,,,1968,,1968,,"University Archives, Columbia University",NNC-UA,marcorg,http://id.loc.gov/authorities/names/no2007136816,text,correspondence,aat,http://vocab.getty.edu/aat/300026877,reformatted digital ,"Box 10, Folder 1",Box 10,Folder 1,"University Protest and Activism Collection, 1958-1999 [Bulk Dates: 1968-1972]",Collection number: UA#007,Student Strike (Columbia University : 1968),fast,http://id.worldcat.org/fast/1922992,,,,Columbia University,naf,http://id.loc.gov/authorities/names/n81024714,English,iso639-2,http://id.loc.gov/vocabulary/iso639-2/eng,,,,"Physical Dimensions: 4.5"" x 6""",,,
omeka_5547,1968ColumbiaCrisis_kco_001,asset,Page 1,"Notes, written by occupying students, about President Kirk's activities in August 1966 (4 pages)",,http://www.columbia.edu/cgi-bin/cul/dev/dlo2?obj=1968_columbia_110044032,filename,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
omeka_5547,1968ColumbiaCrisis_kco_002,asset,Page 2,"Notes, written by occupying students, about President Kirk's activities in August 1966 (4 pages)",,Memo2.jpg,filename,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
omeka_5547,1968ColumbiaCrisis_kco_003,asset,Page 3,"Notes, written by occupying students, about President Kirk's activities in August 1966 (4 pages)",,Memo3.jpg,filename,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
omeka_5547,1968ColumbiaCrisis_kco_004,asset,Page 4,"Notes, written by occupying students, about President Kirk's activities in August 1966 (4 pages)",,Memo4.jpg,filename,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
omeka_5558,1968ColumbiaCrisis_kib,item,"Letter from Mrs. Julian Klein of Newton Centre, MA to President Kirk","Letter criticizing Kirk's use of police force on campus, comparing his
actions to those taken in Nazi Germany, dated April 30, 1968",,,,1968-04-30,,30-Apr-68,,"University Archives, Columbia University",NNC-UA,marcorg,http://id.loc.gov/authorities/names/no2007136816,text,correspondence,aat,http://vocab.getty.edu/aat/300026877,reformatted digital ,"Box 44, Folder 3",Box 44,Folder 3,"University Protest and Activism Collection, 1958-1999 [Bulk Dates: 1968-1972]",Collection number: UA#007,Student Strike (Columbia University : 1968),fast,http://id.worldcat.org/fast/1922992,,,,Columbia University,naf,http://id.loc.gov/authorities/names/n81024714,,,,,,,"Physical Dimensions: 8.5""x11""",,,
omeka_5558,1968ColumbiaCrisis_kib_000,asset,"Letter from Mrs. Julian Klein of Newton Centre, MA to President Kirk","Letter criticizing Kirk's use of police force on campus, comparing his
actions to those taken in Nazi Germany, dated April 30, 1968",https://exhibitions.cul.columbia.edu/exhibits/show/1968/bust/kirk2,http://www.columbia.edu/cgi-bin/cul/dev/dlo2?obj=1968_columbia_110044043,filename,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
omeka_5599,1968ColumbiaCrisis_kib_001,asset,Page 1,"The Columbai Daily Spectator. 30 April 1968, front page.",https://exhibitions.cul.columbia.edu/exhibits/show/1968/bust/bust2,http://www.columbia.edu/cgi-bin/cul/dev/dlo2?obj=1968_columbia_110044084,filename,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
omeka_5605,1968ColumbiaCrisis_kio,item,"""Cordier Will Ask Trustees to Abandon Gym Site; SDS Stages Anti-NROTC Sit-Ins in Hamilton, Dodge; SAS Present Plan for Autonomous Black Institute""","The Columbia Daily Spectator. 28 February 1969, front page headline.",,,,1969-02-28,,28-Feb-69,,"University Archives, Columbia University",NNC-UA,marcorg,http://id.loc.gov/authorities/names/no2007136816,text,periodicals,aat,http://vocab.getty.edu/aat/300026657,reformatted digital ,1968-1969,,,Columbia Daily Spectator,,College student newspapers and periodicals,fast,http://id.worldcat.org/fast/867966,,,,,,,,,,,,,,,,
omeka_5605,1968ColumbiaCrisis_kio_001,asset,Page 1,"The Columbia Daily Spectator. 28 February 1969, front page headline.",,http://www.columbia.edu/cgi-bin/cul/dev/dlo2?obj=1968_columbia_110044090,filename,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
omeka_5571,1968ColumbiaCrisis_kiw,item,Letter to President Kirk from John S. Casler (Law '70),"Type written letter to Kirk from John Casler, anti-bust. Letter dated April 2, 1968 but probably meant to write May 2, 1968 based on content of letter.",,,,1968-05-02,,2 [May] 1968,inferred,"University Archives, Columbia University",NNC-UA,marcorg,http://id.loc.gov/authorities/names/no2007136816,text,correspondence,aat,http://vocab.getty.edu/aat/300026877,reformatted digital ,"Box 44, Folder 2",Box 44,Folder 2,"University Protest and Activism Collection, 1958-1999 [Bulk Dates: 1968-1972]",Collection number: UA#007,Student Strike (Columbia University : 1968),fast,http://id.worldcat.org/fast/1922992,,,,Columbia University,naf,http://id.loc.gov/authorities/names/n81024714,,,,,,,"Physical Dimensions: 6"" x 9""",,,
omeka_5571,1968ColumbiaCrisis_kiw_000,asset,Page 3,"Type written letter to Kirk from John Casler, anti-bust. Letter dated April 2, 1968 but probably meant to write May 2, 1968 based on content of letter.",,http://www.columbia.edu/cgi-bin/cul/dev/dlo2?obj=1968_columbia_110044056,filename,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
omeka_5651,1968ColumbiaCrisis_kjo,item,Hamilton Hall lobby,Interior of Hamilton Hall during the occupation,,,,1968-04,,Apr-68,,Private Collection,,,,still image,photographs,aat,http://vocab.getty.edu/aat/300046300,reformatted digital ,,,,Private Collection,,Student Strike (Columbia University : 1968),fast,http://id.worldcat.org/fast/1922992,,,,Columbia University,naf,http://id.loc.gov/authorities/names/n81024714,,,,"Bourne, St. Clair, 1943-2007",nar,http://id.loc.gov/authorities/names/n92105155,,,,This image may not be reproduced. Please contact the University Archives with any questions.
omeka_5651,1968ColumbiaCrisis_kjo_000,asset,Hamilton Hall lobby,Interior of Hamilton Hall during the occupation,https://exhibitions.cul.columbia.edu/exhibits/show/1968/protests/sas,http://www.columbia.edu/cgi-bin/cul/dev/dlo2?obj=1968_columbia_columbia_01,filename,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
omeka_5620,1968ColumbiaCrisis_kmk,item,Campus map with blue shading indicating which buildings were occupied by protesting students,Map of Columbia campus with blue shading indicating which buildings were occupied by protesting students,,,,1968,,1968,,"University Archives, Columbia University",NNC-UA,marcorg,http://id.loc.gov/authorities/names/no2007136816,cartographic,maps,aat,http://vocab.getty.edu/aat/300028094,reformatted digital ,call #CH D,,,"Student and Staff Columbia University Directory, Officers and Staff, 1967-1968",,Student Strike (Columbia University : 1968),fast,http://id.worldcat.org/fast/1922992,,,,Columbia University,naf,http://id.loc.gov/authorities/names/n81024714,,,,,,,"Physical Dimensions: 6"" x 10.25""",,,
omeka_5620,1968ColumbiaCrisis_kmk_000,asset,Campus map with blue shading indicating which buildings were occupied by protesting students,Map of Columbia campus with blue shading indicating which buildings were occupied by protesting students,https://exhibitions.cul.columbia.edu/exhibits/show/1968/protests/strike,http://www.columbia.edu/cgi-bin/cul/dev/dlo2?obj=1968_columbia_110044105,filename,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
omeka_9568,1968ColumbiaCrisis_ksz,item,Story of WKCR: 1968,"16 minute audio tape, created by WKCR personnel and narrated by Robert Siegel, '69C, was presented at an event in the fall of 1968 called ""KCA Night"". This event was an opportunity for campus groups to present a short skit or presentation to the incoming freshmen in order to convince the new students to join their activities.",,,,,,,,,,,,sound recording,,,,,,,,,,,fast,,,,,,,,,,,,,,,"Bob Papper '69C, '70J",ownership,
omeka_9568,1968ColumbiaCrisis_ksz_000,asset,Story of WKCR: 1968,"16 minute audio tape, created by WKCR personnel and narrated by Robert Siegel, '69C, was presented at an event in the fall of 1968 called ""KCA Night"". This event was an opportunity for campus groups to present a short skit or presentation to the incoming freshmen in order to convince the new students to join their activities.",https://exhibitions.cul.columbia.edu/exhibits/show/1968/protests/wkcr,TheStoryofWKCR.mp3,filename,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
omeka_5665,1968ColumbiaCrisis_lfa,item,"""Strike If We Must"" button","""Strike If We Must""",,,,1968,,1968,,Private Collection,,,,three dimensional object,objects,aat,http://vocab.getty.edu/aat/300311889,reformatted digital ,,,,Private Collection,,Buttons,fast,http://id.worldcat.org/fast/843155,,,,,,,,,,,,,,"Frank da Cruz (GS 1971, SEAS 1976)",ownership,This image may not be reproduced without the permission of Frank da Cruz. Please contact the University Archives for further information.
omeka_5665,1968ColumbiaCrisis_lfa_000,asset,"""Strike If We Must"" button","""Strike If We Must""",https://exhibitions.cul.columbia.edu/exhibits/show/1968/protests/outside,http://www.columbia.edu/cgi-bin/cul/dev/dlo2?obj=1968_columbia_strikeifwemustbutton,filename,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
omeka_5562,1968ColumbiaCrisis_lfg,item,"""Do your thing, but let us do ours""","Students for Columbia University's plea to respect the integrity of 
the university sponsored commencement ceremony",,,,1968-06-03,,3-Jun-68,,"University Archives, Columbia University",NNC-UA,marcorg,http://id.loc.gov/authorities/names/no2007136816,text,printed ephemera,aat,http://vocab.getty.edu/aat/300264821,reformatted digital ,"Box 13, Folder 7",Box 13,Folder 7,"University Protest and Activism Collection, 1958-1999 [Bulk Dates: 1968-1972]",Collection number: UA#007,Student Strike (Columbia University : 1968),fast,http://id.worldcat.org/fast/1922992,,,,Columbia University,naf,http://id.loc.gov/authorities/names/n81024714,,,,,,,"Physical Dimensions: 11.25 x 16""",,,
omeka_5562,1968ColumbiaCrisis_lfg_000,asset,"""Do your thing, but let us do ours""","Students for Columbia University's plea to respect the integrity of 
the university sponsored commencement ceremony",https://exhibitions.cul.columbia.edu/exhibits/show/1968/commencement/commencement1,http://www.columbia.edu/cgi-bin/cul/dev/dlo2?obj=1968_columbia_110044047,filename,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
omeka_5611,1968ColumbiaCrisis_lgk,item,"Columbia Daily Spectator, 2/28/69","The Columbia Daily Spectator. 28 February 1969, p. 5",,,,1969-02-28,,28-Feb-69,,"University Archives, Columbia University",NNC-UA,marcorg,http://id.loc.gov/authorities/names/no2007136816,text,periodicals,aat,http://vocab.getty.edu/aat/300026657,reformatted digital ,1968-1969,,,Columbia Daily Spectator,,College student newspapers and periodicals,fast,http://id.worldcat.org/fast/867966,,,,,,,,,,,,,"Physical Dimensions: 16""x11.25""",,,
omeka_5611,1968ColumbiaCrisis_lgk_000,asset,Page 6,"The Columbia Daily Spectator. 28 February 1969, p. 5",,http://www.columbia.edu/cgi-bin/cul/dev/dlo2?obj=1968_columbia_110044096,filename,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
omeka_5555,1968ColumbiaCrisis_log,item,"Letter from S.A. Barbour of Roanoke, VA to President Kirk","Letter, in support of Kirk's actions, including ""some head cracking""",,,,1968-04-30,,30-Apr-68,,"University Archives, Columbia University",NNC-UA,marcorg,http://id.loc.gov/authorities/names/no2007136816,text,correspondence,aat,http://vocab.getty.edu/aat/300026877,reformatted digital ,"Box 42, Folder 1",Box 42,Folder 1,"University Protest and Activism Collection, 1958-1999 [Bulk Dates: 1968-1972]",Collection number: UA#007,Student Strike (Columbia University : 1968),fast,http://id.worldcat.org/fast/1922992,,,,Columbia University,naf,http://id.loc.gov/authorities/names/n81024714,,,,,,,"Physical Dimensions: 8.5""x11""",,,
omeka_5555,1968ColumbiaCrisis_log_000,asset,"Letter from S.A. Barbour of Roanoke, VA to President Kirk","Letter, in support of Kirk's actions, including ""some head cracking""",https://exhibitions.cul.columbia.edu/exhibits/show/1968/bust/kirk,http://www.columbia.edu/cgi-bin/cul/dev/dlo2?obj=1968_columbia_110044040,filename,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
omeka_5641,1968ColumbiaCrisis_lwh,item,Books and food on shelf,Food pantry in one of the occupied buildings,,,,1968-04,,Apr-68,,"University Archives, Columbia University",NNC-UA,marcorg,http://id.loc.gov/authorities/names/no2007136816,still image,photographs,aat,http://vocab.getty.edu/aat/300046300,reformatted digital ,"Binder 1, Roll 26",,,Office of Public Affairs Protest & Activism Photograph Collection,Collection number: UA#109,Student Strike (Columbia University : 1968),fast,http://id.worldcat.org/fast/1922992,,,,Columbia University,naf,http://id.loc.gov/authorities/names/n81024714,,,,,,,,,,
omeka_5641,1968ColumbiaCrisis_lwh_000,asset,Books and food on shelf,Food pantry in one of the occupied buildings,https://exhibitions.cul.columbia.edu/exhibits/show/1968/protests/strike,http://www.columbia.edu/cgi-bin/cul/dev/dlo2?obj=1968_columbia_capa_765,filename,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
omeka_5658,1968ColumbiaCrisis_lyl,item,MLK button,"""I Have a Dream"" button",,,,1968,,1968,approximate,Private Collection,,,,three dimensional object,objects,aat,http://vocab.getty.edu/aat/300311889,reformatted digital ,,,,Private Collection,,Buttons,fast,http://id.worldcat.org/fast/843155,,,,,,,,,,,,,,"Frank da Cruz (GS 1971, SEAS 1976)",ownership,This image may not be reproduced without the permission of Frank da Cruz. Please contact the University Archives for further information.
omeka_5658,1968ColumbiaCrisis_lyl_000,asset,MLK button,"""I Have a Dream"" button",https://exhibitions.cul.columbia.edu/exhibits/show/1968/causes/mlk,http://www.columbia.edu/cgi-bin/cul/dev/dlo2?obj=1968_columbia_mlkbutton,filename,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
omeka_5528,1968ColumbiaCrisis_mah,item,Up Against the Wall,"Newspaper, Up Against the Wall, Vol III, no. 1, page 5",,,,1968-04-22,,22-Apr-68,,"University Archives, Columbia University",NNC-UA,marcorg,http://id.loc.gov/authorities/names/no2007136816,text,periodicals,aat,http://vocab.getty.edu/aat/300026657,reformatted digital ,"Box 14, Folder 6",Box 14,Folder 6,"University Protest and Activism Collection, 1958-1999 [Bulk Dates: 1968-1972]",Collection number: UA#007,,,,,,,Columbia-Barnard SDS,naf,http://id.loc.gov/authorities/names/no2008058186,,,,,,,"Physical Dimensions: 11.25""x16.5""",,,
omeka_5528,1968ColumbiaCrisis_mah_000,asset,Page 5,"Newspaper, Up Against the Wall, Vol III, no. 1, page 5",,http://www.columbia.edu/cgi-bin/cul/dev/dlo2?obj=1968_columbia_110044013,filename,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
omeka_5659,1968ColumbiaCrisis_maz,item,Notes on Office of President memo paper,"Notes, written by occupying students about President Kirk's activities in 1966 - two sets of notes mounted on a red background. ",,,,1968,,1968,,"University Archives, Columbia University",NNC-UA,marcorg,http://id.loc.gov/authorities/names/no2007136816,text,correspondence,aat,http://vocab.getty.edu/aat/300026877,reformatted digital ,"Box 10, Folder 1",Box 10,Folder 1,"University Protest and Activism Collection, 1958-1999 [Bulk Dates: 1968-1972]",Collection number: UA#007,Student Strike (Columbia University : 1968),fast,http://id.worldcat.org/fast/1922992,,,,Columbia University,naf,http://id.loc.gov/authorities/names/n81024714,,,,,,,"Physical Dimensions: 4.5"" x 6""",,,
omeka_5659,1968ColumbiaCrisis_maz_000,asset,Notes on Office of President memo paper,"Notes, written by occupying students about President Kirk's activities in 1966 - two sets of notes mounted on a red background. ",https://exhibitions.cul.columbia.edu/exhibits/show/1968/protests/office,http://www.columbia.edu/cgi-bin/cul/dev/dlo2?obj=1968_columbia_noteskirksoffice,filename,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
omeka_5625,1968ColumbiaCrisis_mbi,item,"""Fayerweather Liberated""","View of chalkboard and chair in Fayerweather Hall. ""Fayerweather Liberated"" is written on chalkboard.",,,,1968-04,,Apr-68,,Private Collection,,,,still image,photographs,aat,http://vocab.getty.edu/aat/300046300,reformatted digital ,,,,Private Collection,,Student Strike (Columbia University : 1968),fast,http://id.worldcat.org/fast/1922992,,,,Columbia University,naf,http://id.loc.gov/authorities/names/n81024714,,,,"Adler, Gerald S.",,,,"Gerald S. Adler, '80 GSAS",ownership,Permission to reproduce this image must be obtained from Gerald S. Adler. Please contact the University Archives for contact information.
omeka_5625,1968ColumbiaCrisis_mbi_000,asset,"""Fayerweather Liberated""","View of chalkboard and chair in Fayerweather Hall. ""Fayerweather Liberated"" is written on chalkboard.",https://exhibitions.cul.columbia.edu/exhibits/show/1968/protests/strike,http://www.columbia.edu/cgi-bin/cul/dev/dlo2?obj=1968_columbia_adler_480,filename,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
