omeka_identifier-1:omeka_identifier_value,_identifiers-1,_digital_object_type.string_key,title-1:title_sort_portion,abstract-1:abstract_value,object_in_context_url-1:object_in_context_url_value,note-1:note_value,note-1:note_type,date_created-1:date_created_start_value,date_created-1:date_created_end_value,date_created_textual-1:date_created_textual_value,date_created-1:date_created_type,location-1:location_term.value,location-1:location_term.code,location-1:location_term.authority,location-1:location_term.uri,type_of_resource-1:type_of_resource_value,form-1:form_term.value,form-1:form_term.authority,form-1:form_term.uri,digital_origin-1:digital_origin_value,location-1:location_shelf_location-1:location_shelf_location_free_text,location-1:location_shelf_location-1:location_shelf_location_box_number,location-1:location_shelf_location-1:location_shelf_location_folder_number,location-2:location_shelf_location-2:location_shelf_location_free_text,location-3:location_shelf_location-3:location_shelf_location_free_text,subject_topic-1:subject_topic_term.value,subject_topic-1:subject_topic_term.authority,subject_topic-1:subject_topic_term.uri,subject_topic-2:subject_topic_term.value,subject_topic-2:subject_topic_term.authority,subject_topic-2:subject_topic_term.uri,subject_name-1:subject_name_term.value,subject_name-1:subject_name_term.authority,subject_name-1:subject_name_term.uri,language-1:language_term.value,language-1:language_term.authority,language-1:language_term.uri,name-1:name_term.value,name-1:name_term.authority,name-1:name_term.uri,extent-1:extent_value,note-2:note_value,note-:note_type,use_and_reproduction-1:use_and_reproduction_value
omeka_5601,1968ColumbiaCrisis_fof_000,asset,"""Strikers Settle Into Music, Classes""","The Columbia Daily Spectator. 6 May 1968, page 4. Continuation of front page article.",,http://www.columbia.edu/cgi-bin/cul/dev/dlo2?obj=1968_columbia_110044086,filename,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
omeka_5649,1968ColumbiaCrisis_fou,item,View from Low Library,View from Low Memorial Library during the occupation.,,,,1968-05,,Apr-68,,Private Collection,,,,still image,photographs,aat,http://vocab.getty.edu/aat/300046300,reformatted digital ,,,,Private Collection,,Student Strike (Columbia University : 1968),fast,http://id.worldcat.org/fast/1922992,,,,Columbia University,naf,http://id.loc.gov/authorities/names/n81024714,,,,"Mulvehill, Larry",naf,http://id.loc.gov/authorities/names/no97023798,,Columbia College Today,ownership,Permission to reproduce this image must be obtained from Columbia College Today. Please contact the University Archives for contact information.
omeka_5649,1968ColumbiaCrisis_fou_000,asset,View from Low Library,View from Low Memorial Library during the occupation.,https://exhibitions.cul.columbia.edu/exhibits/show/1968/protests/outside,http://www.columbia.edu/cgi-bin/cul/dev/dlo2?obj=1968_columbia_cct_9,filename,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
omeka_5581,1968ColumbiaCrisis_fqp,item,Response letter from Kirk to Rudd and Freudenberg,"Letter on President's stationary, dated 2 April 1968 detailing the Institute for Defense Analysis",,,,1968-04-02,,2-Apr-68,,"University Archives, Columbia University",NNC-UA,marcorg,http://id.loc.gov/authorities/names/no2007136816,text,correspondence,aat,http://vocab.getty.edu/aat/300026877,reformatted digital ,"Box 15, Folder 37",Box 15,Folder 37,"University Protest and Activism Collection, 1958-1999 [Bulk Dates: 1968-1972]",Collection number: UA#007,Student Strike (Columbia University : 1968),fast,http://id.worldcat.org/fast/1922992,,,,Columbia University,naf,http://id.loc.gov/authorities/names/n81024714,English,iso639-2,http://id.loc.gov/vocabulary/iso639-2/eng,,,,"Physical Dimensions: 8.5"" x 11""",,,
omeka_5581,1968ColumbiaCrisis_fqp_001,asset,Page 1,"Letter on President's stationary, dated 2 April 1968 detailing the Institute for Defense Analysis",https://exhibitions.cul.columbia.edu/exhibits/show/1968/causes/ida,http://www.columbia.edu/cgi-bin/cul/dev/dlo2?obj=1968_columbia_110044066,filename,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
omeka_5581,1968ColumbiaCrisis_fqp_002,asset,Page 2,"Letter on President's stationary, dated 2 April 1968 detailing the Institute for Defense Analysis",https://exhibitions.cul.columbia.edu/exhibits/show/1968/causes/ida,Kirk Letter2.jpg,filename,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
omeka_5542,1968ColumbiaCrisis_gfp,item,Letter from Aaron Frishberg to Ed Boorstein,"Letter written to Aaron Frishberg from occupied office of President Kirk. Handwritten in red pen, two pages in length. Also includes the envelope showing postmark date and return to sender date.",,,,1968-04-27,,27-Apr-68,,"University Archives, Columbia University",NNC-UA,marcorg,http://id.loc.gov/authorities/names/no2007136816,text,correspondence,aat,http://vocab.getty.edu/aat/300026877,reformatted digital ,"Box 11, Folder 21",Box 11,Folder 21,"University Protest and Activism Collection, 1958-1999 [Bulk Dates: 1968-1972]",Collection number: UA#007,Student Strike (Columbia University : 1968),fast,http://id.worldcat.org/fast/1922992,,,,Columbia University,naf,http://id.loc.gov/authorities/names/n81024714,English,iso639-2,http://id.loc.gov/vocabulary/iso639-2/eng,,,,"Physical Dimensions: 8.5""x11""",,,
omeka_5542,1968ColumbiaCrisis_gfp_001,asset,Page 1,"Letter written to Aaron Frishberg from occupied office of President Kirk. Handwritten in red pen, two pages in length. Also includes the envelope showing postmark date and return to sender date.",https://exhibitions.cul.columbia.edu/exhibits/show/1968/protests/office,http://www.columbia.edu/cgi-bin/cul/dev/dlo2?obj=1968_columbia_110044027,filename,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
omeka_5542,1968ColumbiaCrisis_gfp_002,asset,Page 2,"Letter written to Aaron Frishberg from occupied office of President Kirk. Handwritten in red pen, two pages in length. Also includes the envelope showing postmark date and return to sender date.",https://exhibitions.cul.columbia.edu/exhibits/show/1968/protests/office,Boorstein2.jpg,filename,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
omeka_5542,1968ColumbiaCrisis_gfp_003,asset,Envelope,"Letter written to Aaron Frishberg from occupied office of President Kirk. Handwritten in red pen, two pages in length. Also includes the envelope showing postmark date and return to sender date.",https://exhibitions.cul.columbia.edu/exhibits/show/1968/protests/office,Boorstein3.jpg,filename,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
