identifier_omeka,identifier_title,title,partName,abstract,location_url_ObjectInContext,note_filename,keyDate_start,keyDate_end,dateCreated,dateQualifier,physicalLocation,physicalLocation_code,physicalLocation_authority,physicalLocation_authority_identifier,typeOfResource,form,form_authority,form_authority_identifier,digitalOrigin,languageOfCataloging,shelfLocator,sublocation_1,sublocation_2,subject_topic 1,subject_topic_1_authority,subject_topic_1_authority_identifier,subject_topic 2,subject_topic_2_authority,subject_topic_2_authority_identifier,subject_name,subject_name_authority,subject_name_authority_identifier,language,language_authority,language_authority_identifier,name_primary,name_primary_authority,name_primary_authority_identifier,relatedItem_Project,extent,note_ownership,accessCondition
omeka_5532,1968ColumbiaCrisis_prk_000,"""Defend the Right to Demonstrate""",,"Circular promoting the April 23, 1968 sundial rally. At the bottom of the page a handwritten message says, ""End IDA & University rascism/ Tuesday 12 noon Sundial""",https://exhibitions.cul.columbia.edu/exhibits/show/1968/protests/first,http://www.columbia.edu/cgi-bin/cul/dev/dlo2?obj=1968_columbia_110044017,1968-04,,Apr-68,,"University Archives, Columbia University",NNC-UA,marcorg,http://id.loc.gov/authorities/names/no2007136816,text,printed ephemera,aat,http://vocab.getty.edu/aat/300264821,reformatted digital ,eng,"Box 13, Folder 8","University Protest and Activism Collection, 1958-1999 [Bulk Dates: 1968-1972]",Collection number: UA#007,Demonstrations,fast,http://id.worldcat.org/fast/890222,,,,,,,,,,,,,1968: Columbia in Crisis ,"Physical Dimensions: 8.5""x11""",,
omeka_5531,1968ColumbiaCrisis_wir_000,Up Against the Wall,Page 8,"Newspaper, Up Against the Wall, Vol III, no. 1, page 8",,http://www.columbia.edu/cgi-bin/cul/dev/dlo2?obj=1968_columbia_110044016,1968-04-22,,22-Apr-68,,"University Archives, Columbia University",NNC-UA,marcorg,http://id.loc.gov/authorities/names/no2007136816,text,periodicals,aat,http://vocab.getty.edu/aat/300026657,reformatted digital ,eng,"Box 14, Folder 6","University Protest and Activism Collection, 1958-1999 [Bulk Dates: 1968-1972]",Collection number: UA#007,,,,,,,Columbia-Barnard SDS,naf,http://id.loc.gov/authorities/names/no2008058186,,,,,,,1968: Columbia in Crisis ,"Physical Dimensions: 11.25""x16.5""",,
omeka_5530,1968ColumbiaCrisis_pap_000,Up Against the Wall,Page 7,"Newspaper, Up Against the Wall, Vol III, no. 1, page 7",,http://www.columbia.edu/cgi-bin/cul/dev/dlo2?obj=1968_columbia_110044015,1968-04-22,,22-Apr-68,,"University Archives, Columbia University",NNC-UA,marcorg,http://id.loc.gov/authorities/names/no2007136816,text,periodicals,aat,http://vocab.getty.edu/aat/300026657,reformatted digital ,eng,"Box 14, Folder 6","University Protest and Activism Collection, 1958-1999 [Bulk Dates: 1968-1972]",Collection number: UA#007,,,,,,,Columbia-Barnard SDS,naf,http://id.loc.gov/authorities/names/no2008058186,,,,,,,1968: Columbia in Crisis ,"Physical Dimensions: 11.25""x16.5""",,
omeka_5529,1968ColumbiaCrisis_vqw_000,Up Against the Wall,Page 6,"Newspaper, Up Against the Wall, Vol III, no. 1, page 6",,http://www.columbia.edu/cgi-bin/cul/dev/dlo2?obj=1968_columbia_110044014,1968-04-22,,22-Apr-68,,"University Archives, Columbia University",NNC-UA,marcorg,http://id.loc.gov/authorities/names/no2007136816,text,periodicals,aat,http://vocab.getty.edu/aat/300026657,reformatted digital ,eng,"Box 14, Folder 6","University Protest and Activism Collection, 1958-1999 [Bulk Dates: 1968-1972]",Collection number: UA#007,,,,,,,Columbia-Barnard SDS,naf,http://id.loc.gov/authorities/names/no2008058186,,,,,,,1968: Columbia in Crisis ,"Physical Dimensions: 11.25""x16.5""",,
omeka_5528,1968ColumbiaCrisis_mah_000,Up Against the Wall,Page 5,"Newspaper, Up Against the Wall, Vol III, no. 1, page 5",,http://www.columbia.edu/cgi-bin/cul/dev/dlo2?obj=1968_columbia_110044013,1968-04-22,,22-Apr-68,,"University Archives, Columbia University",NNC-UA,marcorg,http://id.loc.gov/authorities/names/no2007136816,text,periodicals,aat,http://vocab.getty.edu/aat/300026657,reformatted digital ,eng,"Box 14, Folder 6","University Protest and Activism Collection, 1958-1999 [Bulk Dates: 1968-1972]",Collection number: UA#007,,,,,,,Columbia-Barnard SDS,naf,http://id.loc.gov/authorities/names/no2008058186,,,,,,,1968: Columbia in Crisis ,"Physical Dimensions: 11.25""x16.5""",,
omeka_5527,1968ColumbiaCrisis_hjg_000,Up Against the Wall,Page 4,"Newspaper, Up Against the Wall, Vol III, no. 1, page 4",,http://www.columbia.edu/cgi-bin/cul/dev/dlo2?obj=1968_columbia_110044012,1968-04-22,,22-Apr-68,,"University Archives, Columbia University",NNC-UA,marcorg,http://id.loc.gov/authorities/names/no2007136816,text,periodicals,aat,http://vocab.getty.edu/aat/300026657,reformatted digital ,eng,"Box 14, Folder 6","University Protest and Activism Collection, 1958-1999 [Bulk Dates: 1968-1972]",Collection number: UA#007,,,,,,,Columbia-Barnard SDS,naf,http://id.loc.gov/authorities/names/no2008058186,,,,,,,1968: Columbia in Crisis ,"Physical Dimensions: 11.25""x16.5""",,
omeka_5526,1968ColumbiaCrisis_yhf_000,Up Against the Wall,Page 3,"Newspaper, Up Against the Wall, Vol III, no. 1, page 3",,http://www.columbia.edu/cgi-bin/cul/dev/dlo2?obj=1968_columbia_110044011,1968-04-22,,22-Apr-68,,"University Archives, Columbia University",NNC-UA,marcorg,http://id.loc.gov/authorities/names/no2007136816,text,periodicals,aat,http://vocab.getty.edu/aat/300026657,reformatted digital ,eng,"Box 14, Folder 6","University Protest and Activism Collection, 1958-1999 [Bulk Dates: 1968-1972]",Collection number: UA#007,,,,,,,Columbia-Barnard SDS,naf,http://id.loc.gov/authorities/names/no2008058186,,,,,,,1968: Columbia in Crisis ,"Physical Dimensions: 11.25""x16.5""",,
omeka_5525,1968ColumbiaCrisis_hee_000,Up Against the Wall,Page 2,"Newspaper, Up Against the Wall, Vol III, no. 1, page 2",,http://www.columbia.edu/cgi-bin/cul/dev/dlo2?obj=1968_columbia_110044010,1968-04-22,,22-Apr-68,,"University Archives, Columbia University",NNC-UA,marcorg,http://id.loc.gov/authorities/names/no2007136816,text,periodicals,aat,http://vocab.getty.edu/aat/300026657,reformatted digital ,eng,"Box 14, Folder 6","University Protest and Activism Collection, 1958-1999 [Bulk Dates: 1968-1972]",Collection number: UA#007,,,,,,,Columbia-Barnard SDS,naf,http://id.loc.gov/authorities/names/no2008058186,,,,,,,1968: Columbia in Crisis ,"Physical Dimensions: 11.25""x16.5""",,
omeka_5524,1968ColumbiaCrisis_mgc_001,Up Against the Wall,Page 1,"Newspaper, Up Against the Wall, Vol III, no. 1 (8 pages)",https://exhibitions.cul.columbia.edu/exhibits/show/1968/causes/sds,http://www.columbia.edu/cgi-bin/cul/dev/dlo2?obj=1968_columbia_110044009,1968-04-22,,22-Apr-68,,"University Archives, Columbia University",NNC-UA,marcorg,http://id.loc.gov/authorities/names/no2007136816,text,periodicals,aat,http://vocab.getty.edu/aat/300026657,reformatted digital ,eng,"Box 14, Folder 6","University Protest and Activism Collection, 1958-1999 [Bulk Dates: 1968-1972]",Collection number: UA#007,,,,,,,Columbia-Barnard SDS,naf,http://id.loc.gov/authorities/names/no2008058186,eng,iso639-2,http://id.loc.gov/vocabulary/iso639-2/eng,,,,1968: Columbia in Crisis ,"Physical Dimensions: 11.25""x16.5""",,
omeka_5524,1968ColumbiaCrisis_mgc_002,Up Against the Wall,Page 2,"Newspaper, Up Against the Wall, Vol III, no. 1 (8 pages)",https://exhibitions.cul.columbia.edu/exhibits/show/1968/causes/sds,Wall2.jpg,1968-04-22,,22-Apr-68,,"University Archives, Columbia University",NNC-UA,marcorg,http://id.loc.gov/authorities/names/no2007136816,text,periodicals,aat,http://vocab.getty.edu/aat/300026657,reformatted digital ,eng,"Box 14, Folder 6","University Protest and Activism Collection, 1958-1999 [Bulk Dates: 1968-1972]",Collection number: UA#007,,,,,,,Columbia-Barnard SDS,naf,http://id.loc.gov/authorities/names/no2008058186,eng,iso639-2,http://id.loc.gov/vocabulary/iso639-2/eng,,,,1968: Columbia in Crisis ,"Physical Dimensions: 11.25""x16.5""",,
omeka_5524,1968ColumbiaCrisis_mgc_003,Up Against the Wall,Page 3,"Newspaper, Up Against the Wall, Vol III, no. 1 (8 pages)",https://exhibitions.cul.columbia.edu/exhibits/show/1968/causes/sds,Wall3.jpg,1968-04-22,,22-Apr-68,,"University Archives, Columbia University",NNC-UA,marcorg,http://id.loc.gov/authorities/names/no2007136816,text,periodicals,aat,http://vocab.getty.edu/aat/300026657,reformatted digital ,eng,"Box 14, Folder 6","University Protest and Activism Collection, 1958-1999 [Bulk Dates: 1968-1972]",Collection number: UA#007,,,,,,,Columbia-Barnard SDS,naf,http://id.loc.gov/authorities/names/no2008058186,eng,iso639-2,http://id.loc.gov/vocabulary/iso639-2/eng,,,,1968: Columbia in Crisis ,"Physical Dimensions: 11.25""x16.5""",,
omeka_5524,1968ColumbiaCrisis_mgc_004,Up Against the Wall,Page 4,"Newspaper, Up Against the Wall, Vol III, no. 1 (8 pages)",https://exhibitions.cul.columbia.edu/exhibits/show/1968/causes/sds,Wall4.jpg,1968-04-22,,22-Apr-68,,"University Archives, Columbia University",NNC-UA,marcorg,http://id.loc.gov/authorities/names/no2007136816,text,periodicals,aat,http://vocab.getty.edu/aat/300026657,reformatted digital ,eng,"Box 14, Folder 6","University Protest and Activism Collection, 1958-1999 [Bulk Dates: 1968-1972]",Collection number: UA#007,,,,,,,Columbia-Barnard SDS,naf,http://id.loc.gov/authorities/names/no2008058186,eng,iso639-2,http://id.loc.gov/vocabulary/iso639-2/eng,,,,1968: Columbia in Crisis ,"Physical Dimensions: 11.25""x16.5""",,
omeka_5524,1968ColumbiaCrisis_mgc_005,Up Against the Wall,Page 5,"Newspaper, Up Against the Wall, Vol III, no. 1 (8 pages)",https://exhibitions.cul.columbia.edu/exhibits/show/1968/causes/sds,Wall5.jpg,1968-04-22,,22-Apr-68,,"University Archives, Columbia University",NNC-UA,marcorg,http://id.loc.gov/authorities/names/no2007136816,text,periodicals,aat,http://vocab.getty.edu/aat/300026657,reformatted digital ,eng,"Box 14, Folder 6","University Protest and Activism Collection, 1958-1999 [Bulk Dates: 1968-1972]",Collection number: UA#007,,,,,,,Columbia-Barnard SDS,naf,http://id.loc.gov/authorities/names/no2008058186,eng,iso639-2,http://id.loc.gov/vocabulary/iso639-2/eng,,,,1968: Columbia in Crisis ,"Physical Dimensions: 11.25""x16.5""",,
omeka_5524,1968ColumbiaCrisis_mgc_006,Up Against the Wall,Page 6,"Newspaper, Up Against the Wall, Vol III, no. 1 (8 pages)",https://exhibitions.cul.columbia.edu/exhibits/show/1968/causes/sds,Wall6.jpg,1968-04-22,,22-Apr-68,,"University Archives, Columbia University",NNC-UA,marcorg,http://id.loc.gov/authorities/names/no2007136816,text,periodicals,aat,http://vocab.getty.edu/aat/300026657,reformatted digital ,eng,"Box 14, Folder 6","University Protest and Activism Collection, 1958-1999 [Bulk Dates: 1968-1972]",Collection number: UA#007,,,,,,,Columbia-Barnard SDS,naf,http://id.loc.gov/authorities/names/no2008058186,eng,iso639-2,http://id.loc.gov/vocabulary/iso639-2/eng,,,,1968: Columbia in Crisis ,"Physical Dimensions: 11.25""x16.5""",,
omeka_5524,1968ColumbiaCrisis_mgc_007,Up Against the Wall,Page 7,"Newspaper, Up Against the Wall, Vol III, no. 1 (8 pages)",https://exhibitions.cul.columbia.edu/exhibits/show/1968/causes/sds,Wall7.jpg,1968-04-22,,22-Apr-68,,"University Archives, Columbia University",NNC-UA,marcorg,http://id.loc.gov/authorities/names/no2007136816,text,periodicals,aat,http://vocab.getty.edu/aat/300026657,reformatted digital ,eng,"Box 14, Folder 6","University Protest and Activism Collection, 1958-1999 [Bulk Dates: 1968-1972]",Collection number: UA#007,,,,,,,Columbia-Barnard SDS,naf,http://id.loc.gov/authorities/names/no2008058186,eng,iso639-2,http://id.loc.gov/vocabulary/iso639-2/eng,,,,1968: Columbia in Crisis ,"Physical Dimensions: 11.25""x16.5""",,
omeka_5524,1968ColumbiaCrisis_mgc_008,Up Against the Wall,Page 8,"Newspaper, Up Against the Wall, Vol III, no. 1 (8 pages)",https://exhibitions.cul.columbia.edu/exhibits/show/1968/causes/sds,Wall8.jpg,1968-04-22,,22-Apr-68,,"University Archives, Columbia University",NNC-UA,marcorg,http://id.loc.gov/authorities/names/no2007136816,text,periodicals,aat,http://vocab.getty.edu/aat/300026657,reformatted digital ,eng,"Box 14, Folder 6","University Protest and Activism Collection, 1958-1999 [Bulk Dates: 1968-1972]",Collection number: UA#007,,,,,,,Columbia-Barnard SDS,naf,http://id.loc.gov/authorities/names/no2008058186,eng,iso639-2,http://id.loc.gov/vocabulary/iso639-2/eng,,,,1968: Columbia in Crisis ,"Physical Dimensions: 11.25""x16.5""",,
omeka_5523,1968ColumbiaCrisis_pwl_003,"""The King Memorial - Why We Disrupted""",Page 3,"Newspaper, Up Against the Wall, Vol. III, no. 1. Article: ""The King Memorial - Why We Disrupted""",https://exhibitions.cul.columbia.edu/exhibits/show/1968/causes/mlk,http://www.columbia.edu/cgi-bin/cul/dev/dlo2?obj=1968_columbia_110044008,1968-04-22,,22-Apr-68,,"University Archives, Columbia University",NNC-UA,marcorg,http://id.loc.gov/authorities/names/no2007136816,text,periodicals,aat,http://vocab.getty.edu/aat/300026657,reformatted digital ,eng,"Box 14, Folder 6","University Protest and Activism Collection, 1958-1999 [Bulk Dates: 1968-1972]",Collection number: UA#007,,,,,,,Columbia-Barnard SDS,naf,http://id.loc.gov/authorities/names/no2008058186,,,,,,,1968: Columbia in Crisis ,"Physical Dimensions: 11.25"" x 16.5""",,
omeka_5522,1968ColumbiaCrisis_wvo_000,Reply to Uncle Grayson,Page 2,"Newspaper, Up Against the Wall, Vol. III, no. 1. Continuation of ""Reply to Uncle Grayson"" letter",,http://www.columbia.edu/cgi-bin/cul/dev/dlo2?obj=1968_columbia_110044007,1968-04-22,,22-Apr-68,,"University Archives, Columbia University",NNC-UA,marcorg,http://id.loc.gov/authorities/names/no2007136816,text,periodicals,aat,http://vocab.getty.edu/aat/300026657,reformatted digital ,eng,"Box 14, Folder 6","University Protest and Activism Collection, 1958-1999 [Bulk Dates: 1968-1972]",Collection number: UA#007,,,,,,,Columbia-Barnard SDS,naf,http://id.loc.gov/authorities/names/no2008058186,,,,,,,1968: Columbia in Crisis ,"Physical Dimensions: 11.25"" x 16.5""",,
omeka_5521,1968ColumbiaCrisis_aui_001,Reply to Uncle Grayson,Page 1,"Newspaper, Up Against the Wall, Vol. III, no. 1. ""Reply to Uncle Grayson""",https://exhibitions.cul.columbia.edu/exhibits/show/1968/causes/sds,http://www.columbia.edu/cgi-bin/cul/dev/dlo2?obj=1968_columbia_110044006,1968-04-22,,22-Apr-68,,"University Archives, Columbia University",NNC-UA,marcorg,http://id.loc.gov/authorities/names/no2007136816,text,periodicals,aat,http://vocab.getty.edu/aat/300026657,reformatted digital ,eng,"Box 14, Folder 6","University Protest and Activism Collection, 1958-1999 [Bulk Dates: 1968-1972]",Collection number: UA#007,,,,,,,Columbia-Barnard SDS,naf,http://id.loc.gov/authorities/names/no2008058186,eng,iso639-2,http://id.loc.gov/vocabulary/iso639-2/eng,,,,1968: Columbia in Crisis ,"Physical Dimensions: 11.25""x16.5""",,
omeka_5521,1968ColumbiaCrisis_aui_002,Reply to Uncle Grayson,Page 2,"Newspaper, Up Against the Wall, Vol. III, no. 1. ""Reply to Uncle Grayson""",https://exhibitions.cul.columbia.edu/exhibits/show/1968/causes/sds,UncleGrayson2.jpg,1968-04-22,,22-Apr-68,,"University Archives, Columbia University",NNC-UA,marcorg,http://id.loc.gov/authorities/names/no2007136816,text,periodicals,aat,http://vocab.getty.edu/aat/300026657,reformatted digital ,eng,"Box 14, Folder 6","University Protest and Activism Collection, 1958-1999 [Bulk Dates: 1968-1972]",Collection number: UA#007,,,,,,,Columbia-Barnard SDS,naf,http://id.loc.gov/authorities/names/no2008058186,eng,iso639-2,http://id.loc.gov/vocabulary/iso639-2/eng,,,,1968: Columbia in Crisis ,"Physical Dimensions: 11.25""x16.5""",,
omeka_5520,1968ColumbiaCrisis_ybq_000,New Columbia Gymnasium brosure,,"Fold-out, cross section showing relationship of major facilities of proposed new gym and geographic location in the neighborhood. ",https://exhibitions.cul.columbia.edu/exhibits/show/1968/causes/gym,http://www.columbia.edu/cgi-bin/cul/dev/dlo2?obj=1968_columbia_110044005,1967,,1967,,"University Archives, Columbia University",NNC-UA,marcorg,http://id.loc.gov/authorities/names/no2007136816,text,printed ephemera,aat,http://vocab.getty.edu/aat/300264821,reformatted digital ,eng,"Box 8, Folder 11"," Buildings and Grounds Collection, 1755- [Bulk Dates: 1880-2000]",Collection number: UA#007,Buildings--Designs and plans,fast,http://id.worldcat.org/fast/841000,,,,Columbia University,naf,http://id.loc.gov/authorities/names/n81024714,,,,,,,1968: Columbia in Crisis ,"Physical Dimensions: 10""x9.25""",,
omeka_5519,1968ColumbiaCrisis_muu_000,"""Stop Columbia's Gym Crow"" circular",,"Type written circular protesting Columbia's plans to build a gymnasium in Morningside Park.  Begins with: ""The big steal is on.""",https://exhibitions.cul.columbia.edu/exhibits/show/1968/causes/sas,http://www.columbia.edu/cgi-bin/cul/dev/dlo2?obj=1968_columbia_110044004,1968,,1968,,"University Archives, Columbia University",NNC-UA,marcorg,http://id.loc.gov/authorities/names/no2007136816,text,printed ephemera,aat,http://vocab.getty.edu/aat/300264821,reformatted digital ,eng,"Box 10, Folder 3","University Protest and Activism Collection, 1958-1999 [Bulk Dates: 1968-1972]",Collection number: UA#125,Demonstrations,fast,http://id.worldcat.org/fast/890222,,,,,,,,,,,,,1968: Columbia in Crisis ,"Physical Dimensions: 8.5""x11""",,
omeka_5518,1968ColumbiaCrisis_fgz_000,Letter from Associate Dean Platt to student Ted Gold ,,"Correspondence, concerning the 26 March 1968 Low Library demonstration",https://exhibitions.cul.columbia.edu/exhibits/show/1968/causes/recruiting,http://www.columbia.edu/cgi-bin/cul/dev/dlo2?obj=1968_columbia_110044003,1968-04-05,,5-Apr-68,,"University Archives, Columbia University",NNC-UA,marcorg,http://id.loc.gov/authorities/names/no2007136816,text,correspondence,aat,http://vocab.getty.edu/aat/300026877,reformatted digital ,eng,"Box 15, Folder 37","University Protest and Activism Collection, 1958-1999 [Bulk Dates: 1968-1972]",Collection number: UA#007,Demonstrations,fast,http://id.worldcat.org/fast/890222,,,,,,,,,,,,,1968: Columbia in Crisis ,"Physical Dimensions: 8.5""x11""",,
omeka_5517,1968ColumbiaCrisis_gxn_000,"""Live Music ROTC"" back side of circular",,"Blue circular, type written reasons why ""ROTC Must Go""",,http://www.columbia.edu/cgi-bin/cul/dev/dlo2?obj=1968_columbia_110044002,1967,,1967,inferred,"University Archives, Columbia University",NNC-UA,marcorg,http://id.loc.gov/authorities/names/no2007136816,text,printed ephemera,aat,http://vocab.getty.edu/aat/300264821,reformatted digital ,eng,"Box 9, Folder 55","University Protest and Activism Collection, 1958-1999 [Bulk Dates: 1968-1972]",Collection number: UA#007,Demonstrations,fast,http://id.worldcat.org/fast/890222,,,,,,,,,,,,,1968: Columbia in Crisis ,"Physical Dimensions: 8.5"" x11""",,
omeka_5516,1968ColumbiaCrisis_psp_001,"""Live Music ROTC"" circular",Page 1,"Blue circular, hand written advertising campaign to remove ROTC from college campuses (2 pages)",https://exhibitions.cul.columbia.edu/exhibits/show/1968/causes/recruiting,http://www.columbia.edu/cgi-bin/cul/dev/dlo2?obj=1968_columbia_110044001,1967,,1967,inferred,"University Archives, Columbia University",NNC-UA,marcorg,http://id.loc.gov/authorities/names/no2007136816,text,printed ephemera,aat,http://vocab.getty.edu/aat/300264821,reformatted digital ,eng,"Box 9, Folder 55","University Protest and Activism Collection, 1958-1999 [Bulk Dates: 1968-1972]",Collection number: UA#007,Demonstrations,fast,http://id.worldcat.org/fast/890222,,,,,,,eng,iso639-2,http://id.loc.gov/vocabulary/iso639-2/eng,,,,1968: Columbia in Crisis ,"Physical Dimensions: 8.5"" x11""",,
omeka_5516,1968ColumbiaCrisis_psp_002,"""Live Music ROTC"" circular",Page 2,"Blue circular, hand written advertising campaign to remove ROTC from college campuses (2 pages)",https://exhibitions.cul.columbia.edu/exhibits/show/1968/causes/recruiting,ROTC2.jpg,1967,,1967,inferred,"University Archives, Columbia University",NNC-UA,marcorg,http://id.loc.gov/authorities/names/no2007136816,text,printed ephemera,aat,http://vocab.getty.edu/aat/300264821,reformatted digital ,eng,"Box 9, Folder 55","University Protest and Activism Collection, 1958-1999 [Bulk Dates: 1968-1972]",Collection number: UA#007,Demonstrations,fast,http://id.worldcat.org/fast/890222,,,,,,,eng,iso639-2,http://id.loc.gov/vocabulary/iso639-2/eng,,,,1968: Columbia in Crisis ,"Physical Dimensions: 8.5"" x11""",,
