_pid,partName,projectURL,_identifiers-1,note-2:note_type,note-2:note_value,_project.string_key,relatedItem_project,title-1:title_sort_portion,_digital_object_type.string_key,title-1:title_non_sort_portion,_parent_digital_objects-1.identifier,omeka_identifier-1:omeka_identifier_value,date_created_textual-1:date_created_textual_value,note-3:note_type,form-2:form_term.uri,form-2:form_term.value,location-1:location_term.uri,location-1:location_term.code,location-1:location_term.value,date_created-1:date_created_type,location-1:location_term.authority,date_created-1:date_created_end_value,date_created-1:date_created_start_value,type_of_resource-1:type_of_resource_value,object_in_context_url-1:object_in_context_url_value,language-1:language_term.uri,language-1:language_term.value,language-1:language_term.authority,digital_origin-1:digital_origin_value,name-1:name_term.uri,name-1:name_term.value,name-1:name_term.authority,name-1:name_term.name_type,name-1:name_role-1.name_role_term.uri,name-1:name_role-1.name_role_term.value,name-1:name_role-1.name_role_term.authority,abstract-1:abstract_value,subject_geographic-1:subject_geographic_term.uri,subject_geographic-1:subject_geographic_term.authority,place_of_origin-1:place_of_origin_value,date_created_textual-2:date_created_textual_value,publisher-1:publisher_value,collection-1:collection_term.uri,collection-1:collection_term.value,place_of_origin-2:place_of_origin_value,subject_name-1:subject_name_term.uri,subject_title-1:subject_title_term.uri,subject_topic-1:subject_topic_term.uri,subject_name-1:subject_name_term.value,subject_topic-1:subject_topic_term.value,subject_title-1:subject_title_term.value,subject_name-1:subject_name_term.name_type,subject_name-1:subject_name_term.authority,subject_topic-1:subject_topic_term.authority,subject_title-1:subject_title_term.authority,subject_hierarchical_geographic-1:subject_hierarchical_geographic_city_text_value,subject_hierarchical_geographic-1:subject_hierarchical_geographic_state_text_value,subject_hierarchical_geographic-1:subject_hierarchical_geographic_county_text_value,subject_hierarchical_geographic-1:subject_hierarchical_geographic_borough_text_value,subject_hierarchical_geographic-1:subject_hierarchical_geographic_province_text_value,subject_hierarchical_geographic-1:subject_hierarchical_geographic_street-1.subject_hierarchical_geographic_street_value,note-1:note_type,note-1:note_value,note-6:note_type,note-6:note_value,note-5:note_type,note-5:note_value,clio_identifier-1:clio_identifier_value,location-1:location_shelf_location-1.location_shelf_location_free_text,location-1:location_shelf_location-1.location_shelf_location_box_number,location-1:location_shelf_location-1.location_shelf_location_folder_number,note-7:note_type,note-3:note_value,note-7:note_value
 , , , ,filename,090069018.jpg, ,"""Naked Lunch"": the First Fifty Years","Autograph letter signed, William S. Burroughs to Jack Kerouac", , , ,1036,"March 10, 1950",original_format, ,correspondence, , ,"Rare Book and Manuscript Library, Columbia University",exact,local, , ,Still Image,https://exhibitions.library.columbia.edu/exhibits/show/nakedlunch/junky/nljunkiecorresp, ,English,iso639-2,reformatted digital, ,"Burroughs, William S., 1914-1997|Kerouac, Jack, 1922-1969", , , , , ,,,,,,, ,Jack Kerouac Papers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 , , , ,filename,090069017.jpg, ,"""Naked Lunch"": the First Fifty Years","Typed letter signed, William S. Burroughs to Allen Ginsberg, unnumbered first page", , , ,1035,January 1 [1951],original_format, ,correspondence, , ,"Rare Book and Manuscript Library, Columbia University",exact,local, , ,Still Image,https://exhibitions.library.columbia.edu/exhibits/show/nakedlunch/junky/nljunkiecorresp, ,English,iso639-2,reformatted digital, ,"Burroughs, William S., 1914-1997|Ginsberg, Allen, 1926-1997", , , , , ,,,,,,, ,Allen Ginsberg papers,"Mexico, D. F.",,,,,,,,,,,,,,,,, ,Letter is mistakenly dated “1950”,,,,,,,,,,,
 , , , ,filename,090069015.jpg|090069016.jpg, ,"""Naked Lunch"": the First Fifty Years","Autograph letter signed, William S. Burroughs to Allen Ginsberg", , , ,1034,"March 1, 1953",original_format, ,correspondence, , ,"Rare Book and Manuscript Library, Columbia University",exact,local, , ,Still Image,https://exhibitions.library.columbia.edu/exhibits/show/nakedlunch/junky/nljunkiecorresp, ,English,iso639-2,reformatted digital, ,"Burroughs, William S., 1914-1997|Ginsberg, Allen, 1926-1997", , , , , ,,,,,,, ,Allen Ginsberg papers,Colombia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 , , , ,filename,090069014.jpg, ,"""Naked Lunch"": the First Fifty Years","Typed letter signed, William S. Burroughs to Allen Ginsberg, and Envelope, back", , , ,1033,"July 30, 1953",original_format, ,correspondence, , ,"Rare Book and Manuscript Library, Columbia University",inferred,local, , ,Still Image,https://exhibitions.library.columbia.edu/exhibits/show/nakedlunch/junky/nljunkiecorresp, ,English,iso639-2,reformatted digital, ,"Burroughs, William S., 1914-1997|Ginsberg, Allen, 1926-1997|Kerouac, Jack, 1922-1969", , , , , ,Envelope back has handwritten note from Allen [Ginsberg] to Jack [Kerouac].,,,,,, ,Allen Ginsberg papers,New York,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 , , , ,filename,090069013.jpg, ,"""Naked Lunch"": the First Fifty Years","Autograph letter signed, Jack Kerouac to Lucien Carr", , , ,1032,"February 28, 1957",original_format, ,correspondence, , ,"Rare Book and Manuscript Library, Columbia University",exact,local, , ,Still Image,https://exhibitions.library.columbia.edu/exhibits/show/nakedlunch/nlmanuscript/nlmss2, ,English,iso639-2,reformatted digital, ,"Kerouac, Jack, 1922-1969|Carr, Lucien", , , , , ,,,,,,, ,Lucien Carr Papers,Tangiers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 , , , ,filename,090069012.jpg, ,"""Naked Lunch"": the First Fifty Years","Word, page 1", , , ,1031,Between 1934 and 1997,original_format, ,manuscripts, , ,"Rare Book and Manuscript Library, Columbia University",inferred,local, , ,Still Image,https://exhibitions.library.columbia.edu/exhibits/show/nakedlunch/nlmanuscript/nlmss, ,English,iso639-2,reformatted digital, ,"Burroughs, William S., 1914-1997", , , , , ,Part of the final section of the 'Interzone' Manuscript,,,,,, ,Allen Ginsberg papers,,,,,,,,,,,,,,,,,, ,Dates inferred from William S. Burroughs' life dates.,,,,,,,,,,,
 , , , ,filename,090069011.jpg, ,"""Naked Lunch"": the First Fifty Years","Index pages, Interzone Manuscript, unnumbered page", , , ,1030,[1959-60],original_format, ,manuscripts, , ,"Rare Book and Manuscript Library, Columbia University",inferred,local, , ,Still Image,https://exhibitions.library.columbia.edu/exhibits/show/nakedlunch/nlmanuscript/nlmss2, ,English,iso639-2,reformatted digital, ,"Ginsberg, Allen, 1926-1997", , , , , ,,,,,,, ,Allen Ginsberg papers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 , , , ,filename,090069010.jpg, ,"""Naked Lunch"": the First Fifty Years",Interzone [Manuscript] Index, , , ,1029,[1959-60],original_format, ,manuscripts, , ,"Rare Book and Manuscript Library, Columbia University",inferred,local, , ,Still Image,https://exhibitions.library.columbia.edu/exhibits/show/nakedlunch/nlmanuscript/nlmss2, ,English,iso639-2,reformatted digital, ,"Ginsberg, Allen, 1926-1997", , , , , ,"Written on item: ""Property of Allen Ginsberg""",,,,,, ,Allen Ginsberg papers,New York City,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 , , , ,filename,090069009.jpg, ,"""Naked Lunch"": the First Fifty Years","Typed letter signed, William S. Burroughs to Lawrence Ferlinghetti", , , ,1028,"April 18, 1958",original_format, ,correspondence, , ,"Rare Book and Manuscript Library, Columbia University",exact,local, , ,Still Image,https://exhibitions.library.columbia.edu/exhibits/show/nakedlunch/nlmanuscript/nlmss2, ,English,iso639-2,reformatted digital, ,"Burroughs, William S., 1914-1997|Ferlinghetti, Lawrence", , , , , ,,,,,,, ,Allen Ginsberg papers,"Paris, France",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 , , , ,filename,090069008.jpg, ,"""Naked Lunch"": the First Fifty Years","Excerpts from Naked Lunch: ""The Algebra of Need"", unnumbered page 1, ""The Black Meat"", part of page 1, ""Coke Bugs"", part of page 1, and ""The Exterminator does a Good Job"", part of page 1", , , ,1027,[1959-60],original_format, ,manuscripts, , ,"Rare Book and Manuscript Library, Columbia University",inferred,local, , ,Still Image,https://exhibitions.library.columbia.edu/exhibits/show/nakedlunch/nlmanuscript/nlmss, ,English,iso639-2,reformatted digital, ,"Burroughs, William S., 1914-1997", , , , , ,,,,,,, ,Allen Ginsberg papers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 , , , ,filename,090069007.jpg, ,"""Naked Lunch"": the First Fifty Years","Typed letter signed, Allen Ginsberg to Lucien Carr", , , ,1026,"May 30, 1958",original_format, ,correspondence, , ,"Rare Book and Manuscript Library, Columbia University",exact,local, , ,Still Image,https://exhibitions.library.columbia.edu/exhibits/show/nakedlunch/nlperiodicals/nlperiodicals, ,English,iso639-2,reformatted digital, ,"Ginsberg, Allen, 1926-1997|Carr, Lucien", , , , , ,,,,,,, ,Lucien Carr Papers,"Paris, France",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 , , , ,filename,090069005.jpg, ,"""Naked Lunch"": the First Fifty Years","Typed letter signed, Jack Kerouac to William S. Burroughs, front", , , ,1025,[February] 1958,original_format, ,correspondence, , ,"Rare Book and Manuscript Library, Columbia University",exact,local, , ,Still Image,https://exhibitions.library.columbia.edu/exhibits/show/nakedlunch/nlmanuscript/nlmss2, ,English,iso639-2,reformatted digital, ,"Kerouac, Jack, 1922-1969|Burroughs, William S., 1914-1997", , , , , ,,,,,,, ,Jack Kerouac Papers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 , , , ,filename,090069004.jpg, ,"""Naked Lunch"": the First Fifty Years",Daydreams in my Room, , , ,1024,[1958?],original_format, ,manuscripts, , ,"Rare Book and Manuscript Library, Columbia University",inferred,local, , ,Still Image,https://exhibitions.library.columbia.edu/exhibits/show/nakedlunch/nlmanuscript/nlmss2, ,English,iso639-2,reformatted digital, ,"Burroughs, William S., 1914-1997", , , , , ,"Verso of Typed letter signed, Jack Kerouac to William S. Burroughs",,,,,, ,Jack Kerouac Papers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 , , , ,filename,090069002.jpg, ,"""Naked Lunch"": the First Fifty Years","Benway, page 1", , , ,1023,Between 1934 and 1997,original_format, ,manuscripts, , ,"Rare Book and Manuscript Library, Columbia University",inferred,local, , ,Still Image,https://exhibitions.library.columbia.edu/exhibits/show/nakedlunch/nlperiodicals/nlperiodicals, ,English,iso639-2,reformatted digital, ,"Burroughs, William S., 1914-1997", , , , , ,Part of the Interzone manuscript,,,,,, ,Allen Ginsberg papers,,,,,,,,,,,,,,,,,, ,Dates inferred from William S. Burroughs' life dates.,,,,,,,,,,,
 , , , ,filename,090069001.jpg, ,"""Naked Lunch"": the First Fifty Years","Typed letter signed, Allen Ginsberg to Lucien Carr", , , ,1022,"April 4, 1957",original_format, ,correspondence, , ,"Rare Book and Manuscript Library, Columbia University",exact,local, , ,Still Image,https://exhibitions.library.columbia.edu/exhibits/show/nakedlunch/nlmanuscript/nlmss2, ,English,iso639-2,reformatted digital, ,"Ginsberg, Allen, 1926-1997|Carr, Lucien", , , , , ,,,,,,, ,Lucien Carr Papers,"Tangiers, Morrocco",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
