_pid,partName,projectURL,_identifiers-1,note-2:note_type,note-2:note_value,_project.string_key,relatedItem_project,title-1:title_sort_portion,_digital_object_type.string_key,title-1:title_non_sort_portion,_parent_digital_objects-1.identifier,omeka_identifier-1:omeka_identifier_value,date_created_textual-1:date_created_textual_value,note-3:note_type,form-2:form_term.uri,form-2:form_term.value,location-1:location_term.uri,location-1:location_term.code,location-1:location_term.value,date_created-1:date_created_type,location-1:location_term.authority,date_created-1:date_created_end_value,date_created-1:date_created_start_value,type_of_resource-1:type_of_resource_value,object_in_context_url-1:object_in_context_url_value,language-1:language_term.uri,language-1:language_term.value,language-1:language_term.authority,digital_origin-1:digital_origin_value,name-1:name_term.uri,name-1:name_term.value,name-1:name_term.authority,name-1:name_term.name_type,name-1:name_role-1.name_role_term.uri,name-1:name_role-1.name_role_term.value,name-1:name_role-1.name_role_term.authority,abstract-1:abstract_value,subject_geographic-1:subject_geographic_term.uri,subject_geographic-1:subject_geographic_term.authority,place_of_origin-1:place_of_origin_value,date_created_textual-2:date_created_textual_value,publisher-1:publisher_value,collection-1:collection_term.uri,collection-1:collection_term.value,place_of_origin-2:place_of_origin_value,subject_name-1:subject_name_term.uri,subject_title-1:subject_title_term.uri,subject_topic-1:subject_topic_term.uri,subject_name-1:subject_name_term.value,subject_topic-1:subject_topic_term.value,subject_title-1:subject_title_term.value,subject_name-1:subject_name_term.name_type,subject_name-1:subject_name_term.authority,subject_topic-1:subject_topic_term.authority,subject_title-1:subject_title_term.authority,subject_hierarchical_geographic-1:subject_hierarchical_geographic_city_text_value,subject_hierarchical_geographic-1:subject_hierarchical_geographic_state_text_value,subject_hierarchical_geographic-1:subject_hierarchical_geographic_county_text_value,subject_hierarchical_geographic-1:subject_hierarchical_geographic_borough_text_value,subject_hierarchical_geographic-1:subject_hierarchical_geographic_province_text_value,subject_hierarchical_geographic-1:subject_hierarchical_geographic_street-1.subject_hierarchical_geographic_street_value,note-1:note_type,note-1:note_value,note-6:note_type,note-6:note_value,note-5:note_type,note-5:note_value,clio_identifier-1:clio_identifier_value,location-1:location_shelf_location-1.location_shelf_location_free_text,location-1:location_shelf_location-1.location_shelf_location_box_number,location-1:location_shelf_location-1.location_shelf_location_folder_number,note-7:note_type,note-3:note_value,note-7:note_value
 , , , ,filename,090069039.jpg, ,"""Naked Lunch"": the First Fifty Years","Chicago Review, Spring 1958, front cover", , , ,1057,Spring 1958,original_format, ,periodicals, , ,"Rare Book and Manuscript Library, Columbia University",exact,local, , ,Still Image,https://exhibitions.library.columbia.edu/exhibits/show/nakedlunch/nlperiodicals/nlperiodicals, ,English,iso639-2,reformatted digital, ,"Hamburger, Michael|Vigneron, Robert", , , , , ,Issue title: Ten San Francisco Poets, , ,Chicago,1958-03 1958-05,,,,, , , , ,"Burroughs, William S., 1914-1997|Doyle, Kirby|Duncan, Robert, 1919-1988|Ferlinghetti, Lawrence|Ginsberg, Allen, 1926-1997|Kerouac, Jack, 1922-1969|Lamantia, Philip, 1927-2005|McClure, Michael|Whalen, Philip|Wieners, John, 1934-2002", , , , , , , , , , , ,,,,,,,,,,,original,,Chicago Review
 , , , ,filename,090069038.jpg, ,"""Naked Lunch"": the First Fifty Years","Traveller's Companion: no. 76, Naked Lunch, front cover", , , ,1056,[1959],original_format, ,books, , ,"Rare Book and Manuscript Library, Columbia University",inferred,local, , ,Still Image,https://exhibitions.library.columbia.edu/exhibits/show/nakedlunch/nlbook/nlbooks1, ,English,iso639-2,reformatted digital, ,"Burroughs, William S., 1914-1997", , , , , ,,,,Paris,1959,Olympia Press,,,,,,,,,,,,,,,,,,,,,,related_item,"Burroughs, William S., 1914-1997. Naked lunch",,,,,,,,,
 , , , ,filename,090069037.jpg, ,"""Naked Lunch"": the First Fifty Years","Traveller's Companion: no. 76, Naked Lunch, dust jacket front cover", , , ,1055,[1959],original_format, ,books, , ,"Rare Book and Manuscript Library, Columbia University",inferred,local, , ,Still Image,https://exhibitions.library.columbia.edu/exhibits/show/nakedlunch/nlbook/nlbooks1, ,English,iso639-2,reformatted digital, ,"Burroughs, William S., 1914-1997", , , , , ,, , ,Paris,1959,Olympia Press,,,,,,,,,,,,,,,,,,,,,,related_item,"Burroughs, William S., 1914-1997. Naked lunch",,,,,,,,,
 , , , ,filename,090069036.jpg, ,"""Naked Lunch"": the First Fifty Years","Narcotic Agent, front cover", , , ,1054,1953,original_format, ,books, , ,"Rare Book and Manuscript Library, Columbia University",inferred,local, , ,Still Image,https://exhibitions.library.columbia.edu/exhibits/show/nakedlunch/junky/junkie, ,English,iso639-2,reformatted digital, ,"Helbrant, Maurice", , , , , ,Cover of book bound dos-à-dos with Junkie by William Lee (pseudonym for William S. Burroughs)., , ,New York,1953,Ace Books,,,,,,,,,,,,,,,,,,,,,,related_item,Junkie: Confessions of an Unredeemed Drug Addict / William Lee,,,,,,,,,
 , , , ,filename,090069035.jpg, ,"""Naked Lunch"": the First Fifty Years","Junkie: Confessions of an Unredeemed Drug Addict, front cover", , , ,1053,1953,original_format, ,books, , ,"Rare Book and Manuscript Library, Columbia University",inferred,local, , ,Still Image,https://exhibitions.library.columbia.edu/exhibits/show/nakedlunch/junky/junkie, ,English,iso639-2,reformatted digital, ,"Burroughs, William S., 1914-1997", , , , , ,Cover of book bound dos-à-dos with Narcotic Agent by Maurice Helbrant (pseudonym for William S. Burroughs)., , ,New York,1953,Ace Books,,,,,,,,,,,,,,,,,,,,,,related_item,Narcotic Agent / Maurice Helbrant,,,,,,,,,
 , , , ,filename,090069034.jpg, ,"""Naked Lunch"": the First Fifty Years","Chicago Review: Autumn 1958, front cover", , , ,1052,Autumn 1958,original_format, ,periodicals, , ,"Rare Book and Manuscript Library, Columbia University",exact,local, , ,Still Image,https://exhibitions.library.columbia.edu/exhibits/show/nakedlunch/nlperiodicals/nlperiodicals, ,English,iso639-2,reformatted digital,,,,,,,,"Autumn 1958 issue, focusing on Naked Lunch / William S. Burroughs", , ,Chicago,1958-09 1958-11,,,,, , , , ," Burroughs, William S., 1914-1997. Naked lunch", , , , , , , , , , , ,,,related_item,"Burroughs, William S., 1914-1997. Naked lunch",,,,,,,,,
 , , , ,filename,090069033.jpg, ,"""Naked Lunch"": the First Fifty Years","Naked Lunch, front cover", , , ,1051,"[1962, c1959]",original_format, ,books, , ,"Rare Book and Manuscript Library, Columbia University",inferred,local, , ,Still Image,https://exhibitions.library.columbia.edu/exhibits/show/nakedlunch/nlbook/nlbooks1, ,English,iso639-2,reformatted digital, ,"Burroughs, William S., 1914-1997", , , , , ,, , ,New York,1962,Grove Press,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 , , , ,filename,090069032.jpg, ,"""Naked Lunch"": the First Fifty Years","Big Table: 1, front cover", , , ,1050,Spring 1959,original_format, ,periodicals, , ,"Rare Book and Manuscript Library, Columbia University",inferred,local, , ,Still Image,https://exhibitions.library.columbia.edu/exhibits/show/nakedlunch/nlperiodicals/nlperiodicals, ,English,iso639-2,reformatted digital,,,,,,,,Issue 1 (Spring 1959) of Big Table, , ,Chicago,1959-03 1959-05,,,,, , , , ,"Kerouac, Jack, 1922-1969|Dahlberg, Edward, 1900-1977|Burroughs, William S., 1914-1997|Corso, Gregory", , , , , , , , , , , ,,,related_item,"Burroughs, William S., 1914-1997. Naked lunch",,,,,,,,,
 , , , ,filename,090069031.jpg, ,"""Naked Lunch"": the First Fifty Years","Doctor Benway : a passage from the Naked Lunch, front cover", , , ,1049,1979,original_format, ,books, , ,"Rare Book and Manuscript Library, Columbia University",inferred,local, , ,Still Image,https://exhibitions.library.columbia.edu/exhibits/show/nakedlunch/nlperiodicals/nlperiodicals, ,English,iso639-2,reformatted digital, ,"Burroughs, William S., 1914-1997", , , , , ,, , ,Santa Barbara,1979,B. Morrow,,,,,,,,,,,,,,,,,,,,,,related_item,"Burroughs, William S., 1914-1997. Naked lunch",,,,,,,,,
 , , , ,filename,090069030.jpg, ,"""Naked Lunch"": the First Fifty Years","William Burroughs : Naked Lunch, font and back covers", , , ,1048,"Nov. 20, 1962",original_format, ,printed ephemera, , ,"Rare Book and Manuscript Library, Columbia University",exact,local, , ,Still Image,https://exhibitions.library.columbia.edu/exhibits/show/nakedlunch/nlbook/nlbooks1, ,English,iso639-2,reformatted digital,,,,,,,,Naked Lunch promotional prospectus|Front cover includes black and white image of William S. Burroughs; back cover has comments on Naked Lunch by various authors, , ,New York,1962-11-20,Grove Press,,,, , , , ,"Burroughs, William S., 1914-1997", , , , , , , , , , , ,,,related_item,"Burroughs, William S., 1914-1997. Naked lunch",,,,,,,,,
