identifier_omeka,identifier_clio,location_url_physicalObject,item - public,item - featured,language,shelfLocator,digitalOrigin,form,form_authority,form 2,form_authority 2,form 3,form_authority 3,form_originalFormat,extent,physicalNote,note 1,note 2,note_ownership,relatedItem_collection,sublocation,physicalLocation,physicalLocation_authority,keyDate-start,keyDate-end,dateQualifier,subject_name,subject_name_authority,subject_name_authority_identifier,subject_name 2,subject_name_authority 2,subject_name_authority_identifier 2,subject_name 3,subject_name_authority 3,subject_name_authority_identifier 3,subject_topic,subject_topic_authority,subject_topic_authority_identifier,subject_topic 2,subject_topic_authority 2,subject_topic_authority_identifier 2,subject_geographic 1,subject_geographic_authority 1,subject_geographic_authority_identifier 1,subject_geographic 2,subject_geographic_authority 2,subject_geographic_authority_identifier 2,subject_geographic_hierarchical_street,subject_geographic_hierarchical_borough,subject_geographic_hierarchical_city,subject_geographic_hierarchical_state,subject_geographic_hierarchical_province,subject_geographic_hierarchical_country,subject_temporal,title_nonSort,title,title2,title2_type,identifier_title,partName,name_primary,name_primary_type,name_primary_authority,name_primary_authority_identifier,name_primary_role_code,name_primary_role_text,name,name_type,name_authority,name_authority_uri,role_code,role_text,dateCreated,publisher,place,place_authority,place_authority_identifier,abstract 1,abstract 2,note_filename 1,note_filename 2,typeOfResource,accessCondition,languageOfCataloging,location_url_ObjectInContext,relatedItem_Project,projectURL
8784,,,1,0,,,reformatted digital,printed ephemera,,bill or receipt,,,,,,,,,,John H. Yardley Collection of Architectural Letterheads,Avery Classics Collection,NNC-A,marcorg,1861,,,Lafarge House,,,,,,,,,Buildings,,,,,,,,,,,,Street: Broadway,Borough: Manhattan,New York,New York,,United States,,,Lafarge House. Bill or receipt,,,,Recto,Lafarge House,corporate,,,,,Yardley (collector),personal,,,,,1861,,,,,,,ave_yardley_00400r.tif,,Still Image,,eng,https://exhibitions.cul.columbia.edu/exhibits/show/yardley/streetnamesa-c/broadway5,John H. Yardley Collection of Architectural Letterheads,
8783,,,1,0,,,reformatted digital,printed ephemera,,bill or receipt,,,,,,,Between Chambers and Reade Streets,,,John H. Yardley Collection of Architectural Letterheads,Avery Classics Collection,NNC-A,marcorg,1850,,,Irving House,,,,,,,,,Buildings,,,,,,,,,,,,Street: Broadway,Borough: Manhattan,New York,New York,,United States,,,"Irving House, Bill or receipt",,,,Recto,Irving House,corporate,,,,,Yardley (collector),personal,,,,,1850,,,,,,,ave_yardley_00399r.tif,,Still Image,,eng,https://exhibitions.cul.columbia.edu/exhibits/show/yardley/streetnamesa-c/broadway2,John H. Yardley Collection of Architectural Letterheads,
8782,,,1,0,,,reformatted digital,printed ephemera,,bill or receipt,,,,,,,Corner Franklin Street,,,John H. Yardley Collection of Architectural Letterheads,Avery Classics Collection,NNC-A,marcorg,1866,,,International Hotel,,,,,,,,,Buildings,,,,,,,,,,,,Street: Broadway,Borough: Manhattan,New York,New York,,United States,,,International Hotel. Bill or receipt,,,,Recto,International Hotel,corporate,,,,,Yardley (collector),personal,,,,,1866,,,,,,,ave_yardley_00398r.tif,,Still Image,,eng,https://exhibitions.cul.columbia.edu/exhibits/show/yardley/streetnamesd-j/franklinstreet1,John H. Yardley Collection of Architectural Letterheads,
8781,,,1,0,,,reformatted digital,printed ephemera,,bill or receipt,,,,,,,Corner Maiden Lane,,,John H. Yardley Collection of Architectural Letterheads,Avery Classics Collection,NNC-A,marcorg,1847,,,Howard Hotel,,,,,,,,,Buildings,,,,,,,,,,,,Street: Broadway,Borough: Manhattan,New York,New York,,United States,,,Howard Hotel. Bill or receipt,,,,Recto,Howard Hotel,corporate,,,,,Yardley (collector),personal,,,,,1847,,,,,,,ave_yardley_00397r.tif,,Still Image,,eng,https://exhibitions.cul.columbia.edu/exhibits/show/yardley/streetnamesa-c/broadway2,John H. Yardley Collection of Architectural Letterheads,
8780,,,1,0,,,reformatted digital,printed ephemera,,bill or receipt,,,,,,,Corner Maiden Lane,,,John H. Yardley Collection of Architectural Letterheads,Avery Classics Collection,NNC-A,marcorg,1866,,,Howard Hotel,,,,,,,,,Buildings,,,,,,,,,,,,Street: Broadway,Borough: Manhattan,New York,New York,,United States,,,Howard Hotel. Bill or receipt,,,,Recto,Howard Hotel,corporate,,,,,Yardley (collector),personal,,,,,1866,,,,,,,ave_yardley_00396r.tif,,Still Image,,eng,https://exhibitions.cul.columbia.edu/exhibits/show/yardley/streetnamesa-c/broadway2,John H. Yardley Collection of Architectural Letterheads,
8779,,,1,0,,,reformatted digital,printed ephemera,,bill or receipt,,,,,,,Corner Maiden Lane,,,John H. Yardley Collection of Architectural Letterheads,Avery Classics Collection,NNC-A,marcorg,1853,,,Howard Hotel,,,,,,,,,Buildings,,,,,,,,,,,,Street: Broadway,Borough: Manhattan,New York,New York,,United States,,,Howard Hotel. Bill or receipt,,,,Recto,Howard Hotel,corporate,,,,,Yardley (collector),personal,,,,,1853,,,,,,,ave_yardley_00395r.tif,,Still Image,,eng,https://exhibitions.cul.columbia.edu/exhibits/show/yardley/streetnamesa-c/broadway2,John H. Yardley Collection of Architectural Letterheads,
8778,,,1,0,,,reformatted digital,correspondence,,letter,,,,,,,Opposite the City Hall and Park,,,John H. Yardley Collection of Architectural Letterheads,Avery Classics Collection,NNC-A,marcorg,1867,,,French's Hotel,,,,,,,,,Buildings,,,,,,,,,,,,Street: Frankfort Street,Borough: Manhattan,New York,New York,,United States,,,French's Hotel. Letter,,,,Recto,French's Hotel,corporate,,,,,Yardley (collector),personal,,,,,1867,,,,,,,ave_yardley_00394r.tif,,Still Image,,eng,https://exhibitions.cul.columbia.edu/exhibits/show/yardley/streetnamesd-j/frankfortstreet,John H. Yardley Collection of Architectural Letterheads,
8777,,,1,0,,,reformatted digital,printed ephemera,,bill or receipt,,,,,,,,,,John H. Yardley Collection of Architectural Letterheads,Avery Classics Collection,NNC-A,marcorg,1899,,,Fifth Avenue Hotel,,,,,,,,,Buildings,,,,,,,,,,,,Street: Fifth Avenue,Borough: Manhattan,New York,New York,,United States,,,Fifth Avenue Hotel. Bill or receipt,,,,Recto,Fifth Avenue Hotel,corporate,,,,,Yardley (collector),personal,,,,,1899,,,,,,,ave_yardley_00393r.tif,,Still Image,,eng,https://exhibitions.cul.columbia.edu/exhibits/show/yardley/streetnamesd-j/fifthavenue,John H. Yardley Collection of Architectural Letterheads,
8776,,,1,0,,,reformatted digital,printed ephemera,,card stock,,,,,,,Corner of Whitehall and South Streets,,,John H. Yardley Collection of Architectural Letterheads,Avery Classics Collection,NNC-A,marcorg,1900,,approximate,Eastern Hotel,,,,,,,,,Buildings,,,,,,,,,,,,Street: Whitehall Street,Borough: Manhattan,New York,New York,,United States,,,Eastern Hotel. Card stock,,,,Recto,Eastern Hotel,corporate,,,,,Yardley (collector),personal,,,,,1900,,,,,,,ave_yardley_00392r.tif,,Still Image,,eng,https://exhibitions.cul.columbia.edu/exhibits/show/yardley/streetnamess-y/thebattery,John H. Yardley Collection of Architectural Letterheads,
8775,,,1,0,,,reformatted digital,printed ephemera,,card stock,,,,,,,,,,John H. Yardley Collection of Architectural Letterheads,Avery Classics Collection,NNC-A,marcorg,1900,,approximate,Earle's House,,,,,,,,,Buildings,,,,,,,,,,,,,,,,,,,,Earle's House. Card stock,,,,Recto,Earle's House,corporate,,,,,Yardley (collector),personal,,,,,1900,,,,,,,ave_yardley_00391r.tif,,Still Image,,eng,https://exhibitions.cul.columbia.edu/exhibits/show/yardley/streetnamesa-c/canalstreet1,John H. Yardley Collection of Architectural Letterheads,
8774,,,1,0,,,reformatted digital,printed ephemera,,bill or receipt,,,,,,,,,,John H. Yardley Collection of Architectural Letterheads,Avery Classics Collection,NNC-A,marcorg,1866,,,Courtlandt Street Hotel,,,,,,,,,Buildings,,,,,,,,,,,,"Street: Courtlandt Street, 28",Borough: Manhattan,New York,New York,,United States,,,Courtlandt Street Hotel. Bill or receipt,,,,Recto,Courtlandt Street Hotel,corporate,,,,,Yardley (collector),personal,,,,,1866,,,,,,,ave_yardley_00390r.tif,,Still Image,,eng,https://exhibitions.cul.columbia.edu/exhibits/show/yardley/streetnamesa-c/cortlandtstreet,John H. Yardley Collection of Architectural Letterheads,
8773,,,1,0,,,reformatted digital,printed ephemera,,card stock,,,,,,,Corner of Chambers Street and West Broadway,,,John H. Yardley Collection of Architectural Letterheads,Avery Classics Collection,NNC-A,marcorg,1882,,,Cosmopolitan Hotel,,,,,,,,,Buildings,,,,,,,,,,,,Street: Chambers Street,Borough: Manhattan,New York,New York,,United States,,,Cosmopolitan Hotel. Card stock,,,,Recto,Cosmopolitan Hotel,corporate,,,,,Yardley (collector),personal,,,,,1882,,,,,,,ave_yardley_00389r.tif,,Still Image,,eng,https://exhibitions.cul.columbia.edu/exhibits/show/yardley/streetnamesa-c/chambersstreet,John H. Yardley Collection of Architectural Letterheads,
