partName,projectURL,_identifiers-1,note-2:note_type,note-2:note_value,_project.string_key,relatedItem_project,form-2:form_term.uri,form-2:form_term.value,title-1:title_sort_portion,location-1:location_term.uri,location-1:location_term.code,_digital_object_type.string_key,location-1:location_term.value,title-1:title_non_sort_portion,date_created-1:date_created_type,location-1:location_term.authority,_parent_digital_objects-1.identifier,digital_origin-1:digital_origin_value,type_of_resource-1:type_of_resource_value,omeka_identifier-1:omeka_identifier_value,date_created_textual-1:date_created_textual_value,collection-1:collection_term.uri,date_created-1:date_created_start_value,language-1:language_term.uri,language-1:language_term.value,language-1:language_term.authority,note-1:note_type,note-1:note_value,name-1:name_term.uri,name-1:name_term.value,name-1:name_term.name_type,name-1:name_term.authority,name-1:name_role-1.name_role_term.uri,name-1:name_role-1.name_role_term.value,name-1:name_role-1.name_role_term.authority,note-5:note_type,note-5:note_value,location-1:location_shelf_location-1.location_shelf_location_free_text,location-1:location_shelf_location-1.location_shelf_location_box_number,location-1:location_shelf_location-1.location_shelf_location_folder_number,object_in_context_url-1:object_in_context_url_value,abstract-1:abstract_value,subject_name-1:subject_name_term.uri,subject_topic-1:subject_topic_term.uri,subject_title-1:subject_title_term.uri,subject_name-1:subject_name_term.value,subject_title-1:subject_title_term.value,subject_topic-1:subject_topic_term.value,subject_name-1:subject_name_term.authority,subject_name-1:subject_name_term.name_type,subject_title-1:subject_title_term.authority,subject_topic-1:subject_topic_term.authority,subject_hierarchical_geographic-1:subject_hierarchical_geographic_city_text_value,subject_hierarchical_geographic-1:subject_hierarchical_geographic_state_text_value,subject_hierarchical_geographic-1:subject_hierarchical_geographic_county_text_value,subject_hierarchical_geographic-1:subject_hierarchical_geographic_borough_text_value,subject_hierarchical_geographic-1:subject_hierarchical_geographic_province_text_value,subject_hierarchical_geographic-1:subject_hierarchical_geographic_street-1.subject_hierarchical_geographic_street_value,place_of_origin-2:place_of_origin_value,use_and_reproduction-1:use_and_reproduction_value,date_created-1:date_created_end_value,publisher-1:publisher_value,place_of_origin-1:place_of_origin_value,note-4:note_type,note-4:note_value,collection-2:collection_term.uri,collection-2:collection_term.value,clio_identifier-1:clio_identifier_value,note-7:note_type,note-7:note_value
 , , ,filename,http://ldpd.lampdev.columbia.edu/kay_music_120119/120119039.jpg, ,Ulysses Kay: Twentieth Century Composer, ,music,"Fantasy Variations, page 2", , , ,"Rare Book and Manuscript Library, Columbia University", ,inferred,local, ,reformatted digital,Still Image,6892,1966, ,1966, ,eng,iso639-2, ,original filename: 120119039.tif, ,"Kay, Ulysses, 1917-1995", , , , , ,holdings, ,Box 59, , ,https://exhibitions.cul.columbia.edu/exhibits/show/kay/orchestral-music/fantasy-variations,Printed score of Fantasy Variations by Ulysses Kay,,,,,,,,,,,,,,,,,,,,Leeds Music Corporation,"New York, New York",,,,,,,
 , , ,filename,http://ldpd.lampdev.columbia.edu/kay_music_120119/120119038.jpg, ,Ulysses Kay: Twentieth Century Composer, ,music,"Fantasy Variations, page 1", , , ,"Rare Book and Manuscript Library, Columbia University", ,inferred,local, ,reformatted digital,Still Image,6891,1966, ,1966, ,eng,iso639-2, ,original filename: 120119038.tif, ,"Kay, Ulysses, 1917-1995", , , , , ,holdings, ,Box 59, , ,https://exhibitions.cul.columbia.edu/exhibits/show/kay/orchestral-music/fantasy-variations,Printed score of Fantasy Variations by Ulysses Kay,,,,,,,,,,,,,,,,,,,,Leeds Music Corporation,"New York, New York",,,,,,,
 , , ,filename,http://ldpd.lampdev.columbia.edu/kay_music_120119/120119037.jpg, ,Ulysses Kay: Twentieth Century Composer, ,manuscripts,"Ulysses Kay Music Composition Diary 1949-1990, 1967-1968, unnumbered pages", , , ,"Rare Book and Manuscript Library, Columbia University", ,exact,local, ,reformatted digital,Still Image,6890,between 1967 and 1968, ,1967, ,eng,iso639-2, ,holograph manuscript|original filename: 120119037.tif, ,"Kay, Ulysses, 1917-1995", , , , , ,holdings, ,"Box 1, Folder 1", , ,https://exhibitions.cul.columbia.edu/exhibits/show/kay/biography-and-kay-family/diaries,"Details trips to Long Beach, Davis California; Phoenix, Tempe Arizona; Evanston Illinois; Englewood New Jersey; New Haven, Connecticut; among other places in New York state, Atlanta, Chicago, etc. Also lists teaching position offers from various universities.",,,,,,,,,,,,,,,,,,,1968,,,ownership,Ulysses Kay Estate,,,,,
 , , ,filename,http://ldpd.lampdev.columbia.edu/kay_music_120119/120119036.jpg, ,Ulysses Kay: Twentieth Century Composer, ,manuscripts,"Ulysses Kay Music Composition Diary 1949-1990, 1976, unnumbered pages", , , ,"Rare Book and Manuscript Library, Columbia University", ,exact,local, ,reformatted digital,Still Image,6889,1976, ,1976, ,eng,iso639-2, ,holograph manuscript|original filename: 120119036.tif, ,"Kay, Ulysses, 1917-1995", , , , , ,holdings, ,"Box 1, Folder 1", , ,https://exhibitions.cul.columbia.edu/exhibits/show/kay/biography-and-kay-family/diaries,"In these two pages, Kay kept track of the progress of ""Jubliee,"" his first three-act opera, based on a novel by Margaret Walker, with a libretto by Donald Dorr. It was premiered by Opera/South on November 19, 1977, Paul Freeman conducting.", , , , , ,Jubilee (musical composition), , , , , , , , , , ,,,,,,ownership,Ulysses Kay Estate,,,,,
 , , ,filename,http://ldpd.lampdev.columbia.edu/kay_music_120119/120119035.jpg, ,Ulysses Kay: Twentieth Century Composer, ,manuscripts,"Ulysses Kay Music Composition Diary 1949-1990, 1958-1959, unnumbered pages", , , ,"Rare Book and Manuscript Library, Columbia University", ,exact,local, ,reformatted digital,Still Image,6888,between 1958 and 1959, ,1958, ,eng,iso639-2, ,original filename: 120119035.tif, ,"Kay, Ulysses, 1917-1995", , , , , ,holdings, ,"Box 1, Folder 1", , ,https://exhibitions.cul.columbia.edu/exhibits/show/kay/state-department-mission-to-u-/u-s-s-r--trip,"""Trip to U.S.S.R."" Ulysses Kay's Music Diary, 1949-1990: years 1958-59 detail his trip to the U.S.S.R., as well as other places in the United States",,,,,,,,,,,,,,,,,,,1959,,,ownership,Ulysses Kay Estate,,,,,
 , , ,filename,http://ldpd.lampdev.columbia.edu/kay_music_120119/120119034.jpg, ,Ulysses Kay: Twentieth Century Composer, ,manuscripts,"Ulysses Kay Music Composition Diary 1976-1991, Frederick Douglass, unnumbered pages", , , ,"Rare Book and Manuscript Library, Columbia University", ,exact,local, ,reformatted digital,Still Image,6887,between 1980 and 1985, ,1980, ,eng,iso639-2, ,holograph manuscript|original filename: 120119034.tif, ,"Kay, Ulysses, 1917-1995", , , , , ,holdings, ,"Box 1, Folder 2", , ,https://exhibitions.cul.columbia.edu/exhibits/show/kay/biography-and-kay-family/diaries,"In this notebook, Kay kept track of the progress made on his last major work, the three-act opera ""Frederick Douglass,"" also with a libretto by Donald Dorr. It was premiered by the New Jersey State Opera on April 14, 1991, with Kevin Maynor in the role of Frederick Douglass, and Alfredo Silipigni conducting.",,,,,,,,,,,,,,,,,,,1985,,,ownership,Ulysses Kay Estate,,,,,
 , , ,filename,http://ldpd.lampdev.columbia.edu/kay_music_120119/120119033.jpg, ,Ulysses Kay: Twentieth Century Composer, ,manuscripts,"Ulysses Kay Music Composition Diary 1976-1991, Operas, unnumbered pages", , , ,"Rare Book and Manuscript Library, Columbia University", ,exact,local, ,reformatted digital,Still Image,6886,between 1976 and 1991, ,1976, ,eng,iso639-2, ,holograph manuscript|original filename: 120119033.tif, ,"Kay, Ulysses, 1917-1995", , , , , ,holdings, ,"Box 1, Folder 2", , ,https://exhibitions.cul.columbia.edu/exhibits/show/kay/operas/frederick-douglass---creation,List of Operas: the Boor (1955); the Juggler of Our Lady (1956); the Capitoline Venus (1970); Jubilee (1974-76); Frederick Douglass (1980-1985); information on the premiere of Frederick Douglass,,,,,,,,,,,,,,,,,,Ulysses Kay Estate,1991,,,,,,,,,
 , , ,filename,http://ldpd.lampdev.columbia.edu/kay_music_120119/120119032.jpg, ,Ulysses Kay: Twentieth Century Composer, ,manuscripts,"Suite from the ballet Danse Calinda: Scene II, page 1", , , ,"Rare Book and Manuscript Library, Columbia University", ,exact,local, ,reformatted digital,Still Image,6885,1953, ,1953, ,eng,iso639-2, ,holograph manuscript|original filename: 120119032.tif, ,"Kay, Ulysses, 1917-1995", , , , , ,holdings, ,"Box 6, Folder 9", , ,https://exhibitions.cul.columbia.edu/exhibits/show/kay/ballet-music/danse-calinda,Piano reduction score of the suite from Scene II of the ballet Danse Calinda by Ulysses Kay,,,,,,,,,,,,,,,,,,,,,,ownership,Ulysses Kay Estate,,,,,
 , , ,filename,http://ldpd.lampdev.columbia.edu/kay_music_120119/120119031.jpg, ,Ulysses Kay: Twentieth Century Composer, ,manuscripts,"Danse Calinda Scene 1: piano reduction, page 1", , , ,"Rare Book and Manuscript Library, Columbia University", ,exact,local, ,reformatted digital,Still Image,6884,1940, ,1940, ,eng,iso639-2, ,holograph manuscript|original filename: 120119031.tif, ,"Kay, Ulysses, 1917-1995", , , , , ,holdings, ,"Box 6, Folder 8", , ,https://exhibitions.cul.columbia.edu/exhibits/show/kay/ballet-music/danse-calinda,Piano reduction of the suite in scene 1 of Danse Calinda by UIysses Kay,,,,,,,,,,,,,,,,,,,,,,ownership,Ulysses Kay Estate,,,,,
 , , ,filename,http://ldpd.lampdev.columbia.edu/kay_music_120119/120119030.jpg, ,Ulysses Kay: Twentieth Century Composer, ,manuscripts,Danse Calinda synopsis, , , ,"Rare Book and Manuscript Library, Columbia University", ,approximate,local, ,reformatted digital,Still Image,6883,circa 1940, ,1940, ,eng,iso639-2, ,typescript|original filename: 120119030.tif, ,"Kay, Ulysses, 1917-1995|Torrence, Ridgely, 1875-1950", , , , , ,holdings, ,"Box 1, Folder 3", , ,https://exhibitions.cul.columbia.edu/exhibits/show/kay/ballet-music/danse-calinda,"Theater orchestra; Danse Calinda by Ridgely Torrence, spelled Ridgley Torrence on item",,,,,,,,,,,,,,,,,,,,,,,,,,,,
