item - public,item - itemId,item - featured,item - MODS - FormGenre,item - MODS - KeyDate - Single/Start,item - MODS - KeyDate - End,item - MODS - TypeofDate,item - DublinCore - Source,item - DublinCore - Title,item - DublinCore - Title - Whole,item - DublinCore - Title - Part,item - DublinCore - Subject 1,item - DublinCore - Subject 2,item - DublinCore - Date,item - DublinCore - Coverage,item - DublinCore - Creator 1,item - DublinCore - Creator 2,item - DublinCore - Language,item - DublinCore - Description,item - DublinCore - Publisher,item - AdditionalItemMetadata - Provenance ,item - AdditionalItemMetadata - TemporalCoverage,item - AdditionalItemMetadata - RightsHolder,item - OriginalFileLoadedIntoOmeka 1,item - OriginalFileLoadedIntoOmeka 2,item - MODS - DigitalOrigin,item - MODS - RepositoryName,item - MODS - RepositoryName - code,item - MODS - LanguageofCataloging,item - MODS - PublicationDate,item - MODS - ShelfLocation,item - MODS - PublicationPlace,item - MODS - Collection,item - OmekaCollection,item - ItemType,item - ItemType - text,item - ItemInContext,project URL
1,2990,0,correspondence,1902-08-23,,,,"Typed letter, signed, to Joseph Pulitzer","Typed letter, signed, to Joseph Pulitzer",,,,23-Aug-1902,South Weymouth (Mass.),"Washington, Booker T., 1856-1915",,eng,,,"Gift of Joseph Pulitzer, Jr.",1902-08-23,,original filename: pulitzer_100018072,,reformatted digital,"Rare Book & Manuscript Library, Columbia University",NNC-RB,eng,,Box 3,,Joseph Pulitzer papers,Joseph Pulitzer and The World,still image,"Original Format: Typed letter, signed",https://exhibitions.cul.columbia.edu/index.php/exhibits/show/pulitzer/philanthropy/philanthropy,http://www.columbia.edu/cgi-bin/cul/resolve?clio9225138
1,2989,0,printed ephemera,1886-11-29,,,,Receipt for donation,Receipt for donation,,,,"November 29, 1886",,"Pulitzer, Joseph, 1847-1911",,eng,,,"Gift of Joseph Pulitzer, Jr.",1886-11-29,,original filename: pulitzer_100018071a,,reformatted digital,"Rare Book & Manuscript Library, Columbia University",NNC-RB,eng,,Box 6,,Joseph Pulitzer papers,Joseph Pulitzer and The World,still image,Original Format: Receipt,,http://www.columbia.edu/cgi-bin/cul/resolve?clio9225138
1,2988,0,correspondence,1886-11-26,,,,"Draft of manuscript letter, with corrections, to Alexander S. Webb","Draft of manuscript letter, with corrections, to Alexander S. Webb",,,,"November 26, 1886",,"Pulitzer, Joseph, 1847-1911",,eng,,,"Gift of Joseph Pulitzer, Jr.",1886-11-26,,original filename: pulitzer_100018071,,reformatted digital,"Rare Book & Manuscript Library, Columbia University",NNC-RB,eng,,Box 6,,Joseph Pulitzer papers,Joseph Pulitzer and The World,still image,"Original Format: Draft manuscript letter, with autograph corrections",https://exhibitions.cul.columbia.edu/index.php/exhibits/show/pulitzer/philanthropy/philanthropy,http://www.columbia.edu/cgi-bin/cul/resolve?clio9225138
1,2987,0,correspondence,1886-04,,,,"Draft manuscript letter, with autograph corrections, to Board of Trustees, New York Press Club","Draft manuscript letter, with autograph corrections, to Board of Trustees, New York Press Club",,,,"April, 1886",New York,"Pulitzer, Joseph, 1847-1911",,eng,,,"Gift of Joseph Pulitzer, Jr.",1886-04,,original filename: pulitzer_100018070a,,reformatted digital,"Rare Book & Manuscript Library, Columbia University",NNC-RB,eng,,Box 6,,Joseph Pulitzer papers,Joseph Pulitzer and The World,still image,"Original Format: Draft manuscript letter, with autograph corrections",,http://www.columbia.edu/cgi-bin/cul/resolve?clio9225138
1,2986,0,correspondence,1886-04,,,,"Draft manuscript letter, with autograph corrections, to Board of Trustees, New York Press Club","Draft manuscript letter, with autograph corrections, to Board of Trustees, New York Press Club",,,,"April, 1886",New York,"Pulitzer, Joseph, 1847-1911",,eng,,,"Gift of Joseph Pulitzer, Jr.",1886-04,,original filename: pulitzer_100018070,,reformatted digital,"Rare Book & Manuscript Library, Columbia University",NNC-RB,eng,,Box 6,,Joseph Pulitzer papers,Joseph Pulitzer and The World,still image,"Original Format: Draft manuscript letter, with autograph corrections",https://exhibitions.cul.columbia.edu/index.php/exhibits/show/pulitzer/philanthropy/philanthropy,http://www.columbia.edu/cgi-bin/cul/resolve?clio9225138
1,2985,0,manuscripts,1911-01,,questionable,,Freedom of the Press [Proof of Editorial],Freedom of the Press [Proof of Editorial],,,,[January 1911?],New York,"Pulitzer, Joseph, 1847-1911",,eng,,,"Gift of Joseph Pulitzer, Jr.",,,original filename: pulitzer_100018069,,reformatted digital,"Rare Book & Manuscript Library, Columbia University",NNC-RB,eng,,Box 51,,World records,Joseph Pulitzer and The World,still image,Original Format: Proof of World editorial,https://exhibitions.cul.columbia.edu/index.php/exhibits/show/pulitzer/politics/panama-canal-libel-case,http://www.columbia.edu/cgi-bin/cul/resolve?clio9225138
1,2984,0,pamphlets,1911,,,,Roosevelt Panama Libel Case Against The New York World (The United States vs. The Press Publishing Co) [Proof],Roosevelt Panama Libel Case Against The New York World (The United States vs. The Press Publishing Co) [Proof],,,,1911,New York,"World (New York, N.Y. : 1860-1931)",,eng,,,"Gift of Joseph Pulitzer, Jr.",1911,,original filename: pulitzer_100018068,,reformatted digital,"Rare Book & Manuscript Library, Columbia University",NNC-RB,eng,,Box 51,,World records,Joseph Pulitzer and The World,still image,Original Format: Proof of printed pamphet,https://exhibitions.cul.columbia.edu/index.php/exhibits/show/pulitzer/politics/panama-canal-libel-case,http://www.columbia.edu/cgi-bin/cul/resolve?clio9225138
1,2983,0,manuscripts,1911-01,,inferred,,Manuscript Notes on the Panama Canal libel case pamphlet,Manuscript Notes on the Panama Canal libel case pamphlet,,,,[January 1911],"On board ""Liberty""","Pulitzer, Joseph, 1847-1911",,eng,,,"Gift of Joseph Pulitzer, Jr.",1911-01,,original filename: pulitzer_100018067a,,reformatted digital,"Rare Book & Manuscript Library, Columbia University",NNC-RB,eng,,Box 51,,World records,Joseph Pulitzer and The World,still image,Original Format: Manuscript Notes,,http://www.columbia.edu/cgi-bin/cul/resolve?clio9225138
1,2982,0,manuscripts,1911-01,,inferred,,Manuscript Notes on the Panama Canal libel case pamphlet,Manuscript Notes on the Panama Canal libel case pamphlet,,,,[January 1911],"On board ""Liberty""","Pulitzer, Joseph, 1847-1911",,eng,,,"Gift of Joseph Pulitzer, Jr.",1911-01,,original filename: pulitzer_100018067,,reformatted digital,"Rare Book & Manuscript Library, Columbia University",NNC-RB,eng,,Box 51,,World records,Joseph Pulitzer and The World,still image,Original Format: Manuscript Notes,https://exhibitions.cul.columbia.edu/index.php/exhibits/show/pulitzer/politics/panama-canal-libel-case,http://www.columbia.edu/cgi-bin/cul/resolve?clio9225138
1,2981,0,correspondence,1909-04-13,,,,Autograph letter to Joseph Pulitzer. Page 6,Autograph letter to Joseph Pulitzer,Page 6,,,13-Apr-1909,New York,"Hosmer, G. W. (George Washington), 1830-1914",,eng,,,"Gift of Joseph Pulitzer, Jr.",1929,,original filename: pulitzer_100018066e,,reformatted digital,"Rare Book & Manuscript Library, Columbia University",NNC-RB,eng,,Box 50,,World records,Joseph Pulitzer and The World,still image,"Original Format: Autograph letter, signed",,http://www.columbia.edu/cgi-bin/cul/resolve?clio9225138
