omeka_identifier-1:omeka_identifier_value,_pid,_digital_object_type.string_key,_identifiers-1,_parent_digital_objects-1.identifier,_project.string_key,collection-1:collection_term.value,collection-1:collection_term.uri,form-1:form_term.value,form-1:form_term.authority,form-1:form_term.uri,form-2:form_term.value,form-2:form_term.authority,form-2:form_term.uri,date_created-1:date_created_start_value,date_created-1:date_created_end_value,date_created-1:date_created_type,date_created_textual-1:date_created_textual_value,location-1:location_term.value,location-1:location_term.code,location-1:location_term.authority,location-1:location_term.uri,location-1:location_sublocation,location-1:location_shelf_location-1:location_shelf_location_free_text,abstract-1:abstract_value,title-1:title_sort_portion,title-1:title_non_sort_portion,clio_identifier-1:clio_identifier_value,name-1:name_term.value,name-1:name_term.name_type,name-1:name_role-1:name_role_term.value,name-1:name_role-1:name_role_term.authority,name-1:name_role-1:name_role_term.uri,name-1:name_role-2:name_role_term.value,name-1:name_role-2:name_role_term.authority,name-1:name_role-2:name_role_term.uri,name-1:name_term.authority,name-1:name_term.uri,name-2:name_term.value,name-2:name_term.name_type,name-2:name_role-1:name_role_term.value,name-2:name_role-1:name_role_term.authority,name-2:name_role-1:name_role_term.uri,name-2:name_role-2:name_role_term.value,name-2:name_role-2:name_role_term.authority,name-2:name_role-2:name_role_term.uri,name-2:name_term.authority,name-2:name_term.uri,name-3:name_term.value,name-3:name_term.name_type,name-3:name_role-1:name_role_term.value,name-3:name_role-1:name_role_term.authority,name-3:name_role-1:name_role_term.uri,name-3:name_term.authority,name-3:name_term.uri,publisher-1:publisher_value,place_of_origin-1:place_of_origin_value,place_authority_identifier,place_of_origin-2:place_of_origin_value,place2_authority_identifier,subject_name-1:subject_name_term.value,subject_name-1:subject_name_term.name_type,subject_name-1:subject_name_term.authority,subject_name-1:subject_name_term.uri,subject_name-2:subject_name_term.value,subject_name-2:subject_name_term.name_type,subject_name-2:subject_name_term.authority,subject_name-2:subject_name_term.uri,subject_name-3:subject_name_term.value,subject_name-3:subject_name_term.name_type,subject_name-3:subject_name_term.authority,subject_name-3:subject_name_term.uri,subject_topic-1:subject_topic_term.value,subject_topic-1:subject_topic_term.authority,subject_topic-1:subject_topic_term.uri,subject_topic-2:subject_topic_term.value,subject_topic-2:subject_topic_term.authority,subject_topic-2:subject_topic_term.uri,subject_geographic-1:subject_geographic_term.value,subject_geographic-1:subject_geographic_term.authority,subject_geographic-1:subject_geographic_term.uri,subject_geographic-2:subject_geographic_term.value,subject_geographic-2:subject_geographic_term.authority,subject_geographic-2:subject_geographic_term.uri,language-1:language_term.value,language-1:language_term.authority,language-1:language_term.uri,language-2:language_term.value,language-2:language_term.authority,language-2:language_term.uri,language-3:language_term.value,language-3:language_term.authority,language-3:language_term.uri,language_of_cataloging-1:language_of_cataloging_term.value,note-1:note_value,note-1:note_type,note-2:note_value,note-2:note_type,digital_origin-1:digital_origin_value,type_of_resource-1:type_of_resource_value,type_of_resource-2:type_of_resource_value,note-7:note_value,note-7:note_type,extent-1:extent_value,relatedItem_project,project URL,object_in_context_url-1:object_in_context_url_value
omeka_6640,,asset,averynovelties_fer_099,averynovelties_fer,,,,,,,,,,,,,,,,,,,,,Image shown through glasses,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,original filename: 110178041.jpg,filename,,,,,,,,,https://exhibitions.cul.columbia.edu/exhibits/show/novelties/anaglyphes/istanbul
,,item,averynovelties_fer,,,,,books,aat,http://vocab.getty.edu/aat/300028051,photographs,aat,http://vocab.getty.edu/aat/300046300,1937,,,1937,"Avery Architectural & Fine Arts Library, Columbia University",NNC-A,marcorg,http://id.loc.gov/authorities/names/n80087582,Avery Classics Collection,AA535 F7 F738,Views in the album can be seen in relief by using the accompanying two-colour eye-glass inserted in the inside front cover.,Éditions en Anaglyphes. Fontainebleau en relief par les anaglyphes,Les,9116815,Kauffmann et Cie,corporate,Publisher,marcrelator,http://id.loc.gov/vocabulary/relators/pbl,,,,,,,,,,,,,,,,,,,,,,,Kauffmann et Cie,Paris (France),http://id.loc.gov/authorities/names/n79058874,,,"Château de Fontainebleau (Fontainebleau, France)",corporate,naf,http://id.loc.gov/authorities/names/n2008027560,,,,,,,,,Castles--France,lcsh,http://id.loc.gov/authorities/subjects/sh85020712,,,,Fontainebleau (France),naf,http://id.loc.gov/authorities/names/n81071962,,,,French,iso639-2,http://id.loc.gov/vocabulary/iso639-2/fre,,,,,,,,Book includes 3-D glasses,,,,reformatted digital,text,still image,3-D books,original format,"Book, 21 x 27 cm, includes 3-D glasses",Avery’s Architectural Novelties,http://www.columbia.edu/cgi-bin/cul/resolve?clio9427856,
omeka_6639,,asset,averynovelties_ikf_002,averynovelties_ikf,,,,,,,,,,,,,,,,,,,,,Cover of book with glasses next to it,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,original filename: 110178040.jpg,filename,,,,,,,,,https://exhibitions.cul.columbia.edu/exhibits/show/novelties/anaglyphes/istanbul
omeka_6638,,asset,averynovelties_ikf_001,averynovelties_ikf,,,,,,,,,,,,,,,,,,,,,View of book open,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,original filename: 110178039.jpg,filename,,,,,,,,,https://exhibitions.cul.columbia.edu/exhibits/show/novelties/anaglyphes/istanbul
omeka_6637,,asset,averynovelties_ikf_099,averynovelties_ikf,,,,,,,,,,,,,,,,,,,,,Image shown through glasses,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,original filename: 110178038.jpg,filename,,,,,,,,,https://exhibitions.cul.columbia.edu/exhibits/show/novelties/anaglyphes/fontainebleau
,,item,averynovelties_ikf,,,,,books,aat,http://vocab.getty.edu/aat/300028051,photographs,aat,http://vocab.getty.edu/aat/300046300,1900,1999,approximate,between 1900 and 1999,"Avery Architectural & Fine Arts Library, Columbia University",NNC-A,marcorg,http://id.loc.gov/authorities/names/n80087582,Avery Classics Collection,AA1365 Is76,"Saray Kitabevi (Series). Views of Museum of Ayasophia, Cistern of Philoxenius, Aqueducto of Valance, Mosque of Sultan Ahmet (Blue Mosque), Fountain of Ahmet III, University Gate, Mosque of Süleymaniye, Mosque of Beyazit, Old Seraglio: Pavilion of Bagdat, Old Seraglio: Pavilion of Revan, Mosque of Yenicami, Interior View of the Mosque of Süleymaniye, the Courtyard of the Mosque of Beyazıt, the Palace of Dolmabahçe, the Tower of the Bosphorus, Independence Street (İstiklâl Cad.), Eyüb and the Golden Horn",Éditions en Anaglyphes. Istanbul : kabartma fotograflarla,Les,9116762,Kauffmann et Cie,corporate,Publisher,marcrelator,http://id.loc.gov/vocabulary/relators/pbl,,,,,,,,,,,,,,,,,,,,,,,Kauffmann et Cie,Istanbul (Turkey),http://id.loc.gov/authorities/names/n79034985,Paris (France),http://id.loc.gov/authorities/names/n79058874,,,,,,,,,,,,,,,,,,,Istanbul (Turkey),naf,http://id.loc.gov/authorities/names/n79034985,,,,French,iso639-2,http://id.loc.gov/vocabulary/iso639-2/fre,Turkish,iso639-2,http://id.loc.gov/vocabulary/iso639-2/tur,English,iso639-2,http://id.loc.gov/vocabulary/iso639-2/eng,,Views in the album can be seen in relief by using the accompanying two-colour eye-glass inserted in the inside front cover,,,,reformatted digital,text,still image,3-D books,original format,21 x 27 cm,Avery’s Architectural Novelties,http://www.columbia.edu/cgi-bin/cul/resolve?clio9427856,
omeka_6636,,asset,averynovelties_pla_003,averynovelties_pla,,,,,,,,,,,,,,,,,,,,,"View with cards fanned out, 2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,original filename: 110178037.jpg,filename,,,,,,,,,https://exhibitions.cul.columbia.edu/exhibits/show/novelties/decksofcards/playarchitecture
omeka_6635,,asset,averynovelties_pla_002,averynovelties_pla,,,,,,,,,,,,,,,,,,,,,View with cards fanned out,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,original filename: 110178036.jpg,filename,,,,,,,,,https://exhibitions.cul.columbia.edu/exhibits/show/novelties/decksofcards/playarchitecture
omeka_6634,,asset,averynovelties_pla_001,averynovelties_pla,,,,,,,,,,,,,,,,,,,,,Reverse of title card (rules),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,original filename: 110178035.jpg,filename,,,,,,,,,https://exhibitions.cul.columbia.edu/exhibits/show/novelties/decksofcards/playarchitecture
omeka_6633,,asset,averynovelties_pla_099,averynovelties_pla,,,,,,,,,,,,,,,,,,,,,Image of cards in case with title card on top,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,original filename: 110178034.jpg,filename,,,,,,,,,https://exhibitions.cul.columbia.edu/exhibits/show/novelties/decksofcards/playarchitecture
