_pid,_identifiers-1,_digital_object_type.string_key,_parent_digital_objects-1.identifier,_project.string_key,omeka_identifier-1:omeka_identifier_value,clio_identifier-1:clio_identifier_value,title-1:title_sort_portion,collection-1:collection_term.value,collection-1:collection_term.uri,name-1:name_term.value,name-1:name_term.name_type,name-1:name_role-1:name_role_term.value,name-1:name_role-1:name_role_term.authority,name-1:name_role-1:name_role_term.uri,name-1:name_role-2:name_role_term.value,name-1:name_role-2:name_role_term.authority,name-1:name_role-2:name_role_term.uri,name-1:name_term.authority,name-1:name_term.uri,name-2:name_term.value,name-2:name_term.name_type,name-2:name_role-1:name_role_term.value,name-2:name_role-1:name_role_term.authority,name-2:name_role-1:name_role_term.uri,name-2:name_term.authority,name-2:name_term.uri,name-3:name_term.value,name-3:name_term.name_type,name-3:name_role-1:name_role_term.value,name-3:name_role-1:name_role_term.authority,name-3:name_role-1:name_role_term.uri,name-3:name_term.authority,name-3:name_term.uri,name-4:name_term.value,name-4:name_term.name_type,name-4:name_role-1:name_role_term.value,name-4:name_role-1:name_role_term.authority,name-4:name_role-1:name_role_term.uri,name-4:name_term.authority,name-4:name_term.uri,date_created-1:date_created_start_value,date_created-1:date_created_end_value,date_created-1:date_created_type,date_created_textual-1:date_created_textual_value,abstract-1:abstract_value,note-1:note_value,note-1:note_type,form-1:form_term.value,form-1:form_term.authority,form-1:form_term.uri,form-2:form_term.value,form-2:form_term.authority,form-2:form_term.uri,genre-1:genre_term.value,genre-1:genre_term.authority,genre-1:genre_term.uri,digital_origin-1:digital_origin_value,location-1:location_shelf_location-1:location_shelf_location_free_text,location-1:location_sublocation,location-1:location_term.value,location-1:location_term.code,location-1:location_term.authority,location-1:location_term.uri,place_of_origin-1:place_of_origin_value,place_authority_identifier,language-1:language_term.value,language-1:language_term.authority,language-1:language_term.uri,publisher-1:publisher_value,subject_topic-1:subject_topic_term.value,subject_topic-1:subject_topic_term.authority,subject_topic-1:subject_topic_term.uri,subject_topic-2:subject_topic_term.value,subject_topic-2:subject_topic_term.authority,subject_topic-2:subject_topic_term.uri,subject_topic-3:subject_topic_term.value,subject_topic-3:subject_topic_term.authority,subject_topic-3:subject_topic_term.uri,subject_name-1:subject_name_term.value,subject_name-1:subject_name_term.name_type,subject_name-1:subject_name_term.authority,subject_name-1:subject_name_term.uri,subject_hierarchical_geographic-1:subject_hierarchical_geographic_street-1:subject_hierarchical_geographic_street_value,subject_hierarchical_geographic-1:subject_hierarchical_geographic_city_text_value,subject_hierarchical_geographic-1:subject_hierarchical_geographic_state_text_value,	  subject_hierarchical_geographic-1:subject_hierarchical_geographic_country_text_value,subject_geographic-1:subject_geographic_term.value,subject_geographic-1:subject_geographic_term.authority,subject_geographic-1:subject_geographic_term.uri,subject_geographic-2:subject_geographic_term.value,subject_geographic-2:subject_geographic_term.authority,subject_geographic-2:subject_geographic_term.uri,note-2:note_value,note-2:note_type,type_of_resource-1:type_of_resource_value,type_of_resource-2:type_of_resource_value,note-4:note_value,note-4:note_type,relatedItem_Project,project URL,object_in_context_url-1:object_in_context_url_value,language_of_cataloging-1:language_of_cataloging_term.value
,averyephemera_emw_001,asset,averyephemera_emw,,omeka_7277,,Section 1. Cover,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,original filename: 1202210004.jpg,filename,,,,,,,https://exhibitions.cul.columbia.edu/exhibits/show/ephemera/catalogs/trade,
,averyephemera_emw_001,asset,averyephemera_emw,,omeka_7279,,Page spread of various cast iron samples,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,original filename: 1202210006.jpg,filename,,,,,,,https://exhibitions.cul.columbia.edu/exhibits/show/ephemera/catalogs/trade,
,averyephemera_emw_002,asset,averyephemera_emw,,omeka_7278,,Index,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,original filename: 1202210005.jpg,filename,,,,,,,,
,averyephemera_emw,item,,,,82024,"Examples of Metal Work for Ecclesiastical and Domestic Use : Manufactured by Hart, Son, Peard & Co",Trade Catalog Collection,,"Hart, Son, Peard & Co.",corporate,Creator,marcrelator,http://id.loc.gov/vocabulary/relators/cre,,,,,,,,,,,,,,,,,,,,,,,,,,,1870,,approximate,circa 1870,,,,books,aat,http://vocab.getty.edu/aat/300028051,,,,Trade catalogs,fast,http://id.worldcat.org/fast/1919982,reformatted digital,AT3610 H252 1870,Avery Classics Collection,"Avery Architectural & Fine Arts Library, Columbia University",NNC-A,marcorg,http://id.loc.gov/authorities/names/n80087582,London (England),http://id.loc.gov/authorities/names/n79005665,English,iso639-2,http://id.loc.gov/vocabulary/iso639-2/eng,"Hart, Son, Peard & Co.",Architectural ironwork,lcsh,http://id.loc.gov/authorities/subjects/sh85006597,"Decoration and ornament, Architectural",lcsh,http://id.loc.gov/authorities/subjects/sh85036275,,,,,,,,,,,,,,,,,,,,text,still image,,,Avery’s Architectural Ephemera Collections,http://www.columbia.edu/cgi-bin/cul/resolve?clio10813843,,
,averyephemera_gnc_001,asset,averyephemera_gnc,,omeka_7292,,Cover of viewbook,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,original filename: 1202210019.jpg,filename,,,,,,,https://exhibitions.cul.columbia.edu/exhibits/show/ephemera/viewbooks/view,
,averyephemera_gnc_001,asset,averyephemera_gnc,,omeka_7293,,Bird's-eye view of Coney Island,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,original filename: 1202210020.jpg,filename,,,,,,,https://exhibitions.cul.columbia.edu/exhibits/show/ephemera/viewbooks/view,
,averyephemera_gnc,item,,,,1355568,Glimpses of the New Coney Island : America's Most Popular Pleasure Resort; Reproduced from Best and Latest Photographs,American Viewbook Collection,,Isaac H. Blanchard Co.,corporate,Publisher,marcrelator,http://id.loc.gov/vocabulary/relators/pbl,,,,naf,http://id.loc.gov/authorities/names/n85149698,,,,,,,,,,,,,,,,,,,,,,1904,,,1904,,"Publication place: 268-270 Canal Street, New York, New York",,books,aat,http://vocab.getty.edu/aat/300028051,,,,,,,reformatted digital,AA735 N4B7 Is7,Avery Classics Collection,"Avery Architectural & Fine Arts Library, Columbia University",NNC-A,marcorg,http://id.loc.gov/authorities/names/n80087582,New York (N.Y.),http://id.loc.gov/authorities/names/n79007751,English,iso639-2,http://id.loc.gov/vocabulary/iso639-2/eng,Isaac H. Blanchard Co.,Amusement parks,lcsh,http://id.loc.gov/authorities/subjects/sh85004698,"Coney Island (New York, N.Y.)",lcsh,http://id.loc.gov/authorities/subjects/sh87001319,,,,,,,,,,,,"Brooklyn (New York, N.Y.)",naf,http://id.loc.gov/authorities/names/n80040311,,,,,,still image,text,,,Avery’s Architectural Ephemera Collections,http://www.columbia.edu/cgi-bin/cul/resolve?clio10813843,,
,averyephemera_gnr_001,asset,averyephemera_gnr,,omeka_7314,,Cover of brochure,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,original filename: ldpd_YR_0050_LI_001_001.jpg,filename,,,,,,,https://exhibitions.cul.columbia.edu/exhibits/show/ephemera/brochures/nyre,
,averyephemera_gnr_001,asset,averyephemera_gnr,,omeka_7315,,Typical floor plan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,original filename: ldpd_YR_0050_LI_001_002.jpg,filename,,,,,,,https://exhibitions.cul.columbia.edu/exhibits/show/ephemera/brochures/nyre,
,averyephemera_gnr,item,,,,,175 Great Neck Rd.,New York Real Estate Brochure Collection,,"Alan H. Polkes Associates, Inc.",corporate,Contributor,marcrelator,http://id.loc.gov/vocabulary/relators/ctb,,,,,,"Artsis, Jerome M.",personal,Contributor,marcrelator,http://id.loc.gov/vocabulary/relators/ctb,,,,,,,,,,,,,,,,,1920,1979,inferred,between 1920 and 1979,,Date range inferred from dates in the New York Real Estate Brochure Collection.,,printed ephemera,aat,http://vocab.getty.edu/aat/300264821,,,,,,,reformatted digital,YR.0050.LI,Avery Classics Collection,"Avery Architectural & Fine Arts Library, Columbia University",NNC-A,marcorg,http://id.loc.gov/authorities/names/n80087582,,,English,iso639-2,http://id.loc.gov/vocabulary/iso639-2/eng,,Apartment houses--New York (State)--New York,lcsh,http://id.loc.gov/authorities/subjects/sh2009115107,Buildings,lcsh,http://id.loc.gov/authorities/subjects/sh85017769,Architectural firms,lcsh,http://id.loc.gov/authorities/subjects/sh85006594,,,,,Street: 175 Great Neck Road,Great Neck,New York,United States,Great Neck (N.Y.),naf,http://id.loc.gov/authorities/names/n82017233,,,,,,still image,text,"Donated by Yale Robbins, Henry Robbins, & David Magier.",provenance,Avery’s Architectural Ephemera Collections,http://www.columbia.edu/cgi-bin/cul/resolve?clio10813843,,
,averyephemera_hmo_001,asset,averyephemera_hmo,,omeka_7298,,Cover of viewbook,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,original filename: 1202210025.jpg,filename,,,,,,,https://exhibitions.cul.columbia.edu/exhibits/show/ephemera/viewbooks/view,
,averyephemera_hmo_001,asset,averyephemera_hmo,,omeka_7299,,Page spread showing text of and an image of a Typical Helena House,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,original filename: 1202210026.jpg,filename,,,,,,,https://exhibitions.cul.columbia.edu/exhibits/show/ephemera/viewbooks/view,
,averyephemera_hmo,item,,,,1243529,"Helena, Montana",American Viewbook Collection,,"Business Men’s Association of the City of Helena, Montana",corporate,Creator,marcrelator,http://id.loc.gov/vocabulary/relators/cre,,,,,,,,,,,,,,,,,,,,,,,,,,,1905,,approximate,circa 1905,,,,books,aat,http://vocab.getty.edu/aat/300028051,,,,,,,reformatted digital,AA735 H36 H36 S,Avery Classics Collection,"Avery Architectural & Fine Arts Library, Columbia University",NNC-A,marcorg,http://id.loc.gov/authorities/names/n80087582,Helena (Mont.),http://id.loc.gov/authorities/names/n80007662,English,iso639-2,http://id.loc.gov/vocabulary/iso639-2/eng,Business Men’s Association,Travel,lcsh,http://id.loc.gov/authorities/subjects/sh85137149,,,,,,,,,,,,,,,Helena (Mont.),naf,http://id.loc.gov/authorities/names/n80007662,"Saint Helens, Mount (Wash.)",lcsh,http://id.loc.gov/authorities/subjects/sh85116572,,,still image,,,,Avery’s Architectural Ephemera Collections,http://www.columbia.edu/cgi-bin/cul/resolve?clio10813843,,
,averyephemera_hpb_001,asset,averyephemera_hpb,,omeka_7312,,Cover of brochure,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,original filename: ldpd_YR_0002_SI_001_001.jpg,filename,,,,,,,https://exhibitions.cul.columbia.edu/exhibits/show/ephemera/brochures/nyre,
,averyephemera_hpb_006,asset,averyephemera_hpb,,omeka_7313,,Page 6 of brochure,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,original filename: ldpd_YR_0002_SI_001_006.jpg,filename,,,,,,,https://exhibitions.cul.columbia.edu/exhibits/show/ephemera/brochures/nyre,
,averyephemera_hpb,item,,,,,Harbour Pointe at Bay Street Landing,New York Real Estate Brochure Collection,,David Kenneth Specter and Associates,corporate,Contributor,marcrelator,http://id.loc.gov/vocabulary/relators/ctb,,,,,,"RAMS Marketing, Inc.",corporate,Contributor,marcrelator,http://id.loc.gov/vocabulary/relators/ctb,,,Bay St. Landing Associates,corporate,Contributor,marcrelator,http://id.loc.gov/vocabulary/relators/ctb,,,Greater New York Savings Bank,corporate,Contributor,marcrelator,http://id.loc.gov/vocabulary/relators/ctb,,,1970,1979,inferred,between 1970 and 1979,,Date range inferred from dates of construction of World Trade Center.,,printed ephemera,aat,http://vocab.getty.edu/aat/300264821,,,,,,,reformatted digital,YR.0002.SI,Avery Classics Collection,"Avery Architectural & Fine Arts Library, Columbia University",NNC-A,marcorg,http://id.loc.gov/authorities/names/n80087582,New York (N.Y.),http://id.loc.gov/authorities/names/n79007751,English,iso639-2,http://id.loc.gov/vocabulary/iso639-2/eng,,Apartment houses--New York (State)--New York,lcsh,http://id.loc.gov/authorities/subjects/sh2009115107,Buildings,lcsh,http://id.loc.gov/authorities/subjects/sh85017769,Architectural firms,lcsh,http://id.loc.gov/authorities/subjects/sh85006594,"World Trade Center (New York, N.Y.)",corporate,naf,http://id.loc.gov/authorities/subjects/sh86001484,Street: 80 Bay Street Landing,Staten Island,New York,United States,"Saint George (New York, N.Y.)",naf,http://id.loc.gov/authorities/names/n2008024994,,,,,,still image,text,"Donated by Yale Robbins, Henry Robbins, & David Magier.",provenance,Avery’s Architectural Ephemera Collections,http://www.columbia.edu/cgi-bin/cul/resolve?clio10813843,,
,averyephemera_jal_001,asset,averyephemera_jal,,omeka_7290,,Recto of souvenir booklet cover,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,original filename: 1202210017.jpg,filename,,,,,,,https://exhibitions.cul.columbia.edu/exhibits/show/ephemera/souvenir/postcard,
,averyephemera_jal_001,asset,averyephemera_jal,,omeka_7291,,Verso of souvenir booklet cover,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,original filename: 1202210018.jpg,filename,,,,,,,https://exhibitions.cul.columbia.edu/exhibits/show/ephemera/souvenir/postcard,
,averyephemera_jal,item,,,,,Jerome Arizona: Largest Ghost City in America,,,Dexter Press,corporate,Publisher,marcrelator,http://id.loc.gov/vocabulary/relators/pbl,,,,naf,http://id.loc.gov/authorities/names/no2011092523,,,,,,,,,,,,,,,,,,,,,,1890,1950,inferred,between 1890 and 1950,,"Date range inferred from dates of unofficial [Collection of souvenir views of cities, towns and other places (e.g. The Berkshire Trail) generally issued in accordion format], part of the Avery Classics collection, call  number AA707 C68.",,postcards,aat,http://vocab.getty.edu/aat/300026816,,,,,,,reformatted digital,AA707 C68,Avery Classics Collection,"Avery Architectural & Fine Arts Library, Columbia University",NNC-A,marcorg,http://id.loc.gov/authorities/names/n80087582,West Nyack (N.Y.),http://id.loc.gov/authorities/names/n82257184,English,iso639-2,http://id.loc.gov/vocabulary/iso639-2/eng,"Dexter Press, Inc.",United States--Social life and customs--20th century,lcsh,http://id.loc.gov/authorities/subjects/sh85140537,United States--Social life and customs--19th century,lcsh,http://id.loc.gov/authorities/subjects/sh85140534,Cities and towns,lcsh,http://id.loc.gov/authorities/subjects/sh85026130,,,,,,,,,Jerome (Ariz.),naf,http://id.loc.gov/authorities/names/n84149366,,,,,,still image,,,,Avery’s Architectural Ephemera Collections,http://www.columbia.edu/cgi-bin/cul/resolve?clio10813843,,
,averyephemera_nbs_001,asset,averyephemera_nbs,,omeka_7308,,Cover of brochure,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,original filename: ldpd_YR_1051_MH_001_001.jpg,filename,,,,,,,https://exhibitions.cul.columbia.edu/exhibits/show/ephemera/brochures/nyre,
,averyephemera_nbs_004,asset,averyephemera_nbs,,omeka_7309,,Page 4 of brochure,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,original filename: ldpd_YR_1051_MH_001_004.jpg,filename,,,,,,,https://exhibitions.cul.columbia.edu/exhibits/show/ephemera/brochures/nyre,
,averyephemera_nbs,item,,,,,New 1775 Broadway at 57th Street,New York Real Estate Brochure Collection,,Cross & Brown Company,corporate,Creator,marcrelator,http://id.loc.gov/vocabulary/relators/cre,,,,naf,http://id.loc.gov/authorities/names/nr90017477,,,,,,,,,,,,,,,,,,,,,,1920,1979,inferred,between 1920 and 1979,,Date range inferred from dates in the New York Real Estate Brochure Collection.,,printed ephemera,aat,http://vocab.getty.edu/aat/300264821,,,,,,,reformatted digital,YR.1051.MH.001,Avery Classics Collection,"Avery Architectural & Fine Arts Library, Columbia University",NNC-A,marcorg,http://id.loc.gov/authorities/names/n80087582,New York (N.Y.),http://id.loc.gov/authorities/names/n79007751,English,iso639-2,http://id.loc.gov/vocabulary/iso639-2/eng,,Apartment houses--New York (State)--New York,lcsh,http://id.loc.gov/authorities/subjects/sh2009115107,Buildings,lcsh,http://id.loc.gov/authorities/subjects/sh85017769,Architectural firms,lcsh,http://id.loc.gov/authorities/subjects/sh85006594,,,,,Street: 1775 Broadway,New York,New York,United States,"Manhattan (New York, N.Y.)",naf,http://id.loc.gov/authorities/names/n80118393,,,,,,still image,text,"Donated by Yale Robbins, Henry Robbins, & David Magier.",provenance,Avery’s Architectural Ephemera Collections,http://www.columbia.edu/cgi-bin/cul/resolve?clio10813843,,
,averyephemera_nyn_001,asset,averyephemera_nyn,,omeka_7285,,Recto of souvenir booklet cover,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,original filename: 1202210012.jpg,filename,,,,,,,https://exhibitions.cul.columbia.edu/exhibits/show/ephemera/souvenir/postcard,
,averyephemera_nyn_001,asset,averyephemera_nyn,,omeka_7286,,Souvenir booklet with accordian-style postcards pulled out,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,original filename: 1202210013.jpg,filename,,,,,,,https://exhibitions.cul.columbia.edu/exhibits/show/ephemera/souvenir/postcard,
,averyephemera_nyn_002,asset,averyephemera_nyn,,omeka_7287,,Verso of souvenir booklet cover,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,original filename: 1202210014.jpg,filename,,,,,,,,
,averyephemera_nyn,item,,,,,New York By Night,,,Manhattan Post Card Co.,corporate,Creator,marcrelator,http://id.loc.gov/vocabulary/relators/cre,Publisher,marcrelator,http://id.loc.gov/vocabulary/relators/pbl,naf,http://id.loc.gov/authorities/names/no2014045406,,,,,,,,,,,,,,,,,,,,,,1890,1950,inferred,between 1890 and 1950,Souvenir booklet with accordian-style postcards,"Date range inferred from dates of unofficial [Collection of souvenir views of cities, towns and other places (e.g. The Berkshire Trail) generally issued in accordion format], part of the Avery Classics collection, call  number AA707 C68.",,postcards,aat,http://vocab.getty.edu/aat/300026816,books,aat,http://vocab.getty.edu/aat/300028051,,,,reformatted digital,AA707 C68,Avery Classics Collection,"Avery Architectural & Fine Arts Library, Columbia University",NNC-A,marcorg,http://id.loc.gov/authorities/names/n80087582,New York (N.Y.),http://id.loc.gov/authorities/names/n79007751,English,iso639-2,http://id.loc.gov/vocabulary/iso639-2/eng,"Manhattan Post Card Publishing Co., Inc.","Statue of Liberty (New York, N.Y.)",lcsh,http://id.loc.gov/authorities/subjects/sh85127593,"Empire State Building (New York, N.Y.)",lcsh,http://id.loc.gov/authorities/subjects/sh85042848,"Chrysler Building (New York, N.Y.)",lcsh,http://id.loc.gov/authorities/subjects/sh94003508,,,,,,,,,"Manhattan (New York, N.Y.)",naf,http://id.loc.gov/authorities/names/n80118393,,,,,,still image,,,,Avery’s Architectural Ephemera Collections,http://www.columbia.edu/cgi-bin/cul/resolve?clio10813843,,
,averyephemera_sal_001,asset,averyephemera_sal,,omeka_7282,,Cover,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,original filename: 1202210009.jpg,filename,,,,,,,https://exhibitions.cul.columbia.edu/exhibits/show/ephemera/catalogs/trade,
,averyephemera_sal_001,asset,averyephemera_sal,,omeka_7283,,Marbre II' wallpaper sample,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,original filename: 1202210010.jpg,filename,,,,,,,https://exhibitions.cul.columbia.edu/exhibits/show/ephemera/catalogs/trade,
,averyephemera_sal_002,asset,averyephemera_sal,,omeka_7284,,Wallpaper color samples,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,original filename: 1202210011.jpg,filename,,,,,,,,
,averyephemera_sal,item,,,,9116980,Salubra,Trade Catalog Collection,,"Le Corbusier, 1887-1965",personal,Creator,marcrelator,http://id.loc.gov/vocabulary/relators/cre,Designer,marcrelator,http://id.loc.gov/vocabulary/relators/dsr,naf,http://id.loc.gov/authorities/names/n79021788,Salubra (Firm),corporate,Publisher,marcrelator,http://id.loc.gov/vocabulary/relators/pbl,naf,http://id.loc.gov/authorities/names/no2003066353,,,,,,,,,,,,,,,1959,,approximate,circa 1959,Catalog of wallpaper samples,,,books,aat,http://vocab.getty.edu/aat/300028051,,,,Trade catalogs,fast,http://id.worldcat.org/fast/1919982,reformatted digital,AA653 J3 S38,Avery Classics Collection,"Avery Architectural & Fine Arts Library, Columbia University",NNC-A,marcorg,http://id.loc.gov/authorities/names/n80087582,Basel (Switzerland),http://id.loc.gov/authorities/names/n79062979,English,iso639-2,http://id.loc.gov/vocabulary/iso639-2/eng,Salubra,Wallpaper,lcsh,http://id.loc.gov/authorities/subjects/sh85144953,,,,,,,,,,,,,,,,,,,,,,,text,,,,Avery’s Architectural Ephemera Collections,http://www.columbia.edu/cgi-bin/cul/resolve?clio10813843,,
,averyephemera_sbd_001,asset,averyephemera_sbd,,omeka_7274,,Cover,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,original filename: 1202210001.jpg,filename,,,,,,,https://exhibitions.cul.columbia.edu/exhibits/show/ephemera/catalogs/trade,
,averyephemera_sbd_001,asset,averyephemera_sbd,,omeka_7275,,Page spread of various galvanized iron cornices,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,original filename: 1202210002.jpg,filename,,,,,,,,
,averyephemera_sbd_002,asset,averyephemera_sbd,,omeka_7276,,Page spread of various vane samples,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,original filename: 1202210003.jpg,filename,,,,,,,https://exhibitions.cul.columbia.edu/exhibits/show/ephemera/catalogs/trade,
,averyephemera_sbd,item,,,,223013,"Specimen Book of Dunn & Witt : Manufacturers of Ornamental Galvanized Iron Cornices, Louvers, Dormer-Windows, Finials, Balustrading, Window Caps, Vanes, etc., : Also, Tin, Iron, and Slate Roofers",Trade Catalog Collection,,Dunn & Witt,corporate,Creator,marcrelator,http://id.loc.gov/vocabulary/relators/cre,Publisher,marcrelator,http://id.loc.gov/vocabulary/relators/pbl,,,,,,,,,,,,,,,,,,,,,,,,1870,,,1870,,,,books,aat,http://vocab.getty.edu/aat/300028051,,,,Trade catalogs,fast,http://id.worldcat.org/fast/1919982,reformatted digital,AT4700 D92 1870,Avery Classics Collection,"Avery Architectural & Fine Arts Library, Columbia University",NNC-A,marcorg,http://id.loc.gov/authorities/names/n80087582,Cincinnati (Ohio),http://id.loc.gov/authorities/names/n79053745,English,iso639-2,http://id.loc.gov/vocabulary/iso639-2/eng,Dunn & Witt,Architectural metal-work--Catalogs,lcsh,http://id.loc.gov/authorities/subjects/sh2009115369,"Decoration and ornament, Architectural",lcsh,http://id.loc.gov/authorities/subjects/sh85036275,Metal-work,lcsh,http://id.loc.gov/authorities/subjects/sh85084093,,,,,,,,,,,,,,,,,text,,,,Avery’s Architectural Ephemera Collections,http://www.columbia.edu/cgi-bin/cul/resolve?clio10813843,,
,averyephemera_sko_001,asset,averyephemera_sko,,omeka_7280,,Cover,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,original filename: 1202210007.jpg,filename,,,,,,,https://exhibitions.cul.columbia.edu/exhibits/show/ephemera/catalogs/trade,
,averyephemera_sko_001,asset,averyephemera_sko,,omeka_7281,,Samples of various stains,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,original filename: 1202210008.jpg,filename,,,,,,,https://exhibitions.cul.columbia.edu/exhibits/show/ephemera/catalogs/trade,
,averyephemera_sko,item,,,,901391,"Standard Kleartone Oil Stain, Acid Stain and Paste Wood Filler Samples",Trade Catalog Collection,,Standard Varnish Works,corporate,Creator,marcrelator,http://id.loc.gov/vocabulary/relators/cre,Publisher,marcrelator,http://id.loc.gov/vocabulary/relators/pbl,naf,http://id.loc.gov/authorities/names/nr92011762,,,,,,,,,,,,,,,,,,,,,,1924,,,1924,,,,books,aat,http://vocab.getty.edu/aat/300028051,,,,Trade catalogs,fast,http://id.worldcat.org/fast/1919982,reformatted digital,AT7425 St24 1924,Avery Classics Collection,"Avery Architectural & Fine Arts Library, Columbia University",NNC-A,marcorg,http://id.loc.gov/authorities/names/n80087582,New York (N.Y.),http://id.loc.gov/authorities/names/n79007751,English,iso639-2,http://id.loc.gov/vocabulary/iso639-2/eng,Standard Varnish Works,Stains and staining,lcsh,http://id.loc.gov/authorities/subjects/sh85127262,Architecture,lcsh,http://id.loc.gov/authorities/subjects/sh85006611,,,,,,,,,,,,,,,,,,,,mixed material,,,,Avery’s Architectural Ephemera Collections,http://www.columbia.edu/cgi-bin/cul/resolve?clio10813843,,
,averyephemera_sop_001,asset,averyephemera_sop,,omeka_7310,,Cover of brochure,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,original filename: ldpd_YR_0688_BR_001_001.jpg,filename,,,,,,,https://exhibitions.cul.columbia.edu/exhibits/show/ephemera/brochures/nyre,
,averyephemera_sop_003,asset,averyephemera_sop,,omeka_7311,,Page 3 of brochure.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,original filename: ldpd_YR_0688_BR_001_003.jpg,filename,,,,,,,https://exhibitions.cul.columbia.edu/exhibits/show/ephemera/brochures/nyre,
