identifier_omeka,title,name_primary,abstract,dateCreated,note_filename,typeOfResource,relatedItem_Project
9238,Assata Taught Me,Candace Simpson,"Wesley Morris, Ashley Ellis, Candace Simpson and Keshia Pendigrast marching in the Millions March protest in hoodies that support the Millennial Activists United organization.",2015-12-13,IMG_8951.JPG,Still Image,Love in Action
9235,Cross in Ferguson,"Wesley Morris, photographer",UTS Ferguson Trip,2014-10-13,1506539_10101186323739623_6026950306296039635_n.jpg,Still Image,Love in Action
9233,We Occupy,Brigette C. Kamsler,"Cell phone picture taken on October 22, 2011 in Zuccotti Park of the sign ""We Occupy.""",2011-10-22,OccupySign.jpg,Still Image,Love in Action
9232,Occupy Wall Street in Zuccotti Park,Brigette C. Kamsler,"Cell phone picture taken on October 22, 2011 in Zuccotti Park of Occupy Wall Street.",2011-10-22,Occupy_2.jpg,Still Image,Love in Action
9231,"Moral Mondays in Raleigh,  North Carolina ",Timothy Wotring,"Moral Mondays in Raleigh,  North Carolina ",2015-02-14,Moral Monday.jpg,Still Image,Love in Action
9230,Occupy Wall Street in Zuccotti Park,Brigette C. Kamsler,"Cell phone picture taken on October 22, 2011 in Zuccotti Park of Occupy Wall Street.",2011-10-22,Occupy_1.jpg,Still Image,Love in Action
9229,Timothy Wotring at the Moral Mondays Rally. ,Timothy Wotring,Timothy Wotring at the Moral Mondays Rally. ,2015-02-14,Timothy living wages.jpg,Still Image,Love in Action
9228,LoveInAction,"Matthea, photographer; contributed by Kristen Guest","Union Theological Seminary's #LoveInAction banner in Millions March to Washington Square Park, NYC.",2014-12-13,Kristen Guest photo.jpg,Still Image,Love in Action
9227,Protest Schedule,"Elizabeth Call, photographer",Daily protest plan during NYC protests in December 2014.,2014-12-08,CallE_LoveInAction_LoveHub_12082014_1.jpg,Still Image,Love in Action
9226,"""Welcome to this Space""","Elizabeth Call, photographer","""The Hub,"" student protest headquarters in Union Theological Seminary, signage.",2014-12-08,CallE_LoveInAction_LoveHub_12082014_10.jpg,Still Image,Love in Action
