item - public,item - itemId,item - MODS - TypeofDate,item - MODS - DigitalOrigin,item - MODS - RepositoryName,item - MODS - RepositoryName - code,item - MODS - LanguageofCataloging,item - MODS - KeyDate - Single/Start,item - MODS - KeyDate - End,item - MODS - FormGenre,item - MODS - Notes,item - MODS - ShelfLocation,item - MODS - Collection,item - MODS - PublicationPlace,item - MODS - PlaceofOrigin,item - MODS - PublicationDate,item - DublinCore - Title,item - DublinCore - Title - Whole,item - DublinCore - Title - Part,item - DublinCore - Title 2,item - DublinCore - Title 2 - Whole,item - DublinCore - Title 2 - Part,item - DublinCore - Title 2 - Attribute,item - DublinCore - Language,item - DublinCore - Date,item - DublinCore - Creator 1,item - DublinCore - Creator 2,item - DublinCore - Publisher,item - DublinCore - Description,item - DublinCore - Source,item - DublinCore - Subject 1,item - DublinCore - Subject 2,item - DublinCore - Subject 3,item - DublinCore - Subject 4,item - OriginalFileLoadedIntoOmeka,item - ItemType,item - OmekaCollection,item - ItemInContext,item - AdditionalItemMetadata - RightsHolder,project URL
1,7017,approximate,reformatted digital,"Rare Book & Manuscript Library, Columbia University",NNC-RB,eng,1942,,music,,,Béla Bartók manuscripts,,,,Rumanian Folk Music,Rumanian Folk Music,,,,,,eng,circa 1942,"Bartók, Béla, 1881-1945",,,Autograph manuscript,,,,,,original filename: Bartok Rumanian Ms.jpg,still image,Music at Columbia: The First 100 Years,https://exhibitions.cul.columbia.edu/index.php/exhibits/show/music-centennial/ethnomusicology/bela-bartok,,http://www.columbia.edu/cgi-bin/cul/resolve?clio9628664
1,7016,,reformatted digital,Non-Columbia Location,Non-CUL,eng,1899,,photographs,,,,,,,"Carnegie Hall, 1899","Carnegie Hall, 1899",,,,,,eng,1899,,,,,,"Carnegie Hall (New York, N.Y.)",,,,original filename: 1899_Exterior-lr.jpg,still image,Music at Columbia: The First 100 Years,https://exhibitions.cul.columbia.edu/index.php/exhibits/show/music-centennial/finding-a-home/morningside-campus,Carnegie Hall Archives and Museum,http://www.columbia.edu/cgi-bin/cul/resolve?clio9628664
1,6854,,reformatted digital,"Rare Book & Manuscript Library, Columbia University",NNC-RB,eng,1996-10-19,,photographs,,,,,New York,,Rachel Hadas and George Edwards,Rachel Hadas and George Edwards,,,,,,eng,"October 19, 1996","Winter, Damon",,,,,,,,,original filename: George Edwards and Rachel Hadas Music Cent.JPG,still image,Music at Columbia: The First 100 Years,https://exhibitions.cul.columbia.edu/index.php/exhibits/show/music-centennial/the-centennial-celebrations/from-the-chair,,http://www.columbia.edu/cgi-bin/cul/resolve?clio9628664
1,6853,,reformatted digital,"University Archives, Columbia University",NNC-UA,eng,1977,,pamphlets,,"Series XIX Student Life, Fine and Performing Arts, Box 240, Folder 4 Glee Club Ephemera",Historical subject files,,,,Glee Club. Cover,Glee Club,Cover,,,,,eng,1977,Columbia University. Glee Club,,,,,,,,,original filename: Glee Club.jpg,still image,Music at Columbia: The First 100 Years,,,http://www.columbia.edu/cgi-bin/cul/resolve?clio9628664
1,6852,,reformatted digital,"University Archives, Columbia University",NNC-UA,eng,1948,,photographs,,"Box 31, Folder 2 Music Department",Office of Public Affairs Photograph Collection,,New York,,Opera Workshop rehearsal of Evangeline,Opera Workshop rehearsal of Evangeline,,,,,,,Spring 1948,Warman,,,,,"Luening, Otto, 1900-1996","Beeson, Jack, 1921-2010","Stich-Randall, Teresa, 1927-2007",,original filename: Evangeline Rehearsal.jpg,still image,Music at Columbia: The First 100 Years,https://exhibitions.cul.columbia.edu/index.php/exhibits/show/music-centennial/music/opera-workshop,,http://www.columbia.edu/cgi-bin/cul/resolve?clio9628664
1,6851,questionable,reformatted digital,"University Archives, Columbia University",NNC-UA,eng,1953,1980,photographs,,"Box 31, Folder 2 Music Department",Office of Public Affairs Photograph Collection,,,,Howard Shanet Conducting University Orchestra,Howard Shanet Conducting University Orchestra,,,,,,,1953-1980,"Rogers, Hugh",,,,,"Shanet, Howard",,,,original filename: Howard Shanet conducting Orchestra.jpg,still image,Music at Columbia: The First 100 Years,https://exhibitions.cul.columbia.edu/index.php/exhibits/show/music-centennial/music-performance-current/howard-shanet,,http://www.columbia.edu/cgi-bin/cul/resolve?clio9628664
1,6850,inferred,reformatted digital,"University Archives, Columbia University",NNC-UA,eng,1883,1965,photographs,,"Box 31, Folder 2 Music Department",Office of Public Affairs Photograph Collection,,,,Edgard Varese,Edgard Varese,,,,,,,No date,,,,,,"Varèse, Edgard, 1883-1965",,,,original filename: Edgard Varese.jpg,still image,Music at Columbia: The First 100 Years,https://exhibitions.cul.columbia.edu/index.php/exhibits/show/music-centennial/composition/composers,,http://www.columbia.edu/cgi-bin/cul/resolve?clio9628664
1,6849,approximate,reformatted digital,"University Archives, Columbia University",NNC-UA,eng,1951,1959,photographs,,"Box 31, Folder 4 Electronic Music",Office of Public Affairs Photograph Collection,,,,Otto Luening and Vladimir Ussachevsky in the Electronic Music Center,Otto Luening and Vladimir Ussachevsky in the Electronic Music Center,,,,,,,circa 1950s,,,,,,"Luening, Otto, 1900-1996","Ussachevsky, Vladimir, 1911-1990",,,original filename: Leuning and Ussachevsky at EMC.jpg,still image,Music at Columbia: The First 100 Years,https://exhibitions.cul.columbia.edu/index.php/exhibits/show/music-centennial/electronic-and-computer-music/vladimir-ussachevsky,,http://www.columbia.edu/cgi-bin/cul/resolve?clio9628664
1,6848,,reformatted digital,"University Archives, Columbia University",NNC-UA,eng,1959,,photographs,,"Box 31, folder 4, Electronic Music",Office of Public Affairs Photograph Collection,,,,"Milton Babbitt, Peter Mauzey, and Vladimir Ussachevsky with the RCA Mark II Synthesizer","Milton Babbitt, Peter Mauzey, and Vladimir Ussachevsky with the RCA Mark II Synthesizer",,,,,,,1959,,,,,,Synthesizer (Musical instrument),"Babbitt, Milton, 1916-2011","Ussachevsky, Vladimir, 1911-1990","Mauzey, Peter","original filename: RCA Synthesizer, Cage, Mauzey, Ussachevsky.jpg",still image,Music at Columbia: The First 100 Years,https://exhibitions.cul.columbia.edu/index.php/exhibits/show/music-centennial/electronic-and-computer-music/electronic-music-center,,http://www.columbia.edu/cgi-bin/cul/resolve?clio9628664
1,6847,approximate,reformatted digital,"University Archives, Columbia University",NNC-UA,eng,1959,1990,photographs,,"Box 31, Folder 4 Electronic Music",Office of Public Affairs Photograph Collection,,New York,,Mario Davidovsky at the Electronic Music Center,Mario Davidovsky at the Electronic Music Center,,,,,,,after 1959,,,,,,"Davidovsky, Mario, 1934-",,,,original filename: Mario Davidovsky at EMC.jpg,still image,Music at Columbia: The First 100 Years,https://exhibitions.cul.columbia.edu/index.php/exhibits/show/music-centennial/electronic-and-computer-music/more-recent-work,,http://www.columbia.edu/cgi-bin/cul/resolve?clio9628664
