item - public,item - itemId,item - MODS - TypeofDate,item - MODS - DigitalOrigin,item - MODS - RepositoryName,item - MODS - RepositoryName - code,item - MODS - LanguageofCataloging,item - MODS - KeyDate - Single/Start,item - MODS - KeyDate - End,item - MODS - FormGenre,item - MODS - Notes,item - MODS - ShelfLocation,item - MODS - Collection,item - MODS - PublicationPlace,item - MODS - PlaceofOrigin,item - MODS - PublicationDate,item - DublinCore - Title,item - DublinCore - Title - Whole,item - DublinCore - Title - Part,item - DublinCore - Title 2,item - DublinCore - Title 2 - Whole,item - DublinCore - Title 2 - Part,item - DublinCore - Title 2 - Attribute,item - DublinCore - Language,item - DublinCore - Date,item - DublinCore - Creator 1,item - DublinCore - Creator 2,item - DublinCore - Publisher,item - DublinCore - Description,item - DublinCore - Source,item - DublinCore - Subject 1,item - DublinCore - Subject 2,item - DublinCore - Subject 3,item - DublinCore - Subject 4,item - OriginalFileLoadedIntoOmeka,item - ItemType,item - OmekaCollection,item - ItemInContext,item - AdditionalItemMetadata - RightsHolder,project URL
1,6477,inferred,reformatted digital,"University Archives, Columbia University",NNC-UA,eng,1902,,printed ephemera,,"Box 210, folder 14",Historical biographical files,New York (N.Y.),,,From Grieg to Brahms. Page 2,From Grieg to Brahms,Page 2,,,,,eng,circa 1902,Outlook Company,,Outlook Company,"Advertising brochure for Gregory Daniel Mason's work ""From Grieg to Brahms"".",,"Mason, Daniel Gregory, 1873-1953",,,,original filename: 110118162.jpg,still image,Music at Columbia: The First 100 Years,https://exhibitions.cul.columbia.edu/index.php/exhibits/show/music-centennial/undergraduate-curriculum/daniel-gregory-mason,,http://www.columbia.edu/cgi-bin/cul/resolve?clio9628664
1,6476,inferred,reformatted digital,"University Archives, Columbia University",NNC-UA,eng,1902,,printed ephemera,,"Box 210, folder 14",Historical biographical files,New York (N.Y.),,,From Grieg to Brahms. Page 1,From Grieg to Brahms,Page 1,,,,,eng,circa 1902,Outlook Company,,Outlook Company,"Advertising brochure for Gregory Daniel Mason's work ""From Grieg to Brahms"".",,"Mason, Daniel Gregory, 1873-1953",,,,original filename: 110118161.jpg,still image,Music at Columbia: The First 100 Years,https://exhibitions.cul.columbia.edu/index.php/exhibits/show/music-centennial/undergraduate-curriculum/daniel-gregory-mason,,http://www.columbia.edu/cgi-bin/cul/resolve?clio9628664
1,6475,,reformatted digital,"University Archives, Columbia University",NNC-UA,eng,1918-07,,periodicals,,,,New York (N.Y.),,,Music as College Study. First page 235,Music as College Study,First page 235,,,,,eng,"July, 1918","Mason, Daniel Gregory, 1873-1953",,Columbia University,,Columbia University Quarterly: XX/3,,,,,original filename: 110118160.jpg,still image,Music at Columbia: The First 100 Years,https://exhibitions.cul.columbia.edu/index.php/exhibits/show/music-centennial/undergraduate-curriculum/music-as-a-college-study,,http://www.columbia.edu/cgi-bin/cul/resolve?clio9628664
1,6474,,reformatted digital,"University Archives, Columbia University",NNC-UA,eng,1940-02-10,,periodicals,,"Box 178, folder 6",Historical subject files,,,,Musical America's Education Department--A Glimpse of a Modern Graduate Music Seminar,Musical America's Education Department--A Glimpse of a Modern Graduate Music Seminar,,,,,,eng,10-Feb-1940,"Sabin, Robert",,Musical America,Paul Henry Lang's Columbia University Class,"Musical America: February 10, 1940","Lang, Paul Henry, 1901-1991",Columbia University,,,original filename: 110118159.jpg,still image,Music at Columbia: The First 100 Years,https://exhibitions.cul.columbia.edu/index.php/exhibits/show/music-centennial/historical-musicology/paul-henry-lang,,http://www.columbia.edu/cgi-bin/cul/resolve?clio9628664
1,6473,inferred,reformatted digital,"University Archives, Columbia University",NNC-UA,eng,1932,1970,photographs,,Portraits- Lang,Historical subject files,,,,Paul Henry Lang and seminar,Paul Henry Lang and seminar,,,,,,eng,after 1932,,,,Lang and a musicology seminar,,"Lang, Paul Henry, 1901-1991",,,,original filename: 110118158.jpg,still image,Music at Columbia: The First 100 Years,https://exhibitions.cul.columbia.edu/index.php/exhibits/show/music-centennial/historical-musicology/paul-henry-lang,,http://www.columbia.edu/cgi-bin/cul/resolve?clio9628664
1,6472,inferred,reformatted digital,"University Archives, Columbia University",NNC-UA,eng,1901,1991,photographs,,Portraits- Lang,Historical subject files,,,,Paul Henry Lang,Paul Henry Lang,,,,,,,1901-1991,"Conway Studios (New York, N.Y.)",,Conway Studios,Paul Henry Lang,,"Lang, Paul Henry, 1901-1991",,,,original filename: 110118157.jpg,still image,Music at Columbia: The First 100 Years,,,http://www.columbia.edu/cgi-bin/cul/resolve?clio9628664
1,6471,,reformatted digital,"University Archives, Columbia University",NNC-UA,eng,1996-11-20,,printed ephemera,,"Box 190, folder 4",Historical subject files,,,,In Memoriam Otto Luening. Page 15,In Memoriam Otto Luening,Page 15,,,,,eng,20-Nov-1996,Columbia University,,Columbia University,"Program November 20, 1996",,,,,,original filename: 110118156.jpg,still image,Music at Columbia: The First 100 Years,https://exhibitions.cul.columbia.edu/index.php/exhibits/show/music-centennial/composition/otto-luening-part-2,,http://www.columbia.edu/cgi-bin/cul/resolve?clio9628664
1,6470,,reformatted digital,"University Archives, Columbia University",NNC-UA,eng,1996-11-20,,printed ephemera,,"Box 190, folder 4",Historical subject files,,,,In Memoriam Otto Luening. Page 14,In Memoriam Otto Luening,Page 14,,,,,eng,20-Nov-1996,Columbia University,,Columbia University,"Program November 20, 1996",,,,,,original filename: 110118155.jpg,still image,Music at Columbia: The First 100 Years,https://exhibitions.cul.columbia.edu/index.php/exhibits/show/music-centennial/composition/otto-luening-part-2,,http://www.columbia.edu/cgi-bin/cul/resolve?clio9628664
1,6469,,reformatted digital,"University Archives, Columbia University",NNC-UA,eng,1996-11-20,,printed ephemera,,"Box 190, folder 4",Historical subject files,,,,In Memoriam Otto Luening. Page 13,In Memoriam Otto Luening,Page 13,,,,,eng,20-Nov-1996,Columbia University,,Columbia University,"Program November 20, 1996",,,,,,original filename: 110118154.jpg,still image,Music at Columbia: The First 100 Years,https://exhibitions.cul.columbia.edu/index.php/exhibits/show/music-centennial/composition/otto-luening-part-2,,http://www.columbia.edu/cgi-bin/cul/resolve?clio9628664
1,6468,,reformatted digital,"University Archives, Columbia University",NNC-UA,eng,1996-11-20,,printed ephemera,,"Box 190, folder 4",Historical subject files,,,,In Memoriam Otto Luening. Page 12,In Memoriam Otto Luening,Page 12,,,,,eng,20-Nov-1996,Columbia University,,Columbia University,"Program November 20, 1996",,,,,,original filename: 110118153.jpg,still image,Music at Columbia: The First 100 Years,https://exhibitions.cul.columbia.edu/index.php/exhibits/show/music-centennial/composition/otto-luening-part-2,,http://www.columbia.edu/cgi-bin/cul/resolve?clio9628664
1,6467,,reformatted digital,"University Archives, Columbia University",NNC-UA,eng,1996-11-20,,printed ephemera,,"Box 190, folder 4",Historical subject files,,,,In Memoriam Otto Luening. Page 11,In Memoriam Otto Luening,Page 11,,,,,eng,20-Nov-1996,Columbia University,,Columbia University,"Program November 20, 1996",,,,,,original filename: 110118152.jpg,still image,Music at Columbia: The First 100 Years,https://exhibitions.cul.columbia.edu/index.php/exhibits/show/music-centennial/composition/otto-luening-part-2,,http://www.columbia.edu/cgi-bin/cul/resolve?clio9628664
1,6466,,reformatted digital,"University Archives, Columbia University",NNC-UA,eng,1996-11-20,,printed ephemera,,"Box 190, folder 4",Historical subject files,,,,In Memoriam Otto Luening. Page 10,In Memoriam Otto Luening,Page 10,,,,,eng,20-Nov-1996,Columbia University,,Columbia University,"Program November 20, 1996",,,,,,original filename: 110118151.jpg,still image,Music at Columbia: The First 100 Years,https://exhibitions.cul.columbia.edu/index.php/exhibits/show/music-centennial/composition/otto-luening-part-2,,http://www.columbia.edu/cgi-bin/cul/resolve?clio9628664
1,6465,,reformatted digital,"University Archives, Columbia University",NNC-UA,eng,1996-11-20,,printed ephemera,,"Box 190, folder 4",Historical subject files,,,,In Memoriam Otto Luening. Page 9,In Memoriam Otto Luening,Page 9,,,,,eng,20-Nov-1996,Columbia University,,Columbia University,"Program November 20, 1996",,,,,,original filename: 110118150.jpg,still image,Music at Columbia: The First 100 Years,https://exhibitions.cul.columbia.edu/index.php/exhibits/show/music-centennial/composition/otto-luening,,http://www.columbia.edu/cgi-bin/cul/resolve?clio9628664
1,6464,,reformatted digital,"University Archives, Columbia University",NNC-UA,eng,1996-11-20,,printed ephemera,,"Box 190, folder 4",Historical subject files,,,,In Memoriam Otto Luening. Page 8,In Memoriam Otto Luening,Page 8,,,,,eng,20-Nov-1996,Columbia University,,Columbia University,"Program November 20, 1996",,,,,,original filename: 110118149.jpg,still image,Music at Columbia: The First 100 Years,https://exhibitions.cul.columbia.edu/index.php/exhibits/show/music-centennial/composition/otto-luening,,http://www.columbia.edu/cgi-bin/cul/resolve?clio9628664
1,6463,,reformatted digital,"University Archives, Columbia University",NNC-UA,eng,1996-11-20,,printed ephemera,,"Box 190, folder 4",Historical subject files,,,,In Memoriam Otto Luening. Page 7,In Memoriam Otto Luening,Page 7,,,,,eng,20-Nov-1996,Columbia University,,Columbia University,"Program November 20, 1996",,,,,,original filename: 110118148.jpg,still image,Music at Columbia: The First 100 Years,https://exhibitions.cul.columbia.edu/index.php/exhibits/show/music-centennial/composition/otto-luening,,http://www.columbia.edu/cgi-bin/cul/resolve?clio9628664
1,6462,,reformatted digital,"University Archives, Columbia University",NNC-UA,eng,1996-11-20,,printed ephemera,,"Box 190, folder 4",Historical subject files,,,,In Memoriam Otto Luening. Page 6,In Memoriam Otto Luening,Page 6,,,,,eng,20-Nov-1996,Columbia University,,Columbia University,"Program November 20, 1996",,,,,,original filename: 110118147.jpg,still image,Music at Columbia: The First 100 Years,https://exhibitions.cul.columbia.edu/index.php/exhibits/show/music-centennial/composition/otto-luening,,http://www.columbia.edu/cgi-bin/cul/resolve?clio9628664
1,6461,,reformatted digital,"University Archives, Columbia University",NNC-UA,eng,1996-11-20,,printed ephemera,,"Box 190, folder 4",Historical subject files,,,,In Memoriam Otto Luening. Page 5,In Memoriam Otto Luening,Page 5,,,,,eng,20-Nov-1996,Columbia University,,Columbia University,"Program November 20, 1996",,,,,,original filename: 110118146.jpg,still image,Music at Columbia: The First 100 Years,https://exhibitions.cul.columbia.edu/index.php/exhibits/show/music-centennial/composition/otto-luening,,http://www.columbia.edu/cgi-bin/cul/resolve?clio9628664
1,6460,,reformatted digital,"University Archives, Columbia University",NNC-UA,eng,1996-11-20,,printed ephemera,,"Box 190, folder 4",Historical subject files,,,,In Memoriam Otto Luening. Page 4,In Memoriam Otto Luening,Page 4,,,,,eng,20-Nov-1996,Columbia University,,Columbia University,"Program November 20, 1996",,,,,,original filename: 110118145.jpg,still image,Music at Columbia: The First 100 Years,https://exhibitions.cul.columbia.edu/index.php/exhibits/show/music-centennial/composition/otto-luening,,http://www.columbia.edu/cgi-bin/cul/resolve?clio9628664
1,6459,,reformatted digital,"University Archives, Columbia University",NNC-UA,eng,1996-11-20,,printed ephemera,,"Box 190, folder 4",Historical subject files,,,,In Memoriam Otto Luening. Page 3,In Memoriam Otto Luening,Page 3,,,,,eng,20-Nov-1996,Columbia University,,Columbia University,"Program November 20, 1996",,,,,,original filename: 110118144.jpg,still image,Music at Columbia: The First 100 Years,https://exhibitions.cul.columbia.edu/index.php/exhibits/show/music-centennial/composition/otto-luening,,http://www.columbia.edu/cgi-bin/cul/resolve?clio9628664
1,6458,,reformatted digital,"University Archives, Columbia University",NNC-UA,eng,1996-11-20,,printed ephemera,,"Box 190, folder 4",Historical subject files,,,,In Memoriam Otto Luening. Page 2,In Memoriam Otto Luening,Page 2,,,,,eng,20-Nov-1996,Columbia University,,Columbia University,"Program November 20, 1996",,,,,,original filename: 110118143.jpg,still image,Music at Columbia: The First 100 Years,https://exhibitions.cul.columbia.edu/index.php/exhibits/show/music-centennial/composition/otto-luening,,http://www.columbia.edu/cgi-bin/cul/resolve?clio9628664
1,6457,,reformatted digital,"University Archives, Columbia University",NNC-UA,eng,1996-11-20,,printed ephemera,,"Box 190, folder 4",Historical subject files,,New York (N.Y.),,In Memoriam Otto Luening. Page 1,In Memoriam Otto Luening,Page 1,,,,,eng,"November 20, 1996",Columbia University,,,"Program for memorial concert of November 20, 1996; front page includes a portrait of Otto Luening.",,"Luening, Otto, 1900-1996",,,,original filename: 110118142.jpg,still image,Music at Columbia: The First 100 Years,https://exhibitions.cul.columbia.edu/index.php/exhibits/show/music-centennial/composition/otto-luening,,http://www.columbia.edu/cgi-bin/cul/resolve?clio9628664
1,6456,,reformatted digital,"University Archives, Columbia University",NNC-UA,eng,1962-05-17,,printed ephemera,,"Box 222, folder 2",Historical subject files,,,,Music of Douglas Moore. Page 3,Music of Douglas Moore,Page 3,,,,,eng,17-May-1962,Columbia University,,Columbia University,"Program May 17, 1962",,,,,,original filename: 110118141.jpg,still image,Music at Columbia: The First 100 Years,https://exhibitions.cul.columbia.edu/index.php/exhibits/show/music-centennial/composition/douglas-moore,,http://www.columbia.edu/cgi-bin/cul/resolve?clio9628664
1,6455,,reformatted digital,"University Archives, Columbia University",NNC-UA,eng,1962-05-17,,printed ephemera,,"Box 222, folder 2",Historical subject files,,,,Music of Douglas Moore. Page 2,Music of Douglas Moore,Page 2,,,,,eng,17-May-1962,Columbia University,,Columbia University,"Program May 17, 1962",,,,,,original filename: 110118140.jpg,still image,Music at Columbia: The First 100 Years,https://exhibitions.cul.columbia.edu/index.php/exhibits/show/music-centennial/composition/douglas-moore,,http://www.columbia.edu/cgi-bin/cul/resolve?clio9628664
1,6454,,reformatted digital,"University Archives, Columbia University",NNC-UA,eng,1962-05-17,,printed ephemera,,"Box 222, folder 2",Historical subject files,,,,Music of Douglas Moore. Page 1,Music of Douglas Moore,Page 1,,,,,eng,17-May-1962,Columbia University,,Columbia University,"Program May 17, 1962",,,,,,original filename: 110118139.jpg,still image,Music at Columbia: The First 100 Years,https://exhibitions.cul.columbia.edu/index.php/exhibits/show/music-centennial/composition/douglas-moore,,http://www.columbia.edu/cgi-bin/cul/resolve?clio9628664
1,6453,questionable,reformatted digital,"University Archives, Columbia University",NNC-UA,eng,1957,,photographs,,"Portraits, Box 22",Historical subject files,,,,Photograph of Douglas Moore and Carlos Chavez,Photograph of Douglas Moore and Carlos Chavez,,,,,,eng,1957?,,,,,,"Moore, Douglas, 1893-1969","Chávez, Carlos, 1899-1978",,,original filename: 110118138.jpg,still image,Music at Columbia: The First 100 Years,https://exhibitions.cul.columbia.edu/index.php/exhibits/show/music-centennial/composition/composers,,http://www.columbia.edu/cgi-bin/cul/resolve?clio9628664
1,6452,inferred,reformatted digital,"University Archives, Columbia University",NNC-UA,eng,1947,1965,photographs,,"Portraits, Box 26",Historical subject files,,,,Photograph of Henry Cowell with Cat,Photograph of Henry Cowell with Cat,,,,,,,between 1947 and 1965?,,,,"This photograph of Henry Cowell is inscribed “to Ruth,” undoubtedly Ruth Ihrig, the Department of Music’s Administrator from 1947 to 1988.",,"Cowell, Henry, 1897-1965",,,,original filename: 110118137.jpg,still image,Music at Columbia: The First 100 Years,https://exhibitions.cul.columbia.edu/index.php/exhibits/show/music-centennial/composition/composers,,http://www.columbia.edu/cgi-bin/cul/resolve?clio9628664
1,6451,approximate,reformatted digital,"University Archives, Columbia University",NNC-UA,eng,1949,,printed ephemera,,"Box 65, folder 27",Historical subject files,,,,Henry Cowell. Cover,Henry Cowell,Cover,,,,,eng,circa 1949,,,Associated Music Publishers,Henry Cowell List of Works,,"Cowell, Henry, 1897-1965",,,,original filename: 110118136.jpg,still image,Music at Columbia: The First 100 Years,https://exhibitions.cul.columbia.edu/index.php/exhibits/show/music-centennial/composition/composers,,http://www.columbia.edu/cgi-bin/cul/resolve?clio9628664
1,6450,,reformatted digital,"University Archives, Columbia University",NNC-UA,eng,1969-04-16,,posters,,"Box 129, folder 6",Historical subject files,,,,Performers' Committee for Twentieth-Century Music. Poster,Performers' Committee for Twentieth-Century Music,Poster,,,,,eng,16-Apr-1969,Performers' Committee for Twentieth-Century Music,,Columbia University,"Bela Bartok Retrospective Concert Program April 16, 1969",,"Bartók, Béla, 1881-1945",,,,original filename: 110118135.jpg,still image,Music at Columbia: The First 100 Years,https://exhibitions.cul.columbia.edu/index.php/exhibits/show/music-centennial/ditson-fund/performers-committee,,http://www.columbia.edu/cgi-bin/cul/resolve?clio9628664
1,6449,,reformatted digital,"University Archives, Columbia University",NNC-UA,eng,1969-03-19,,posters,,"Box 129, folder 6",Historical subject files,,,,Performers' Committee for Twentieth- Century Music. Poster,Performers' Committee for Twentieth- Century Music,Poster,,,,,eng,19-Mar-69,Performers' Committee for Twentieth-Century Music,,Columbia University,"Henry Cowell Program March 19, 1969",,"Cowell, Henry, 1897-1965",,,,original filename: 110118134.jpg,still image,Music at Columbia: The First 100 Years,https://exhibitions.cul.columbia.edu/index.php/exhibits/show/music-centennial/ditson-fund/performers-committee,,http://www.columbia.edu/cgi-bin/cul/resolve?clio9628664
1,6448,,reformatted digital,"University Archives, Columbia University",NNC-UA,eng,1945-05-12,1945-05-14,printed ephemera,,"Box 130, folder 10",Historical subject files,New York (N.Y.),,,First Annual Festival of Contemporary Music. Page 11,First Annual Festival of Contemporary Music,Page 11,,,,,eng,"May 12, 13, 14, 1945",Columbia University,,Columbia University,"Program May 12, 13, 14, 1945",,,,,,original filename: 110118133.jpg,still image,Music at Columbia: The First 100 Years,,,http://www.columbia.edu/cgi-bin/cul/resolve?clio9628664
1,6447,,reformatted digital,"University Archives, Columbia University",NNC-UA,eng,1945-05-12,1945-05-14,printed ephemera,,"Box 130, folder 10",Historical subject files,New York (N.Y.),,,First Annual Festival of Contemporary Music. Page 10,First Annual Festival of Contemporary Music,Page 10,,,,,eng,"May 12, 13, 14, 1945",Columbia University,,Columbia University,"Program May 12, 13, 14, 1945",,,,,,original filename: 110118132.jpg,still image,Music at Columbia: The First 100 Years,,,http://www.columbia.edu/cgi-bin/cul/resolve?clio9628664
1,6446,,reformatted digital,"University Archives, Columbia University",NNC-UA,eng,1945-05-12,1945-05-14,printed ephemera,,"Box 130, folder 10",Historical subject files,New York (N.Y.),,,First Annual Festival of Contemporary Music. Page 9,First Annual Festival of Contemporary Music,Page 9,,,,,eng,"May 12, 13, 14, 1945",Columbia University,,Columbia University,"Program May 12, 13, 14, 1945",,,,,,original filename: 110118131.jpg,still image,Music at Columbia: The First 100 Years,https://exhibitions.cul.columbia.edu/index.php/exhibits/show/music-centennial/ditson-fund/concerts-and-festivals,,http://www.columbia.edu/cgi-bin/cul/resolve?clio9628664
1,6445,,reformatted digital,"University Archives, Columbia University",NNC-UA,eng,1945-05-12,1945-05-14,printed ephemera,,"Box 130, folder 10",Historical subject files,New York (N.Y.),,,First Annual Festival of Contemporary Music. Page 8,First Annual Festival of Contemporary Music,Page 8,,,,,eng,"May 12, 13, 14, 1945",Columbia University,,Columbia University,"Program May 12, 13, 14, 1945",,,,,,original filename: 110118130.jpg,still image,Music at Columbia: The First 100 Years,https://exhibitions.cul.columbia.edu/index.php/exhibits/show/music-centennial/ditson-fund/concerts-and-festivals,,http://www.columbia.edu/cgi-bin/cul/resolve?clio9628664
1,6444,,reformatted digital,"University Archives, Columbia University",NNC-UA,eng,1945-05-12,1945-05-14,printed ephemera,,"Box 130, folder 10",Historical subject files,New York (N.Y.),,,First Annual Festival of Contemporary Music. Page 7,First Annual Festival of Contemporary Music,Page 7,,,,,eng,"May 12, 13, 14, 1945",Columbia University,,Columbia University,"Program May 12, 13, 14, 1945",,,,,,original filename: 110118129.jpg,still image,Music at Columbia: The First 100 Years,https://exhibitions.cul.columbia.edu/index.php/exhibits/show/music-centennial/ditson-fund/concerts-and-festivals,,http://www.columbia.edu/cgi-bin/cul/resolve?clio9628664
1,6443,,reformatted digital,"University Archives, Columbia University",NNC-UA,eng,1945-05-12,1945-05-14,printed ephemera,,"Box 130, folder 10",Historical subject files,New York (N.Y.),,,First Annual Festival of Contemporary Music. Page 6,First Annual Festival of Contemporary Music,Page 6,,,,,eng,"May 12, 13, 14, 1945",Columbia University,,Columbia University,"Program May 12, 13, 14, 1945",,,,,,original filename: 110118128.jpg,still image,Music at Columbia: The First 100 Years,https://exhibitions.cul.columbia.edu/index.php/exhibits/show/music-centennial/ditson-fund/concerts-and-festivals,,http://www.columbia.edu/cgi-bin/cul/resolve?clio9628664
1,6442,,reformatted digital,"University Archives, Columbia University",NNC-UA,eng,1945-05-12,1945-05-14,printed ephemera,,"Box 130, folder 10",Historical subject files,New York (N.Y.),,,First Annual Festival of Contemporary Music. Page 5,First Annual Festival of Contemporary Music,Page 5,,,,,eng,"May 12, 13, 14, 1945",Columbia University,,Columbia University,"Program May 12, 13, 14, 1945",,,,,,original filename: 110118127.jpg,still image,Music at Columbia: The First 100 Years,https://exhibitions.cul.columbia.edu/index.php/exhibits/show/music-centennial/ditson-fund/concerts-and-festivals,,http://www.columbia.edu/cgi-bin/cul/resolve?clio9628664
1,6441,,reformatted digital,"University Archives, Columbia University",NNC-UA,eng,1945-05-12,1945-05-14,printed ephemera,,"Box 130, folder 10",Historical subject files,New York (N.Y.),,,First Annual Festival of Contemporary Music. Page 4,First Annual Festival of Contemporary Music,Page 4,,,,,eng,"May 12, 13, 14, 1945",Columbia University,,Columbia University,"Program May 12, 13, 14, 1945",,,,,,original filename: 110118126.jpg,still image,Music at Columbia: The First 100 Years,https://exhibitions.cul.columbia.edu/index.php/exhibits/show/music-centennial/ditson-fund/concerts-and-festivals,,http://www.columbia.edu/cgi-bin/cul/resolve?clio9628664
1,6440,,reformatted digital,"University Archives, Columbia University",NNC-UA,eng,1945-05-12,1945-05-14,printed ephemera,,"Box 130, folder 10",Historical subject files,New York (N.Y.),,,First Annual Festival of Contemporary Music. Page 3,First Annual Festival of Contemporary Music,Page 3,,,,,eng,"May 12, 13, 14, 1945",Columbia University,,Columbia University,"Program May 12, 13, 14, 1945",,,,,,original filename: 110118125.jpg,still image,Music at Columbia: The First 100 Years,https://exhibitions.cul.columbia.edu/index.php/exhibits/show/music-centennial/ditson-fund/concerts-and-festivals,,http://www.columbia.edu/cgi-bin/cul/resolve?clio9628664
1,6439,,reformatted digital,"University Archives, Columbia University",NNC-UA,eng,1945-05-12,1945-05-14,printed ephemera,,"Box 130, folder 10",Historical subject files,New York (N.Y.),,,First Annual Festival of Contemporary Music. Page 2,First Annual Festival of Contemporary Music,Page 2,,,,,eng,"May 12, 13, 14, 1945",Columbia University,,Columbia University,"Program May 12, 13, 14, 1945",,,,,,original filename: 110118124.jpg,still image,Music at Columbia: The First 100 Years,https://exhibitions.cul.columbia.edu/index.php/exhibits/show/music-centennial/ditson-fund/concerts-and-festivals,,http://www.columbia.edu/cgi-bin/cul/resolve?clio9628664
1,6438,,reformatted digital,"University Archives, Columbia University",NNC-UA,eng,1945-05-12,1945-05-14,printed ephemera,,"Box 130, folder 10",Historical subject files,New York (N.Y.),,,First Annual Festival of Contemporary Music. Page 1,First Annual Festival of Contemporary Music,Page 1,,,,,eng,"May 12, 13, 14, 1945",Columbia University,,Columbia University,"Program May 12, 13, 14, 1945",,,,,,original filename: 110118123.jpg,still image,Music at Columbia: The First 100 Years,https://exhibitions.cul.columbia.edu/index.php/exhibits/show/music-centennial/ditson-fund/concerts-and-festivals,,http://www.columbia.edu/cgi-bin/cul/resolve?clio9628664
1,6437,,reformatted digital,"University Archives, Columbia University",NNC-UA,eng,1986-12-04,,printed ephemera,,"Box 307, folder 4",Historical subject files,,,,Columbia University Orchestra. Page 2,Columbia University Orchestra,Page 2,,,,,eng,4-Dec-1986,Columbia University. Department of Music,,Columbia University,"Program Dec 4, 1986",,,,,,original filename: 110118122.jpg,still image,Music at Columbia: The First 100 Years,,,http://www.columbia.edu/cgi-bin/cul/resolve?clio9628664
1,6436,,reformatted digital,"University Archives, Columbia University",NNC-UA,eng,1986-12-04,,printed ephemera,,"Box 307, folder 4",Historical subject files,,,,Columbia University Orchestra. Page 1,Columbia University Orchestra,Page 1,,,,,eng,4-Dec-1986,Columbia University. Department of Music,,Columbia University,"Program Dec 4, 1986",,,,,,original filename: 110118121.jpg,still image,Music at Columbia: The First 100 Years,,,http://www.columbia.edu/cgi-bin/cul/resolve?clio9628664
1,6435,,reformatted digital,"University Archives, Columbia University",NNC-UA,eng,1975-04-15,,printed ephemera,,"Box 307, folder 4",Historical subject files,,,,Barnard-Columbia Chorus. Page 1,Barnard-Columbia Chorus,Page 1,,,,,eng,15-Apr-1975,Columbia University,,Columbia University,"Program April 15, 1975",,,,,,original filename: 110118120.jpg,still image,Music at Columbia: The First 100 Years,,,http://www.columbia.edu/cgi-bin/cul/resolve?clio9628664
1,6434,,reformatted digital,"University Archives, Columbia University",NNC-UA,eng,1973-04-29,,printed ephemera,,"Box 307, folder 4",Historical subject files,,New York,,"Columbia University Orchestra Program, April 29, 1973. Page 4","Columbia University Orchestra Program, April 29, 1973",Page 4,,,,,eng,29-Apr-1973,Columbia University. Department of Music,"Dedel, Peter",Columbia University,Program notes by Peter Dedel.,,,,,,original filename: 110118119.jpg,still image,Music at Columbia: The First 100 Years,https://exhibitions.cul.columbia.edu/index.php/exhibits/show/music-centennial/music-performance-current/university-orchestra-and-barna,,http://www.columbia.edu/cgi-bin/cul/resolve?clio9628664
1,6433,,reformatted digital,"University Archives, Columbia University",NNC-UA,eng,1973-04-29,,printed ephemera,,"Box 307, folder 4",Historical subject files,,New York,,"Columbia University Orchestra Program, April 29, 1973. Page 3","Columbia University Orchestra Program, April 29, 1973",Page 3,,,,,eng,29-Apr-1973,Columbia University. Department of Music,"Dedel, Peter",Columbia University,Program notes by Peter Dedel.,,,,,,original filename: 110118118.jpg,still image,Music at Columbia: The First 100 Years,https://exhibitions.cul.columbia.edu/index.php/exhibits/show/music-centennial/music-performance-current/university-orchestra-and-barna,,http://www.columbia.edu/cgi-bin/cul/resolve?clio9628664
1,6432,,reformatted digital,"University Archives, Columbia University",NNC-UA,eng,1973-04-29,,printed ephemera,,"Box 307, folder 4",Historical subject files,,New York,,"Columbia University Orchestra Program, April 29, 1973. Page 2","Columbia University Orchestra Program, April 29, 1973",Page 2,,,,,eng,29-Apr-1973,Columbia University. Department of Music,"Dedel, Peter",Columbia University,Program notes by Peter Dedel.,,,,,,original filename: 110118117.jpg,still image,Music at Columbia: The First 100 Years,https://exhibitions.cul.columbia.edu/index.php/exhibits/show/music-centennial/music-performance-current/university-orchestra-and-barna,,http://www.columbia.edu/cgi-bin/cul/resolve?clio9628664
1,6431,,reformatted digital,"University Archives, Columbia University",NNC-UA,eng,1973-04-29,,printed ephemera,,"Box 307, folder 4",Historical subject files,,New York,,"Columbia University Orchestra Program, April 29, 1973. Page 1","Columbia University Orchestra Program, April 29, 1973",Page 1,,,,,eng,29-Apr-1973,Columbia University. Department of Music,"Dedel, Peter",Columbia University,Program notes by Peter Dedel.,,,,,,original filename: 110118116.jpg,still image,Music at Columbia: The First 100 Years,https://exhibitions.cul.columbia.edu/index.php/exhibits/show/music-centennial/music-performance-current/university-orchestra-and-barna,,http://www.columbia.edu/cgi-bin/cul/resolve?clio9628664
1,6430,,reformatted digital,"University Archives, Columbia University",NNC-UA,eng,1988-09-17,,clippings,,"Box 11, folder 16",Buildings and grounds collection,,,,"For Columbia Theater, A Festive First Night","For Columbia Theater, A Festive First Night",,,,,,eng,17-Sep-1988,"Kozinn, Allan",,,Photocopy of clipping from New York Times,New York Times,,,,,original filename: 110118115.jpg,still image,Music at Columbia: The First 100 Years,https://exhibitions.cul.columbia.edu/index.php/exhibits/show/music-centennial/music-performance-current/miller-theater,,http://www.columbia.edu/cgi-bin/cul/resolve?clio9628664
