item - itemId,item - public,item - featured,item - MODS - Collection,item - MODS - RepositoryName,item - MODS - RepositoryName - code,item - MODS - RepositoryName - code - authority,item - MODS - ShelfLocation,item - DublinCore - Date,item - MODS - KeyDate - Single/Start,item - MODS - TypeofDate,item - DublinCore - Title - Display,item - DublinCore - Title - Work,item - DublinCore - Title - Work - Identifier,item - DublinCore - Title - Part,item - DublinCore - Identifier,Original Work URL,item - DublinCore - Description,Subject - Geographic,Subject - Geographic - Authority,Subject - Geographic - Authority - Identifier,Subject 1 - Topic,Subject 1 - Topic - Authority,Subject 2 - Topic,Subject 2 - Topic - Authority,Subject 3 - Topic,Subject 3 - Topic - Authority,Subject 3 - Topic - Authority - Identifier,item - OriginalFileLoadedIntoOmeka,item - ItemType,item - MODS - FormGenre,item - MODS - FormGenre - authority,item - OmekaCollection,item - MODS - LanguageofCataloging,item - DublinCore - Language,item - MODS - DigitalOrigin,project URL,item in context 1,item in context 2
2432,1,0,Korean independence outbreak collection,"Burke Library at Union Theological Seminary, Columbia University",NyNyCBL,marcorg,,1920?,1920,questionable,"Korean Independence Outbreak Beginning, March 1st, 1919. Part 10. Page J2","Korean Independence Outbreak Beginning, March 1st, 1919",kio_136,Part 10. Page J2,,,,Korea,naf,http://id.loc.gov/authorities/names/n79109033,"Korea--History--Independence movement, 1919--Sources",lcsh,Korea--Politics and government--1910-1945--Sources,lcsh,Independence Movement (Korea : 1919),fast,http://id.worldcat.org/fast/1353264,original filename: mrl8kio_0111_03,still image,manuscripts,lcsh,Korean Independence Outbreak Movement,eng,eng,reformatted digital,http://www.columbia.edu/cgi-bin/cul/resolve?clio7688161,http://exhibitions.cul.columbia.edu/exhibits/show/kio/outbreak_part10/page_j2,
2431,1,0,Korean independence outbreak collection,"Burke Library at Union Theological Seminary, Columbia University",NyNyCBL,marcorg,,1920?,1920,questionable,"Korean Independence Outbreak Beginning, March 1st, 1919. Part 10. Page J1","Korean Independence Outbreak Beginning, March 1st, 1919",kio_135,Part 10. Page J1,,,Statement of what happened at Fusanchin and Fusan,Korea,naf,http://id.loc.gov/authorities/names/n79109033,"Korea--History--Independence movement, 1919--Sources",lcsh,Korea--Politics and government--1910-1945--Sources,lcsh,Independence Movement (Korea : 1919),fast,http://id.worldcat.org/fast/1353264,original filename: mrl8kio_0111_02,still image,manuscripts,lcsh,Korean Independence Outbreak Movement,eng,eng,reformatted digital,http://www.columbia.edu/cgi-bin/cul/resolve?clio7688161,http://exhibitions.cul.columbia.edu/exhibits/show/kio/outbreak_part10/page_j1,
2430,1,0,Korean independence outbreak collection,"Burke Library at Union Theological Seminary, Columbia University",NyNyCBL,marcorg,,1920?,1920,questionable,"Korean Independence Outbreak Beginning, March 1st, 1919. Part 10. Cover page","Korean Independence Outbreak Beginning, March 1st, 1919",kio_134,Part 10. Cover page,,,,Korea,naf,http://id.loc.gov/authorities/names/n79109033,"Korea--History--Independence movement, 1919--Sources",lcsh,Korea--Politics and government--1910-1945--Sources,lcsh,Independence Movement (Korea : 1919),fast,http://id.worldcat.org/fast/1353264,original filename: mrl8kio_0111_01,still image,manuscripts,lcsh,Korean Independence Outbreak Movement,eng,eng,reformatted digital,http://www.columbia.edu/cgi-bin/cul/resolve?clio7688161,http://exhibitions.cul.columbia.edu/exhibits/show/kio/outbreak_part10/coverpage,
2429,1,0,Korean independence outbreak collection,"Burke Library at Union Theological Seminary, Columbia University",NyNyCBL,marcorg,,1920?,1920,questionable,"Korean Independence Outbreak Beginning, March 1st, 1919. Part 9. Page S17","Korean Independence Outbreak Beginning, March 1st, 1919",kio_133,Part 9. Page S17,,,,Korea,naf,http://id.loc.gov/authorities/names/n79109033,"Korea--History--Independence movement, 1919--Sources",lcsh,Korea--Politics and government--1910-1945--Sources,lcsh,Independence Movement (Korea : 1919),fast,http://id.worldcat.org/fast/1353264,original filename: mrl8kio_0110_18,still image,manuscripts,lcsh,Korean Independence Outbreak Movement,eng,eng,reformatted digital,http://www.columbia.edu/cgi-bin/cul/resolve?clio7688161,http://exhibitions.cul.columbia.edu/exhibits/show/kio/outbreak_part9/page_s17,
2428,1,0,Korean independence outbreak collection,"Burke Library at Union Theological Seminary, Columbia University",NyNyCBL,marcorg,,1920?,1920,questionable,"Korean Independence Outbreak Beginning, March 1st, 1919. Part 9. Page S16","Korean Independence Outbreak Beginning, March 1st, 1919",kio_132,Part 9. Page S16,,,,Korea,naf,http://id.loc.gov/authorities/names/n79109033,"Korea--History--Independence movement, 1919--Sources",lcsh,Korea--Politics and government--1910-1945--Sources,lcsh,Independence Movement (Korea : 1919),fast,http://id.worldcat.org/fast/1353264,original filename: mrl8kio_0110_17,still image,manuscripts,lcsh,Korean Independence Outbreak Movement,eng,eng,reformatted digital,http://www.columbia.edu/cgi-bin/cul/resolve?clio7688161,http://exhibitions.cul.columbia.edu/exhibits/show/kio/outbreak_part9/page_s16,
2427,1,0,Korean independence outbreak collection,"Burke Library at Union Theological Seminary, Columbia University",NyNyCBL,marcorg,,1920?,1920,questionable,"Korean Independence Outbreak Beginning, March 1st, 1919. Part 9. Page S15","Korean Independence Outbreak Beginning, March 1st, 1919",kio_131,Part 9. Page S15,,,,Korea,naf,http://id.loc.gov/authorities/names/n79109033,"Korea--History--Independence movement, 1919--Sources",lcsh,Korea--Politics and government--1910-1945--Sources,lcsh,Independence Movement (Korea : 1919),fast,http://id.worldcat.org/fast/1353264,original filename: mrl8kio_0110_16,still image,manuscripts,lcsh,Korean Independence Outbreak Movement,eng,eng,reformatted digital,http://www.columbia.edu/cgi-bin/cul/resolve?clio7688161,http://exhibitions.cul.columbia.edu/exhibits/show/kio/outbreak_part9/page_s15,
2426,1,0,Korean independence outbreak collection,"Burke Library at Union Theological Seminary, Columbia University",NyNyCBL,marcorg,,1920?,1920,questionable,"Korean Independence Outbreak Beginning, March 1st, 1919. Part 9. Page S14","Korean Independence Outbreak Beginning, March 1st, 1919",kio_130,Part 9. Page S14,,,The moral failure of Japan in Korea,Korea,naf,http://id.loc.gov/authorities/names/n79109033,"Korea--History--Independence movement, 1919--Sources",lcsh,Korea--Politics and government--1910-1945--Sources,lcsh,Independence Movement (Korea : 1919),fast,http://id.worldcat.org/fast/1353264,original filename: mrl8kio_0110_15,still image,manuscripts,lcsh,Korean Independence Outbreak Movement,eng,eng,reformatted digital,http://www.columbia.edu/cgi-bin/cul/resolve?clio7688161,http://exhibitions.cul.columbia.edu/exhibits/show/kio/outbreak_part9/page_s14,
2425,1,0,Korean independence outbreak collection,"Burke Library at Union Theological Seminary, Columbia University",NyNyCBL,marcorg,,1920?,1920,questionable,"Korean Independence Outbreak Beginning, March 1st, 1919. Part 9. Page S13","Korean Independence Outbreak Beginning, March 1st, 1919",kio_129,Part 9. Page S13,,,,Korea,naf,http://id.loc.gov/authorities/names/n79109033,"Korea--History--Independence movement, 1919--Sources",lcsh,Korea--Politics and government--1910-1945--Sources,lcsh,Independence Movement (Korea : 1919),fast,http://id.worldcat.org/fast/1353264,original filename: mrl8kio_0110_14,still image,manuscripts,lcsh,Korean Independence Outbreak Movement,eng,eng,reformatted digital,http://www.columbia.edu/cgi-bin/cul/resolve?clio7688161,http://exhibitions.cul.columbia.edu/exhibits/show/kio/outbreak_part9/page_s13,
2424,1,0,Korean independence outbreak collection,"Burke Library at Union Theological Seminary, Columbia University",NyNyCBL,marcorg,,1920?,1920,questionable,"Korean Independence Outbreak Beginning, March 1st, 1919. Part 9. Page S12","Korean Independence Outbreak Beginning, March 1st, 1919",kio_128,Part 9. Page S12,,,,Korea,naf,http://id.loc.gov/authorities/names/n79109033,"Korea--History--Independence movement, 1919--Sources",lcsh,Korea--Politics and government--1910-1945--Sources,lcsh,Independence Movement (Korea : 1919),fast,http://id.worldcat.org/fast/1353264,original filename: mrl8kio_0110_13,still image,manuscripts,lcsh,Korean Independence Outbreak Movement,eng,eng,reformatted digital,http://www.columbia.edu/cgi-bin/cul/resolve?clio7688161,http://exhibitions.cul.columbia.edu/exhibits/show/kio/outbreak_part9/page_s12,
2423,1,0,Korean independence outbreak collection,"Burke Library at Union Theological Seminary, Columbia University",NyNyCBL,marcorg,,1920?,1920,questionable,"Korean Independence Outbreak Beginning, March 1st, 1919. Part 9. Page S11","Korean Independence Outbreak Beginning, March 1st, 1919",kio_127,Part 9. Page S11,,,,Korea,naf,http://id.loc.gov/authorities/names/n79109033,"Korea--History--Independence movement, 1919--Sources",lcsh,Korea--Politics and government--1910-1945--Sources,lcsh,Independence Movement (Korea : 1919),fast,http://id.worldcat.org/fast/1353264,original filename: mrl8kio_0110_12,still image,manuscripts,lcsh,Korean Independence Outbreak Movement,eng,eng,reformatted digital,http://www.columbia.edu/cgi-bin/cul/resolve?clio7688161,http://exhibitions.cul.columbia.edu/exhibits/show/kio/outbreak_part9/page_s11,
2422,1,0,Korean independence outbreak collection,"Burke Library at Union Theological Seminary, Columbia University",NyNyCBL,marcorg,,1920?,1920,questionable,"Korean Independence Outbreak Beginning, March 1st, 1919. Part 9. Page S10","Korean Independence Outbreak Beginning, March 1st, 1919",kio_126,Part 9. Page S10,,,,Korea,naf,http://id.loc.gov/authorities/names/n79109033,"Korea--History--Independence movement, 1919--Sources",lcsh,Korea--Politics and government--1910-1945--Sources,lcsh,Independence Movement (Korea : 1919),fast,http://id.worldcat.org/fast/1353264,original filename: mrl8kio_0110_11,still image,manuscripts,lcsh,Korean Independence Outbreak Movement,eng,eng,reformatted digital,http://www.columbia.edu/cgi-bin/cul/resolve?clio7688161,http://exhibitions.cul.columbia.edu/exhibits/show/kio/outbreak_part9/page_s10,
2421,1,0,Korean independence outbreak collection,"Burke Library at Union Theological Seminary, Columbia University",NyNyCBL,marcorg,,1920?,1920,questionable,"Korean Independence Outbreak Beginning, March 1st, 1919. Part 9. Page S9","Korean Independence Outbreak Beginning, March 1st, 1919",kio_125,Part 9. Page S9,,,,Korea,naf,http://id.loc.gov/authorities/names/n79109033,"Korea--History--Independence movement, 1919--Sources",lcsh,Korea--Politics and government--1910-1945--Sources,lcsh,Independence Movement (Korea : 1919),fast,http://id.worldcat.org/fast/1353264,original filename: mrl8kio_0110_10,still image,manuscripts,lcsh,Korean Independence Outbreak Movement,eng,eng,reformatted digital,http://www.columbia.edu/cgi-bin/cul/resolve?clio7688161,http://exhibitions.cul.columbia.edu/exhibits/show/kio/outbreak_part9/page_s9,
2420,1,0,Korean independence outbreak collection,"Burke Library at Union Theological Seminary, Columbia University",NyNyCBL,marcorg,,1920?,1920,questionable,"Korean Independence Outbreak Beginning, March 1st, 1919. Part 9. Page S8","Korean Independence Outbreak Beginning, March 1st, 1919",kio_124,Part 9. Page S8,,,Report of the Su-Chon atrocities,Korea,naf,http://id.loc.gov/authorities/names/n79109033,"Korea--History--Independence movement, 1919--Sources",lcsh,Korea--Politics and government--1910-1945--Sources,lcsh,Independence Movement (Korea : 1919),fast,http://id.worldcat.org/fast/1353264,original filename: mrl8kio_0110_09,still image,manuscripts,lcsh,Korean Independence Outbreak Movement,eng,eng,reformatted digital,http://www.columbia.edu/cgi-bin/cul/resolve?clio7688161,http://exhibitions.cul.columbia.edu/exhibits/show/kio/outbreak_part9/page_s8,
2419,1,0,Korean independence outbreak collection,"Burke Library at Union Theological Seminary, Columbia University",NyNyCBL,marcorg,,1920?,1920,questionable,"Korean Independence Outbreak Beginning, March 1st, 1919. Part 9. Page S7","Korean Independence Outbreak Beginning, March 1st, 1919",kio_123,Part 9. Page S7,,,,Korea,naf,http://id.loc.gov/authorities/names/n79109033,"Korea--History--Independence movement, 1919--Sources",lcsh,Korea--Politics and government--1910-1945--Sources,lcsh,Independence Movement (Korea : 1919),fast,http://id.worldcat.org/fast/1353264,original filename: mrl8kio_0110_08,still image,manuscripts,lcsh,Korean Independence Outbreak Movement,eng,eng,reformatted digital,http://www.columbia.edu/cgi-bin/cul/resolve?clio7688161,http://exhibitions.cul.columbia.edu/exhibits/show/kio/outbreak_part9/page_s7,
2418,1,0,Korean independence outbreak collection,"Burke Library at Union Theological Seminary, Columbia University",NyNyCBL,marcorg,,1920?,1920,questionable,"Korean Independence Outbreak Beginning, March 1st, 1919. Part 9. Page S6","Korean Independence Outbreak Beginning, March 1st, 1919",kio_122,Part 9. Page S6,,,,Korea,naf,http://id.loc.gov/authorities/names/n79109033,"Korea--History--Independence movement, 1919--Sources",lcsh,Korea--Politics and government--1910-1945--Sources,lcsh,Independence Movement (Korea : 1919),fast,http://id.worldcat.org/fast/1353264,original filename: mrl8kio_0110_07,still image,manuscripts,lcsh,Korean Independence Outbreak Movement,eng,eng,reformatted digital,http://www.columbia.edu/cgi-bin/cul/resolve?clio7688161,http://exhibitions.cul.columbia.edu/exhibits/show/kio/outbreak_part9/page_s6,
2417,1,0,Korean independence outbreak collection,"Burke Library at Union Theological Seminary, Columbia University",NyNyCBL,marcorg,,1920?,1920,questionable,"Korean Independence Outbreak Beginning, March 1st, 1919. Part 9. Page S5","Korean Independence Outbreak Beginning, March 1st, 1919",kio_121,Part 9. Page S5,,,,Korea,naf,http://id.loc.gov/authorities/names/n79109033,"Korea--History--Independence movement, 1919--Sources",lcsh,Korea--Politics and government--1910-1945--Sources,lcsh,Independence Movement (Korea : 1919),fast,http://id.worldcat.org/fast/1353264,original filename: mrl8kio_0110_06,still image,manuscripts,lcsh,Korean Independence Outbreak Movement,eng,eng,reformatted digital,http://www.columbia.edu/cgi-bin/cul/resolve?clio7688161,http://exhibitions.cul.columbia.edu/exhibits/show/kio/outbreak_part9/page_s5,
2416,1,0,Korean independence outbreak collection,"Burke Library at Union Theological Seminary, Columbia University",NyNyCBL,marcorg,,1920?,1920,questionable,"Korean Independence Outbreak Beginning, March 1st, 1919. Part 9. Page S4","Korean Independence Outbreak Beginning, March 1st, 1919",kio_120,Part 9. Page S4,,,The massacre of Chai Amm-Ni,Korea,naf,http://id.loc.gov/authorities/names/n79109033,"Korea--History--Independence movement, 1919--Sources",lcsh,Korea--Politics and government--1910-1945--Sources,lcsh,Independence Movement (Korea : 1919),fast,http://id.worldcat.org/fast/1353264,original filename: mrl8kio_0110_05,still image,manuscripts,lcsh,Korean Independence Outbreak Movement,eng,eng,reformatted digital,http://www.columbia.edu/cgi-bin/cul/resolve?clio7688161,http://exhibitions.cul.columbia.edu/exhibits/show/kio/outbreak_part9/page_s4,
