_digital_object_type.string_key,_identifiers-1,_parent_digital_objects-1.identifier,_project.string_key,collection-1:collection_term.value,collection-1:collection_term.uri,name-1:name_term.value,name-1:name_term.name_type,name-1:name_role-1:name_role_term.value,name-1:name_role-1:name_role_term.authority,name-1:name_role-1:name_role_term.uri,name-1:name_term.authority,name-1:name_term.uri,name-2:name_term.value,name-2:name_term.name_type,name-2:name_role-1:name_role_term.value,name-2:name_role-1:name_role_term.authority,name-2:name_role-1:name_role_term.uri,name-2:name_term.authority,name-2:name_term.uri,date_created-1:date_created_start_value,date_created-1:date_created_end_value,date_created-1:date_created_type,date_created_textual-1:date_created_textual_value,abstract-1:abstract_value,clio_identifier-1:clio_identifier_value,omeka_identifier-1:omeka_identifier_value,type_of_resource-1:type_of_resource_value,object_in_context_url-1:object_in_context_url_value,location-1:location_term.code,location-1:location_term.value,location-1:location_term.authority,location-1:location_term.uri,location-1:location_shelf_location-1:location_shelf_location_free_text,location-1:location_shelf_location-1:location_shelf_location_box_number,location-1:location_shelf_location-1:location_shelf_location_folder_number,note-1:note_value,note-1:note_type,note-5:note_value,note-5:note_type,note-6:note_value,note-6:note_type,form-1:form_term.value,form-1:form_term.authority,form-1:form_term.uri,place_of_origin-1:place_of_origin_value,place_authority_identifier,relatedItem_Project,projectURL,note-7:note_value,note-7:note_type,language_of_cataloging-1:language_of_cataloging_term.value,language_of_cataloging-1:language_of_cataloging_term.authority,language_of_cataloging-1:language_of_cataloging_term.uri,subject_topic-1:subject_topic_term.value,subject_topic-1:subject_topic_term.authority,subject_topic-1:subject_topic_term.uri,subject_topic-2:subject_topic_term.value,subject_topic-2:subject_topic_term.authority,subject_topic-2:subject_topic_term.uri,subject_name-1:subject_name_term.value,subject_name-1:subject_name_term.name_type,subject_name-1:subject_name_term.authority,subject_name-1:subject_name_term.uri,subject_geographic-1:subject_geographic_term.value,subject_geographic-1:subject_geographic_term.authority,subject_geographic-1:subject_geographic_term.uri,title-1:title_non_sort_portion,title-1:title_sort_portion
item,butlerseventyfive_aru,,butler_seventyfive,Historical Photograph Collection,http://id.library.columbia.edu/term/922cab49-c0df-44aa-b827-8a15cc9918cd,,,,,,,,,,,,,,,1977,,,1977,18 May 1977 Commencement ceremony. Procession of University Trustees from Butler Library to Low Plaza.,,,still image,,NNC-UA,Columbia University. Archives,marcorg,http://id.loc.gov/vocabulary/organizations/nncua,Historical Photograph Collection,Box 190,Folder 10 (Events - Commencement - 1977),,,,,,,photographs,aat,http://vocab.getty.edu/aat/300046300,New York (N.Y.),http://id.loc.gov/authorities/names/n79007751,"Butler 75: Butler Library's 75th Anniversary, 1934-2009",http://www.columbia.edu/cgi-bin/cul/resolve?clio8586236,,,eng,iso639-2,http://id.loc.gov/vocabulary/iso639-2/eng,Academic libraries,fast,http://id.worldcat.org/fast/794997,,,,Butler Library,corporate,naf,http://id.loc.gov/authorities/names/n88064392,New York (N.Y.),naf,http://id.loc.gov/authorities/names/n79007751,,Commencement Procession
asset,butlerseventyfive_aru_000,butlerseventyfive_aru,butler_seventyfive,,,,,,,,,,,,,,,,,,,,,,,omeka_670,,,,,,,,,,,,B75_1149,filename,,filename,,,,,,,,,,,,,,,,,,,,,,,,,,,Commencement Procession
item,butlerseventyfive_atg,,butler_seventyfive,Historical Photograph Collection,http://id.library.columbia.edu/term/922cab49-c0df-44aa-b827-8a15cc9918cd,Alumni Federation of Columbia University,corporate,Creator,marcrelator,http://id.loc.gov/vocabulary/relators/cre,naf,http://id.loc.gov/authorities/names/n87895442,,,,,,,,1941,,,1941,"South Hall (Butler Library) at night, 1941.",,,still image,,NNC-UA,Columbia University. Archives,marcorg,http://id.loc.gov/vocabulary/organizations/nncua,Historical Photograph Collection,Box 162,"Folder 13 (Buildings & Grounds - Morningside - Butler Library, exterior)",,,,,,,photographs,aat,http://vocab.getty.edu/aat/300046300,New York (N.Y.),http://id.loc.gov/authorities/names/n79007751,"Butler 75: Butler Library's 75th Anniversary, 1934-2009",http://www.columbia.edu/cgi-bin/cul/resolve?clio8586236,,,eng,iso639-2,http://id.loc.gov/vocabulary/iso639-2/eng,Academic libraries,fast,http://id.worldcat.org/fast/794997,,,,Butler Library,corporate,naf,http://id.loc.gov/authorities/names/n88064392,New York (N.Y.),naf,http://id.loc.gov/authorities/names/n79007751,,Butler Library at Night
asset,butlerseventyfive_atg_000,butlerseventyfive_atg,butler_seventyfive,,,,,,,,,,,,,,,,,,,,,,,omeka_588,,,,,,,,,,,,B75_1067,filename,,filename,,,,,,,,,,,,,,,,,,,,,,,,,,,Butler Library at Night
item,butlerseventyfive_bkg,,butler_seventyfive,Historical Photograph Collection,http://id.library.columbia.edu/term/922cab49-c0df-44aa-b827-8a15cc9918cd,,,,,,,,,,,,,,,1934,2009,inferred,between 1934 and 2009,View of students in Butler Library's Browsing Room.,,,still image,,NNC-UA,Columbia University. Archives,marcorg,http://id.loc.gov/vocabulary/organizations/nncua,Historical Photograph Collection,Box 162,"Folder 9 (Buildings & Grounds - Morningside - Butler Library, Browsing Room)","Date range based on the date range of the Butler 75: Butler Library's 75th Anniversary, 1934-2009.",,,,,,photographs,aat,http://vocab.getty.edu/aat/300046300,New York (N.Y.),http://id.loc.gov/authorities/names/n79007751,"Butler 75: Butler Library's 75th Anniversary, 1934-2009",http://www.columbia.edu/cgi-bin/cul/resolve?clio8586236,,,eng,iso639-2,http://id.loc.gov/vocabulary/iso639-2/eng,Academic libraries,fast,http://id.worldcat.org/fast/794997,,,,Butler Library,corporate,naf,http://id.loc.gov/authorities/names/n88064392,New York (N.Y.),naf,http://id.loc.gov/authorities/names/n79007751,,Browsing Room
asset,butlerseventyfive_bkg_000,butlerseventyfive_bkg,butler_seventyfive,,,,,,,,,,,,,,,,,,,,,,,omeka_545,,https://exhibitions.cul.columbia.edu/exhibits/show/butler75/student-life/people,,,,,,,,,,B75_1024,filename,,filename,,,,,,,,,,,,,,,,,,,,,,,,,,,Browsing Room
item,butlerseventyfive_bly,,butler_seventyfive,Historical Photograph Collection,http://id.library.columbia.edu/term/922cab49-c0df-44aa-b827-8a15cc9918cd,Associated Press,corporate,Photographer,marcrelator,http://id.loc.gov/vocabulary/relators/pht,naf,http://id.loc.gov/authorities/names/n80075894,,,,,,,,1936-09-25,,,"September 25, 1936","""While Columbia University guards were lunching early today [September 25, 1936], a well-organized squad of vandals daubed this red curtain of paint on the university's new library.  Work was believed done either by painters' union or students sympathizing with Bob Burke expulsion.  Paint is stain that 'sticks.'""",,,still image,,NNC-UA,Columbia University. Archives,marcorg,http://id.loc.gov/vocabulary/organizations/nncua,Historical Photograph Collection,Box 162,"Folder 13 (Buildings & Grounds - Morningside - Butler Library, exterior)","Associated Press, ""Wire Photo""",,,,,,photographs,aat,http://vocab.getty.edu/aat/300046300,New York (N.Y.),http://id.loc.gov/authorities/names/n79007751,"Butler 75: Butler Library's 75th Anniversary, 1934-2009",http://www.columbia.edu/cgi-bin/cul/resolve?clio8586236,,,eng,iso639-2,http://id.loc.gov/vocabulary/iso639-2/eng,Academic libraries,fast,http://id.worldcat.org/fast/794997,Vandalism,fast,http://id.worldcat.org/fast/1164055,Butler Library,corporate,naf,http://id.loc.gov/authorities/names/n88064392,New York (N.Y.),naf,http://id.loc.gov/authorities/names/n79007751,,Butler Library Painted Red
asset,butlerseventyfive_bly_000,butlerseventyfive_bly,butler_seventyfive,,,,,,,,,,,,,,,,,,,,,,,omeka_586,,https://exhibitions.cul.columbia.edu/exhibits/show/butler75/student-life/people,,,,,,,,,,B75_1065,filename,,filename,,,,,,,,,,,,,,,,,,,,,,,,,,,Butler Library Painted Red
item,butlerseventyfive_bul,,butler_seventyfive,Historical Photograph Collection,http://id.library.columbia.edu/term/922cab49-c0df-44aa-b827-8a15cc9918cd,"Wurts Bros. (New York, N.Y.)",corporate,Photographer,marcrelator,http://id.loc.gov/vocabulary/relators/pht,naf,http://id.loc.gov/authorities/names/no2010029790,,,,,,,,1934,,approximate,circa 1934,"View of the main entrance inside South Hall (Butler Library), ca. 1934.",,,still image,,NNC-UA,Columbia University. Archives,marcorg,http://id.loc.gov/vocabulary/organizations/nncua,Historical Photograph Collection,Box 162,"Folder 7 (Buildings & Grounds - Morningside - Butler library, Album ""The New Library building of Columbia University, Gift of Edward S. Harkness,1934"")",,,,,,,photographs,aat,http://vocab.getty.edu/aat/300046300,New York (N.Y.),http://id.loc.gov/authorities/names/n79007751,"Butler 75: Butler Library's 75th Anniversary, 1934-2009",http://www.columbia.edu/cgi-bin/cul/resolve?clio8586236,,,eng,iso639-2,http://id.loc.gov/vocabulary/iso639-2/eng,Academic libraries,fast,http://id.worldcat.org/fast/794997,Entrance halls,fast,http://id.worldcat.org/fast/912782,Butler Library,corporate,naf,http://id.loc.gov/authorities/names/n88064392,New York (N.Y.),naf,http://id.loc.gov/authorities/names/n79007751,,Main Entrance
asset,butlerseventyfive_bul_000,butlerseventyfive_bul,butler_seventyfive,,,,,,,,,,,,,,,,,,,,,,,omeka_526,,https://exhibitions.cul.columbia.edu/exhibits/show/butler75/art---architecture/architecture,,,,,,,,,,B75_1005,filename,,filename,,,,,,,,,,,,,,,,,,,,,,,,,,,Main Entrance
