relatedItem_Collection,name_primary,name_primary_type,name_primaryRelator,name_primaryRelator_authority,name_primaryRelator_authority_identifier,name_primary_authority,name_primary_authority_identifier,name 2,name_type 2,nameRelator 2,nameRelator_authority 2,nameRelator_authority_identifier 2,name_authority 2,name_authority_identifier 2,keyDate_start,keyDate_end,dateQualifier,dateCreated,abstract,item - featured,item - public,identifier_clio,identifier_omeka,typeofResource,language,language_authority,language_authority_identifier,location_url_ObjectInContext,source,physicalLocation,physicalLocation_authority,physicalLocation_authority_identifier,shelfLocator,note,note 1,note_holdings,note_filename,note_filename2,digitalOrigin,extent,form,form_authority,form_authority_identifier,form_originalFormat,place,place_authority,place_authority_identifier,relatedItem_Project,projectURL,note_ownership,publisher,languageOfCataloging,subject_topic,subject_topic_authority,subject_topic_authority_identifier,subject_topic 2,subject_topic_authority 2,subject_topic_authority_identifier 2,subject_name,subject_name_authority,subject_name_authority_identifier,subject_title,subject_title_authority,subject_title_authority_identifier,subject_geographic,subject_geographic_authority,subject_geographic_authority_identifier,subject_geographic_hierarchical_street,subject_geographic_hierarchical_borough,subject_geographic_hierarchical_city,subject_geographic_hierarchical_state,subject_geographic_hierarchical_province,subject_geographic_hierarchical_country,subject_temporal,accessCondition,title_nonsort,title,identifier_title,partName,title2_nonsort,title2,title2_type
Historical Photograph Collection,,,,,,,,,,,,,,,1977,,,1977,18 May 1977 Commencement ceremony. Procession of University Trustees from Butler Library to Low Plaza.,0,1,,omeka_670,still image,,,,,Historical Photograph Collection;Box 190;Folder 10 (Events - Commencement - 1977),NNC-UA,marcorg,http://id.loc.gov/vocabulary/organizations/nncua,Box 190;Folder 10 (Events - Commencement - 1977),,,,original filename: B75_1149,,,,photographs,aat,http://vocab.getty.edu/aat/300046300,,New York (N.Y.),naf,http://id.loc.gov/authorities/names/n79007751,"Butler 75: Butler Library's 75th Anniversary, 1934-2009",http://www.columbia.edu/cgi-bin/cul/resolve?clio8586236,,,eng,Academic libraries,fast,http://id.worldcat.org/fast/794997,,,,Butler Library,naf,http://id.loc.gov/authorities/names/n88064392,,,,New York (N.Y.),naf,http://id.loc.gov/authorities/names/n79007751,,,,,,,,,,Commencement Procession,butler75_aru,,,,
Historical Photograph Collection,,,,,,,,,,,,,,,1977,,,1977,18 May 1977 Commencement ceremony. Procession of University Trustees from Butler Library to Low Plaza.,0,1,,omeka_670,still image,,,,,Historical Photograph Collection;Box 190;Folder 10 (Events - Commencement - 1977),NNC-UA,marcorg,http://id.loc.gov/vocabulary/organizations/nncua,Box 190;Folder 10 (Events - Commencement - 1977),,,,original filename: B75_1149,,,,photographs,aat,http://vocab.getty.edu/aat/300046300,,New York (N.Y.),naf,http://id.loc.gov/authorities/names/n79007751,"Butler 75: Butler Library's 75th Anniversary, 1934-2009",http://www.columbia.edu/cgi-bin/cul/resolve?clio8586236,,,eng,Academic libraries,fast,http://id.worldcat.org/fast/794997,,,,Butler Library,naf,http://id.loc.gov/authorities/names/n88064392,,,,New York (N.Y.),naf,http://id.loc.gov/authorities/names/n79007751,,,,,,,,,,Commencement Procession,butler75_aru_000,,,,
Historical Photograph Collection,Alumni Federation of Columbia University,corporate,,,,naf,http://id.loc.gov/authorities/names/n87895442,,,,,,,,1941,,,1941,"South Hall (Butler Library) at night, 1941.",0,1,,omeka_588,still image,,,,,"Historical Photograph Collection;Box 162;Folder 13 (Buildings & Grounds - Morningside - Butler Library, exterior)",NNC-UA,marcorg,http://id.loc.gov/vocabulary/organizations/nncua,"Box 162;Folder 13 (Buildings & Grounds - Morningside - Butler Library, exterior)",,,,original filename: B75_1067,,,,photographs,aat,http://vocab.getty.edu/aat/300046300,,New York (N.Y.),naf,http://id.loc.gov/authorities/names/n79007751,"Butler 75: Butler Library's 75th Anniversary, 1934-2009",http://www.columbia.edu/cgi-bin/cul/resolve?clio8586236,,,eng,Academic libraries,fast,http://id.worldcat.org/fast/794997,,,,Butler Library,naf,http://id.loc.gov/authorities/names/n88064392,,,,New York (N.Y.),naf,http://id.loc.gov/authorities/names/n79007751,,,,,,,,,,Butler Library at Night,butler75_atg,,,,
Historical Photograph Collection,Alumni Federation of Columbia University,corporate,,,,naf,http://id.loc.gov/authorities/names/n87895442,,,,,,,,1941,,,1941,"South Hall (Butler Library) at night, 1941.",0,1,,omeka_588,still image,,,,,"Historical Photograph Collection;Box 162;Folder 13 (Buildings & Grounds - Morningside - Butler Library, exterior)",NNC-UA,marcorg,http://id.loc.gov/vocabulary/organizations/nncua,"Box 162;Folder 13 (Buildings & Grounds - Morningside - Butler Library, exterior)",,,,original filename: B75_1067,,,,photographs,aat,http://vocab.getty.edu/aat/300046300,,New York (N.Y.),naf,http://id.loc.gov/authorities/names/n79007751,"Butler 75: Butler Library's 75th Anniversary, 1934-2009",http://www.columbia.edu/cgi-bin/cul/resolve?clio8586236,,,eng,Academic libraries,fast,http://id.worldcat.org/fast/794997,,,,Butler Library,naf,http://id.loc.gov/authorities/names/n88064392,,,,New York (N.Y.),naf,http://id.loc.gov/authorities/names/n79007751,,,,,,,,,,Butler Library at Night,butler75_atg_000,,,,
Historical Photograph Collection,,,,,,,,,,,,,,,1934,2009,inferred,between 1934 and 2009,View of students in Butler Library's Browsing Room.,0,1,,omeka_545,still image,,,,https://exhibitions.cul.columbia.edu/exhibits/show/butler75/student-life/people,"Historical Photograph Collection;Box 162;Folder 9 (Buildings & Grounds - Morningside - Butler Library, Browsing Room)",NNC-UA,marcorg,http://id.loc.gov/vocabulary/organizations/nncua,"Box 162;Folder 9 (Buildings & Grounds - Morningside - Butler Library, Browsing Room)","Date range based on the date range of the Butler 75: Butler Library's 75th Anniversary, 1934-2009.",,,original filename: B75_1024,,,,photographs,aat,http://vocab.getty.edu/aat/300046300,,New York (N.Y.),naf,http://id.loc.gov/authorities/names/n79007751,"Butler 75: Butler Library's 75th Anniversary, 1934-2009",http://www.columbia.edu/cgi-bin/cul/resolve?clio8586236,,,eng,Academic libraries,fast,http://id.worldcat.org/fast/794997,,,,Butler Library,naf,http://id.loc.gov/authorities/names/n88064392,,,,New York (N.Y.),naf,http://id.loc.gov/authorities/names/n79007751,,,,,,,,,,Browsing Room,butler75_bkg,,,,
Historical Photograph Collection,,,,,,,,,,,,,,,1934,2009,inferred,between 1934 and 2009,View of students in Butler Library's Browsing Room.,0,1,,omeka_545,still image,,,,https://exhibitions.cul.columbia.edu/exhibits/show/butler75/student-life/people,"Historical Photograph Collection;Box 162;Folder 9 (Buildings & Grounds - Morningside - Butler Library, Browsing Room)",NNC-UA,marcorg,http://id.loc.gov/vocabulary/organizations/nncua,"Box 162;Folder 9 (Buildings & Grounds - Morningside - Butler Library, Browsing Room)","Date range based on the date range of the Butler 75: Butler Library's 75th Anniversary, 1934-2009.",,,original filename: B75_1024,,,,photographs,aat,http://vocab.getty.edu/aat/300046300,,New York (N.Y.),naf,http://id.loc.gov/authorities/names/n79007751,"Butler 75: Butler Library's 75th Anniversary, 1934-2009",http://www.columbia.edu/cgi-bin/cul/resolve?clio8586236,,,eng,Academic libraries,fast,http://id.worldcat.org/fast/794997,,,,Butler Library,naf,http://id.loc.gov/authorities/names/n88064392,,,,New York (N.Y.),naf,http://id.loc.gov/authorities/names/n79007751,,,,,,,,,,Browsing Room,butler75_bkg_000,,,,
Historical Photograph Collection,Associated Press,corporate,pht,marcrelator,http://id.loc.gov/vocabulary/relators/pht,naf,http://id.loc.gov/authorities/names/n80075894,,,,,,,,1936-09-25,,,"September 25, 1936","""While Columbia University guards were lunching early today [September 25, 1936], a well-organized squad of vandals daubed this red curtain of paint on the university's new library.  Work was believed done either by painters' union or students sympathizing with Bob Burke expulsion.  Paint is stain that 'sticks.'""",0,1,,omeka_586,still image,,,,https://exhibitions.cul.columbia.edu/exhibits/show/butler75/student-life/people,"Historical Photograph Collection;Box 162;Folder 13 (Buildings & Grounds - Morningside - Butler Library, exterior)",NNC-UA,marcorg,http://id.loc.gov/vocabulary/organizations/nncua,"Box 162;Folder 13 (Buildings & Grounds - Morningside - Butler Library, exterior)","Associated Press, ""Wire Photo""",,,original filename: B75_1065,,,,photographs,aat,http://vocab.getty.edu/aat/300046300,,New York (N.Y.),naf,http://id.loc.gov/authorities/names/n79007751,"Butler 75: Butler Library's 75th Anniversary, 1934-2009",http://www.columbia.edu/cgi-bin/cul/resolve?clio8586236,,,eng,Academic libraries,fast,http://id.worldcat.org/fast/794997,Vandalism,fast,http://id.worldcat.org/fast/1164055,Butler Library,naf,http://id.loc.gov/authorities/names/n88064392,,,,New York (N.Y.),naf,http://id.loc.gov/authorities/names/n79007751,,,,,,,,,,Butler Library Painted Red,butler75_bly,,,,
Historical Photograph Collection,Associated Press,corporate,pht,marcrelator,http://id.loc.gov/vocabulary/relators/pht,naf,http://id.loc.gov/authorities/names/n80075894,,,,,,,,1936-09-25,,,"September 25, 1936","""While Columbia University guards were lunching early today [September 25, 1936], a well-organized squad of vandals daubed this red curtain of paint on the university's new library.  Work was believed done either by painters' union or students sympathizing with Bob Burke expulsion.  Paint is stain that 'sticks.'""",0,1,,omeka_586,still image,,,,https://exhibitions.cul.columbia.edu/exhibits/show/butler75/student-life/people,"Historical Photograph Collection;Box 162;Folder 13 (Buildings & Grounds - Morningside - Butler Library, exterior)",NNC-UA,marcorg,http://id.loc.gov/vocabulary/organizations/nncua,"Box 162;Folder 13 (Buildings & Grounds - Morningside - Butler Library, exterior)","Associated Press, ""Wire Photo""",,,original filename: B75_1065,,,,photographs,aat,http://vocab.getty.edu/aat/300046300,,New York (N.Y.),naf,http://id.loc.gov/authorities/names/n79007751,"Butler 75: Butler Library's 75th Anniversary, 1934-2009",http://www.columbia.edu/cgi-bin/cul/resolve?clio8586236,,,eng,Academic libraries,fast,http://id.worldcat.org/fast/794997,Vandalism,fast,http://id.worldcat.org/fast/1164055,Butler Library,naf,http://id.loc.gov/authorities/names/n88064392,,,,New York (N.Y.),naf,http://id.loc.gov/authorities/names/n79007751,,,,,,,,,,Butler Library Painted Red,butler75_bly_000,,,,
Historical Photograph Collection,"Wurts Bros. (New York, N.Y.)",corporate,pht,marcrelator,http://id.loc.gov/vocabulary/relators/pht,naf,http://id.loc.gov/authorities/names/no2010029790,,,,,,,,1934,,approximate,circa 1934,"View of the main entrance inside South Hall (Butler Library), ca. 1934.",0,1,,omeka_526,still image,,,,https://exhibitions.cul.columbia.edu/exhibits/show/butler75/art---architecture/architecture,"Historical Photograph Collection;Box 162;Folder 7 (Buildings & Grounds - Morningside - Butler library, Album ""The New Library building of Columbia University, Gift of Edward S. Harkness,1934"")",NNC-UA,marcorg,http://id.loc.gov/vocabulary/organizations/nncua,"Box 162;Folder 7 (Buildings & Grounds - Morningside - Butler library, Album ""The New Library building of Columbia University, Gift of Edward S. Harkness,1934"")",,,,original filename: B75_1005,,,,photographs,aat,http://vocab.getty.edu/aat/300046300,,New York (N.Y.),naf,http://id.loc.gov/authorities/names/n79007751,"Butler 75: Butler Library's 75th Anniversary, 1934-2009",http://www.columbia.edu/cgi-bin/cul/resolve?clio8586236,,,eng,Academic libraries,fast,http://id.worldcat.org/fast/794997,Entrance halls,fast,http://id.worldcat.org/fast/912782,Butler Library,naf,http://id.loc.gov/authorities/names/n88064392,,,,New York (N.Y.),naf,http://id.loc.gov/authorities/names/n79007751,,,,,,,,,,Main Entrance,butler75_bul,,,,
Historical Photograph Collection,"Wurts Bros. (New York, N.Y.)",corporate,pht,marcrelator,http://id.loc.gov/vocabulary/relators/pht,naf,http://id.loc.gov/authorities/names/no2010029790,,,,,,,,1934,,approximate,circa 1934,"View of the main entrance inside South Hall (Butler Library), ca. 1934.",0,1,,omeka_526,still image,,,,https://exhibitions.cul.columbia.edu/exhibits/show/butler75/art---architecture/architecture,"Historical Photograph Collection;Box 162;Folder 7 (Buildings & Grounds - Morningside - Butler library, Album ""The New Library building of Columbia University, Gift of Edward S. Harkness,1934"")",NNC-UA,marcorg,http://id.loc.gov/vocabulary/organizations/nncua,"Box 162;Folder 7 (Buildings & Grounds - Morningside - Butler library, Album ""The New Library building of Columbia University, Gift of Edward S. Harkness,1934"")",,,,original filename: B75_1005,,,,photographs,aat,http://vocab.getty.edu/aat/300046300,,New York (N.Y.),naf,http://id.loc.gov/authorities/names/n79007751,"Butler 75: Butler Library's 75th Anniversary, 1934-2009",http://www.columbia.edu/cgi-bin/cul/resolve?clio8586236,,,eng,Academic libraries,fast,http://id.worldcat.org/fast/794997,Entrance halls,fast,http://id.worldcat.org/fast/912782,Butler Library,naf,http://id.loc.gov/authorities/names/n88064392,,,,New York (N.Y.),naf,http://id.loc.gov/authorities/names/n79007751,,,,,,,,,,Main Entrance,butler75_bul_000,,,,
