relatedItem_collection,name_primary,name_primary_type,name_primary_Relator,name_primary_authority,name_primary_authority_identifier,name 2,name_type_2,nameRelator 2,name_authority 2,name_authority_identifier 2,name 3,name_type 3,nameRelator 3,name_authority 3,name_authority_identifier 3,name 4,name_type 4,nameRelator 4,name_authority 4,name_authority-identifier 4,keyDate_start,keyDate_end,dateQualifier,dateCreated,abstract,identifier_clio,identifier_omeka,typeOfResource,language,location_url_ObjectInContext,physicalLocation,physicalLocation_authority,shelfLocator,sublocation,note 1,note_holdings,note_filename 1,note_filename 2,digitalOrigin,extent,form,form_authority,form_originalFormat,place,place_authority,place_authority_identifier,relatedItem_Project_nonSort,relatedItem_Project,projectURL,note_ownership,publisher,languageOfCataloging,relatedItem_note,accessCondition,subject_topic 1,subject_topic_authority 1,subject_topic_authority_identifier 1,subject_topic 2,subject_topic_authority 2,subject_topic_authority_identifier 2,subject_name,subject_name_authority,subject_name_authority_identifier,subject_geographic,subject_geographic_authority,subject_geographic_authority_identifier,title,title_nonSort,identifier_title,partName,title2,title2_type,item - public,item - featured
Varsity Show Records,"Green, Holm",personal,,,,Varsity Show (Columbia University) (1923),conference,,,,,,,,,,,,,,1923,,,1923,"Original poster for 1923 Varsity Show ""Half-Moon Inn""",,omeka_4210,still image,eng,https://exhibitions.cul.columbia.edu/exhibits/show/varsity-show/artwork/posters,NNC-UA,marcorg,"UA Flat Files Box 13, folder 3",,,Flat Files UA#0106,varsity_100129029,,reformatted digital,"14.25"" x 9""",posters,aat,posters,,,,The,Varsity Show: A Columbia Tradition,http://www.columbia.edu/cgi-bin/cul/resolve?clio8225262,,,eng,,,College musicals,fast,http://id.worldcat.org/fast/1199201,Pirates,fast,http://id.worldcat.org/fast/1064776,,,,,,,Half-Moon Inn,,varsityshow_hmi_000,,,,1,0
Varsity Show Records,"Green, Holm",personal,,,,Varsity Show (Columbia University) (1923),conference,,,,,,,,,,,,,,1923,,,1923,"Original poster for 1923 Varsity Show ""Half-Moon Inn""",,omeka_4210,still image,eng,https://exhibitions.cul.columbia.edu/exhibits/show/varsity-show/artwork/posters,NNC-UA,marcorg,"UA Flat Files Box 13, folder 3",,,Flat Files UA#0106,varsity_100129029,,reformatted digital,"14.25"" x 9""",posters,aat,posters,,,,The,Varsity Show: A Columbia Tradition,http://www.columbia.edu/cgi-bin/cul/resolve?clio8225262,,,eng,,,College musicals,fast,http://id.worldcat.org/fast/1199201,Pirates,fast,http://id.worldcat.org/fast/1064776,,,,,,,Half-Moon Inn,,varsityshow_hmi,,,,1,0
Varsity Show Records,Slavik,personal,ill,,,Varsity Show (Columbia University) (1926),conference,,,,Columbia University Players,corporate,,,,,,,,,1926,,,1926,"Program cover for Varsity Show, ""His Majest, The Queen"" (1926)",,omeka_4191,still image,eng,https://exhibitions.cul.columbia.edu/exhibits/show/varsity-show/artwork/program,NNC-UA,marcorg,"Box 10, folder 8",,,UA#0106,varsity_100129010,,reformatted digital,"8"" x 10.5""",printed ephemera,aat,theater programs,,,,The,Varsity Show: A Columbia Tradition,http://www.columbia.edu/cgi-bin/cul/resolve?clio8225262,,,eng,,,College musicals,fast,http://id.worldcat.org/fast/1199201,,,,,,,,,,"His Majesty, The Queen",,varsityshow_hmq_001,Cover,,,1,0
Varsity Show Records,Slavik,personal,ill,,,Varsity Show (Columbia University) (1926),conference,,,,Columbia University Players,corporate,,,,,,,,,1926,,,1926,"Program cover for Varsity Show, ""His Majest, The Queen"" (1926)",,omeka_4191,still image,eng,https://exhibitions.cul.columbia.edu/exhibits/show/varsity-show/artwork/program,NNC-UA,marcorg,"Box 10, folder 8",,,UA#0106,varsity_100129010,,reformatted digital,"8"" x 10.5""",printed ephemera,aat,theater programs,,,,The,Varsity Show: A Columbia Tradition,http://www.columbia.edu/cgi-bin/cul/resolve?clio8225262,,,eng,,,College musicals,fast,http://id.worldcat.org/fast/1199201,,,,,,,,,,"His Majesty, The Queen",,varsityshow_hmq,,,,1,0
Varsity Show Records,"Diamond, I. A. L.",personal,aut,naf,http://id.loc.gov/authorities/names/n80070601,,,,,,,,,,,,,,,,1941,,,1941,"Cover of script for 1941 Varsity Show ""Hit The Road""",,omeka_4197,still image,eng,https://exhibitions.cul.columbia.edu/exhibits/show/varsity-show/alums/diamond,NNC-UA,marcorg,"Box 16, folder 1",,"I. A. L. Diamond, Class of 1941",UA#0106,varsity_100129016,,reformatted digital,"9"" x 11.5""",printed ephemera,aat,scripts (documents),,,,The,Varsity Show: A Columbia Tradition,http://www.columbia.edu/cgi-bin/cul/resolve?clio8225262,,,eng,,,College musicals,fast,http://id.worldcat.org/fast/1199201,,,,,,,,,,Hit the Road,,varsityshow_htr_001,Cover,,,1,0
Varsity Show Records,"Diamond, I. A. L.",personal,aut,naf,http://id.loc.gov/authorities/names/n80070601,,,,,,,,,,,,,,,,1941,,,1941,"Cover of script for 1941 Varsity Show ""Hit The Road""",,omeka_4197,still image,eng,https://exhibitions.cul.columbia.edu/exhibits/show/varsity-show/alums/diamond,NNC-UA,marcorg,"Box 16, folder 1",,"I. A. L. Diamond, Class of 1941",UA#0106,varsity_100129016,,reformatted digital,"9"" x 11.5""",printed ephemera,aat,scripts (documents),,,,The,Varsity Show: A Columbia Tradition,http://www.columbia.edu/cgi-bin/cul/resolve?clio8225262,,,eng,,,College musicals,fast,http://id.worldcat.org/fast/1199201,,,,,,,,,,Hit the Road,,varsityshow_htr,,,,1,0
Varsity Show Records,Wide World Photo,corporate,,,,,,,,,,,,,,,,,,,3/20/1939,,,20-Mar-39,"John Bateman, captain of the football team, getting the finishing touches on his hair for 1939 Varsity Show, ""Fair Enough""",,omeka_4184,still image,,https://exhibitions.cul.columbia.edu/exhibits/show/varsity-show/pony/intro,NNC-UA,marcorg,"Box 20, folder 8",,John Bateman,UA#0106,varsity_100129003,,reformatted digital,"7""x 8.5""",photographs,aat,photographs,,,,The,Varsity Show: A Columbia Tradition,http://www.columbia.edu/cgi-bin/cul/resolve?clio8225262,,,eng,,,College theater,fast,http://id.worldcat.org/fast/868221,,,,,,,,,,John Bateman Getting his Hair Done,,varsityshow_jbh_000,,,,1,0
Varsity Show Records,Wide World Photo,corporate,,,,,,,,,,,,,,,,,,,3/20/1939,,,20-Mar-39,"John Bateman, captain of the football team, getting the finishing touches on his hair for 1939 Varsity Show, ""Fair Enough""",,omeka_4184,still image,,https://exhibitions.cul.columbia.edu/exhibits/show/varsity-show/pony/intro,NNC-UA,marcorg,"Box 20, folder 8",,John Bateman,UA#0106,varsity_100129003,,reformatted digital,"7""x 8.5""",photographs,aat,photographs,,,,The,Varsity Show: A Columbia Tradition,http://www.columbia.edu/cgi-bin/cul/resolve?clio8225262,,,eng,,,College theater,fast,http://id.worldcat.org/fast/868221,,,,,,,,,,John Bateman Getting his Hair Done,,varsityshow_jbh,,,,1,0
Varsity Show Records,"Barber, D.",personal,,,,Columbia College Musical Society,corporate,,,,,,,,,,,,,,1894-04,,,April 1894,"Program cover for first Varsity Show, ""Joan of Arc"" (1894)",,omeka_4183,still image,eng,https://exhibitions.cul.columbia.edu/exhibits/show/varsity-show/history/beginnings,NNC-UA,marcorg,"Box 1, folder 2",,,UA#0106,varsity_100129002,,reformatted digital,"7"" x 9.5""",printed ephemera,aat,theater programs,,,,The,Varsity Show: A Columbia Tradition,http://www.columbia.edu/cgi-bin/cul/resolve?clio8225262,,,eng,,,College musicals,fast,http://id.worldcat.org/fast/1199201,,,,"Joan, of Arc, Saint, 1412-1431",naf,http://id.loc.gov/authorities/names/n79033041,,,,"Joan of Arc, or, The monarch, the maid, the minister and the magician",,varsityshow_joa_001,Cover,,,1,0
Varsity Show Records,"Barber, D.",personal,,,,Columbia College Musical Society,corporate,,,,,,,,,,,,,,1894-04,,,April 1894,"Program cover for first Varsity Show, ""Joan of Arc"" (1894)",,omeka_4183,still image,eng,https://exhibitions.cul.columbia.edu/exhibits/show/varsity-show/history/beginnings,NNC-UA,marcorg,"Box 1, folder 2",,,UA#0106,varsity_100129002,,reformatted digital,"7"" x 9.5""",printed ephemera,aat,theater programs,,,,The,Varsity Show: A Columbia Tradition,http://www.columbia.edu/cgi-bin/cul/resolve?clio8225262,,,eng,,,College musicals,fast,http://id.worldcat.org/fast/1199201,,,,"Joan, of Arc, Saint, 1412-1431",naf,http://id.loc.gov/authorities/names/n79033041,,,,"Joan of Arc, or, The monarch, the maid, the minister and the magician",,varsityshow_joa,,,,1,0
