_digital_object_type.string_key,_identifiers-1,_parent_digital_objects-1.identifier,note-1:note_value,note-2:note_type,note-2:note_value,title-1:title_non_sort_portion,title-1:title_sort_portion,name-1:name_term.value,name-1:name_term.name_type,name-1:name_term.authority,name-1:name_term.uri,name-1:name_role-1:name_role_term.value,name-1:name_role-1.name_role_term.authority,name-1:name_role-1.name_role_term.uri,name-1:name_usage_primary,name-2:name_term.value,name-2:name_term.name_type,name-2:name_term.authority,name-2:name_term.uri,name-2:name_role-1:name_role_term.value,name-2:name_role-1.name_role_term.authority,name-2:name_role-1:name_role_term.uri,name-3:name_term.value,name-3:name_term.name_type,name-3:name_term.authority,name-3:name_term.uri,name-3:name_role-1:name_role_term.value,name-3:name_role-1:name_role_term.authority,name-3:name_role-1:name_role_term.uri,form-1:form_term.value,form-1:form_term.authority,form-1:form_term.uri,genre-1:genre_term.value,genre-1:genre_term.uri,genre-1:genre_term.authority,genre-2:genre_term.value,genre-2:genre_term.authority,genre-2:genre_term.uri,location-1:location_term.value,location-1:location_term.uri,language-1:language_term.value,language-1:language_term.authority,language-1:language_term.uri,date_created_textual-1:date_created_textual_value,date_created-1:date_created_start_value,date_created-1:date_created_key_date,digital_origin-1:digital_origin_value,place_of_origin-1:place_of_origin_value,omeka_identifier-1:omeka_identifier_value,use_and_reproduction-1:use_and_reproduction_value,use_and_reproduction-1:use_and_reproduction_term.authority,use_and_reproduction-1:use_and_reproduction_term.uri,restriction_on_access-1:restriction_on_access_value,clio_identifier-1:clio_identifier_value,location-1:location_shelf_location-1.location_shelf_location_free_text,collection-1:collection_term.value,collection-1:collection_term.uri,object_in_context_url-1:object_in_context_url_value,subject_topic-1:subject_topic_term.value,subject_topic-1:subject_topic_term.authority,subject_topic-1:subject_topic_term.uri,subject_topic-2:subject_topic_term.value,subject_topic-2:subject_topic_term.authority,subject_topic-2:subject_topic_term.uri,subject_title-1:subject_title_term.value,subject_title-1:subject_title_term.authority,subject_title-1:subject_title_term.uri,type_of_resource-1:type_of_resource_value,_project.string_key
asset,rbml_omeka_memory_0012_001,rbml_omeka_memory_0012,Original filename:omeka_memory_0012,filename,https://exhibitions-dev.library.columbia.edu/omeka_memory_0012.jpg, ,Title page,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12033,No Copyright - United States,rightsstatements,http://rightsstatements.org/vocab/NoC-US/1.0/,Public Access,,,,,https://exhibitions.library.columbia.edu/exhibits/show/memory-and-material/everydaymemory/gerardherball,,,,,,,,,,,
asset,rbml_omeka_memory_0012_1110,rbml_omeka_memory_0012,Original filename:omeka_memory_0013,filename,https://exhibitions-dev.library.columbia.edu/omeka_memory_0013.jpg, ,Page 1110,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12034,No Copyright - United States,rightsstatements,http://rightsstatements.org/vocab/NoC-US/1.0/,Public Access,,,,,https://exhibitions.library.columbia.edu/exhibits/show/memory-and-material/everydaymemory/gerardherball,,,,,,,,,,,
item,rbml_omeka_memory_0010,,,,,,"Pseudodoxia epidemica, or, Enquiries into very many received tenents, and commonly presumed truths","Browne, Thomas, Sir, 1605-1682",personal,naf,http://id.loc.gov/authorities/names/n80033931,Author,marcrelator,http://id.loc.gov/vocabulary/relators/aut,TRUE,"Dodd, Edward, active 17th century",personal,naf,http://id.loc.gov/authorities/names/n85356051,Printer,marcrelator,http://id.loc.gov/vocabulary/relators/prt,"Crooke, Andrew, -1674",personal,naf,http://id.loc.gov/authorities/names/nr95014267,Bookseller,marcrelator,http://id.loc.gov/vocabulary/relators/bsl,books,aat,http://vocab.getty.edu/aat/300028051,Early works,http://id.worldcat.org/fast/1411636,fast,,,,"Rare Book & Manuscript Library, Columbia University",http://id.library.columbia.edu/term/d2142d01-deaa-4a39-8dbd-72c4f148353f,English,iso639-2b,http://id.loc.gov/vocabulary/iso639-2/eng,1658,1658,TRUE,reformatted digital,London,,No Copyright - United States,rightsstatements,http://rightsstatements.org/vocab/NoC-US/1.0/,,5568546,B823 B811 V5 1658a c. 2,,,,Natural history,fast,http://id.worldcat.org/fast/1034268,Common fallacies,fast,http://id.worldcat.org/fast/1430086,,,,text,
asset,rbml_omeka_memory_0010_000,rbml_omeka_memory_0010,Original filename:omeka_memory_0010_001,filename,https://exhibitions-dev.library.columbia.edu/omeka_memory_0010_001.jpg, ,Illustration,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12030,No Copyright - United States,rightsstatements,http://rightsstatements.org/vocab/NoC-US/1.0/,Public Access,,,,,,,,,,,,,,,,
asset,rbml_omeka_memory_0010_001,rbml_omeka_memory_0010,Original filename:omeka_memory_0010_002,filename,https://exhibitions-dev.library.columbia.edu/omeka_memory_0010_002.jpg, ,Page 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12031,No Copyright - United States,rightsstatements,http://rightsstatements.org/vocab/NoC-US/1.0/,Public Access,,,,,https://exhibitions.library.columbia.edu/exhibits/show/memory-and-material/materialmemorials/browneurne,,,,,,,,,,,
asset,rbml_omeka_memory_0010_027,rbml_omeka_memory_0010,Original filename:omeka_memory_0011,filename,https://exhibitions-dev.library.columbia.edu/omeka_memory_0011.jpg, ,Page 27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12032,No Copyright - United States,rightsstatements,http://rightsstatements.org/vocab/NoC-US/1.0/,Public Access,,,,,https://exhibitions.library.columbia.edu/exhibits/show/memory-and-material/materialmemorials/browneurne,,,,,,,,,,,
item,rbml_omeka_memory_0008,,,,,,Philothei Iordani Brvni Nolani recens et completa ars reminiscendi,"Bruno, Giordano, 1548-1600",personal,naf,http://id.loc.gov/authorities/names/n79090025,Author,marcrelator,http://id.loc.gov/vocabulary/relators/aut,TRUE,,,,,,,,,,,,,,,books,aat,http://vocab.getty.edu/aat/300028051,Early works,http://id.worldcat.org/fast/1411636,fast,,,,"Rare Book & Manuscript Library, Columbia University",http://id.library.columbia.edu/term/d2142d01-deaa-4a39-8dbd-72c4f148353f,Latin,iso639-2b,http://id.loc.gov/vocabulary/iso639-2/lat,1584,1584,TRUE,reformatted digital,London,,No Copyright - United States,rightsstatements,http://rightsstatements.org/vocab/NoC-US/1.0/,,6663253,B195 B83 Q,,,,Psychology,fast,http://id.worldcat.org/fast/1081447,,,,,,,text,
asset,rbml_omeka_memory_0008_001,rbml_omeka_memory_0008,Original filename:omeka_memory_0008,filename,https://exhibitions-dev.library.columbia.edu/omeka_memory_0008.jpg, ,Title page,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12027,No Copyright - United States,rightsstatements,http://rightsstatements.org/vocab/NoC-US/1.0/,Public Access,,,,,https://exhibitions.library.columbia.edu/exhibits/show/memory-and-material/renaissanceartofmemory/bruno,,,,,,,,,,,
asset,rbml_omeka_memory_0008_024,rbml_omeka_memory_0008,Original filename:omeka_memory_0009_001,filename,https://exhibitions-dev.library.columbia.edu/omeka_memory_0009_001.jpg, ,ff. 24v-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12028,No Copyright - United States,rightsstatements,http://rightsstatements.org/vocab/NoC-US/1.0/,Public Access,,,,,https://exhibitions.library.columbia.edu/exhibits/show/memory-and-material/renaissanceartofmemory/bruno,,,,,,,,,,,
asset,rbml_omeka_memory_0008_025,rbml_omeka_memory_0008,Original filename:omeka_memory_0009_002,filename,https://exhibitions-dev.library.columbia.edu/omeka_memory_0009_002.jpg, ,ff. 24v-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12029,No Copyright - United States,rightsstatements,http://rightsstatements.org/vocab/NoC-US/1.0/,Public Access,,,,,,,,,,,,,,,,
