_digital_object_type.string_key,_identifiers-1,_parent_digital_objects-1.identifier,_project.string_key,collection-1:collection_term.value,collection-1:collection_term.uri,omeka_identifier-1:omeka_identifier_value,name-1:name_term.value,name-1:name_term.name_type,name-1:name_role-1:name_role_term.authority,name-1:name_role-1:name_role_term.uri,name-1:name_role-1:name_role_term.value,name-1:name_role-2:name_role_term.authority,name-1:name_role-2:name_role_term.uri,name-1:name_role-2:name_role_term.value,name-1:name_term.authority,name-1:name_term.uri,name-2:name_term.value,name-2:name_term.name_type,name-2:name_role-1:name_role_term.authority,name-2:name_role-1:name_role_term.uri,name-2:name_role-1:name_role_term.value,name-2:name_role-2:name_role_term.authority,name-2:name_role-2:name_role_term.uri,name-2:name_role-2:name_role_term.value,name-2:name_term.authority,name-2:name_term.uri,name-3:name_term.value,name-3:name_term.name_type,name-3:name_role-1:name_role_term.authority,name-3:name_role-1:name_role_term.uri,name-3:name_role-1:name_role_term.value,name-3:name_role-2:name_role_term.authority,name-3:name_role-2:name_role_term.uri,name-3:name_role-2:name_role_term.value,name-3:name_term.authority,name-3:name_term.uri,name-4:name_term.value,name-4:name_term.name_type,name-4:name_role-1:name_role_term.authority,name-4:name_role-1:name_role_term.uri,name-4:name_role-1:name_role_term.value,name-4:name_term.authority,name-4:name_term.uri,name-5:name_term.value,name-5:name_term.name_type,name-5:name_role-1:name_role_term.authority,name-5:name_role-1:name_role_term.uri,name-5:name_role-1:name_role_term.value,name-5:name_term.authority,name-5:name_term.uri,date_created-1:date_created_start_value,date_created-1:date_created_end_value,date_created-1:date_created_type,date_created_textual-1:date_created_textual_value,abstract-1:abstract_value,location-1:location_term.code,location-1:location_term.authority,location-1:location_term.uri,location-1:location_term.value,location-1:location_shelf_location-1:location_shelf_location_free_text,clio_identifier-1:clio_identifier_value,object_in_context_url-1:object_in_context_url_value,note-1:note_value,note-1:note_type,note-3:note_value,note-3:note_type,note-4:note_value,note-4:note_type,note-5:note_value,note-5:note_type,note-6:note_value,note-6:note_type,digital_origin-1:digital_origin_value,language-1:language_term.authority,language-1:language_term.uri,language-1:language_term.value,language-2:language_term.authority,language-2:language_term.uri,language-2:language_term.value,language-3:language_term.authority,language-3:language_term.uri,language-3:language_term.value,language-4:language_term.authority,language-4:language_term.uri,language-4:language_term.value,language-5:language_term.authority,language-5:language_term.uri,language-5:language_term.value,language-6:language_term.authority,language-6:language_term.uri,language-6:language_term.value,language_of_cataloging-1:language_of_cataloging_term.value,language_of_cataloging-1:language_of_cataloging_term.authority,language_of_cataloging-1:language_of_cataloging_term.uri,form-1:form_term.value,form-1:form_term.authority,form-1:form_term.uri,form-2:form_term.value,form-2:form_term.authority,form-2:form_term.uri,form-3:form_term.value,form-3:form_term.authority,form-3:form_term.uri,genre-1:genre_term.value,genre-1:genre_term.authority,genre-1:genre_term.uri,type_of_resource-1:type_of_resource_value,type_of_resource-2:type_of_resource_value,relatedItem_Project,projectURL,place_of_origin-1:place_of_origin_value,place_authority_identifier,publisher-1:publisher_value,subject_topic-1:subject_topic_term.value,subject_topic-1:subject_topic_term.authority,subject_topic-1:subject_topic_term.uri,subject_topic-2:subject_topic_term.value,subject_topic-2:subject_topic_term.authority,subject_topic-2:subject_topic_term.uri,subject_topic-3:subject_topic_term.value,subject_topic-3:subject_topic_term.authority,subject_topic-3:subject_topic_term.uri,subject_name-1:subject_name_term.value,subject_name-1:subject_name_term.name_type,subject_name-1:subject_name_term.authority,subject_name-1:subject_name_term.uri,subject_name-2:subject_name_term.value,subject_name-2:subject_name_term.name_type,subject_name-2:subject_name_term.authority,subject_name-2:subject_name_term.uri,title-1:title_non_sort_portion,title-1:title_sort_portion,title-2:title_non_sort_portion,title-2:title_sort_portion,title2_type
asset,cclithumanities_urc_018,cclithumanities_urc,cc_lit_humanities,,,omeka_6292,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://exhibitions.cul.columbia.edu/exhibits/show/lit_hum/woolf/vwoolfpublisher,,,110119101.tif,filename,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Pages 18 and 19. The Mark on the Wall,,,
asset,cclithumanities_urc_031,cclithumanities_urc,cc_lit_humanities,,,omeka_6293,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,110119102.tif,filename,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Page 31. The Mark on the Wall,,,
item,cclithumanities_vgt,,cc_lit_humanities,,,,"Barker, Robert, -1645",personal,marcrelator,http://id.loc.gov/vocabulary/relators/prt,Printer,marcrelator,http://id.loc.gov/vocabulary/relators/pbl,Publisher,naf,http://id.loc.gov/authorities/names/nr95013746,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611,,,1611,,NNC-RB,marcorg,http://id.loc.gov/authorities/names/n78009986,Columbia University. Rare Book and Manuscript Library,STC 2228,,,,,,,,,,,,,reformatted digital,iso639-2,http://id.loc.gov/vocabulary/iso639-2/eng,English,,,,,,,,,,,,,,,,eng,iso639-2,http://id.loc.gov/vocabulary/iso639-2/eng,books,aat,http://vocab.getty.edu/aat/300028051,,,,,,,,,,text,,Core Curriculum: Literature Humanities,http://www.columbia.edu/cgi-bin/cul/resolve?clio9124743,London (England),http://id.loc.gov/authorities/names/n79005665,"Robert Barker, printer to the King's Most Excellent Maiestie",God,fast,http://id.worldcat.org/fast/944037,,,,,,,,,,,,,,,,King James Bible,,,
asset,cclithumanities_vgt_002,cclithumanities_vgt,cc_lit_humanities,,,omeka_6172,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://exhibitions.cul.columbia.edu/exhibits/show/lit_hum/bibles/reformation,,,1611BarkerBible.jpeg,filename,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Folios A2v-a3r,,,
item,cclithumanities_vma,,cc_lit_humanities,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1700,1799,approximate,circa 1700-1799,,NNC-RB,marcorg,http://id.loc.gov/authorities/names/n78009986,Columbia University. Rare Book and Manuscript Library,,,,,,,,,,Gift of George Arthur Plimpton,ownership,sculpture,original_format,reformatted digital,iso639-2,http://id.loc.gov/vocabulary/iso639-2/eng,English,,,,,,,,,,,,,,,,eng,iso639-2,http://id.loc.gov/vocabulary/iso639-2/eng,objects,aat,http://vocab.getty.edu/aat/300311889,,,,,,,,,,three dimensional object,,Core Curriculum: Literature Humanities,http://www.columbia.edu/cgi-bin/cul/resolve?clio9124743,England,http://id.loc.gov/authorities/names/n82068148,,,,,,,,,,,"Shakespeare, William, 1564-1616",personal,naf,http://id.loc.gov/authorities/names/n78095332,,,,,,Bust of Shakespeare,,,
asset,cclithumanities_vma_000,cclithumanities_vma,cc_lit_humanities,,,omeka_118,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://exhibitions.cul.columbia.edu/exhibits/show/lit_hum/shakespeare/intro,,,plmptn_092_001,filename,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bust of Shakespeare,,,
item,cclithumanities_vok,,cc_lit_humanities,,,,"Shakespeare, William, 1564-1616",personal,marcrelator,http://id.loc.gov/vocabulary/relators/aut,Author,,,,naf,http://id.loc.gov/authorities/names/n78095332,"Tate, Nahum, 1652-1715",personal,marcrelator,http://id.loc.gov/vocabulary/relators/aut,Author,,,,naf,http://id.loc.gov/authorities/names/n50008196,"Flesher, E. (Elizabeth), active 1670-1678?",personal,marcrelator,http://id.loc.gov/vocabulary/relators/prt,Printer,,,,naf,http://id.loc.gov/authorities/names/no00051157,"Bentley, Richard, -1697",personal,marcrelator,http://id.loc.gov/vocabulary/relators/bsl,Bookseller,naf,http://id.loc.gov/authorities/names/nr94039708,,,,,,,,1681,,,1681,Adaptation by Nahum Tate of Shakespeare's King Lear; the Tate Lear.,NNC-RB,marcorg,http://id.loc.gov/authorities/names/n78009986,Columbia University. Rare Book and Manuscript Library,Wing S2918,7321142,,,,,,,,,,,,reformatted digital,iso639-2,http://id.loc.gov/vocabulary/iso639-2/eng,English,,,,,,,,,,,,,,,,eng,iso639-2,http://id.loc.gov/vocabulary/iso639-2/eng,books,aat,http://vocab.getty.edu/aat/300028051,,,,,,,Drama,fast,http://id.worldcat.org/fast/1423879,text,,Core Curriculum: Literature Humanities,http://www.columbia.edu/cgi-bin/cul/resolve?clio9124743,London (England),http://id.loc.gov/authorities/names/n79005665,E. Flesher,,,,,,,,,,"Lear, King of England (Legendary character)",personal,naf,http://id.loc.gov/authorities/names/n2014021577,,,,,The,History of King Lear. Acted at the Duke's Theatre.,,Reviv'd with Alterations by N. Tate.,alternative
asset,cclithumanities_vok_001,cclithumanities_vok,cc_lit_humanities,,,omeka_6182,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://exhibitions.cul.columbia.edu/exhibits/show/lit_hum/shakespeare/kinglear,,,1681HappyLear.jpg,filename,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Title Page,,,
asset,cclithumanities_vou_001,cclithumanities_vou,cc_lit_humanities,,,omeka_6295,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://exhibitions.cul.columbia.edu/exhibits/show/lit_hum/woolf/vwoolfpublisher,,,110119104.tif,filename,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Front Cover,,,
item,cclithumanities_vou,,cc_lit_humanities,,,,"Eliot, T. S. (Thomas Stearns), 1888-1965",personal,marcrelator,http://id.loc.gov/vocabulary/relators/aut,Author,marcrelator,http://id.loc.gov/vocabulary/relators/pbl,Publisher,naf,http://id.loc.gov/authorities/names/n79006870,"Woolf, Leonard, 1880-1969",personal,marcrelator,http://id.loc.gov/vocabulary/relators/pbl,Publisher,,,,naf,http://id.loc.gov/authorities/names/n79058751,"Woolf, Virginia, 1882-1941",personal,marcrelator,http://id.loc.gov/vocabulary/relators/pbl,Publisher,,,,naf,http://id.loc.gov/authorities/names/n79041870,,,,,,,,,,,,,,,1919,,,1919,,NNC-RB,marcorg,http://id.loc.gov/authorities/names/n78009986,Columbia University. Rare Book and Manuscript Library,B812EL46 L3 1919 (vault),5558715,,,,,,,,,,,,reformatted digital,iso639-2,http://id.loc.gov/vocabulary/iso639-2/eng,English,,,,,,,,,,,,,,,,eng,iso639-2,http://id.loc.gov/vocabulary/iso639-2/eng,books,aat,http://vocab.getty.edu/aat/300028051,,,,,,,Poetry,fast,http://id.worldcat.org/fast/1423828,text,,Core Curriculum: Literature Humanities,http://www.columbia.edu/cgi-bin/cul/resolve?clio9124743,London (England),http://id.loc.gov/authorities/names/n79005665,Hogarth Press,,,,,,,,,,,,,,,,,,,Poems,,,
